ASV,BPS_high_wk22_inoculum_d0_A,BPS_high_wk22_inoculum_d0_B,BPS_high_wk22_inoculum_d0_C,BPS_high_wk22_inoculum_d0_D,BPS_high_wk22_inoculum_d0_E,BPS_high_wk22_inoculum_d0_F,BPS_high_wk22_inoculum_d0_G,BPS_high_wk22_control_d2_A,BPS_high_wk22_control_d2_B,BPS_high_wk22_control_d2_C,BPS_high_wk22_control_d2_D,BPS_high_wk22_control_d2_E,BPS_high_wk22_control_d2_F,BPS_high_wk22_control_d2_G,BPS_high_wk22_bps_d2_A,BPS_high_wk22_bps_d2_B,BPS_high_wk22_bps_d2_C,BPS_high_wk22_bps_d2_D,BPS_high_wk22_bps_d2_E,BPS_high_wk22_bps_d2_F,BPS_high_wk22_bps_d2_G,BPS_high_wk22_control_d7_A,BPS_high_wk22_control_d7_B,BPS_high_wk22_control_d7_C,BPS_high_wk22_control_d7_D,BPS_high_wk22_control_d7_E,BPS_high_wk22_control_d7_F,BPS_high_wk22_control_d7_G,BPS_high_wk22_bps_d7_A,BPS_high_wk22_bps_d7_B,BPS_high_wk22_bps_d7_C,BPS_high_wk22_bps_d7_D,BPS_high_wk22_bps_d7_E,BPS_high_wk22_bps_d7_F,BPS_high_wk22_bps_d7_G,DINP_high_wk22_inoculum_d0_A,DINP_high_wk22_inoculum_d0_B,DINP_high_wk22_inoculum_d0_C,DINP_high_wk22_inoculum_d0_D,DINP_high_wk22_inoculum_d0_E,DINP_high_wk22_inoculum_d0_F,DINP_high_wk22_inoculum_d0_G,DINP_high_wk22_control_d2_A,DINP_high_wk22_control_d2_B,DINP_high_wk22_control_d2_C,DINP_high_wk22_control_d2_D,DINP_high_wk22_control_d2_E,DINP_high_wk22_control_d2_F,DINP_high_wk22_control_d2_G,DINP_high_wk22_dinp_d2_A,DINP_high_wk22_dinp_d2_B,DINP_high_wk22_dinp_d2_C,DINP_high_wk22_dinp_d2_D,DINP_high_wk22_dinp_d2_E,DINP_high_wk22_dinp_d2_F,DINP_high_wk22_dinp_d2_G,DINP_high_wk22_control_d7_A,DINP_high_wk22_control_d7_B,DINP_high_wk22_control_d7_C,DINP_high_wk22_control_d7_D,DINP_high_wk22_control_d7_E,DINP_high_wk22_control_d7_F,DINP_high_wk22_control_d7_G,DINP_high_wk22_dinp_d7_A,DINP_high_wk22_dinp_d7_B,DINP_high_wk22_dinp_d7_C,DINP_high_wk22_dinp_d7_D,DINP_high_wk22_dinp_d7_E,DINP_high_wk22_dinp_d7_F,DINP_high_wk22_dinp_d7_G,DINP_high_wk40_inoculum_d0_A,DINP_high_wk40_inoculum_d0_B,DINP_high_wk40_inoculum_d0_C,DINP_high_wk40_inoculum_d0_D,DINP_high_wk40_inoculum_d0_E,DINP_high_wk40_inoculum_d0_F,DINP_high_wk40_inoculum_d0_G,DINP_high_wk40_control_d2_A,DINP_high_wk40_control_d2_B,DINP_high_wk40_control_d2_C,DINP_high_wk40_control_d2_D,DINP_high_wk40_control_d2_E,DINP_high_wk40_control_d2_F,DINP_high_wk40_control_d2_G,DINP_high_wk40_dinp_d2_A,DINP_high_wk40_dinp_d2_B,DINP_high_wk40_dinp_d2_C,DINP_high_wk40_dinp_d2_D,DINP_high_wk40_dinp_d2_E,DINP_high_wk40_dinp_d2_F,DINP_high_wk40_dinp_d2_G,DINP_high_wk40_control_d7_A,DINP_high_wk40_control_d7_B,DINP_high_wk40_control_d7_C,DINP_high_wk40_control_d7_D,DINP_high_wk40_control_d7_E,DINP_high_wk40_control_d7_F,DINP_high_wk40_control_d7_G,DINP_high_wk40_dinp_d7_A,DINP_high_wk40_dinp_d7_B,DINP_high_wk40_dinp_d7_C,DINP_high_wk40_dinp_d7_D,DINP_high_wk40_dinp_d7_E,DINP_high_wk40_dinp_d7_F,DINP_high_wk40_dinp_d7_G
ASV001,0.00271005,0.002059072,0,0,0,6.61e-05,8.76e-05,0.00026436,0.00068717,0,1.58e-05,0,0,2.54e-05,0.000474401,0.000558416,1.14e-05,2.85e-05,2.06e-05,1.88e-05,1.13e-05,0.001365002,0.000725722,0,0,1.17e-05,0,3.48e-05,0.002601195,0.0007756,1.57e-05,3.01e-05,0.000501791,4.31e-05,2.33e-05,0.003330787,0.000525045,0.001739091,0.000256992,0.00010932,0.000256665,0,0.000827444,0.000166271,0.000494494,8.28e-05,5.88e-05,0.000102566,0,0.000879219,0.000168787,0.000276687,8.18e-05,3.61e-05,4.47e-05,7.33e-06,0.002666953,0,0.000328972,8.55e-05,4.41e-05,9.75e-05,1.52e-05,0.001484023,0.000246887,0.000264279,0.000133322,6.67e-05,4.07e-05,1.01e-05,0.000569693,0.00069923,0.000579064,0.002059377,0.000171241,4.95e-05,0.000361028,6.95e-05,0.00014521,0.000254089,0.000279013,7.38e-05,2.28e-05,0.000118337,0.000258633,0.000166325,0.00018334,0.000475657,0.000121365,1.8e-05,0.000217304,0.000361387,0.000119361,0.00018344,0.000425543,2.32e-05,2.15e-05,0.001325765,0.000389998,0.000901131,0.001586207,0.000425411,8.44e-05,1.54e-05,0.000157861
ASV002,0.424273448,0.330004444,0.040607007,0.272533744,0.193656644,0.132755465,0.089289748,0.222162463,0.257967797,0.03499333,0.214607744,0.208509799,0.118677146,0.065662231,0.24687894,0.282292818,0.041104366,0.228518291,0.214084109,0.119956289,0.086907151,0.093479768,0.113276536,0.033870462,0.125376354,0.073723803,0.059758571,0.048743022,0.10711525,0.115652774,0.033475077,0.119336121,0.068210416,0.072949139,0.055543648,0.514242067,0.539586932,0.246373757,0.366404867,0.251579546,0.362585415,0.208870966,0.443542561,0.442358691,0.197023722,0.330718017,0.246609118,0.25217116,0.155004153,0.48889793,0.431496775,0.174824782,0.336130065,0.204557175,0.231062795,0.187642076,0.188154089,0.259565107,0.130500057,0.187073877,0.109429826,0.116868297,0.067819662,0.106860808,0.204349913,0.113588818,0.174222002,0.114423676,0.146070378,0.063763463,0.312738841,0.503106807,0.200742232,0.340201633,0.559783295,0.405721866,0.556690882,0.491980724,0.309293243,0.219336768,0.169280168,0.498988596,0.40934403,0.516867684,0.356334772,0.33452731,0.191093905,0.169621906,0.521587079,0.338424301,0.645728418,0.182470659,0.100711052,0.136409075,0.096061978,0.36887314,0.288068393,0.361634475,0.146176145,0.294391926,0.125825286,0.170943075,0.374161195,0.30180186,0.404195446
ASV003,0.207731817,0.214282564,0.066293364,0.154276872,0.154040789,0.266449085,0.103991019,0.112981887,0.160800759,0.06075478,0.140163598,0.146908646,0.239196575,0.080312453,0.138965181,0.170047331,0.071764482,0.112905911,0.14785754,0.236072801,0.103381672,0.224428481,0.253838539,0.16959072,0.245336761,0.313001535,0.337662826,0.186625086,0.229884296,0.296776152,0.161190225,0.279723313,0.291379899,0.335563987,0.196827351,0.121669791,0.071465023,0.086016001,0.103418254,0.175361314,0.26994833,0.237018646,0.110270057,0.065190854,0.067424152,0.100702408,0.207000025,0.239131937,0.221607662,0.11136198,0.060415536,0.075342167,0.107048395,0.163995379,0.241392896,0.256952126,0.187068333,0.112619245,0.153137293,0.190150406,0.307993909,0.304238194,0.379779263,0.147684477,0.122099323,0.152078031,0.210653462,0.284662904,0.319717015,0.358109096,0.000194598,0.000386696,7.72e-05,0.096093121,0.136765565,0.309448385,0.186555056,1.3e-05,0.000228187,0.000122043,0.052081013,0.133167384,0.321495191,0.187716627,6.93e-05,0.000258398,0.000124884,0.050625753,0.149993932,0.283586768,0.056616399,0.000146764,0.000353821,0.000274129,0.037914139,0.035351193,0.444840349,0.18651095,0.000106363,0.000616291,0.000233458,0.087353782,0.199605268,0.436809088,0.186532386
ASV004,0.006831048,0.002238859,0,0.037446668,0.012491805,0.024164085,9.44e-05,0.019289146,0.026441369,0.024335816,0.025459527,0.014517103,0.009256273,0.000368639,0,0.007756207,0.015385401,0.049967418,0.01518661,0.033604642,0.000777136,0.014824837,0.033182999,0.035996551,0.093654804,0.026375993,0.016323827,0.002599744,0.014885707,0.004984819,0.013266223,0.0971536,0.020135305,0.013640279,0.000895557,0,0.003486398,0.012206262,0.014443993,0.015786767,0.031275246,0.018001898,0.008649416,0.008900759,0.03422431,0.0108653,0.025162995,0.022539928,0.082802118,0.024298071,0.024011895,0.060960667,0.009037024,0.057736935,0.063706229,0.023286477,0.037588231,0.013269411,0.035708376,0.010880092,0.025307548,0.050053283,0.023312263,0.012884522,0.01254225,0.025628384,0.024075215,0.083002746,0.033137804,0.069924854,0.000152294,1.59e-05,5.15e-05,0.016864627,1.07e-05,0.002934002,0.001248906,0.005431642,0.026530031,0.013586755,0.027300567,0.025711076,0.017440243,0.024016169,0.020141368,0.054575425,0.019638686,0,0.01991131,0,0.000248348,0.019817918,0.034527372,0.027821004,0.046967131,0.000282921,0.018711076,0.039982577,0.019483201,0.022870085,0.057731833,0.036202763,0.011529152,0.01319104,0.028302901
ASV005,0.095944388,0.09879814,0.021091154,0.080537393,0.070847139,0.157012044,0.034014179,0.122804219,0.078428436,0.023693864,0.079153902,0.078090019,0.176962787,0.029011253,0.081765521,0.086558347,0.028046216,0.067271698,0.083761806,0.15818449,0.031753158,0.118016101,0.142878196,0.061245085,0.175922233,0.178186041,0.228279012,0.062222853,0.101682188,0.134855092,0.048358112,0.159480369,0.1537186,0.234290402,0.056108146,0.093979585,0.111260501,0.083212877,0.052009388,0.085254504,0.071460129,0.108995782,0.128238844,0.122038693,0.108342979,0.05734149,0.122710577,0.08257208,0.123912479,0.121845126,0.121685052,0.119699513,0.063381839,0.113756614,0.067842997,0.155677803,0.228308076,0.234640613,0.239010852,0.097730553,0.193436859,0.09718012,0.223868877,0.174251464,0.23745628,0.219231504,0.117448331,0.174970446,0.10173876,0.209691401,0.00010717,8.21e-05,4.38e-05,7.42e-06,0.013061375,0.023901436,0.009197825,0,3.21e-05,5.8e-05,0,0.01115162,0.029175009,0.012465861,0,9.21e-05,5.05e-05,0,0.013945759,0.032100332,0.017291215,4.73e-06,0.000112967,5.15e-05,1.75e-05,0.041069905,0.044965457,0.014548028,0,0.000300377,0.000124366,0,0.017673564,0.041239655,0.013653845
ASV006,0.00012905,0,0.000103186,0,1.77e-05,0,2.7e-05,0.047625776,0.045447204,0.031866941,0.002400278,0.057246844,0.022906543,0.050865825,0.035985818,0.060686351,0.017005963,0.002245085,0.048873807,0.014145753,0.057089288,0.093614583,0.116196106,0.107346275,0.045283576,0.109837233,0.088269582,0.189016155,0.13245727,0.124286503,0.051333152,0.040544937,0.160906687,0.082395406,0.102732298,0.000106474,9.08e-05,0.000195742,0,0,0,0,0.068085404,0.03690374,0.035838622,0.087316986,0.020355101,0.054622926,0.023102679,0.058217422,0.0409227,0.032197667,0.091178772,0.027519932,0.063356902,0.014977378,0.13605468,0.126332152,0.088746578,0.156069142,0.076653352,0.191310478,0.028854539,0.14249972,0.155237041,0.104749912,0.175571216,0.06470101,0.1803805,0.056886394,8.74e-05,2.38e-05,0.000164712,0,0,0,0,0.051939531,0.038999221,0.039949982,0,0,0,0,0.016979115,0.046309662,0.030190063,0,0,0,0,0.263088458,0.181305471,0.262984544,0,0,0,0,0.206861457,0.26281436,0.237579801,0,0,0,0
ASV007,0.115164238,0.226311344,0.183072044,0.227439423,0.172050251,0.277125548,0.233565151,0.068847483,0.135918738,0.165854269,0.113985567,0.112254916,0.136457828,0.165290097,0.128456574,0.129664219,0.153632641,0.114375681,0.085716052,0.11195644,0.159957899,0.015183541,0.015292986,0.029406001,0.010370961,0.012772178,0.017391254,0.030034721,0.013963019,0.011495998,0.048133482,0.013090188,0.014159666,0.010844955,0.035455153,0.119160706,0.144662205,0.206801277,0.156712602,0.113056506,0.136564646,0.159615923,0.047419299,0.059535536,0.098353313,0.099311545,0.076068958,0.073584203,0.068692899,0.036913709,0.06788836,0.075758238,0.097892414,0.076696371,0.070456384,0.054403481,0.011175905,0.007807753,0.013164847,0.016477279,0.01102439,0.010901474,0.011524896,0.018160632,0.015636175,0.01280753,0.01677719,0.010283027,0.006847451,0.008958586,0.430510157,0.30936174,0.258278043,0.366496722,0.228252982,0.174470812,0.157660201,0.05324747,0.257692823,0.219780923,0.372750735,0.082944637,0.063353142,0.084754155,0.239168749,0.17329591,0.246263442,0.429084836,0.078450264,0.100358183,0.020126519,0.048968783,0.024718435,0.039352973,0.235986954,0.001938704,0.021706933,0.032678618,0.042096811,0.03156203,0.045458909,0.192186881,0.031057211,0.025051935,0.035381486
ASV008,0.013550252,0.009477837,0.009204163,0.005491999,0.005046335,0.005770971,0.007450083,0.185142982,0.086145886,0.092785683,0.086958753,0.035947699,0.044085771,0.089293262,0.113678356,0.073298853,0.116793956,0.101223857,0.066865231,0.083438842,0.12310809,0.273833369,0.165197613,0.037818913,0.024299369,0.035086286,0.022549039,0.030762186,0.214947056,0.167535192,0.051518602,0.02903943,0.044781632,0.015328138,0.021344821,0.011087193,0.010635844,0.012841168,0.005139838,0.004347945,0.005002861,0.004035471,0.043927035,0.087873163,0.078298586,0.031573463,0.026345356,0.074886342,0.042423692,0.049575622,0.076174975,0.103878407,0.036237312,0.04610549,0.07617957,0.036608383,0.025124177,0.027412509,0.040932046,0.090431548,0.015465042,0.039219909,0.009908851,0.207410791,0.081486416,0.042615516,0.024240533,0.020645548,0.016281716,0.043104534,0.011142855,0.013854825,0.013380242,0.009927681,0.004537875,0.004368403,0.005650512,0.110114586,0.069395229,0.088038814,0.14653607,0.082516278,0.022156041,0.029995298,0.05624865,0.112076391,0.097234216,0.131302454,0.037300098,0.061913841,0.125325956,0.148629647,0.343468382,0.145224487,0.213695492,0.393111573,0.014884229,0.134626431,0.220619825,0.045930064,0.182867653,0.223991053,0.115217041,0.020098554,0.131203199
ASV009,0.000847428,0.000420634,0.012629928,0.000983909,0.007147793,0.000462471,0.012803355,0.000309939,0.000229057,0.000680858,0.000481635,0.001322724,0,0.002713946,0.000564912,0.000327347,0.000879815,0.000409062,0.001371504,9.04e-05,0.002059787,0.000146852,0.000161271,0.00038864,0.000260013,0.000592358,0,0.001066562,9.08e-05,0.000154568,0.00022463,0.000159673,0.000657167,5.13e-05,0.001604363,0.000493021,0.000792475,0.004338945,0.007888077,0.004412543,0.001546301,0.002175456,0.000374975,0.000370426,0.000543278,0.000479608,0.000134487,7.8e-05,0.000184282,0.000277648,0.000349629,0.000557535,0.000362447,0.000263003,0.000178603,0.000246612,0,0,0.000187414,0.000239452,0.000208424,6.81e-05,0.00013232,0.000130504,0.000141078,3.78e-05,0.000234646,0.000205148,7.5e-05,6.55e-05,0.011616659,0.005191255,0.023376176,0.000890541,0.000725632,0.000822869,0.001101976,0.001729435,0.001206939,0.003227129,0.000301515,0.000271294,6.39e-05,0.000133908,0.002791635,0.001413763,0.003565839,0.000441304,0.000210988,0.000259516,3.45e-05,0.001308254,0.000240854,0.000832693,0.000177795,0.000125227,0.000125722,0.000266786,0.000748712,0.000652543,0.001027653,0.000243474,0.000292946,0.000207996,0.000249375
ASV010,0.005480324,0.006299335,0.027736312,0.006686106,0.011230221,0.003993763,0.017131819,0.05245262,0.051681658,0.090345709,0.066864321,0.061034272,0.057893069,0.115771711,0.055851363,0.045940315,0.080148263,0.061478236,0.05966925,0.054129927,0.100869185,0.019365214,0.015201228,0.03997113,0.062624651,0.055121419,0.038884437,0.100630662,0.02442424,0.018117582,0.048248409,0.067909306,0.067321457,0.046521739,0.124686184,0.004173321,0.0036287,0.013521246,0.007909056,0.009339386,0.003645903,0.007146373,0.028785557,0.02911426,0.055259155,0.057411251,0.048148989,0.068993273,0.042623547,0.023991501,0.035366809,0.061643023,0.056370804,0.042905618,0.061444796,0.041289119,0.019649016,0.021571662,0.029531684,0.072891701,0.049188006,0.051095025,0.040461864,0.020343786,0.020340743,0.025335234,0.066762125,0.047927624,0.054584577,0.038417342,0.008051848,0.00506942,0.022797111,0.006257908,0.001132328,0.002715919,0.00229211,0.021244237,0.044796301,0.067949782,0.051738996,0.029540133,0.038091242,0.045634457,0.029796107,0.036873682,0.063789196,0.047481132,0.034758904,0.040384289,0.04985927,0.024590125,0.016199026,0.049100012,0.086291975,0.047122556,0.054971069,0.04857419,0.026046424,0.035976191,0.043091599,0.075316517,0.041558571,0.039516628,0.039426392
