mz__rtMin,putative_mw,mz,rtMin,ion,lcms_run
249.02251__1.425,250.02979,249.02251,1.425,[M-H]-1,high-bps-wk07-wk22
249.02252__1.428,204.02432,249.02252,1.428,[M+FA-H]-1,high-bps-wk07-wk22
96.96817__0.481,97.97545,96.96817,0.481,[M-H]-1,high-bps-wk07-wk22
110.95664__0.518,111.96392,110.95664,0.518,[M-H]-1,high-bps-wk07-wk22
112.93586__0.467,113.94314,112.93586,0.467,[M-H]-1,high-bps-wk07-wk22
112.98425__0.582,113.99152,112.98425,0.582,[M-H]-1,high-bps-wk07-wk22
92.9266__0.502,93.93387,92.9266,0.502,[M-H]-1,high-bps-wk07-wk22
92.9266__0.328,93.93387,92.9266,0.328,[M-H]-1,high-bps-wk07-wk22
92.9266__0.62,93.93387,92.9266,0.62,[M-H]-1,high-bps-wk07-wk22
78.95756__0.485,79.96484,78.95756,0.485,[M-H]-1,high-bps-wk07-wk22
102.95542__0.539,103.9627,102.95542,0.539,[M-H]-1,high-bps-wk07-wk22
110.95665__0.646,111.96393,110.95665,0.646,[M-H]-1,high-bps-wk07-wk22
293.17596__1.527,294.18324,293.17596,1.527,[M-H]-1,high-bps-wk07-wk22
95.91532__1.428,96.9226,95.91532,1.428,[M-H]-1,high-bps-wk07-wk22
117.01795__0.48,118.02524,117.01795,0.48,[M-H]-1,high-bps-wk07-wk22
116.01618__0.482,117.02344,116.01618,0.482,[M-H]-1,high-bps-wk07-wk22
160.84106__1.799,161.84834,160.84106,1.799,[M-H]-1,high-bps-wk07-wk22
239.05944__3.176,240.06672,239.05944,3.176,[M-H]-1,high-bps-wk07-wk22
90.96677__1.332,109.98461,90.96677,1.332,[M-H-H2O]-1,high-bps-wk07-wk22
90.96674__1.331,91.97401,90.96674,1.331,[M-H]-1,high-bps-wk07-wk22
122.93891__1.433,123.94619,122.93891,1.433,[M-H]-1,high-bps-wk07-wk22
165.03987__2.589,166.04715,165.03987,2.589,[M-H]-1,high-bps-wk07-wk22
391.28564__1.832,392.2929,391.28564,1.832,[M-H]-1,high-bps-wk07-wk22
391.28558__1.84,346.28738,391.28558,1.84,[M+FA-H]-1,high-bps-wk07-wk22
223.02793__3.168,242.04577,223.02793,3.168,[M-H-H2O]-1,high-bps-wk07-wk22
223.02786__3.176,224.03513,223.02786,3.176,[M-H]-1,high-bps-wk07-wk22
