mz__rtMin,BPS_high_wk40_bps_d1_A,BPS_high_wk40_bps_d1_B,BPS_high_wk40_bps_d1_C,BPS_high_wk40_bps_d1_D,BPS_high_wk40_bps_d1_E,BPS_high_wk40_bps_d1_F,BPS_high_wk40_bps_d1_G,BPS_high_wk40_bps_d2_A,BPS_high_wk40_bps_d2_B,BPS_high_wk40_bps_d2_C,BPS_high_wk40_bps_d2_D,BPS_high_wk40_bps_d2_E,BPS_high_wk40_bps_d2_F,BPS_high_wk40_bps_d2_G,BPS_high_wk40_bps_d7_A,BPS_high_wk40_bps_d7_B,BPS_high_wk40_bps_d7_C,BPS_high_wk40_bps_d7_D,BPS_high_wk40_bps_d7_E,BPS_high_wk40_bps_d7_F,BPS_high_wk40_bps_d7_G,BPS_high_wk40_inoculum_d0_A,BPS_high_wk40_inoculum_d0_C,BPS_high_wk40_inoculum_d0_D,BPS_high_wk40_inoculum_d0_E,BPS_high_wk40_inoculum_d0_F,BPS_high_wk40_inoculum_d0_G,BPS_high_wk40_inoculum_d0_B,BPS_high_wk40_control_d1_A,BPS_high_wk40_control_d1_B,BPS_high_wk40_control_d1_C,BPS_high_wk40_control_d1_D,BPS_high_wk40_control_d1_E,BPS_high_wk40_control_d1_F,BPS_high_wk40_control_d1_G,BPS_high_wk40_control_d2_A,BPS_high_wk40_control_d2_B,BPS_high_wk40_control_d2_C,BPS_high_wk40_control_d2_D,BPS_high_wk40_control_d2_E,BPS_high_wk40_control_d2_F,BPS_high_wk40_control_d2_G,BPS_high_wk40_control_d7_A,BPS_high_wk40_control_d7_B,BPS_high_wk40_control_d7_C,BPS_high_wk40_control_d7_D,BPS_high_wk40_control_d7_E,BPS_high_wk40_control_d7_F,BPS_high_wk40_control_d7_G,DINP_high_wk40_inoculum_d0_A,DINP_high_wk40_inoculum_d0_B,DINP_high_wk40_inoculum_d0_C,DINP_high_wk40_inoculum_d0_D,DINP_high_wk40_inoculum_d0_E,DINP_high_wk40_inoculum_d0_F,DINP_high_wk40_inoculum_d0_G,DINP_high_wk40_control_d1_A,DINP_high_wk40_control_d1_B,DINP_high_wk40_control_d1_C,DINP_high_wk40_control_d1_D,DINP_high_wk40_control_d1_E,DINP_high_wk40_control_d1_F,DINP_high_wk40_control_d1_G,DINP_high_wk40_control_d2_A,DINP_high_wk40_control_d2_B,DINP_high_wk40_control_d2_C,DINP_high_wk40_control_d2_D,DINP_high_wk40_control_d2_E,DINP_high_wk40_control_d2_F,DINP_high_wk40_control_d2_G,DINP_high_wk40_control_d7_A,DINP_high_wk40_control_d7_B,DINP_high_wk40_control_d7_C,DINP_high_wk40_control_d7_D,DINP_high_wk40_control_d7_E,DINP_high_wk40_control_d7_F,DINP_high_wk40_control_d7_G,DINP_high_wk40_dinp_d1_A,DINP_high_wk40_dinp_d1_B,DINP_high_wk40_dinp_d1_C,DINP_high_wk40_dinp_d1_D,DINP_high_wk40_dinp_d1_E,DINP_high_wk40_dinp_d1_F,DINP_high_wk40_dinp_d1_G,DINP_high_wk40_dinp_d2_A,DINP_high_wk40_dinp_d2_B,DINP_high_wk40_dinp_d2_C,DINP_high_wk40_dinp_d2_D,DINP_high_wk40_dinp_d2_E,DINP_high_wk40_dinp_d2_F,DINP_high_wk40_dinp_d2_G,DINP_high_wk40_dinp_d7_A,DINP_high_wk40_dinp_d7_B,DINP_high_wk40_dinp_d7_C,DINP_high_wk40_dinp_d7_D,DINP_high_wk40_dinp_d7_E,DINP_high_wk40_dinp_d7_F,DINP_high_wk40_dinp_d7_G
315.1087__2.313,457139.2373,1441685.438,830292.77,3178049.742,804402.0281,221893.0408,2213253.977,836756.7781,801206.1441,1918333.611,2511260.39,4029937.678,939063.7008,2969130.007,887231.4244,611989.9942,855530.6003,3640835.065,3419871.054,1819299.808,1339737.828,1839669.142,2850627.313,3103919.235,4128227.954,2409162.623,4810984.981,600442.0801,552797.6767,2151601.84,1912761.027,3186908.049,3499643.035,3824358.832,5172148.11,849144.825,1554251.018,604155.6042,483484.4592,4649701.58,2316810.414,3786380.109,4307286.05,1927032.9,2167891.606,2342748.917,3091647.308,2759659.894,3799214.347,967965.7207,854722.7264,1222845.944,977097.2839,1924099.937,1311042.976,1196319.23,644996.2914,795572.2597,1221382.61,1261516.257,984780.9289,1060464.533,890747.9552,708968.9447,1403112.834,1160405.327,1015492.365,1225322.421,1361948.277,1671866.937,978924.8652,961553.3327,1365321.526,1112413.317,1669961.473,2477483.609,1474659.216,4228939.574,4604484.788,2636249.092,4508131.118,8369591.209,5710326.416,4862949.523,2458254.233,730925.0111,1288841.074,1033751.573,8749039.992,6018480.476,5615435.292,2775125.97,1202690.551,425107.2038,3822575.251,9247213.869,6454926.86,1773532.985
435.27541__2.618,6623341.848,9077656.576,5130512.729,5193790.441,6177367.14,4152820.262,6246897.399,12332197.8,10967032.68,5590140.452,7115612.766,8686669.447,6367526.03,11889545.63,7910583.982,8185725.247,3072114.246,2075923.628,10732311.47,5329378.59,15102211.18,5814870.597,3235401.559,2943664.901,2389082.175,1906269.37,4854566.445,3254734.768,5801363.969,2711290.466,4361278.372,5275542.036,5377111.828,3822991.975,9954074.563,4906924.008,7042606.925,1914558.272,5259901.483,4574816.174,4640506.104,9099435.901,8388446.647,4216514,1903311.799,7939124.202,5742244.989,4176489.439,8388416.788,218245.8712,234447.4495,234217.1384,233146.4383,248125.9086,212944.6932,233061.081,188491.4055,205598.2565,226674.1756,233317.2909,193548.1165,248051.7621,229399.6535,224420.1051,187234.1666,222496.3284,222299.3575,218129.4229,230342.129,228313.7149,219232.8596,183470.6091,209953.298,203288.7438,224963.0752,188523.4749,186489.515,9472488.691,5255033.196,12091379.41,1748700.973,10514264.48,3326261.97,5458695.783,8308474.285,1861266.683,7201050.505,898548.477,9275567.994,2946431.34,4133349.368,11565520.52,4262277.821,10766198.88,1086211.714,6798798.254,4199044.817,198440.4415
199.96857__0.681,42749821.34,22136570.53,34613214.36,26431232.34,48330635.87,36654638.48,36685939.57,4058549.446,2031723.327,5887872.439,14935105.32,1080438.493,23268059.05,18394494.49,4764511.94,547070.6096,474212.7887,466542.9533,458927.3702,504331.7669,500627.9436,18457555.65,17560181.38,22509087.25,20141604.79,19989521.03,23072501.63,18387131.03,33387564.51,29765353.87,49953518.44,26712742.99,37756974.38,47634232.86,29314733.92,4021852.89,644920.387,37577317.65,27685674.74,1171266.474,30650477.79,11368192.33,578517.2676,537340.0531,508857.2426,560929.4724,602383.4898,410161.1998,633847.2465,79835.81353,30302.83495,23871.19112,23386.64406,24563.10739,19039.3682,45977.93601,69117.20907,111656.9106,28009.5138,53303.68254,82477.45687,84313.97577,29122.4011,70165.27582,112671.4575,119769.5604,89317.19896,57094.40167,38958.59682,101518.9227,108080.063,147604.5127,104277.1218,151409.0605,93437.25577,94689.26814,104533.3128,42166671.4,87767082.7,20181800.94,40462705.35,27360145.24,19857029.39,26051453.58,12450181.34,52171041.08,5225101.418,10069206.87,3546240.551,616145.9316,612188.6539,702630.0082,13341026.64,537443.3248,564265.6118,652591.9967,620266.3617,37633.49525
317.21258__2.772,768582.1734,1053997.203,476669.5955,16620803.42,1234753.5,688080.4012,166980.6474,1081673.485,767840.2316,510068.1835,2192966.626,1318015.229,800236.1389,1072086.273,1472423.484,1178257.91,275780.8055,3414824.902,1267183.146,326657.6734,1513368.542,749652.3982,602545.3856,1047610.68,676749.5696,106592.426,1307302.446,654039.2475,915645.2022,852401.3268,510817.0254,1356576.631,851843.8806,373859.6678,522595.5422,812412.9258,996744.4269,297273.4771,1007933.493,587974.3675,343691.6507,736013.5661,1191466.709,534033.3187,496572.6925,2522310.084,1286047.181,728729.6802,250468.1674,142740.7173,149124.5473,165849.3339,151686.3852,163040.9366,135959.7401,145658.1614,154110.7059,122036.7086,155303.3035,181387.8778,129731.6682,173112.6248,182949.6223,165138.174,122633.6166,197605.6496,130341.4232,149114.1256,147236.5056,235840.7405,174111.237,234975.81,152996.7276,124458.8839,256261.7588,123314.7627,145083.8653,2110420.165,1413646.844,3441951.577,1738210.111,473804.4295,694510.8484,410625.4734,1126494.526,547007.0706,1091825.593,1142784.521,1392352.691,751380.2531,667411.5264,1580629.126,906448.9011,1243213.488,1056232.793,519261.964,627169.0427,156297.2189
119.04894__1.335,187347.748,194299.816,675418.921,3664855.164,983596.0637,2648623.471,6190980.484,696955.7052,501790.7219,1063885.623,3444182.996,979271.3874,2408316.145,3576549.899,1249446.604,578809.6637,1079755.495,1745861.534,223024.268,3456632.446,2421378.691,252050.7334,210878.8723,187579.5187,233966.8052,195286.7729,303650.2266,198835.2771,215622.7797,208819.2179,773722.0542,2930835.913,763585.3872,2388346.909,2968125.054,888014.1732,291927.9999,392757.3036,2558473.524,844175.8515,1871259.034,1441757.872,2043881.636,258888.8615,1386679.337,227170.1729,1077158.574,230007.6739,2080166.779,90571.63017,87885.28699,86709.51511,89521.44836,89644.00143,85087.74902,88076.44383,83972.92102,81834.1185,81933.49071,81095.15968,79753.07373,81927.51382,79265.59124,81462.6694,79493.85074,76146.15922,75813.92736,81467.73448,80755.6002,80942.80572,74509.99137,75140.07559,77246.32241,89350.73666,72514.27673,74782.2693,72266.72891,845475.457,1249445.846,310054.7379,3796715.742,2453489.102,1344809.671,3832516.365,844420.7955,788199.2203,807683.6263,2562713.277,1147283.678,1128126.239,1680556.945,1444243.429,1054644.022,542954.9421,2404406.347,1566299.162,726256.6651,94766.47269
298.94302__2.248,23231781.34,20536328.98,23337701.85,23255218.18,17346599.46,24086856.84,31725062.48,27552516.81,18892885.86,23231591.07,32757025.53,33203993.47,28706970.54,23869294.94,13460842.48,14812011.13,28176338.34,45158837.35,29297073.4,19891319.08,19187325.78,37641797.68,32040219.15,25172677.04,33732376.61,29597546.61,27445941.77,26774833.02,23862809.77,26569786.6,44733703.43,31180466.95,29730246.71,35876911.52,26357862.3,32036377.99,30038236.07,45963396.61,25759636.5,27177909.91,25321959.66,23359727.79,26353438.11,26130822.8,28031714.22,10313474.13,23421934.46,6839760.701,22586717.77,101563.3518,92333.09648,97419.97549,86385.46579,91674.51127,104387.6029,90763.37628,78249.61768,90643.38384,90498.5085,95001.69429,88886.70723,102533.6138,80477.612,75530.93471,79356.78125,90527.63846,82501.41726,72140.37519,89615.24731,126736.78,87269.82679,86105.74468,77421.79755,89557.91036,90771.28476,86070.25663,89819.6282,26444734.07,29937449.55,30944268.09,40057149.55,29797715.7,41683036.74,37802379.82,29963669.98,26961765.98,23884713.94,48590092.91,35054196.98,36956744.85,45489330.04,606286.6606,29114421.57,695875.9263,60249290.95,24534756.71,33438400.35,76670.0405
471.31162__2.637,3038874.262,2721976.525,2064541.002,2922384.034,4237950.033,2234933.453,11108686.45,4770999.173,3215630.296,2590766.5,3649874.693,11753690.96,2922306.551,9271960.786,2977218.713,3207276.427,1001492.18,4967297.541,10267729.78,3121560.799,10443892.34,3497865.664,1668795.317,2077890.815,5057524.503,1254079.152,8251767.403,1901773.601,3673734.79,1740165.569,1957028.439,2514453.411,9584308.37,2811169.816,9757127.638,3205158.308,1613984.476,1105226.258,2500678.293,6809089.973,1055498.117,6699927.692,3656863.691,2165417.609,1982690.303,3464164.873,7099888.537,1527671.679,4362561.152,210326.2552,229891.408,229340.6774,228615.6795,243304.0522,208806.517,228531.9809,187745.5042,193674.2331,222269.1929,224850.7694,186260.8562,239050.5623,224941.7063,216276.4411,180439.8905,214422.4735,214232.6503,210214.0325,225865.8666,220028.7611,211277.4281,176812.9034,202334.5995,195911.8858,216799.7081,176786.918,179722.2605,8899096.381,8008301.638,5328418.714,5339566.681,12075234.66,6880974.465,6193659.286,5587652.882,3375717.39,5278211.87,3223425.932,13721586.77,8546720.007,5183740.511,6316456.848,3967037.541,5575552.733,2131749.025,8858948.466,5721654.972,194584.1279
487.23731__2.453,1085241.967,1228525.234,864951.6202,5116097.811,8508313.835,5643514.812,13805331.23,2550519.358,1952770.74,767391.4228,5266570.568,7836068.289,6347984.961,9768928.855,4085592.425,7097339.798,631946.3546,6184920.553,7806458.297,2786360.337,9624942.435,4370428.602,159900.1398,7291466.62,8810300.96,1813551.356,18022506.76,952294.3653,2557440.171,1780833.604,220450.939,5287991.39,10245396.3,8279529,11668667.78,3189099.239,4692385.214,118233.2211,4291199.406,3783568.235,6197836.296,9104197.673,5458650.205,4195856.285,1536351.141,13025977.61,10807087.19,8520144.719,11116407.86,210557.3388,225420.1101,228725.0347,245182.7071,256357.6991,181409.0081,227674.5113,188803.6328,212232.8873,211979.6246,244647.5479,218280.8316,235239.8936,220847.6839,233578.7491,198996.0423,223803.5739,220886.8825,219029.6819,205950.1132,212655.5809,210918.4743,167121.174,218332.011,234872.145,216596.8061,220251.1131,220339.2271,4338259.787,2374786.974,2652871.374,22279394.04,14965240.01,16717703.15,18577459.74,3574655.011,1362683.008,2111051.736,18831200.27,25901811.34,19385980.16,9369025.774,6356341.547,2620631.483,6295208.543,7149956.088,18789443.37,10263782.18,181924.8845
405.01094__2.173,2602713.986,2387674.829,3178932.271,3921719.216,2802541.283,3238107.321,3272513.649,2850507.583,2331747.779,3676388.318,1444199.699,2551518.492,2584740.631,2689650.343,2469630.743,3783919.394,3748713.403,7204039.457,4103747.692,4446570.838,2605138.533,83234.17868,82384.71931,84450.78332,71057.9643,90172.30246,104009.1647,88994.78525,122841.4722,135862.3747,141110.1868,105122.3824,126280.4219,104219.5408,117670.9466,167090.4433,120757.1564,121930.0953,106249.0323,127881.4165,156421.4103,129164.4094,106088.9018,71907.65829,102828.4757,122169.1225,88753.9601,119345.5923,107204.9385,127839.6759,113413.7538,118551.9704,109894.0053,114192.7209,125144.7066,112159.0448,105087.3687,105611.9606,111995.0671,110154.7185,101588.9511,120488.2764,82662.71889,90964.00593,96585.49092,118657.5192,104412.8953,90588.26301,112865.6617,93080.61147,109446.9213,109529.0725,95033.54982,118861.915,103964.78,105237.8948,116059.6705,192636.7846,188017.9504,178257.2016,172657.983,143400.5308,169198.4658,149241.5978,178197.2562,213781.7948,222691.8211,226107.8743,200864.7807,217572.5734,134438.9929,132164.2535,150626.6138,142507.1254,114267.7966,141915.8032,132651.7894,111010.4474
485.28281__2.804,34709227.76,23179385.51,20731570.72,26297871.35,20850025.19,28992362.15,22123556.05,24383715.64,25819127.02,25637443.1,20332622.32,34861337.9,24919425.09,16734007.2,22714115.88,22876605.58,19379442.63,25194782.25,37631890.58,24512350.08,41372645.8,36295920.49,32612278.39,41789041.18,35087188.51,29840762.52,31232187.9,33941825.76,23477053.63,37234493.41,32326478.56,22601491.11,31119801.09,22452379.6,31796403.21,27586871.53,20376879.54,21743106.51,25283158.79,29472801.53,21646074.35,24662840.19,31977290.26,17466601.61,26810598.48,25430271.08,28781311.13,23281037.02,24407039.04,912239.2426,759401.7868,1015094.336,839178.5502,1035752.923,1049236.226,1132064.956,913481.4978,1087637.265,1355944.043,1145024.429,1133955.215,1424669.712,899762.9411,1193274.861,1253315.869,1457233.902,1305928.223,1060982.366,1096277.654,921520.8669,1381617.464,1531478.215,1236768.207,1287992.652,1341001.832,1366359.85,1212430.897,33556997.08,23409609.47,35084232.77,35173313.25,26650957.12,23836864.43,32981747.11,310194366.9,27128789.31,26245720.05,25627895.76,28005632.9,44367931.6,36353242.41,38513444.89,28496597.71,25810237.14,20571587.68,23268461.02,29634040.14,570920.0666
