mz__rtMin,BPS_low_wk07_inoculum_d0_A,BPS_low_wk07_inoculum_d0_B,BPS_low_wk07_inoculum_d0_C,BPS_low_wk07_inoculum_d0_D,BPS_low_wk07_inoculum_d0_E,BPS_low_wk07_inoculum_d0_F,BPS_low_wk07_inoculum_d0_G,BPS_low_wk07_control_d2_A,BPS_low_wk07_control_d2_B,BPS_low_wk07_control_d2_C,BPS_low_wk07_control_d2_D,BPS_low_wk07_control_d2_E,BPS_low_wk07_control_d2_F,BPS_low_wk07_control_d2_G,BPS_low_wk07_bps_d2_A,BPS_low_wk07_bps_d2_B,BPS_low_wk07_bps_d2_C,BPS_low_wk07_bps_d2_D,BPS_low_wk07_bps_d2_E,BPS_low_wk07_bps_d2_F,BPS_low_wk07_bps_d2_G,BPS_low_wk07_control_d7_A,BPS_low_wk07_control_d7_B,BPS_low_wk07_control_d7_C,BPS_low_wk07_control_d7_D,BPS_low_wk07_control_d7_E,BPS_low_wk07_control_d7_F,BPS_low_wk07_control_d7_G,BPS_low_wk07_bps_d7_A,BPS_low_wk07_bps_d7_B,BPS_low_wk07_bps_d7_C,BPS_low_wk07_bps_d7_D,BPS_low_wk07_bps_d7_E,BPS_low_wk07_bps_d7_F,BPS_low_wk07_bps_d7_G,BPS_low_wk12_inoculum_d0_A,BPS_low_wk12_inoculum_d0_B,BPS_low_wk12_inoculum_d0_C,BPS_low_wk12_inoculum_d0_D,BPS_low_wk12_inoculum_d0_E,BPS_low_wk12_inoculum_d0_F,BPS_low_wk12_inoculum_d0_G,BPS_low_wk12_control_d2_A,BPS_low_wk12_control_d2_B,BPS_low_wk12_control_d2_C,BPS_low_wk12_control_d2_D,BPS_low_wk12_control_d2_E,BPS_low_wk12_control_d2_F,BPS_low_wk12_control_d2_G,BPS_low_wk12_bps_d2_A,BPS_low_wk12_bps_d2_B,BPS_low_wk12_bps_d2_C,BPS_low_wk12_bps_d2_D,BPS_low_wk12_bps_d2_E,BPS_low_wk12_bps_d2_F,BPS_low_wk12_bps_d2_G,BPS_low_wk12_control_d7_A,BPS_low_wk12_control_d7_B,BPS_low_wk12_control_d7_C,BPS_low_wk12_control_d7_D,BPS_low_wk12_control_d7_E,BPS_low_wk12_control_d7_F,BPS_low_wk12_control_d7_G,BPS_low_wk12_bps_d7_A,BPS_low_wk12_bps_d7_B,BPS_low_wk12_bps_d7_C,BPS_low_wk12_bps_d7_D,BPS_low_wk12_bps_d7_E,BPS_low_wk12_bps_d7_F,BPS_low_wk12_bps_d7_G,BPS_low_wk22_inoculum_d0_A,BPS_low_wk22_inoculum_d0_B,BPS_low_wk22_inoculum_d0_C,BPS_low_wk22_inoculum_d0_D,BPS_low_wk22_inoculum_d0_E,BPS_low_wk22_inoculum_d0_F,BPS_low_wk22_inoculum_d0_G,BPS_low_wk22_control_d2_A,BPS_low_wk22_control_d2_B,BPS_low_wk22_control_d2_C,BPS_low_wk22_control_d2_D,BPS_low_wk22_control_d2_E,BPS_low_wk22_control_d2_F,BPS_low_wk22_control_d2_G,BPS_low_wk22_bps_d2_A,BPS_low_wk22_bps_d2_B,BPS_low_wk22_bps_d2_C,BPS_low_wk22_bps_d2_D,BPS_low_wk22_bps_d2_E,BPS_low_wk22_bps_d2_F,BPS_low_wk22_bps_d2_G,BPS_low_wk22_control_d7_A,BPS_low_wk22_control_d7_B,BPS_low_wk22_control_d7_C,BPS_low_wk22_control_d7_D,BPS_low_wk22_control_d7_E,BPS_low_wk22_control_d7_F,BPS_low_wk22_control_d7_G,BPS_low_wk22_bps_d7_A,BPS_low_wk22_bps_d7_B,BPS_low_wk22_bps_d7_C,BPS_low_wk22_bps_d7_D,BPS_low_wk22_bps_d7_E,BPS_low_wk22_bps_d7_F,BPS_low_wk22_bps_d7_G,DINP_low_wk22_inoculum_d0_A,DINP_low_wk22_inoculum_d0_B,DINP_low_wk22_inoculum_d0_C,DINP_low_wk22_inoculum_d0_D,DINP_low_wk22_inoculum_d0_E,DINP_low_wk22_inoculum_d0_F,DINP_low_wk22_inoculum_d0_G,DINP_low_wk22_control_d2_A,DINP_low_wk22_control_d2_B,DINP_low_wk22_control_d2_C,DINP_low_wk22_control_d2_D,DINP_low_wk22_control_d2_E,DINP_low_wk22_control_d2_F,DINP_low_wk22_control_d2_G,DINP_low_wk22_dinp_d2_A,DINP_low_wk22_dinp_d2_B,DINP_low_wk22_dinp_d2_C,DINP_low_wk22_dinp_d2_D,DINP_low_wk22_dinp_d2_E,DINP_low_wk22_dinp_d2_F,DINP_low_wk22_dinp_d2_G,DINP_low_wk22_control_d7_A,DINP_low_wk22_control_d7_B,DINP_low_wk22_control_d7_C,DINP_low_wk22_control_d7_D,DINP_low_wk22_control_d7_E,DINP_low_wk22_control_d7_F,DINP_low_wk22_control_d7_G,DINP_low_wk22_dinp_d7_A,DINP_low_wk22_dinp_d7_B,DINP_low_wk22_dinp_d7_C,DINP_low_wk22_dinp_d7_D,DINP_low_wk22_dinp_d7_E,DINP_low_wk22_dinp_d7_F,DINP_low_wk22_dinp_d7_G,DINP_low_wk40_inoculum_d0_A,DINP_low_wk40_inoculum_d0_B,DINP_low_wk40_inoculum_d0_C,DINP_low_wk40_inoculum_d0_D,DINP_low_wk40_inoculum_d0_E,DINP_low_wk40_inoculum_d0_F,DINP_low_wk40_inoculum_d0_G,DINP_low_wk40_control_d2_A,DINP_low_wk40_control_d2_B,DINP_low_wk40_control_d2_C,DINP_low_wk40_control_d2_D,DINP_low_wk40_control_d2_E,DINP_low_wk40_control_d2_F,DINP_low_wk40_control_d2_G,DINP_low_wk40_dinp_d2_A,DINP_low_wk40_dinp_d2_B,DINP_low_wk40_dinp_d2_C,DINP_low_wk40_dinp_d2_D,DINP_low_wk40_dinp_d2_E,DINP_low_wk40_dinp_d2_F,DINP_low_wk40_dinp_d2_G,DINP_low_wk40_control_d7_A,DINP_low_wk40_control_d7_B,DINP_low_wk40_control_d7_C,DINP_low_wk40_control_d7_D,DINP_low_wk40_control_d7_E,DINP_low_wk40_control_d7_F,DINP_low_wk40_control_d7_G,DINP_low_wk40_dinp_d7_A,DINP_low_wk40_dinp_d7_B,DINP_low_wk40_dinp_d7_C,DINP_low_wk40_dinp_d7_D,DINP_low_wk40_dinp_d7_E,DINP_low_wk40_dinp_d7_F,DINP_low_wk40_dinp_d7_G
283.26441__8.623,2127103.77,2989907.073,6451543.141,11327055.3,6981166.795,7204067.418,8424113.141,8357555.031,7964843.251,7575902.943,7848101.158,19060485.26,72699450.74,55408152.92,46315818.84,55550293.25,51093229.47,46912751.64,45835554.69,44188941.38,45487444.33,48194807.28,48038412.2,44937047.28,46198805.66,45017156.82,44408025.32,47029583.08,45356481.07,46836907.11,49553802.05,46237614.29,47052582.31,47868112.84,49338412.49,47963692.71,47554860.67,51717691.45,45772496.33,48443395.23,46256641.21,48469547.36,47426951.61,47669951.01,46746731.98,42248401.71,44038498.84,44546153.78,44396038.69,44703625.33,45603351.75,47241299.23,43730325.1,46802979.85,46476117.79,46224809.38,47218648.79,46377501.12,49454595.88,47604454.48,47449147.05,47221436.5,47337196.29,47448375.81,49174558.93,50382770.62,46062753.74,46272342.92,47778951.57,48442161.95,48390358.09,50321357.69,51688395.6,50275307.6,48039357.99,44345956.15,48981556.88,40767681.72,38324788.96,36625748.75,40980559.12,27241518.65,39535772.55,14557835.86,35791561.9,35604997.68,38807191.12,10146063.2,18657698.67,38282621.42,41239428.68,46419636.3,44492111.88,43519302.84,14216942.99,47074404.16,36351303.26,41891563,28032218.28,48078087.54,44447267.19,42833248.72,42666486.78,28450472.9,26840293.03,47609429.31,46510204.8,44447122.84,45244683.38,45663266.56,50981979.08,50093712.72,27271344.15,41969182.03,27186461.86,39707166.93,38704234.36,37716603.62,45502589.87,29291805.4,41447112.38,29350513.39,40457937.18,42199686.5,37829498,42559577.93,42574887.43,41330177.52,45848687.09,43966716.51,45578476.76,44731176.67,44332766.84,44771179.5,43576391.52,49188722.04,45936233.12,47047351.4,49667567.51,50496209.33,47522428.82,46999006.18,43213818.12,49120906.17,47558150.78,48169945.96,47676052.14,30343477.53,42702978.02,40093479.79,46920524.42,42452682.26,40340234.32,40811821.9,42839133.34,44197271.7,40515974.44,42311461.8,30204093.19,41085225.3,40960989.95,48083942.05,46502756.95,45764792.03,46092291.55,42720630.78,40536499.59,45735696.49,46781054.65,41053667.37,42285991.76,41196110.72,42126603.89,40744285.55,42807823.8
283.26449__8.787,1150905.287,2856778.723,6476303.376,10780517.38,6925757.166,6964143.289,8294363.366,8004729.605,7925960.641,7746377.32,7618087.546,15214543.93,42479790.18,32485151.13,29218939.33,32240857.01,32157588.85,28635192.86,27038121.12,28001513.77,44274324.29,29877474.24,33409074.57,42208783.82,29834178.86,28542880.66,44766486.5,29788162.06,20371173.51,29059070.58,31108214.2,30854616.48,30705296.9,31582071.26,34430534.07,47565897.6,32219751.82,49609834.44,30032353.41,32671203.77,30634391.57,47678215.83,46639908.21,31702654.77,31704180.19,27906884.62,29472496.53,28851879.22,30076606.62,29657038.02,46154558,47546653.31,44409488.87,47330121.13,30697961.45,30632021.52,47880266.76,30421684.3,47855870,30171312.42,30825452.92,32397166.98,47671311.6,31000463.56,48996296.46,50943464.47,46428779.2,45846408.99,30336370.61,32555985.01,47893448.26,33637039.06,49373556.86,50123110.04,31313804.14,30012914.17,30392571.03,13110072.86,4703078.737,13566828.98,22880064.54,21870473.58,22674646.13,13778062.06,19100012.92,15979233.12,19068096.68,9190068.653,17669969.5,14643021.01,39001719.86,46220495.68,28389080.94,42740153.71,14071492.57,47262376.5,10611366.4,15109617.35,17370374.81,27723431.85,24649078.1,25322142.12,24093359.29,39862546.9,14100281.55,27884589.59,28920301.38,26542946.92,44814859.83,46310732.71,48897897.34,50626667,14513214.91,21060139.11,14948556.07,39972793.63,19616387.98,19077396.4,26361709.04,12952359.33,41401726.05,20710996.08,20799773.74,20485880.86,3811823.885,20638654.24,22141288.43,21400712.11,24378676.22,23995848.05,45705370.52,25036307.13,44174636.69,24218033.29,23233931.83,27704695.14,25184243.78,26456416.4,26046321.17,50477161.91,27709787.64,27567345.13,47247577.51,27650296.44,26954181.48,47160363.97,27517933.67,30556382.46,22778571.95,10930151.57,21198618.89,21890496.27,21065140.94,20477049.35,23344861.37,22208477.23,20752226.54,9698012.283,9385448.943,19452571.64,39895036.25,27711058.45,27526014.44,26671762.19,46756147.8,42191134.96,9232697.071,26522134.34,26322478.93,20355761.15,23065263.52,29864059.2,40623620.02,19957179.18,20639934.32
119.04899__6.691,2058172.481,3588752.441,2261588.972,685751.3019,317526.6008,424567.9234,440132.3023,6878122.273,11966182.63,7529400.265,784027.6512,2680470.532,3301759.712,8797141.473,6998283.843,17499094.52,7943879.483,713469.6813,3730404.448,5379995.827,8539773.648,4529840.356,21866021.67,19339644.78,3338375.276,10031017.77,5101806.969,14334765.05,8924356.985,16908612.08,17272434.51,1644861.37,5040739.913,7900492.619,4345095.517,2737154.569,2513902.4,2595327.398,670466.0386,1491785.142,385297.9835,3189878.2,16102157.34,16815698.79,15303587.8,580030.0723,4581091.858,449269.3496,3241663.803,17457275.31,8919636.139,12054353.75,883046.9956,1855923.072,98824.00651,1722236.438,5878520.702,12498012.63,9799490.451,2888883.351,3636496.408,715389.4643,2804159.414,14997490.15,11889583.32,10384724.18,2259414.837,3229605.124,1576717.533,94558.57943,1843304.039,1287735.171,96764.20796,1178264.464,435153.4019,1227458.399,131600.865,3713016.347,7518597.776,1170836.78,5866027.441,335919.875,5971169.92,1840813.663,2988638.831,10713640.27,1081784.074,6566005.931,560470.3708,18176666.1,2326820.138,1623196.514,3348003.956,5304322.628,3811701.512,1719129.661,21250931.56,873904.105,9860886.645,6457621.762,3102885.571,6088163.39,3989204.128,11341389.39,1021989.92,1896826.718,2601369.757,1358449.258,804958.9592,722935.9609,2175636.975,1199377.963,4238919.354,6698158.541,968855.1802,628049.4166,1711134.597,5539761.802,94027.80117,7929189.981,6471069.814,2499387.4,766233.1022,2413429.252,11655754.74,3044502.279,3740671.83,6604903.565,830439.1538,915663.0827,395578.4916,6466613.111,2374857.42,5807341.268,5479805.903,1381736.144,1160685.424,4026809.104,14006234.13,95825.16067,727625.6941,1815459.762,259918.6942,1400001.286,962048.7495,1446992.812,2202532.161,2492936.496,3925830.522,1883381.496,7375661.86,8701783.421,6506978.805,13461925.84,3799746.286,3184653.443,1663319.501,18713812.59,6235072.019,5781335.467,8463170.853,6655558.277,2017962.509,5990237.004,11629431.38,13451517.7,4460275.739,3642473.75,6363172.988,6428338.701,4111735.413,17719488.21,8124094.709,6589935.09,13184070.02
236.10528__8.401,28472741.99,7613264.388,8896623.517,28779110.81,12117861.36,10964181.77,21121263.7,15008344.98,9730131.932,9840777.076,13607284,13836981.54,12962555.62,13268315.4,12442517.13,10412543.59,15384995.56,15687755.92,12788319,12718731.58,15766812.01,13506586.04,8778736.511,19649417.9,12864164.34,27506452.83,13830041.68,12863206.76,15738648.3,11542074.65,11675354.33,10955748.64,9158364.463,34447470.37,15095773.09,12413256.71,14149411.04,18982839.45,14771270.85,12738938.39,13183440.97,17778737.29,10872118.33,8697570.796,11260528.2,17782554.49,15218815.9,13126296.08,18294867.18,8911444.638,12682627.93,17769261.34,12761187.6,9289937.982,11290408.92,9030449.581,7189818.481,15563781.44,7070292.482,6403880.996,11757021.56,8599380.811,11932009.16,7572473.468,10912571.16,10460628.1,11616410.38,15510906.79,10083940.21,2943466.378,9716345.148,7554784.491,9499708.903,7502576.332,7469233.389,10697256.38,8425280.073,17595630.71,7942197.772,8082736.578,11783205.06,7362506.142,10389627.32,9563871.701,6433765.864,5538044.468,14316696.8,5854200.612,9386052.579,13194264.27,6960148.229,10967022.14,9156209.847,9779699.761,11831260.19,10148103.39,8247337.319,8634255.834,6416565.947,10924731.95,15554400.06,13830028.91,8038874.843,9852879.971,12000748.09,7121818.083,12696714.48,9185344.838,17248104.76,9986555.271,6052273.43,14090301.17,10641461.69,11055107.88,8474756.722,6880930.111,14506152.16,6924102.665,3385418.464,13747332.13,6255784.473,12140819.77,10807056.29,14285937.76,9077706.125,10267970.35,16417608.7,12368731.25,9065149.164,18695528.15,4064746.403,6857317.586,5714773.104,6757520.103,7075338.928,6985075.014,7252230.164,6185493.785,8935105.584,3399418.884,8109913.181,9793894.978,8753063.127,10079148.31,7646634.633,9858276.728,8007039.584,8898549.48,7946537.931,5868634.628,9389758.855,9831160.483,7878245.615,8061059.755,6329797.625,6834224.816,8919634.97,9180342.714,5329927.376,17046432.93,7529382.613,6129229.125,5699674.006,9342652.427,8348978.55,13878838.85,14516443.62,14077912.31,9619938.325,7257981.798,6492901.368,11034769.27,6975921.319,6507219.156,5905243.359
389.12451__7.702,146216.0086,144451.2694,151716.4008,2231290.062,147707.7125,670067.5156,539997.5411,1080787.076,2249680.261,1066040.138,4881623.367,1573160.712,4690058.533,8616958.009,1062552.815,2464867.041,685547.6136,4190858.663,2547284.59,4348998.832,5215834.004,758619.0839,4067285.515,4643325.296,5909478.422,3624947.476,2459445.333,10237791.67,1810093.892,2705879.64,3306653.491,3020238.824,3186904.538,2943734.81,2532605.382,165444.0097,157215.5319,148575.6171,224054.7502,419639.8949,151672.6446,664515.3212,4390182.028,1008721.177,3241453.358,610157.8014,2465208.867,172514.329,1362925.879,2711709.789,903602.1037,973142.5148,519056.0033,1248197.42,163467.3627,256788.4526,878152.6941,1393191.042,966568.3066,568982.5104,1876410.152,163217.1827,673219.1396,2962679.033,1127194.052,882315.4244,453340.5455,2145819.697,415389.5497,157341.1058,150831.7728,152974.1583,159744.662,210141.7876,151299.916,152720.8026,146793.8277,1047340.482,2212143.703,196829.9839,914450.9248,363040.6866,2613176.897,824922.3112,816063.4836,2543061.159,190939.0653,2164771.051,239212.2787,9080013.522,1667405.636,154004.3273,606141.2007,1769753.847,1446347.871,562855.532,10372103.68,678620.5384,2718570.129,3185250.884,957174.2806,1682045.293,2211757.033,9633604.396,499070.9935,194548.567,159058.4391,233593.4757,306874.6677,168623.6476,256022.8697,168162.4807,837129.7731,2036940.695,540855.9329,407389.7141,1446095.886,633806.9873,168497.7225,1486476.712,2018499.291,714467.5591,479185.3441,1165777.043,2816217.137,1880060.018,1229660.414,2883695.357,695174.3763,977957.9397,155585.9028,2319042.558,1828744.492,1630209.807,2339648.076,267376.7081,578239.4238,1231292.763,3141376.647,162034.5696,160937.8616,157079.5693,162925.9389,152958.8676,147434.4403,266620.7624,230634.1318,160211.9722,993487.1958,168776.9747,1545240.757,1293383.214,1903022.055,4600150.078,205285.4281,547329.9259,517320.049,5492613.622,1362856.388,1310027.604,2793054.108,1436970.032,2617847.894,1277871.052,2154373.225,2642081.246,1730906.622,3373207.597,901769.16,2154425.818,1102212.212,5542129.719,1465254.368,3008796.085,3888807.601
301.16585__7.377,3631653.321,1166445.985,3699186.133,2577803.709,3211536.408,2498092.735,3436544.023,3583074.708,3499424.927,3496040.286,2464650.006,2879421.02,3650426.76,3408854.262,3584389.036,3674803.993,3951496.532,946318.3782,3083348.252,3517429.092,885107.5164,3661858.706,4037182.101,3688381.845,3928086.033,2676892.2,3682843.86,3642442.521,4006247.416,4048539.777,3926811.519,3375523.125,3702370.727,4064794.077,4170901.96,4056496.806,5930603.302,4046903.285,3987264.758,3771371.847,4115320.302,4007494.227,3864858.674,3989006.42,4218518.419,4107018.138,3471536.549,3636231.606,3941597.271,3934324.912,3812015.426,3832980.674,3619531.97,4028476.414,4097902.088,1162544.701,4166590.482,3759831.892,4155066.589,4389492.381,3516560.413,3919558.924,4119963.495,3681675.392,3924593.932,3893827.918,898385.4213,3717984.862,3550691.501,3888441.237,7546950.327,8909859.611,9632839.391,22156720.86,15413758.88,13747618.86,16620341.82,5923242.898,12040908.21,17973859.22,17950647.66,15284303.33,11676466.67,24206279.09,7052042.467,20391865.72,16595596.35,26619232.28,11805840.17,24527350.1,18463504.98,5282327.417,7828328.683,25282617.81,18264366.41,13224200.67,34285819.64,13993300.68,10135586.11,13061474.45,26256470.12,27311383.69,34349994.74,20687725.09,16648720.39,6280053.525,10736766.68,12336693.38,18281851.84,14197749.78,10537354.32,15418379.51,8066825.117,11819642.78,12332943.74,16074675.15,18884025.12,9217411.215,3650675.8,5194524.171,11587680.01,10400916.93,16968885.09,16753316.86,9911920.838,16499383.33,8678425.238,13133337.27,11236303.74,21048119.27,8553863.031,9961690.846,18272478.58,8467212.992,10566047.42,9961567.488,22908697.33,20256756.78,9741210.379,3504018.639,17489671.62,9725448.837,12798030.59,12348722.82,12461324.74,10736684.78,15548781.27,16821389.2,9758017.954,15691925.77,9689496.896,12458458.83,12262204.94,14969836.48,20855504.38,9022420.045,14365968.22,15988429.61,14989145.34,9387533.525,11070582.63,18346075.29,8626560.67,18102646.83,9802334.597,17292432.59,10716280.19,18870320.93,25336674.93,14419509.63,17686807.19,15810106.4,10664702.99,17118428.52,17386490.6
273.07709__7.917,817394.7363,496335.6789,548137.9706,202953.167,224640.0658,209547.7687,191497.1439,2357967.013,2697612.909,970617.5024,202074.6629,203091.1381,225984.0513,219369.6157,2359498.674,3737931.691,870226.4184,212918.047,208131.6319,206067.5299,197581.1989,572099.0086,2198072.832,751448.7481,189171.3242,205101.3049,222403.0382,203123.3966,750323.6394,915420.5087,1292889.283,215180.9184,213195.2648,205554.0485,848225.6625,16886305.49,3080072.828,5810439.869,272977.5505,258298.3727,203339.0488,429737.6595,4217973.804,183721.427,456630.28,672574.2479,205246.1512,319093.1314,296775.1785,1260580.431,191526.1091,192807.7757,962262.9487,211185.0871,185273.0067,186065.8068,196322.5964,190448.4591,624605.5693,201816.4134,224149.8893,215133.6352,216146.8369,195630.5719,182074.6356,197300.7229,218658.4639,227425.8133,200826.85,221137.9578,383710.5302,229407.7386,207460.0578,610959.4146,214227.3099,201876.3553,248825.8192,212758.7651,203434.016,186891.6195,400525.5607,199667.5157,196328.0325,363100.575,217611.1864,193904.0615,216924.3823,582986.9865,211019.7328,2961979.965,541635.0326,189618.2536,224740.288,207704.3167,185784.1323,225006.7949,179056.2792,224226.3291,202259.1976,234064.6842,218587.0733,525870.4916,316432.2757,1086895.929,218065.0521,296671.7464,1016022.345,205644.6972,198185.4677,216135.7403,367067.8995,211705.9291,198047.0761,186827.769,208187.7985,202539.7333,230586.0557,182996.0954,198644.3995,190864.2673,195923.7843,193104.1595,202216.6268,216128.7871,198181.4238,210725.3052,190836.7679,204093.9619,185095.9293,204180.0492,198611.1226,205928.6625,210869.7086,205972.7432,204526.615,166551.3565,236295.4206,228895.1977,208462.7977,229620.4453,210170.6099,189661.9849,280917.1779,597193.7356,552427.2775,778269.5878,1732956.089,457324.1178,452946.3074,405581.6508,222521.4555,181790.4633,188873.1731,241147.51,1671113.165,540193.7948,869971.0913,1038561.188,184279.5098,195227.0997,457893.6558,649257.3687,185438.6637,357982.3943,198120.4839,216251.6712,202813.9788,220174.9146,1083761.53,189773.6033,733980.648,190519.0458,188625.6325,201122.5035,187057.6338
117.01808__1.854,25408725.68,29478837.94,72862927.5,22706209.11,11760476.63,14904371.83,33508544.7,21332086.68,63682712.18,19037756.94,17916274.51,19679377.07,23273378.42,91227901.06,27081724.02,121292501.3,17389161.97,16892572.6,10963029.09,13970808,85352039.62,16102337.37,15351853.57,17717598.07,14451889.1,29328329.76,15433853.63,17124981.24,9936342.268,9741477.406,17206574.87,9018554.883,17360146.55,11635150.48,13117073.02,29480107.76,18319392.95,54899130.16,24285916.44,66520017.93,15248917.9,95409440.15,381136592.5,19086345.59,170618976.9,13193491.4,15729320.61,13310509.96,23763090.36,45978327.52,18866614.91,36343676.83,5685733.406,5222776.783,9252578.528,11997368.38,8869239.425,7809484.444,10257408.2,12676300.16,14906553.71,9244417.109,11802432.06,9377079.572,9686421.441,8138215.045,11165892.58,15084791.67,5718522.781,9193605.971,48613357.72,41228878.46,11012669.92,11736536.94,13091009.18,54573898.72,10154454.59,8806109.151,7095411.494,18026212.79,9435713.568,10231365.74,14991108.33,5171425.457,8554963.267,13883378.85,14974468.79,9266736.007,5329318.355,8474594.698,9371257.54,8777796.324,7502122.064,12685170.46,14337841.86,10344112.39,18407685.75,15571837.57,12112025.95,7010656.642,14182737.67,8390104.412,8157391.664,12227936.26,10020324.8,56205194.39,80651015.78,28994941.74,26139867.09,23325658.77,87096954.13,43604983.66,14994765.18,8156985.822,6601795.727,7439665.379,6828532.025,10497866.19,6570185.27,8242851.179,5647381.209,7147265.853,8875130.82,7874236.818,8468872.985,7354335.785,32269718.71,17975302.83,19751724.79,8952732.188,4017549.276,9554838.917,6888164.432,15786102.5,14208367.16,8146846.247,7580812.459,6851784.953,7889101.882,6429634.402,42159096.04,85129621.16,23469788,56218844.62,45994967.01,50385689.82,67949911,8466555.678,8876178.839,8370451.978,7003794.475,6924228.381,8959958.516,7779682.027,7577862.788,5924806.11,7949860.788,7438051.535,17601683.17,6788241.326,23019651.53,5859902.414,7046994.373,6432644.276,5549853.768,7171697.957,4631799.634,8813858.172,10398521,20053340.91,5851446.287,10373328.83,7517985.694,7467932.872,8099293.472
94.97948__1.222,26098047.24,14821954.62,9145887.858,14167264.97,26421930.68,17218664.24,8263320.912,24071857.26,11099712.19,16230141.54,18401413.43,20670215.55,22954450.19,28239909.87,19269854.61,12869191.2,6135175.327,25918065.69,27101275.91,23441826.84,24650785.61,13291557.57,61390388.56,28208821.76,6942607.227,11318312.05,7123788.093,14472614.26,76495147.84,11886215.77,21732238.62,7971661.948,8566767.635,8735143.555,2616831.592,6066726.499,7306547.155,17187422.02,13612723.9,6921041.037,8412851.479,7977097.411,16731217.05,11231591.12,16061104.62,18385976.5,17251131.09,18680661.42,7811738.063,15328761.27,25978793.6,11000253.06,12376072.29,12048913.76,2567441.537,2592499.99,3199156.079,7131861.295,3480316.373,19698657.37,19300893.44,38777540.52,6397800.07,32899739.03,2025138.988,3686973.552,24991967.11,25300377.92,29515090.61,573763.4933,12010426.64,1529036.13,3350620.121,22681331.63,4408683.257,2104906.26,5948380.599,12983617.52,28382972.17,23825146.95,15750670.89,10965445.61,7052148.962,14474711.18,10289105.7,31028074.72,19962037.85,31203295.82,7959329.174,34503646.38,8268623.965,1606232.677,2409889.168,22684064.49,36948384.07,5196934.092,66015054.77,14159894.19,20246008.48,10005061.72,42307867.7,20638988.49,9763949.808,54912343.23,19277844.97,11096063.81,29402237.2,38136414.24,23119499.5,15612722.88,39401469.87,44964976.31,25124494.65,49646310.43,28393634.88,16292209.7,25671281.24,45771527.12,661606.0431,12685552.97,23672471.49,7311172.567,21450379.1,19928496.87,16806465.17,24950347.1,34683367.71,20777369.83,12199660.17,13758311.52,4659188.026,28054220.97,44114549.55,29594172.29,19538479.32,13871116.93,28800780.49,24642757.54,96040678.76,618603.7261,6385902.407,12817985.22,14375108.21,13781418.58,31581796.21,30755985.02,34080461.22,7361594.043,8866599.458,11885732.11,21233872.1,15270632.08,14360512.12,16277973.72,5739378.139,3627773.132,9902825.236,13626224.22,12140948.7,18322099.68,8358595.358,21396833.15,3157330.788,38739624.99,3903815.239,61073894.96,15691935.38,18755534.34,11154486.85,45924186.73,21297562.94,38416623.05,61392370.62,19824129.82,45729272.63
316.94788__1.047,565202288.6,546321740.9,566008183.6,570479640.6,555395888.1,573533315.7,584934788.8,557408964.7,575827428.2,588102393.9,564336339.4,554985972.7,526191131.7,542407409.5,570071514.2,560175401.5,589238931.4,562256004.4,554249520.7,555645014.2,524095799.9,599635078.5,534027031.3,555501928.4,586833460,553228166,565037685.2,529352808.3,570010853.6,570544355.2,570679430.4,566952208.5,560995657,566363221.4,578208622.4,595764364.4,589806295,580538336.8,542124184.7,565478413.7,570034748.8,605664853.4,547299493.4,588091285.9,571344825,581918395.4,571440924.4,588076427.2,582894453.2,601915913.6,578721927,566912648,582363214.5,564157391.4,448653517.6,433710576.8,471841085.6,575387695.3,569588303.7,592613431.1,573692077.1,578939379.2,602164282.6,567645108.3,517205046.2,498969153.6,582287418.6,593442525.5,545092410.6,359501.1489,567835546.8,521983373.7,568553431.8,535165257.5,575952997.3,526687785.7,556101697.8,570134676.2,588012546.4,554300823.2,575658187,568990758.8,594599942.2,540577790.5,561204240.9,537708099.2,569955090,529619538.2,575905029,538282359.7,555630896.8,511587175.4,515349434.9,527728039.4,577150802.1,584907971.3,511718089.4,511395039.5,527777361,546442574.3,519844359.9,511349539.7,497458097.3,552942244.7,543755639.1,585531739.4,565069914.9,568511651.7,552684910.1,584611923,565115591.5,546098499.7,564811387,556953718.9,592056409.8,574625158.5,572490574.8,588136662.9,297807.1865,584221494.3,574008910.2,578303449.3,572664780.9,578948799.6,565209710,576589650.3,568313375.6,574337240.4,581939074.4,573791935.6,323846334.5,544731212.9,570079494.1,554579834.4,591533737,570629616.9,546839495.5,545407962.8,575606303,1118050.514,546523500.7,566278240.9,558962605.1,553918251.7,552403731.4,543045638.7,545217818.4,551329706.7,575385043.1,583482811.5,577640502.7,558939361.5,583022066.3,570957076.6,569087772.2,566384442.3,584069297.1,566043225.3,553744029.8,568717021.3,554434123.5,567140365.5,585987013.7,570759998.5,573062264.2,538791544.2,572177956.8,536963539.1,574019319.6,543611269.7,571866431.1,534984124.9,570979835.9,537474107.3,552476211.5
