sample,ASV001,ASV002,ASV003,ASV004,ASV005,ASV006,ASV007,ASV008,ASV009,ASV010,ASV011,ASV012,ASV013,ASV014,ASV015,ASV016,ASV017,ASV018,ASV019,ASV020,ASV021,ASV022,ASV023,ASV024,ASV025,ASV027,ASV028,ASV029,ASV030,ASV031,ASV032,ASV033,ASV034,ASV035,ASV036,ASV037,ASV038,ASV039,ASV040,ASV041,ASV042,ASV043,ASV044,ASV045,ASV046,ASV048,ASV049,ASV050,ASV051,ASV052,ASV054,ASV055,ASV056,ASV058,ASV059,ASV061,ASV062,ASV063,ASV064,ASV065,ASV066,ASV067,ASV068,ASV069,ASV070,ASV071,ASV072,ASV073,ASV075,ASV076,ASV077,ASV078,ASV079,ASV080,ASV081,ASV082,ASV083,ASV084,ASV085,ASV086,ASV087,ASV090,ASV091,ASV092,ASV093,ASV095,ASV097,ASV098,ASV099,ASV102,ASV103,ASV104,ASV108,ASV110,ASV111,ASV112,ASV114,ASV117,ASV126,ASV127,ASV136
DINP_high_wk22_inoculum_d0_A,0.003330787,0.514242067,0.121669791,0,0.093979585,1.06474e-4,0.119160706,0.011087193,4.93021e-4,0.004173321,0.00297896,0.001115663,0.043307178,0,1.96746e-4,0.001941995,0.002356318,0.020595792,5.37e-4,0.006224105,0.001638775,0.001594797,6.24957e-4,0,2.06004e-4,5.20797e-4,0.001654978,3.58771e-4,2.40724e-4,0,0.001576279,0,9.95e-5,0.00163646,0.001245284,0.001745249,0.002092447,2.40724e-4,0,0.002916464,0.001414254,3.47e-5,1.43509e-4,0.005636183,0.005974122,4.18952e-4,0.006913872,0,0,0.004339976,0,4.99965e-4,2.52297e-4,0,2.3378e-4,0.003566882,6.48e-5,0.001226767,7.86982e-4,0,1.87487e-4,3.00905e-4,5.09e-5,1.50453e-4,5.60146e-4,2.08e-5,2.3378e-4,0,8.8e-5,0,0,0,0,0,1.27306e-4,1.22677e-4,3.24e-5,0,0,0,0,0,0,0,6.13383e-4,0,0,0,0,1.39e-5,0,0,0,3.24e-5,0,0,2.78e-5,0,0,0,0
DINP_high_wk22_inoculum_d0_B,5.25045e-4,0.539586932,0.071465023,0.003486398,0.111260501,9.08e-5,0.144662205,0.010635844,7.92475e-4,0.0036287,0.001582496,7.82661e-4,0.028188054,0,2.03639e-4,0.00105009,0.001707623,0.028573251,2.60069e-4,0.00550316,0.002078099,0.002389691,4.17092e-4,0,1.25128e-4,3.8765e-4,0.001898995,2.91964e-4,0.001687996,0,0.00308648,1.47e-5,1.30035e-4,0.001928437,0.00291719,0.003287666,0.001837658,8.04742e-4,1.23e-5,8.43998e-4,8.68533e-4,4.91e-5,9.32e-5,0.005746055,0.006788785,3.8765e-4,0.001116334,0,0,0.001224288,0,3.2386e-4,1.6929e-4,0,1.66837e-4,9.3723e-4,6.13e-5,7.31138e-4,5.59394e-4,9.57e-5,1.37395e-4,5.05417e-4,5.64e-5,1.52116e-4,4.24452e-4,1.96e-5,1.44755e-4,4.9099999999999996e-06,9.32e-5,0,0,0,0,0,1.37395e-4,1.84011e-4,3.43e-5,0,2.62523e-4,2.7e-5,2.21e-5,2.7e-5,0,1.96e-5,1.84011e-4,0,0,0,0,0,5.64e-5,0,0,3.68e-5,0,0,2.45e-5,0,0,0,0
DINP_high_wk22_inoculum_d0_C,0.001739091,0.246373757,0.086016001,0.012206262,0.083212877,1.95742e-4,0.206801277,0.012841168,0.004338945,0.013521246,0.002363959,0.002346393,0.114483894,0,4.36655e-4,0.005252407,0.003287459,0.076223889,9.56124e-4,0.018098594,0.003852099,0.00241415,0.0021079890000000002,1.68137e-4,1.88213e-4,4.29126e-4,0.011159796,3.88974e-4,1.95742e-4,0,0.004441835,4.27e-5,2.30875e-4,0.00697895,0.003648829,0.010690517,0.007548609,0.002293693,0,0.002481906,0.002025175,7.78e-5,9.10953e-4,0.015787334,0.012412042,2.86084e-4,0.001909738,0,9.79e-5,0.00123217,0,5.69659e-4,3.81446e-4,0,7.50344e-4,8.40686e-4,5.39545e-4,0.001136809,0.001555897,1.80685e-4,7.2023e-4,0.004298792,2.08289e-4,2.0327e-4,0.001390269,1.0289e-4,5.44564e-4,0,1.70647e-4,0,0,0,2.26e-5,0,8.28e-5,0.001021371,7.53e-5,0,0,6.52e-5,4.52e-5,2.01e-5,0,2.18327e-4,1.58099e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DINP_high_wk22_inoculum_d0_D,2.56992e-4,0.366404867,0.103418254,0.014443993,0.052009388,0,0.156712602,0.005139838,0.007888077,0.007909056,0.003870612,0.003065546,0.10029239400000001,0.004025332,1.28496e-4,0.003671313,0.010982469,0.037510326,1.73076e-4,0.02385042,0.003631977,0.002567296,0.003590019,8.33912e-4,0.001767475,1.75699e-4,0.005268334,2.85838e-4,0.011855717,0,0.004229877,4.09089e-4,1.57342e-4,0.024123146,0.005624975,0.003639844,0,2.36e-5,1.57e-5,0.002315549,0.005105747,3.12062e-4,0.002202788,0.006083889,0.001670447,5.84788e-4,2.75348e-4,1.80943e-4,0,0,0,7.78843e-4,8.10311e-4,3.67e-5,1.36363e-4,0,7.08e-5,0.001494749,0,8.65e-5,0,0.004484246,1.65209e-4,3.46152e-4,0,2.62e-5,8.10311e-4,0,0,0,4.01222e-4,0,0,6.8706e-4,1.15384e-4,1.31e-5,1.78321e-4,2.07167e-4,0,0,5.24e-5,0,0,2.36013e-4,0,0,3.93e-5,0,3.41e-5,0,0,1.57e-5,0,0,0,0,1.57e-5,0,0,0,0
DINP_high_wk22_inoculum_d0_E,1.0932e-4,0.251579546,0.175361314,0.015786767,0.085254504,0,0.113056506,0.004347945,0.004412543,0.009339386,0.00542872,0.00234789,0.140846085,0.005878422,2.11186e-4,0.002328014,0.019294937,0.041770086,1.76402e-4,0.018204224,0.005070946,0.002074591,0.003552892,8.69589e-4,6.06228e-4,1.21742e-4,0.005644875,1.98763e-4,0.017006676,0,0.006387752,3.08083e-4,1.14289e-4,0.023175789,0.002042292,0.004231172,0,0,0,0.002129251,0.012571772,3.18021e-4,0.002208756,0.005674689,0.002392612,6.90702e-4,2.78268e-4,2.11186e-4,0,0,0,0.001416188,6.33558e-4,0,0,0,1.0932e-4,2.98145e-4,0,9.44e-5,0,7.23001e-4,1.34165e-4,2.21124e-4,0,1.16773e-4,0.001003754,0,0,0,3.62743e-4,0,0,2.48454e-4,5.96e-5,0,1.78887e-4,4.00011e-4,0,0,2.98e-5,0,0,1.93794e-4,0,0,4.97e-6,2.73e-5,4.47e-5,0,0,0,0,0,0,0,0,0,0,0,0
DINP_high_wk22_inoculum_d0_F,2.56665e-4,0.362585415,0.26994833,0.031275246,0.071460129,0,0.136564646,0.005002861,0.001546301,0.003645903,0.008976959,0.001912364,0.032022098,0.007394894,3.0926e-4,5.25953e-4,0.009597583,0.016205652,3.30298e-4,0.005676081,0.001394826,0.002798068,0.001140265,1.07294e-4,0.001201276,1.34644e-4,0.001619934,1.1571e-4,0.005585617,1.05e-5,0.001443214,8.84e-5,1.30436e-4,0.005697119,8.98327e-4,4.67046e-4,0,1.68e-5,0,3.89205e-4,0.001182341,3.95516e-4,0.002017554,0.001386411,0.002720227,1.61993e-4,2.37731e-4,2.10381e-4,0,0,0,1.72512e-4,6.14313e-4,8.42e-6,2.12485e-4,0,0,1.78824e-4,0,0,0,6.37455e-4,4.84e-5,3.76582e-4,0,2.31e-5,2.0407e-4,0,0,0,1.55682e-4,2.31e-5,0,5.05e-5,7.99e-5,0,3.58e-5,5.89e-5,0,2.31e-5,1.68e-5,0,0,1.26e-5,0,0,2.1e-6,0,5.26e-5,0,0,0,0,0,1.19917e-4,0,9.68e-5,0,0,8.42e-6,0
DINP_high_wk22_inoculum_d0_G,0,0.208870966,0.237018646,0.018001898,0.108995782,0,0.159615923,0.004035471,0.002175456,0.007146373,0.005903644,0.001979665,0.108585165,0.010200169,2.61055e-4,0.001305274,0.011807287,0.029012425,2.17546e-4,0.012400099,0.002251597,0.003510642,0.002928708,3.86143e-4,2.58335e-4,9.79e-5,0.004859425,2.8009e-4,0.0123158,0,0.002849847,2.31142e-4,1.14211e-4,0.013166947,0.001017026,0.003820645,0,3.81e-5,1.36e-5,0.001133956,0.008364628,2.20265e-4,0.002463704,0.003132657,0.003244149,2.74651e-4,5.54741e-4,3.5895e-4,0,0,0,0.001008868,0.001093167,0,0,0,0,4.35e-5,0,9.52e-5,0,5.57461e-4,8.97e-5,1.22369e-4,0,1.25089e-4,6.25444e-4,0,0,0,1.30527e-4,0,0,1.03334e-4,5.44e-5,0,1.03334e-4,2.44739e-4,0,0,3.81e-5,0,0,8.43e-5,0,0,0,3.54e-5,0,0,0,0,0,0,1.09e-5,0,1.36e-5,0,0,0,0
DINP_high_wk22_control_d2_A,8.27444e-4,0.443542561,0.110270057,0.008649416,0.128238844,0.068085404,0.047419299,0.043927035,3.74975e-4,0.028785557,0.002947301,0.004694683,0.008789407,0,0.005902102,0.004157219,0.007516993,0.010631782,9.32437e-4,0.003089791,2.82481e-4,0.010334302,0.008089454,7e-5,0.003094791,0.001239916,0.010029323,5.77461e-4,0,0,1.82488e-4,8.9494e-4,4.72468e-4,7.89947e-4,0.002787312,2.17485e-4,5.49963e-4,4.62469e-4,0,0.001249916,3.67475e-4,0,2.19985e-4,0.001324911,0.007609486,6.92453e-4,0.00815195,0,0.003504763,0.001757381,0,0.001592393,8e-5,0,2e-5,9.57435e-4,0,0.001239916,5.37464e-4,0,6.25e-5,1.5249e-4,7e-5,8.9494e-4,1.62489e-4,0,8e-5,0,3.75e-5,0,0,0,3e-5,0,8.75e-5,1e-5,0,0,0,4.5e-5,0,2.25e-5,0,0,1.02493e-4,0,0,0,0,1.5e-5,0,0,1.5e-5,2.5e-5,0,0,0,7.5e-6,0,0,0
DINP_high_wk22_control_d2_B,1.66271e-4,0.442358691,0.065190854,0.008900759,0.122038693,0.03690374,0.059535536,0.087873163,3.70426e-4,0.02911426,0.001285969,0.013444798,0.014290886,0,0.006985486,0.006486673,0.011150679,0.023284252,0.001231247,0.004158879,0.001037615,0.008079928,0.006130979,8.42e-5,0.002555101,0.003194929,0.006078362,0.002289909,2.79925e-4,0,0.001847923,0.00246039,5.30383e-4,3.99892e-4,0.003733731,6.48246e-4,0.001311226,5.36697e-4,0,2.39935e-4,4.56719e-4,2.44145e-4,3.30437e-4,0.002624556,0.011422185,3.28333e-4,0.001399623,0,5.53535e-4,0.001955263,0,2.90448e-4,1.07339e-4,0,4.63e-5,3.97788e-4,2.74e-5,6.84026e-4,3.91473e-4,0,4.23044e-4,1.95737e-4,7.37e-5,0.001033406,1.19968e-4,2.74e-5,4.84e-5,0,4.84e-5,0,0,0,0,0,1.07339e-4,1.47e-5,3.79e-5,0,9.68e-5,1.68e-5,0,3.58e-5,0,0,2.53e-5,7.37e-5,0,0,0,0,4.21e-5,0,0,6.52e-5,0,2.1e-5,0,2.1e-5,0,0,0
DINP_high_wk22_control_d2_C,4.94494e-4,0.197023722,0.067424152,0.03422431,0.108342979,0.035838622,0.098353313,0.078298586,5.43278e-4,0.055259155,0.001620965,0.038235698,0.058784919,0,0.00658808,0.010734734,0.015398057,0.050504916,0.00216646,0.011444322,0.001419176,0.007175707,0.018928256,0.001306085,0.002374902,0.005270907,0.014295978,0.004199873,0,0,0.001578833,0.012051906,0.001246214,0.00117082,0.005763184,0.00279622,0.003377195,3.50359e-4,0,7.20675e-4,0.001762882,9.0029e-4,6.51934e-4,0.006321984,0.017313944,6.40847e-4,0.004714324,0,0.00174736,0.003519112,0,4.72319e-4,4.1023e-4,0,2.01789e-4,5.36626e-4,1.70745e-4,0.001035555,7.05153e-4,1.35265e-4,3.0601e-4,1.99572e-4,1.06438e-4,0.001230691,5.80975e-4,0,2.35051e-4,0,1.44135e-4,0,0,1.11e-5,2e-5,0,5.77e-5,4.43e-5,6.87e-5,0,0,6.87e-5,0,8.2e-5,0,0,5.32e-5,2.22e-6,1.4857e-4,4.88e-5,0,3.1e-5,0,0,0,0,0,0,0,0,0,0,0
