sample,ko00010,ko00020,ko00030,ko00040,ko00051,ko00052,ko00053,ko00061,ko00071,ko00072,ko00100,ko00120,ko00121,ko00130,ko00140,ko00190,ko00195,ko00220,ko00230,ko00240,ko00250,ko00260,ko00261,ko00270,ko00280,ko00281,ko00290,ko00300,ko00310,ko00311,ko00330,ko00332,ko00333,ko00340,ko00350,ko00360,ko00361,ko00362,ko00364,ko00380,ko00400,ko00401,ko00405,ko00410,ko00430,ko00440,ko00450,ko00460,ko00471,ko00472,ko00473,ko00480,ko00500,ko00511,ko00513,ko00514,ko00515,ko00520,ko00521,ko00523,ko00524,ko00525,ko00531,ko00540,ko00550,ko00561,ko00562,ko00564,ko00565,ko00571,ko00592,ko00600,ko00603,ko00604,ko00620,ko00621,ko00622,ko00623,ko00624,ko00625,ko00626,ko00627,ko00630,ko00633,ko00640,ko00642,ko00643,ko00650,ko00660,ko00670,ko00680,ko00710,ko00720,ko00730,ko00740,ko00750,ko00760,ko00770,ko00780,ko00785,ko00790,ko00791,ko00830,ko00860,ko00900,ko00903,ko00906,ko00908,ko00909,ko00910,ko00920,ko00930,ko00940,ko00944,ko00950,ko00960,ko00966,ko00970,ko00980,ko00981,ko00982,ko00983,ko01040,ko01051,ko01053,ko01054,ko01055,ko01062,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01212,ko01220,ko01230,ko01501,ko01502,ko01503,ko01523,ko01524,ko02010,ko02020,ko02024,ko02025,ko02026,ko02030,ko02040,ko02060,ko03008,ko03010,ko03013,ko03018,ko03020,ko03022,ko03030,ko03050,ko03060,ko03070,ko03320,ko03410,ko03420,ko03430,ko03440,ko04011,ko04013,ko04016,ko04022,ko04024,ko04066,ko04068,ko04070,ko04072,ko04080,ko04112,ko04113,ko04122,ko04138,ko04141,ko04142,ko04146,ko04151,ko04152,ko04211,ko04212,ko04213,ko04214,ko04216,ko04217,ko04260,ko04261,ko04612,ko04614,ko04621,ko04622,ko04626,ko04657,ko04659,ko04714,ko04724,ko04727,ko04910,ko04911,ko04914,ko04915,ko04917,ko04918,ko04919,ko04920,ko04922,ko04925,ko04930,ko04931,ko04934,ko04940,ko04960,ko04961,ko04964,ko04970,ko04971,ko04972,ko04973,ko04974,ko04976,ko04978,ko04979,ko05010,ko05014,ko05016,ko05100,ko05110,ko05111,ko05120,ko05132,ko05133,ko05134,ko05143,ko05146,ko05150,ko05152,ko05165,ko05166,ko05200,ko05203,ko05204,ko05205,ko05206,ko05211,ko05215,ko05219,ko05225,ko05230,ko05231,ko05340,ko05418
BPS_high_wk22_inoculum_d0_A,21404,3915,6926,1242,14127,13589,247,1506,2261,770,12,1123,1123,1417,124,7211,3209,1509,20811,18490,7026,5123,1253,6511,2612,388,649,4118,864,1024,1943,39,917,243,2294,496,19,2101,5,479,1198,482,35,128,1579,293,2252,1969,1603,4,1594,2789,28737,1247,362,4,4,25458,2580,1255,906,608,635,620,10190,4746,1220,6218,12,12,385,1248,848,362,10533,393,412,16,4,1457,1405,1209,3853,158,4538,385,18,3864,885,3197,6940,5475,6003,3811,5267,625,3920,2777,1047,76,1578,9,972,1686,5409,49,12,401,23,1057,1961,82,833,173,420,455,20,11258,972,44,972,3616,906,110,20,382,693,12,136914,48332,36213,36722,20130,1739,1891,2864,17768,6589,2922,3285,1236,1913,76897,32583,29787,1598,3976,862,149,44700,435,22794,797,6557,2423,4,7020,0,5214,5349,70,4395,3831,8878,8996,16,15,1943,416,416,1512,47,420,4,4,4239,1,2048,4,412,707,520,35,432,31,1345,1219,19,373,915,416,416,19,4,682,38,421,19,19,8,818,829,51,416,19,19,427,1222,427,24,2650,416,401,425,381,412,416,416,829,416,416,416,428,424,416,416,4,404,16,15,5,72,6394,39,20,45,909,4,74,1623,1205,401,4,620,401,5,435,630,381,19,8,220,2657,16,874,914
BPS_high_wk22_inoculum_d0_B,21575,3849,6981,1256,14239,13666,247,1476,2277,782,5,1144,1144,1382,64,7149,3220,1453,20879,18597,7038,5070,1242,6479,2586,394,594,4088,862,1032,1919,29,899,204,2272,476,23,2130,7,467,1064,456,15,103,1595,263,2233,1997,1610,6,1595,2822,29104,1105,299,6,6,25630,2576,1252,910,601,538,512,10237,4805,1225,6225,5,5,391,1138,785,299,10570,403,415,12,6,1473,1416,1233,3740,135,4541,391,17,3866,866,3177,6962,5512,5994,3804,5298,601,3928,2712,983,57,1514,12,975,1585,5419,53,5,402,10,1042,1930,89,847,176,416,442,17,11299,975,47,975,3639,886,116,13,387,691,5,136437,47834,36149,36388,20064,1639,1867,2899,17494,6483,2954,3201,1222,1920,77827,32995,29898,1576,4008,894,204,45344,437,22879,797,6518,2437,4,7071,0,5214,5322,72,4403,3848,8966,9066,9,8,1938,422,422,1505,29,416,6,4,4261,1,2042,6,407,618,512,26,424,17,1341,1213,12,384,903,422,422,15,2,680,39,430,15,15,10,817,822,37,422,15,15,436,1241,427,21,2659,422,402,425,387,407,422,422,832,422,422,422,428,426,422,422,4,405,9,8,5,73,6386,32,17,41,895,2,77,1647,1209,402,4,618,402,6,437,652,387,15,10,216,2658,11,887,902
BPS_high_wk22_inoculum_d0_D,18707,4669,6375,1309,12442,12442,223,1997,2018,597,77,879,879,1779,756,7782,3053,2266,19656,17146,7005,5846,1390,7111,2818,299,1457,4430,871,865,2240,164,1113,963,2458,705,10,1852,5,562,2767,782,231,433,1364,610,2454,1749,1529,5,1514,2279,23586,2721,961,5,5,22460,2549,1247,843,676,1561,1764,9576,4097,1218,5973,77,77,299,2416,1484,961,10166,309,386,82,5,1261,1224,939,5176,395,4654,299,0,3887,1178,3358,6760,5026,6285,3931,4651,921,3723,3520,1750,258,2230,10,893,2681,5231,37,77,381,154,1292,2419,70,793,136,463,628,87,10617,893,32,893,3296,1108,162,77,299,675,77,141868,54260,37254,40720,20899,3210,2296,2575,21712,7554,2848,4085,1348,1763,68124,30497,28599,1946,3750,914,241,34709,408,21473,757,6816,2236,0,6490,0,5237,5991,125,4246,3698,8020,8240,77,77,1917,326,326,1509,236,463,5,0,4190,0,2064,5,458,1569,600,164,545,154,1389,1215,77,287,1128,326,326,82,26,741,27,401,82,82,5,849,926,247,326,82,82,331,950,403,87,2471,326,381,473,299,458,326,326,789,326,326,326,403,377,326,326,0,381,77,77,0,54,6253,170,87,180,1053,26,59,1249,1143,381,0,621,381,5,408,726,299,82,5,240,2543,82,679,1058
BPS_high_wk22_inoculum_d0_E,19440,4315,6692,1445,12981,12766,229,1898,2093,650,39,987,987,1582,422,7421,3101,1996,19917,17661,7081,5599,1336,7009,2668,325,1204,4261,860,896,2130,120,1020,816,2320,605,42,2018,21,493,2066,644,118,310,1441,442,2362,1921,1561,21,1499,2420,25319,1924,601,21,21,23152,2507,1224,859,632,1001,1164,9789,4417,1269,5969,39,39,325,1799,1126,601,10392,366,406,60,21,1343,1272,1067,4586,267,4716,325,0,3908,1092,3226,6889,5205,6285,3897,4749,796,3741,3167,1418,148,1879,42,897,2102,5265,71,39,385,79,1231,2296,121,895,148,445,566,81,10772,897,50,897,3396,999,223,39,325,661,39,139210,51645,37055,39004,20569,2746,2223,2792,20431,6934,3076,3602,1260,1785,73506,33301,29189,1854,3953,1196,705,37606,415,21789,749,6545,2301,0,6756,0,5229,5907,152,4266,3791,8498,8603,39,39,1864,354,354,1449,139,445,21,0,4344,0,2025,21,424,1054,564,120,505,79,1364,1174,39,358,1082,354,354,60,13,733,30,468,60,60,21,851,890,181,354,60,60,375,1034,394,81,2496,354,385,487,325,424,354,354,800,354,354,354,394,381,354,354,0,385,39,39,0,59,6153,141,81,183,968,13,80,1359,1155,385,0,602,385,21,415,915,325,60,21,217,2515,60,738,989
BPS_high_wk22_inoculum_d0_F,18091,4869,6227,1304,12073,12168,230,2120,1964,557,95,815,815,1879,925,7946,3011,2452,19393,16798,6977,6023,1422,7251,2889,279,1644,4514,876,829,2321,196,1167,1117,2512,767,6,1777,3,593,3172,860,285,513,1312,697,2514,1678,1507,3,1499,2160,22367,3118,1128,3,3,21809,2549,1249,828,696,1819,2067,9421,3927,1212,5925,95,95,278,2724,1655,1128,10079,284,379,98,3,1214,1183,869,5517,459,4680,278,1,3890,1244,3405,6700,4907,6340,3956,4513,995,3684,3715,1940,311,2412,5,876,2953,5190,31,95,376,190,1349,2531,59,768,126,474,670,100,10462,876,28,876,3217,1164,162,96,278,674,95,143210,55768,37523,41753,21111,3550,2399,2487,22646,7835,2793,4313,1382,1729,65626,29648,28269,2020,3671,875,180,32470,401,21146,750,6899,2186,0,6339,0,5235,6111,131,4210,3655,7771,8029,95,95,1920,303,303,1519,288,474,3,0,4151,0,2074,3,471,1809,623,196,572,191,1400,1221,96,262,1174,303,303,98,32,751,25,387,98,98,3,852,947,293,303,98,98,306,885,399,101,2431,303,376,479,278,471,303,303,777,303,303,303,399,367,303,303,0,376,95,95,0,51,6235,198,100,203,1091,32,53,1165,1128,376,0,623,376,3,401,710,278,98,3,247,2524,98,632,1093
BPS_high_wk22_inoculum_d0_G,18303,4166,7040,2004,12708,12259,287,2314,2038,592,1,1006,1006,1413,151,6984,3028,2118,19212,17483,7236,5757,1328,7533,2499,297,1421,4111,840,781,2204,147,989,1269,2087,594,147,2217,73,400,1848,592,2,323,1404,311,2373,2182,1550,73,1332,2201,24312,1225,195,73,73,21570,2327,1137,820,578,359,670,9636,4624,1447,5606,1,1,296,1274,763,195,10751,441,443,73,73,1371,1198,1134,4399,156,5160,296,2,4021,1178,2977,7037,5162,6672,3918,4206,771,3543,2990,1286,29,1618,145,801,1479,5132,173,1,369,1,1361,2542,272,1175,134,443,590,146,10372,801,100,801,3278,915,491,2,296,585,1,136996,50805,38033,38732,20598,3120,2610,3122,21405,6186,3704,3079,1110,1647,79568,39677,29472,1981,4294,2165,2325,34426,396,20910,666,5944,2242,0,6876,0,5187,6399,319,4111,3897,8857,8721,1,1,1649,323,323,1254,75,443,73,0,4748,0,1923,73,370,486,572,147,516,2,1336,1037,1,488,1205,323,323,74,0,777,27,660,74,74,73,884,885,220,323,74,74,396,942,323,146,2333,323,369,588,296,370,323,323,765,323,323,323,323,323,323,323,0,370,1,1,1,54,5595,219,146,364,867,0,126,1240,1109,369,0,531,369,73,396,1640,296,74,73,162,2261,73,673,940
BPS_high_wk22_control_d2_A,18901,4456,6608,1481,12698,12522,243,2025,2050,615,50,939,939,1645,530,7513,3063,2144,19669,17381,7066,5743,1359,7154,2713,308,1358,4313,863,861,2198,146,1059,962,2344,653,47,1974,23,511,2356,699,150,371,1398,498,2411,1885,1542,22,1476,2315,24345,2171,697,22,22,22563,2495,1219,844,643,1148,1354,9659,4305,1278,5905,50,50,308,1991,1227,697,10358,353,404,73,22,1311,1237,1019,4829,307,4772,308,3,3919,1145,3242,6851,5110,6354,3915,4604,850,3698,3301,1553,179,2000,45,878,2260,5225,74,50,380,100,1284,2400,123,896,140,453,599,95,10624,878,51,878,3327,1036,241,51,307,654,50,140060,52710,37341,39764,20737,3023,2333,2749,21196,7094,3077,3737,1274,1750,72052,33100,28955,1916,3915,1231,769,35745,408,21473,738,6562,2258,1,6648,0,5222,6025,169,4227,3764,8331,8448,51,51,1851,335,335,1443,174,453,22,1,4340,0,2026,22,430,1194,584,146,525,101,1370,1169,51,349,1124,335,335,73,17,744,28,471,73,73,23,855,905,218,335,73,73,358,978,385,96,2455,335,380,498,307,430,335,335,787,335,335,335,385,368,335,335,1,381,51,51,1,56,6098,168,95,212,989,17,78,1288,1141,380,1,598,380,22,408,951,307,73,23,218,2483,73,699,1011
BPS_high_wk22_control_d2_B,18903,4522,6535,1414,12671,12514,246,2014,2047,613,59,920,920,1688,600,7603,3060,2173,19692,17312,7032,5766,1365,7130,2756,308,1371,4350,867,866,2213,151,1077,939,2386,674,35,1930,16,533,2477,724,176,389,1390,534,2429,1835,1536,15,1491,2314,24205,2344,783,15,15,22622,2517,1230,845,654,1282,1480,9638,4242,1256,5936,59,59,306,2121,1307,783,10308,337,398,74,15,1299,1238,995,4930,335,4735,306,6,3907,1147,3280,6815,5083,6320,3915,4633,869,3714,3368,1616,206,2077,31,885,2394,5230,60,59,381,118,1284,2401,102,855,139,456,605,90,10630,885,45,885,3321,1060,208,61,305,662,59,140635,53148,37315,40045,20794,3050,2320,2688,21286,7252,2984,3854,1300,1757,70732,32109,28835,1913,3852,1099,552,35691,408,21484,746,6648,2251,1,6592,0,5220,5981,151,4235,3738,8220,8376,60,60,1877,333,333,1470,194,456,15,1,4276,0,2041,15,439,1316,590,149,529,120,1376,1188,61,328,1119,333,333,75,20,740,29,443,75,75,17,849,908,224,333,75,75,351,974,392,91,2465,333,381,486,305,439,333,333,786,333,333,333,392,372,333,333,1,382,60,60,2,56,6157,165,90,195,1008,20,71,1286,1143,381,1,606,381,16,408,856,305,75,17,225,2508,74,696,1024
BPS_high_wk22_control_d2_C,11480,5705,6185,2662,9053,9254,382,3867,1488,165,108,477,477,2059,1280,7844,2588,3880,16043,14278,7228,7486,1604,9380,2870,83,3337,4653,851,326,2973,452,1411,3203,2247,1095,236,1823,118,532,5089,1203,324,1020,901,893,2887,1911,1353,118,999,892,12373,3794,1133,118,118,13823,2099,1042,640,680,1790,2689,8113,3404,1617,4731,108,108,83,3305,1801,1133,10401,319,427,226,118,989,745,610,7122,573,5911,83,0,4185,1866,3077,6725,4094,7640,4168,2331,1387,2947,4457,2748,332,2850,236,537,3059,4614,244,108,309,216,2014,3808,369,1326,38,535,987,344,8545,537,126,537,2452,1293,831,108,83,477,108,145835,62877,41491,47314,22430,6582,3950,2779,30790,7661,4048,4378,1214,1185,65648,40517,27010,2805,4063,3079,3886,10623,316,17039,499,5920,1752,0,5750,0,5139,8111,588,3615,3669,7194,7078,108,108,1401,90,90,1084,442,535,118,0,4940,0,1878,118,417,1851,776,452,761,216,1401,916,108,429,1765,90,90,226,36,932,8,781,226,226,118,962,1070,678,90,226,226,208,263,198,344,1787,90,309,771,83,417,90,90,625,90,90,90,198,162,90,90,0,309,108,108,0,15,4748,570,344,806,1075,36,133,346,926,309,0,462,309,118,316,2444,83,226,118,153,1777,226,188,1193
BPS_high_wk22_control_d2_D,17317,4688,6554,1767,11933,11829,270,2423,1931,521,58,850,850,1711,654,7537,2964,2500,18884,16756,7119,6103,1408,7640,2724,260,1774,4367,858,744,2355,209,1125,1452,2302,736,93,1964,46,505,2877,794,174,500,1296,564,2503,1916,1505,46,1366,2012,21862,2429,746,46,46,20667,2399,1176,800,646,1216,1575,9341,4145,1361,5640,58,58,260,2206,1309,746,10392,353,411,104,46,1248,1132,944,5266,349,5033,260,0,3981,1298,3188,6844,4908,6645,3969,4105,955,3530,3514,1775,198,2141,93,801,2362,5092,117,58,365,116,1440,2699,187,1008,118,469,678,151,10178,801,70,801,3144,1078,384,58,260,612,58,140998,54656,38237,41230,21067,3770,2683,2786,23197,7134,3332,3814,1249,1625,71361,35188,28603,2108,3980,1693,1545,30409,388,20523,683,6382,2154,0,6486,0,5205,6493,268,4093,3757,8146,8194,58,58,1741,284,284,1353,221,469,46,0,4501,0,1986,46,423,1271,621,209,574,116,1374,1106,58,376,1264,284,284,104,19,786,24,551,104,104,46,880,938,313,284,104,104,330,828,342,151,2308,284,365,562,260,423,284,284,753,284,284,284,342,323,284,284,0,365,58,58,0,47,5781,255,151,348,997,19,94,1088,1094,365,0,565,365,46,388,1319,260,104,46,200,2319,104,592,1044
