sample,ko00010,ko00020,ko00030,ko00040,ko00051,ko00052,ko00053,ko00061,ko00071,ko00072,ko00100,ko00120,ko00121,ko00130,ko00140,ko00190,ko00195,ko00220,ko00230,ko00240,ko00250,ko00260,ko00261,ko00270,ko00280,ko00281,ko00290,ko00300,ko00310,ko00311,ko00330,ko00332,ko00333,ko00340,ko00350,ko00360,ko00361,ko00362,ko00364,ko00380,ko00400,ko00401,ko00405,ko00410,ko00430,ko00440,ko00450,ko00460,ko00471,ko00472,ko00473,ko00480,ko00500,ko00511,ko00513,ko00514,ko00515,ko00520,ko00521,ko00523,ko00524,ko00525,ko00531,ko00540,ko00550,ko00561,ko00562,ko00564,ko00565,ko00571,ko00590,ko00592,ko00600,ko00603,ko00604,ko00620,ko00621,ko00622,ko00623,ko00624,ko00625,ko00626,ko00627,ko00630,ko00633,ko00640,ko00642,ko00643,ko00650,ko00660,ko00670,ko00680,ko00710,ko00720,ko00730,ko00740,ko00750,ko00760,ko00770,ko00780,ko00785,ko00790,ko00791,ko00830,ko00860,ko00900,ko00903,ko00906,ko00908,ko00909,ko00910,ko00920,ko00930,ko00940,ko00944,ko00950,ko00960,ko00965,ko00966,ko00970,ko00980,ko00981,ko00982,ko00983,ko01040,ko01051,ko01053,ko01054,ko01055,ko01059,ko01062,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01212,ko01220,ko01230,ko01501,ko01502,ko01503,ko01523,ko01524,ko02010,ko02020,ko02024,ko02025,ko02026,ko02030,ko02040,ko02060,ko03008,ko03010,ko03013,ko03018,ko03020,ko03022,ko03030,ko03050,ko03060,ko03070,ko03320,ko03410,ko03420,ko03430,ko03440,ko03450,ko04011,ko04013,ko04016,ko04022,ko04024,ko04066,ko04068,ko04070,ko04072,ko04080,ko04112,ko04113,ko04122,ko04138,ko04141,ko04142,ko04146,ko04151,ko04152,ko04211,ko04212,ko04213,ko04214,ko04216,ko04217,ko04260,ko04261,ko04612,ko04614,ko04621,ko04622,ko04626,ko04657,ko04659,ko04714,ko04724,ko04726,ko04727,ko04728,ko04910,ko04911,ko04914,ko04915,ko04917,ko04918,ko04919,ko04920,ko04922,ko04925,ko04930,ko04931,ko04934,ko04940,ko04960,ko04961,ko04964,ko04970,ko04971,ko04972,ko04973,ko04974,ko04976,ko04978,ko04979,ko05010,ko05014,ko05016,ko05030,ko05031,ko05034,ko05100,ko05110,ko05111,ko05120,ko05132,ko05133,ko05134,ko05143,ko05146,ko05150,ko05152,ko05165,ko05166,ko05200,ko05203,ko05204,ko05205,ko05206,ko05211,ko05215,ko05219,ko05225,ko05230,ko05231,ko05340,ko05418
DINP_high_wk22_inoculum_d0_A,21880,3780,7021,1228,14410,13798,245,1410,2302,801,0,1168,1168,1353,13,7110,3239,1375,21019,18737,7036,4993,1229,6399,2571,404,507,4063,862,1053,1886,16,881,117,2265,455,20,2147,5,461,918,428,0,72,1617,236,2212,2009,1618,4,1610,2880,29643,988,256,4,4,25981,2586,1256,918,596,472,419,10303,4860,1219,6263,0,0,0,400,1045,737,256,10590,409,416,5,4,1490,1437,1257,3618,116,4511,400,18,3859,834,3171,6975,5558,5952,3792,5380,573,3954,2646,918,43,1460,8,986,1512,5442,50,0,404,0,1013,1875,85,840,180,412,425,0,8,11378,986,46,986,3675,869,101,8,397,696,0,0,136036,47288,36005,36005,19986,1482,1810,2915,17072,6416,2938,3142,1217,1940,78459,32963,30005,1538,4018,853,135,46429,440,23045,804,6516,2458,4,7119,0,5214,5242,60,4424,3857,9038,9137,0,4,4,1948,432,432,1512,12,412,4,4,4251,1,2044,4,404,555,504,12,413,8,1338,1219,8,388,877,432,432,8,0,673,40,425,8,8,8,813,0,813,0,17,432,8,8,444,1271,432,12,2682,432,404,417,396,404,432,432,837,432,432,432,433,433,432,432,4,408,4,4,0,0,0,6,75,6422,16,8,21,885,0,76,1688,1217,404,4,621,404,4,440,616,396,8,8,217,2679,4,908,890
DINP_high_wk22_inoculum_d0_B,21837,3800,6966,1190,14261,13817,199,1352,2285,799,5,1165,1165,1371,52,7153,3253,1389,21036,18757,7069,5001,1241,6354,2556,400,536,4084,858,1057,1867,15,879,128,2279,438,6,2140,2,456,974,439,15,72,1614,251,2190,1997,1627,2,1621,2879,29463,1085,303,2,2,25899,2596,1261,922,601,548,500,10314,4823,1202,6287,5,5,0,399,1133,790,303,10499,404,410,7,2,1474,1432,1242,3668,131,4442,399,3,3846,850,3204,6983,5569,5933,3808,5416,587,3957,2677,929,52,1477,4,992,1596,5449,42,5,406,10,1002,1853,79,827,181,414,429,0,9,11414,992,39,992,3683,875,91,6,399,702,0,5,136320,47566,35840,36098,19950,1538,1751,2890,17168,6476,2920,3190,1233,1950,77899,32634,30005,1563,4009,825,75,45961,443,23147,811,6584,2469,1,7129,0,5244,5287,51,4442,3860,9038,9151,0,6,5,1961,435,435,1519,18,414,2,1,4252,0,2047,2,411,620,496,15,420,11,1343,1223,6,371,883,435,435,8,2,677,37,416,8,8,3,821,0,826,0,22,435,8,8,438,1270,440,10,2691,435,406,418,399,411,435,435,848,435,435,435,440,438,435,435,1,407,6,5,0,0,0,1,73,6471,17,9,21,902,2,75,1672,1220,406,1,629,406,2,443,596,399,8,3,222,2694,7,908,904
DINP_high_wk22_inoculum_d0_C,19785,4236,6776,1446,13293,12877,273,1889,2134,670,31,1010,1010,1540,342,7351,3105,1909,20041,17771,7043,5519,1313,6972,2674,338,1092,4220,864,912,2118,108,1006,716,2304,603,50,2037,20,497,1883,610,93,282,1465,406,2364,1938,1559,20,1503,2478,26011,1734,523,20,20,23587,2510,1224,863,624,879,1008,9841,4501,1276,5987,31,31,0,335,1637,1036,523,10494,375,412,51,20,1376,1298,1101,4429,237,4750,335,17,3912,1045,3193,6888,5237,6257,3869,4798,757,3767,3080,1351,129,1819,40,903,1964,5282,75,31,386,62,1214,2264,120,896,151,440,545,0,71,10816,904,55,904,3423,979,214,38,332,661,0,31,138608,50886,37071,38570,20533,2539,2224,2825,19931,6830,3067,3512,1243,1797,74512,33465,29280,1792,3963,1167,668,39131,416,21855,751,6488,2310,3,6788,0,5200,5779,147,4270,3794,8555,8651,0,35,34,1865,362,362,1453,120,440,20,3,4326,0,2026,20,416,944,565,105,487,69,1357,1177,38,374,1051,362,362,54,10,721,34,469,54,54,23,839,0,869,0,156,362,54,54,388,1064,392,74,2513,362,386,476,331,416,362,362,795,362,362,362,393,382,362,362,3,389,35,34,0,0,0,5,63,6148,125,71,161,944,10,80,1414,1160,386,3,597,386,20,416,886,331,54,23,212,2524,51,760,964
DINP_high_wk22_inoculum_d0_D,20528,4102,6793,1308,13549,13241,215,1645,2179,717,27,1062,1062,1500,277,7328,3169,1730,20432,18137,7066,5335,1295,6703,2630,359,906,4193,861,971,2015,74,962,497,2315,535,21,2060,10,483,1609,559,80,208,1517,367,2289,1940,1589,10,1560,2628,27152,1599,493,10,10,24415,2554,1245,888,621,839,903,10021,4581,1231,6123,27,27,0,358,1539,1000,493,10422,379,406,37,10,1399,1345,1139,4202,214,4578,358,2,3876,983,3229,6921,5362,6114,3857,5062,708,3844,2966,1216,113,1721,20,943,1917,5350,54,27,395,53,1127,2095,96,851,163,432,506,0,47,11066,943,43,943,3524,951,153,28,358,682,0,27,138083,49936,36492,37775,20305,2207,2004,2817,18980,6776,2976,3452,1256,1863,75076,32682,29522,1722,3958,986,350,41369,427,22411,780,6591,2375,0,6908,0,5236,5613,100,4349,3814,8709,8829,0,27,27,1917,390,390,1490,90,432,10,0,4282,0,2040,10,421,897,535,74,468,54,1357,1202,27,357,990,390,390,37,9,706,33,436,37,37,11,836,0,863,0,110,390,37,37,401,1140,417,47,2588,390,395,452,358,421,390,390,822,390,390,390,417,408,390,390,0,395,27,27,0,0,0,1,65,6317,84,47,104,945,9,75,1500,1185,395,0,617,395,10,427,740,358,37,10,222,2605,37,814,955
DINP_high_wk22_inoculum_d0_E,20025,4256,6679,1309,13243,13022,217,1742,2134,684,40,1012,1012,1576,407,7452,3138,1877,20218,17867,7050,5475,1321,6816,2681,342,1057,4257,863,942,2076,99,1002,626,2353,581,18,2004,9,504,1925,620,121,269,1475,433,2334,1889,1573,9,1547,2532,26171,1905,620,9,9,23874,2552,1245,875,636,1035,1138,9899,4449,1228,6081,40,40,0,342,1778,1132,620,10352,360,400,49,9,1361,1311,1084,4468,263,4599,342,1,3879,1037,3264,6878,5270,6162,3878,4948,766,3810,3117,1361,152,1859,18,929,2124,5317,49,40,391,81,1172,2184,89,836,155,440,539,0,58,10943,929,40,929,3462,993,156,41,342,680,0,40,139113,51118,36700,38579,20466,2483,2084,2752,19731,6987,2943,3624,1281,1835,73191,32105,29271,1784,3903,969,325,39531,422,22154,773,6652,2337,0,6795,0,5237,5719,107,4321,3783,8522,8669,0,41,40,1916,373,373,1494,130,440,9,0,4259,0,2046,9,431,1080,553,99,489,81,1365,1205,41,338,1028,373,373,49,13,716,31,427,49,49,9,840,0,880,0,148,373,49,49,382,1088,413,58,2556,373,391,458,342,431,373,373,813,373,373,373,413,400,373,373,0,391,41,40,0,0,0,0,62,6299,107,58,125,974,13,71,1431,1174,391,0,618,391,9,422,738,342,49,9,227,2587,49,777,983
DINP_high_wk22_inoculum_d0_F,19846,4378,6561,1240,13089,12941,214,1756,2113,670,54,976,976,1648,527,7588,3125,1958,20167,17707,7016,5547,1338,6825,2738,335,1127,4319,868,937,2109,112,1034,651,2409,615,4,1940,1,531,2161,667,163,309,1452,493,2364,1820,1563,1,1559,2497,25667,2193,755,1,1,23731,2574,1257,872,653,1245,1353,9837,4337,1204,6100,54,54,0,335,2000,1263,755,10265,338,392,56,1,1333,1299,1040,4666,310,4560,335,2,3867,1060,3317,6828,5214,6144,3887,4942,807,3814,3239,1475,194,1985,3,932,2339,5312,34,54,390,108,1186,2212,65,790,152,446,558,0,57,10910,932,32,932,3435,1032,124,55,335,688,0,54,140071,51995,36724,39145,20574,2613,2091,2666,20094,7223,2839,3804,1316,1834,71173,30897,29066,1806,3820,832,98,38770,421,22090,780,6766,2318,0,6702,0,5240,5720,91,4321,3748,8350,8545,0,55,55,1943,365,365,1523,165,446,1,0,4189,0,2064,1,445,1271,564,111,502,109,1374,1225,55,310,1037,365,365,56,18,716,31,396,56,56,2,837,0,892,0,167,365,56,56,367,1065,419,57,2555,365,390,449,335,445,365,365,811,365,365,365,419,401,365,365,0,391,55,55,0,0,0,1,61,6356,113,57,115,1006,18,62,1402,1172,390,0,627,390,1,421,642,335,56,2,237,2608,56,761,1007
DINP_high_wk22_inoculum_d0_G,19653,4391,6569,1288,12996,12859,215,1805,2100,659,53,970,970,1646,527,7572,3114,1995,20068,17649,7032,5586,1343,6887,2729,329,1175,4317,867,922,2124,118,1038,716,2395,620,12,1949,6,526,2198,673,160,320,1442,494,2370,1835,1560,6,1543,2461,25393,2188,743,6,6,23486,2558,1249,867,651,1225,1354,9804,4331,1218,6061,53,53,0,329,1999,1256,743,10278,341,394,59,6,1328,1286,1036,4697,309,4598,329,0,3877,1079,3303,6836,5196,6186,3894,4876,816,3790,3250,1488,190,1985,12,921,2324,5295,42,53,389,107,1204,2248,77,812,150,448,566,0,65,10856,921,36,921,3415,1032,148,53,330,681,0,53,140063,52140,36832,39261,20599,2699,2134,2684,20318,7193,2890,3788,1308,1818,71371,31362,29051,1831,3842,917,239,38121,419,21977,771,6727,2308,0,6696,0,5240,5788,107,4303,3753,8353,8532,0,53,53,1925,359,359,1506,166,448,6,0,4223,0,2055,6,442,1255,567,118,507,107,1374,1213,53,317,1055,359,359,59,18,722,30,412,59,59,6,842,0,895,0,177,359,59,59,365,1048,413,65,2535,359,389,459,329,442,359,359,807,359,359,359,413,395,359,359,0,389,53,53,0,0,0,0,60,6306,124,65,136,1003,18,66,1378,1166,389,0,622,389,6,419,708,329,59,6,233,2583,59,749,1009
DINP_high_wk22_control_d2_A,21058,3954,6900,1293,13879,13468,219,1547,2226,751,14,1110,1110,1429,153,7217,3201,1581,20661,18403,7071,5192,1268,6584,2589,376,747,4132,859,1002,1955,49,923,356,2283,494,23,2108,10,466,1302,500,41,147,1559,305,2249,1983,1604,10,1576,2728,28164,1311,376,10,10,25005,2561,1246,900,608,658,680,10142,4708,1231,6172,14,14,0,375,1311,876,376,10493,395,411,24,10,1437,1380,1191,3942,168,4554,375,5,3871,926,3198,6956,5451,6058,3834,5184,650,3883,2820,1077,77,1593,20,958,1722,5386,55,14,399,27,1080,2004,98,859,170,423,472,0,33,11193,958,45,958,3587,911,142,16,374,686,0,14,137114,48775,36282,36989,20153,1919,1922,2873,18206,6588,2990,3296,1234,1892,76791,33085,29756,1653,4003,974,330,43330,433,22675,788,6542,2412,1,7013,0,5232,5488,89,4379,3841,8878,8979,0,15,15,1922,408,408,1490,53,423,10,1,4292,0,2036,10,412,729,519,48,446,30,1348,1203,16,374,948,408,408,25,5,695,35,439,25,25,11,830,0,844,0,72,408,25,25,420,1193,422,35,2624,408,399,442,374,413,408,408,830,408,408,408,422,417,408,408,1,400,15,15,0,0,0,2,69,6346,58,33,77,917,5,78,1573,1198,399,1,617,399,10,433,720,374,25,11,218,2628,24,853,927
DINP_high_wk22_control_d2_B,20785,3981,6898,1350,13730,13357,214,1606,2204,735,14,1099,1099,1434,165,7208,3188,1636,20527,18318,7093,5248,1277,6662,2578,368,819,4136,856,983,1975,59,929,445,2269,500,31,2116,15,459,1370,512,42,165,1544,310,2256,1998,1601,15,1556,2678,27749,1332,373,15,15,24659,2542,1237,893,607,652,702,10096,4689,1247,6124,14,14,0,367,1333,880,373,10494,398,412,29,15,1426,1362,1182,4001,171,4594,367,1,3882,954,3186,6965,5425,6112,3846,5100,665,3851,2846,1102,75,1602,30,945,1723,5364,64,14,397,28,1104,2050,112,884,167,426,484,0,44,11124,945,49,945,3560,913,172,14,367,678,0,14,137188,49047,36408,37184,20188,2047,1973,2889,18536,6569,3051,3290,1227,1872,76883,33606,29725,1690,4027,1077,499,42367,430,22532,778,6504,2399,0,7001,0,5235,5584,108,4358,3846,8873,8955,0,14,14,1900,401,401,1470,57,426,15,0,4334,0,2027,15,410,725,522,58,455,28,1348,1189,14,380,973,401,401,29,5,704,34,457,29,29,15,837,0,851,0,87,401,29,29,416,1169,415,44,2598,401,397,456,367,410,401,401,826,401,401,401,415,410,401,401,0,397,14,14,0,0,0,0,67,6288,73,44,104,917,5,82,1538,1190,397,0,611,397,15,430,801,367,29,15,214,2597,29,835,932
DINP_high_wk22_control_d2_C,16890,4897,6377,1694,11649,11630,279,2498,1891,490,80,786,786,1825,845,7744,2931,2659,18724,16440,7064,6250,1437,7713,2819,246,1918,4463,866,724,2427,236,1182,1536,2382,801,78,1866,38,548,3285,874,239,574,1251,662,2564,1815,1483,37,1372,1928,20867,2885,952,37,37,20275,2422,1189,790,671,1535,1916,9210,3961,1335,5637,80,80,0,245,2555,1511,952,10280,320,401,117,37,1203,1104,870,5609,423,5014,245,4,3972,1346,3259,6763,4797,6649,3986,4038,1026,3519,3719,1973,263,2349,75,797,2690,5069,98,80,362,159,1479,2779,157,949,111,480,714,0,154,10076,797,61,797,3082,1143,349,82,244,619,0,80,142531,56161,38400,42242,21276,4034,2743,2662,23942,7494,3197,4093,1298,1610,68249,33569,28247,2156,3859,1529,1277,28796,384,20306,686,6528,2112,1,6322,0,5202,6530,253,4076,3700,7856,7971,0,81,80,1771,266,266,1388,278,480,37,1,4407,0,2009,37,441,1566,645,235,596,161,1388,1130,81,337,1290,266,266,118,27,789,23,512,118,118,38,877,0,957,0,352,266,118,118,305,778,346,155,2290,266,362,554,244,441,266,266,744,266,266,266,346,319,266,266,1,363,81,80,0,0,0,1,45,5829,272,154,346,1044,27,82,1027,1086,362,1,574,362,37,384,1208,244,118,38,213,2332,117,556,1081
