sample,ko00010,ko00020,ko00030,ko00040,ko00051,ko00052,ko00053,ko00061,ko00071,ko00072,ko00100,ko00120,ko00121,ko00130,ko00140,ko00190,ko00195,ko00220,ko00230,ko00240,ko00250,ko00260,ko00261,ko00270,ko00280,ko00281,ko00290,ko00300,ko00310,ko00311,ko00330,ko00332,ko00333,ko00340,ko00350,ko00360,ko00361,ko00362,ko00364,ko00380,ko00400,ko00401,ko00405,ko00410,ko00430,ko00440,ko00450,ko00460,ko00471,ko00472,ko00473,ko00480,ko00500,ko00511,ko00513,ko00514,ko00515,ko00520,ko00521,ko00523,ko00524,ko00525,ko00531,ko00540,ko00550,ko00561,ko00562,ko00564,ko00565,ko00571,ko00592,ko00600,ko00603,ko00604,ko00620,ko00621,ko00622,ko00623,ko00624,ko00625,ko00626,ko00627,ko00630,ko00633,ko00640,ko00642,ko00643,ko00650,ko00660,ko00670,ko00680,ko00710,ko00720,ko00730,ko00740,ko00750,ko00760,ko00770,ko00780,ko00785,ko00790,ko00791,ko00830,ko00860,ko00900,ko00903,ko00906,ko00908,ko00909,ko00910,ko00920,ko00930,ko00940,ko00944,ko00950,ko00960,ko00966,ko00970,ko00980,ko00981,ko00982,ko00983,ko01040,ko01051,ko01053,ko01054,ko01055,ko01062,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01212,ko01220,ko01230,ko01501,ko01502,ko01503,ko01523,ko01524,ko02010,ko02020,ko02024,ko02025,ko02026,ko02030,ko02040,ko02060,ko03008,ko03010,ko03013,ko03018,ko03020,ko03022,ko03030,ko03060,ko03070,ko03320,ko03410,ko03420,ko03430,ko03440,ko04011,ko04013,ko04016,ko04022,ko04024,ko04066,ko04068,ko04070,ko04072,ko04080,ko04112,ko04113,ko04122,ko04138,ko04141,ko04142,ko04146,ko04151,ko04152,ko04211,ko04212,ko04213,ko04214,ko04216,ko04217,ko04260,ko04261,ko04612,ko04614,ko04621,ko04622,ko04626,ko04657,ko04659,ko04714,ko04724,ko04727,ko04910,ko04911,ko04914,ko04915,ko04917,ko04918,ko04919,ko04920,ko04922,ko04925,ko04930,ko04931,ko04934,ko04940,ko04960,ko04961,ko04964,ko04970,ko04971,ko04972,ko04973,ko04974,ko04976,ko04978,ko04979,ko05010,ko05014,ko05016,ko05100,ko05110,ko05111,ko05120,ko05132,ko05133,ko05134,ko05143,ko05146,ko05150,ko05152,ko05165,ko05166,ko05200,ko05203,ko05204,ko05205,ko05206,ko05211,ko05215,ko05219,ko05225,ko05230,ko05231,ko05340,ko05418
DINP_high_wk40_inoculum_d0_A,20882,3878,7017,1438,13874,13389,232,1630,2223,744,0,1127,1127,1367,52,7073,3190,1577,20529,18424,7117,5200,1261,6691,2532,373,768,4078,854,980,1959,50,904,444,2213,479,51,2174,24,436,1169,472,1,136,1560,255,2240,2063,1606,24,1536,2695,28132,1057,240,24,24,24718,2514,1223,893,591,444,496,10133,4794,1278,6088,0,0,372,1118,750,240,10601,419,422,24,24,1453,1369,1222,3830,127,4662,372,5,3900,936,3125,7006,5463,6148,3835,5071,629,3840,2738,1008,37,1492,48,937,1511,5359,83,1,396,1,1103,2046,139,935,169,421,470,48,11120,937,59,937,3572,879,211,3,372,667,0,136292,48277,36480,36724,20119,1952,2002,2975,18281,6342,3162,3118,1189,1863,78818,34884,29891,1672,4105,1231,758,42925,429,22512,768,6372,2407,1,7073,5223,5592,131,4346,3876,9018,9050,2,1,1866,404,404,1438,27,421,24,1,4404,0,2008,24,396,537,517,49,444,3,1339,1167,2,412,971,404,404,25,0,704,35,492,25,25,25,838,839,73,404,25,25,430,1182,405,49,2589,404,396,467,371,396,404,404,823,404,404,404,405,405,404,404,1,397,2,1,2,68,6206,73,48,119,884,0,91,1559,1188,396,1,598,396,24,429,910,371,25,25,203,2566,24,845,908
DINP_high_wk40_inoculum_d0_B,21815,3769,7008,1233,14284,13801,207,1377,2292,800,0,1173,1173,1349,14,7103,3250,1379,21008,18771,7079,4995,1236,6380,2542,401,532,4064,859,1052,1867,14,874,146,2258,436,16,2165,7,450,916,427,0,68,1617,233,2187,2023,1627,6,1610,2875,29513,990,255,6,6,25849,2582,1254,920,594,472,431,10315,4856,1216,6263,0,0,399,1060,744,255,10540,412,414,7,7,1482,1431,1256,3621,116,4479,399,5,3858,849,3179,6999,5575,5957,3805,5387,577,3947,2643,904,38,1440,13,987,1521,5442,51,0,406,0,1008,1864,92,849,181,413,426,13,11395,988,44,987,3681,866,111,2,399,696,0,136010,47343,35907,35977,19937,1529,1779,2925,17140,6391,2970,3128,1218,1943,78598,33186,30060,1565,4041,899,199,45972,442,23102,805,6527,2468,1,7149,5238,5306,64,4432,3871,9084,9175,1,1,1944,435,435,1504,8,413,6,1,4284,1,2038,6,406,552,496,13,418,2,1340,1214,2,385,886,435,435,7,0,679,37,431,7,7,8,823,823,20,435,7,7,442,1270,435,14,2682,435,406,424,398,406,435,435,846,435,435,435,435,435,435,435,1,407,1,1,1,73,6429,20,13,31,890,0,79,1673,1218,406,1,624,406,7,442,650,398,7,7,218,2676,6,907,897
DINP_high_wk40_inoculum_d0_D,20013,4213,6766,1390,13375,12980,262,1820,2149,684,32,1020,1020,1539,338,7365,3122,1863,20162,17857,7037,5470,1308,6889,2676,345,1038,4221,866,930,2094,99,998,644,2318,591,40,2032,16,500,1831,601,95,266,1479,403,2350,1925,1565,15,1524,2523,26328,1733,534,15,15,23858,2529,1233,870,626,897,1004,9888,4511,1258,6033,32,32,342,1635,1042,534,10468,372,409,47,15,1382,1313,1107,4386,237,4696,342,15,3901,1026,3211,6887,5265,6207,3864,4881,747,3795,3062,1328,131,1811,31,917,1980,5302,66,32,388,63,1189,2216,107,872,154,438,535,62,10888,917,51,917,3451,977,187,38,340,669,32,138588,50703,36910,38406,20486,2443,2162,2808,19666,6852,3015,3523,1252,1817,74352,32977,29316,1767,3944,1078,517,39828,419,22013,761,6535,2326,3,6806,5207,5711,129,4294,3792,8568,8682,35,35,1887,369,369,1471,116,438,15,3,4294,1,2035,15,420,958,559,96,482,70,1358,1189,38,365,1031,369,369,50,11,715,34,452,50,50,18,835,867,143,369,50,50,391,1085,401,65,2537,369,388,465,339,420,369,369,801,369,369,369,401,391,369,369,3,391,35,35,5,64,6210,112,62,139,948,11,77,1441,1168,388,3,605,388,15,419,817,339,50,18,217,2554,47,776,963
DINP_high_wk40_inoculum_d0_E,22072,3736,7004,1175,14380,13925,191,1294,2304,814,0,1187,1187,1343,4,7111,3271,1323,21146,18883,7078,4937,1231,6289,2534,407,469,4061,857,1073,1835,4,860,65,2268,416,4,2161,2,447,844,414,0,45,1633,226,2167,2014,1636,2,1631,2925,29890,974,259,2,2,26153,2601,1263,928,596,481,415,10372,4873,1198,6314,0,0,407,1047,745,259,10512,410,411,2,2,1488,1447,1263,3559,113,4416,407,1,3841,827,3197,7002,5612,5903,3801,5480,564,3975,2617,868,37,1422,3,1001,1526,5467,41,0,409,0,978,1807,79,827,185,410,414,3,11480,1001,39,1001,3713,858,84,0,407,705,0,135936,47092,35708,35757,19873,1417,1701,2910,16832,6402,2922,3128,1226,1966,78563,32744,30112,1536,4027,812,52,46764,446,23290,816,6576,2489,0,7179,5248,5239,44,4460,3873,9115,9222,0,0,1966,444,444,1521,2,411,2,0,4256,0,2046,2,409,557,487,3,412,0,1341,1225,0,375,864,444,444,2,0,673,37,415,2,2,2,820,820,5,444,2,2,446,1295,444,3,2710,444,409,414,407,409,444,444,854,444,444,444,444,444,444,444,0,409,0,0,0,74,6495,5,3,8,893,0,76,1703,1226,409,0,631,409,2,446,582,407,2,2,222,2708,2,925,895
DINP_high_wk40_inoculum_d0_F,21840,3801,6959,1183,14242,13823,192,1341,2284,799,5,1166,1166,1373,56,7158,3256,1388,21043,18764,7074,5000,1242,6344,2553,400,538,4087,858,1059,1863,15,878,128,2282,435,4,2140,2,455,978,440,16,72,1615,253,2186,1996,1629,2,1624,2881,29451,1097,309,2,2,25896,2597,1262,923,601,557,510,10318,4819,1199,6291,5,5,400,1144,797,309,10486,403,409,7,2,1472,1431,1241,3672,133,4430,400,1,3844,852,3209,6985,5572,5929,3810,5424,589,3958,2679,929,53,1478,4,993,1607,5450,40,6,407,11,1000,1848,78,825,182,414,429,9,11421,993,38,993,3685,876,89,6,400,703,5,136351,47593,35811,36101,19943,1542,1741,2886,17170,6482,2917,3195,1235,1952,77830,32581,30007,1565,4008,819,63,45922,443,23168,812,6594,2472,0,7132,5248,5292,49,4446,3861,9040,9155,6,6,1963,436,436,1520,18,414,2,0,4251,0,2047,2,412,628,495,15,421,11,1344,1224,6,369,883,436,436,7,2,677,36,414,7,7,2,823,828,22,436,7,7,438,1271,441,9,2693,436,407,418,399,412,436,436,850,436,436,436,441,439,436,436,0,407,6,6,0,73,6480,16,9,20,904,2,74,1671,1220,407,0,630,407,2,443,592,399,7,2,223,2697,7,908,906
DINP_high_wk40_inoculum_d0_G,22001,3757,6991,1178,14345,13892,194,1312,2298,809,2,1180,1180,1353,20,7126,3265,1344,21113,18842,7073,4957,1234,6309,2542,405,489,4069,857,1068,1846,7,867,84,2273,423,4,2153,2,450,887,422,5,54,1627,235,2175,2008,1633,2,1629,2911,29758,1013,275,2,2,26079,2600,1263,926,597,505,444,10354,4856,1199,6306,2,2,405,1077,761,275,10508,408,410,3,2,1483,1442,1256,3595,119,4423,405,2,3842,834,3200,6995,5598,5912,3803,5461,571,3970,2637,889,43,1441,3,998,1550,5461,41,2,408,3,986,1821,78,826,184,412,419,5,11459,998,39,998,3704,864,85,3,404,704,2,136068,47247,35751,35869,19899,1454,1717,2902,16936,6429,2919,3150,1229,1961,78326,32683,30075,1544,4020,812,52,46526,445,23245,814,6580,2482,0,7161,5247,5251,46,4455,3868,9088,9197,2,2,1965,441,441,1521,8,412,2,0,4252,0,2047,2,410,579,490,7,415,4,1342,1225,2,374,870,441,441,4,1,674,37,415,4,4,2,820,822,10,441,4,4,443,1287,443,5,2704,441,408,414,404,410,441,441,852,441,441,441,443,442,441,441,0,408,2,2,1,74,6489,9,5,11,896,1,75,1694,1224,408,0,630,408,2,445,584,404,4,2,222,2704,3,920,898
DINP_high_wk40_control_d2_A,18987,4130,6980,1804,12967,12566,261,2107,2081,631,7,1028,1028,1429,174,7069,3073,1991,19583,17705,7194,5621,1317,7280,2527,316,1260,4128,845,839,2140,123,975,1037,2147,569,110,2180,55,419,1745,575,20,282,1441,320,2341,2120,1564,55,1399,2333,25217,1300,266,55,55,22428,2392,1167,841,589,476,713,9762,4625,1386,5759,7,7,316,1327,818,266,10658,426,433,62,55,1382,1243,1141,4314,167,4987,316,0,3978,1118,3047,7011,5232,6508,3900,4464,747,3632,2967,1248,48,1630,110,843,1583,5198,139,7,377,13,1288,2402,223,1085,143,439,562,117,10587,843,84,843,3356,920,395,7,316,613,7,137194,50435,37555,38366,20490,2834,2423,3043,20638,6330,3503,3166,1149,1712,78502,37764,29519,1903,4207,1834,1770,36559,406,21376,699,6124,2286,0,6902,5204,6171,256,4183,3879,8841,8775,7,7,1726,344,344,1320,75,439,55,0,4622,0,1955,55,384,584,558,123,501,13,1341,1084,7,452,1140,344,344,62,2,757,29,598,62,62,55,871,878,185,344,62,62,400,1004,351,117,2410,344,377,549,316,384,344,344,783,344,344,344,351,349,344,344,0,377,7,7,0,57,5805,178,117,289,887,2,112,1320,1132,377,0,556,377,55,406,1387,316,62,55,179,2361,62,717,942
DINP_high_wk40_control_d2_B,19169,4429,6597,1416,12803,12644,231,1945,2067,631,51,951,951,1643,525,7529,3082,2089,19811,17483,7057,5685,1353,7059,2715,316,1293,4313,863,882,2170,136,1050,876,2360,639,35,1968,17,515,2293,689,152,351,1414,494,2395,1870,1549,17,1499,2367,24725,2168,709,17,17,22887,2516,1229,852,645,1168,1348,9713,4317,1257,5960,51,51,315,1988,1234,709,10330,349,401,68,17,1318,1255,1026,4776,306,4710,315,1,3904,1122,3262,6849,5143,6295,3908,4701,837,3730,3279,1525,181,1990,34,893,2276,5250,63,51,383,102,1255,2345,108,868,143,451,587,85,10708,893,46,893,3359,1033,210,51,315,663,51,140030,52485,37156,39568,20682,2907,2261,2729,20879,7121,3016,3749,1285,1774,71882,32535,28998,1887,3893,1127,592,36586,412,21655,749,6617,2277,0,6669,5229,5944,148,4254,3762,8346,8483,51,51,1876,344,344,1464,170,451,17,0,4302,0,2035,17,434,1209,577,136,519,102,1371,1184,51,338,1100,344,344,68,17,736,29,451,68,68,17,851,902,203,344,68,68,361,1004,395,85,2483,344,383,485,315,434,344,344,795,344,344,344,395,378,344,344,0,383,51,51,0,57,6170,153,85,186,993,17,74,1320,1150,383,0,606,383,17,412,870,315,68,17,223,2517,68,717,1010
DINP_high_wk40_control_d2_C,18698,4372,6737,1643,12691,12433,257,2118,2045,607,35,958,958,1576,417,7354,3051,2141,19519,17403,7118,5752,1350,7276,2649,304,1383,4253,856,835,2202,147,1039,1062,2266,637,77,2047,38,478,2210,668,106,358,1399,442,2401,1975,1544,38,1431,2276,24299,1889,546,38,38,22236,2443,1194,836,624,911,1151,9648,4399,1330,5811,35,35,303,1778,1088,546,10478,379,416,73,38,1328,1224,1053,4705,262,4894,303,3,3950,1157,3161,6907,5123,6454,3917,4476,828,3649,3210,1475,134,1887,76,853,2026,5195,104,35,377,71,1310,2447,169,982,138,450,597,111,10541,853,66,853,3310,1000,319,36,303,633,35,139148,52163,37564,39474,20700,3063,2422,2862,21288,6820,3270,3539,1225,1717,74311,35116,29106,1938,4031,1520,1250,35272,404,21288,715,6373,2252,1,6714,5211,6145,216,4190,3804,8487,8527,36,36,1788,330,330,1385,145,450,38,1,4465,0,1994,38,412,981,581,147,523,72,1360,1129,36,391,1151,330,330,74,12,754,28,529,74,74,38,864,899,220,330,74,74,369,965,366,112,2416,330,377,526,303,412,330,330,780,330,330,330,366,354,330,330,1,377,36,36,1,55,5942,185,111,260,952,12,93,1271,1130,377,1,577,377,38,404,1165,303,74,38,201,2413,73,690,990
DINP_high_wk40_control_d2_D,17328,4834,6384,1609,11842,11825,265,2379,1924,516,78,810,810,1809,815,7744,2961,2561,18947,16618,7053,6150,1425,7571,2815,259,1805,4451,868,757,2381,218,1163,1400,2396,776,63,1868,31,550,3146,849,234,539,1280,645,2535,1805,1495,30,1404,2013,21538,2825,944,30,30,20795,2450,1201,803,671,1526,1865,9300,4001,1309,5715,78,78,258,2505,1495,944,10259,319,398,109,30,1219,1133,890,5493,413,4933,258,3,3954,1305,3279,6767,4855,6565,3972,4182,999,3567,3663,1912,258,2312,61,819,2673,5107,86,78,366,156,1435,2693,138,916,117,475,693,139,10205,820,55,820,3134,1132,308,79,258,632,78,142304,55652,38130,41843,21180,3832,2638,2648,23392,7489,3123,4078,1307,1646,68366,32940,28343,2106,3840,1395,1052,30229,390,20585,702,6587,2143,1,6369,5210,6405,225,4115,3702,7908,8044,79,79,1803,281,281,1414,266,475,30,1,4362,0,2021,30,444,1552,633,217,583,157,1387,1148,79,328,1252,281,281,109,26,778,24,489,109,109,31,871,949,326,281,109,109,312,820,359,140,2332,281,366,535,257,444,281,281,755,281,281,281,359,333,281,281,1,367,79,79,1,47,5925,248,139,308,1044,26,77,1081,1100,366,1,585,366,31,390,1102,257,109,31,218,2380,108,586,1074
