Sample	Total Read Pairs	Read Pairs Passing Filter	% Read Pairs Passing Filter	Total Denoised Read Pairs	Total Merged Read Pairs	% Read Pairs Merged	Non-Chimeric Read Pairs	% Non-Chimeric Read Pairs
bps_g_F1z2_c1	521151	511063	98.06	510990	477369	91.6	469788	90.14
bps_g_F2z1_c1	400367	392869	98.13	392758	368805	92.12	353651	88.33
bps_g_F2z3_c1	491044	481764	98.11	481648	453108	92.27	449297	91.5
bps_g_F3z1_c1	343791	338457	98.45	338403	316656	92.11	307614	89.48
bps_g_F3z3_c1	540573	530868	98.2	530711	499049	92.32	498718	92.26
bps_g_F4z2_c2	453166	444534	98.1	444456	417250	92.07	416099	91.82
bps_g_F4z3_c2	499588	490379	98.16	490230	458552	91.79	435705	87.21
bps_g_F5z3_c2	427386	419240	98.09	419158	396048	92.67	394263	92.25
bps_g_F6z1_c2	497629	488294	98.12	488123	446357	89.7	388433	78.06
bps_g_F6z2_c2	330982	324299	97.98	324136	305923	92.43	301741	91.17
bps_g_M1z1_c1	323786	319065	98.54	318949	295920	91.39	289204	89.32
bps_g_M1z3_c1	468421	459716	98.14	459519	430962	92	423911	90.5
bps_g_M2z1_c1	480978	472454	98.23	472338	444802	92.48	442061	91.91
bps_g_M2z3_c1	491360	481836	98.06	481738	451618	91.91	447845	91.14
bps_g_M3z1_c1	422006	413733	98.04	413688	388265	92	382249	90.58
bps_g_M4z1_c2	404150	396873	98.2	396829	373445	92.4	370696	91.72
bps_g_M5z2_c2	374237	367260	98.14	367181	346424	92.57	344739	92.12
bps_g_M5z3_c2	308722	302585	98.01	302455	285465	92.47	283637	91.87
bps_g_M6z1_c2	366313	359290	98.08	359246	338723	92.47	335333	91.54
bps_g_M6z2_c2	398151	390609	98.11	390538	367595	92.33	364405	91.52
bps_high_F1z2_c1	434197	425762	98.06	425647	400866	92.32	400580	92.26
bps_high_F2z1_c1	426684	418627	98.11	418381	397246	93.1	395043	92.58
bps_high_F2z3_c1	461682	452940	98.11	452812	426469	92.37	425404	92.14
bps_high_F3z1_c1	448087	439463	98.08	439402	414083	92.41	412504	92.06
bps_high_F3z3_c1	320116	314204	98.15	314148	295489	92.31	295385	92.27
bps_high_F4z2_c2	367779	360620	98.05	360456	338581	92.06	337122	91.66
bps_high_F4z3_c2	373596	366560	98.12	366375	346204	92.67	345682	92.53
bps_high_F5z3_c2	371523	364333	98.06	364265	342764	92.26	340885	91.75
bps_high_F6z1_c2	361540	355046	98.2	355006	333956	92.37	333678	92.29
bps_high_F6z2_c2	474125	465139	98.1	465086	438734	92.54	434915	91.73
bps_high_M1z1_c1	428528	419862	97.98	419791	393590	91.85	391885	91.45
bps_high_M1z3_c1	354611	347434	97.98	347302	327161	92.26	327035	92.22
bps_high_M2z1_c1	424458	416273	98.07	416236	392117	92.38	391993	92.35
bps_high_M2z3_c1	423255	415231	98.1	415111	389722	92.08	388191	91.72
bps_high_M3z1_c1	348681	342516	98.23	342467	322199	92.41	321966	92.34
bps_high_M4z1_c2	346540	339959	98.1	339843	320186	92.4	317144	91.52
bps_high_M5z2_c2	375975	368778	98.09	368685	346330	92.12	344051	91.51
bps_high_M5z3_c2	389481	382286	98.15	382160	360103	92.46	356031	91.41
bps_high_M6z1_c2	423924	415785	98.08	415627	391375	92.32	388496	91.64
bps_high_M6z3_c2	391307	383747	98.07	383678	361450	92.37	358546	91.63
bps_low_F1z2_c1	495436	485883	98.07	485657	457420	92.33	454808	91.8
bps_low_F2z1_c1	456636	447513	98	447410	421263	92.25	418645	91.68
bps_low_F2z3_c1	391015	383599	98.1	383541	360480	92.19	358558	91.7
bps_low_F3z1_c1	528018	518140	98.13	517845	487256	92.28	485794	92
bps_low_F3z3_c1	405752	398295	98.16	398043	373720	92.11	369280	91.01
bps_low_F4z2_c2	469187	460160	98.08	459950	429964	91.64	406678	86.68
bps_low_F4z3_c2	409918	401928	98.05	401869	379602	92.6	377221	92.02
bps_low_F5z3_c2	412568	404028	97.93	403941	379793	92.06	377819	91.58
bps_low_F6z1_c2	408759	400649	98.02	400580	377334	92.31	375237	91.8
