sample,ko00010,ko00020,ko00030,ko00040,ko00051,ko00052,ko00053,ko00061,ko00071,ko00072,ko00100,ko00120,ko00121,ko00130,ko00140,ko00190,ko00195,ko00220,ko00230,ko00232,ko00240,ko00250,ko00253,ko00260,ko00261,ko00270,ko00280,ko00281,ko00290,ko00300,ko00310,ko00311,ko00330,ko00332,ko00333,ko00340,ko00350,ko00360,ko00361,ko00362,ko00363,ko00364,ko00365,ko00380,ko00400,ko00401,ko00404,ko00405,ko00410,ko00430,ko00440,ko00450,ko00460,ko00471,ko00472,ko00473,ko00480,ko00500,ko00510,ko00511,ko00513,ko00514,ko00515,ko00520,ko00521,ko00522,ko00523,ko00524,ko00525,ko00531,ko00540,ko00550,ko00561,ko00562,ko00563,ko00564,ko00565,ko00571,ko00590,ko00591,ko00592,ko00600,ko00603,ko00604,ko00620,ko00621,ko00622,ko00623,ko00624,ko00625,ko00626,ko00627,ko00630,ko00633,ko00640,ko00642,ko00643,ko00650,ko00660,ko00670,ko00680,ko00710,ko00720,ko00730,ko00740,ko00750,ko00760,ko00770,ko00780,ko00785,ko00790,ko00791,ko00830,ko00860,ko00900,ko00901,ko00902,ko00903,ko00906,ko00908,ko00909,ko00910,ko00920,ko00930,ko00940,ko00941,ko00943,ko00944,ko00945,ko00950,ko00960,ko00965,ko00966,ko00970,ko00980,ko00981,ko00982,ko00983,ko00984,ko01040,ko01051,ko01052,ko01053,ko01054,ko01055,ko01056,ko01057,ko01059,ko01062,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01212,ko01220,ko01230,ko01501,ko01502,ko01503,ko01521,ko01523,ko01524,ko02010,ko02020,ko02024,ko02025,ko02026,ko02030,ko02040,ko02060,ko03008,ko03010,ko03013,ko03015,ko03018,ko03020,ko03022,ko03030,ko03050,ko03060,ko03070,ko03320,ko03410,ko03420,ko03430,ko03440,ko03450,ko03460,ko04011,ko04013,ko04014,ko04016,ko04022,ko04024,ko04066,ko04068,ko04070,ko04071,ko04072,ko04080,ko04110,ko04112,ko04113,ko04115,ko04122,ko04138,ko04140,ko04141,ko04142,ko04144,ko04145,ko04146,ko04150,ko04151,ko04152,ko04210,ko04211,ko04212,ko04213,ko04214,ko04215,ko04216,ko04217,ko04260,ko04261,ko04371,ko04530,ko04612,ko04614,ko04621,ko04622,ko04623,ko04626,ko04657,ko04659,ko04666,ko04714,ko04721,ko04723,ko04724,ko04726,ko04727,ko04728,ko04910,ko04911,ko04912,ko04914,ko04915,ko04917,ko04918,ko04919,ko04920,ko04921,ko04922,ko04924,ko04925,ko04928,ko04930,ko04931,ko04932,ko04934,ko04940,ko04960,ko04961,ko04962,ko04964,ko04970,ko04971,ko04972,ko04973,ko04974,ko04976,ko04978,ko04979,ko05010,ko05012,ko05014,ko05016,ko05020,ko05030,ko05031,ko05034,ko05100,ko05110,ko05111,ko05120,ko05132,ko05133,ko05134,ko05142,ko05143,ko05145,ko05146,ko05150,ko05152,ko05160,ko05161,ko05162,ko05163,ko05164,ko05165,ko05166,ko05167,ko05168,ko05169,ko05200,ko05203,ko05204,ko05205,ko05206,ko05210,ko05211,ko05215,ko05219,ko05222,ko05225,ko05230,ko05231,ko05322,ko05340,ko05410,ko05414,ko05416,ko05418
BPS_high_wk22_inoculum_d0_A,21404,3915,6926,1242,14127,13589,247,1506,2261,770,12,1123,1123,1417,124,7211,3209,1509,20811,0,18490,7026,0,5123,1253,6511,2612,388,649,4118,864,1024,1943,39,917,243,2294,496,19,2101,0,5,0,479,1198,482,0,35,128,1579,293,2252,1969,1603,4,1594,2789,28737,0,1247,362,4,4,25458,2580,0,1255,906,608,635,620,10190,4746,1220,0,6218,12,12,0,0,385,1248,848,362,10533,393,412,16,4,1457,1405,1209,3853,158,4538,385,18,3864,885,3197,6940,5475,6003,3811,5267,625,3920,2777,1047,76,1578,9,972,1686,5409,0,0,49,12,401,23,1057,1961,82,833,0,0,173,0,420,455,0,20,11258,972,44,972,3616,0,906,110,0,20,382,693,0,0,0,12,136914,48332,36213,36722,20130,1739,1891,2864,17768,6589,2922,3285,0,1236,1913,76897,32583,29787,1598,3976,862,149,44700,435,22794,797,0,6557,2423,4,7020,0,5214,5349,70,4395,3831,8878,8996,0,0,16,15,0,1943,416,416,1512,47,420,0,4,4,0,4239,1,0,2048,4,0,412,707,0,0,520,0,35,432,0,31,1345,1219,19,0,373,915,416,416,0,0,19,4,682,38,0,421,19,19,0,8,0,0,818,0,829,0,51,416,0,19,19,427,1222,427,24,0,2650,0,416,0,401,425,0,381,412,416,416,0,829,416,416,416,428,424,416,416,4,404,0,16,15,0,0,0,0,5,72,6394,39,20,45,909,0,4,0,74,1623,1205,0,0,0,0,0,401,4,0,0,0,620,401,5,435,630,0,381,19,8,0,220,2657,16,0,874,0,0,0,914
BPS_high_wk22_inoculum_d0_B,21575,3849,6981,1256,14239,13666,247,1476,2277,782,5,1144,1144,1382,64,7149,3220,1453,20879,0,18597,7038,0,5070,1242,6479,2586,394,594,4088,862,1032,1919,29,899,204,2272,476,23,2130,0,7,0,467,1064,456,0,15,103,1595,263,2233,1997,1610,6,1595,2822,29104,0,1105,299,6,6,25630,2576,0,1252,910,601,538,512,10237,4805,1225,0,6225,5,5,0,0,391,1138,785,299,10570,403,415,12,6,1473,1416,1233,3740,135,4541,391,17,3866,866,3177,6962,5512,5994,3804,5298,601,3928,2712,983,57,1514,12,975,1585,5419,0,0,53,5,402,10,1042,1930,89,847,0,0,176,0,416,442,0,17,11299,975,47,975,3639,0,886,116,0,13,387,691,0,0,0,5,136437,47834,36149,36388,20064,1639,1867,2899,17494,6483,2954,3201,0,1222,1920,77827,32995,29898,1576,4008,894,204,45344,437,22879,797,0,6518,2437,4,7071,0,5214,5322,72,4403,3848,8966,9066,0,0,9,8,0,1938,422,422,1505,29,416,0,6,4,0,4261,1,0,2042,6,0,407,618,0,0,512,0,26,424,0,17,1341,1213,12,0,384,903,422,422,0,0,15,2,680,39,0,430,15,15,0,10,0,0,817,0,822,0,37,422,0,15,15,436,1241,427,21,0,2659,0,422,0,402,425,0,387,407,422,422,0,832,422,422,422,428,426,422,422,4,405,0,9,8,0,0,0,0,5,73,6386,32,17,41,895,0,2,0,77,1647,1209,0,0,0,0,0,402,4,0,0,0,618,402,6,437,652,0,387,15,10,0,216,2658,11,0,887,0,0,0,902
BPS_high_wk22_inoculum_d0_C,15628,4460,7071,2598,11508,11085,347,3029,1848,436,0,882,882,1457,248,6883,2859,2677,17841,0,16509,7359,0,6334,1398,8411,2463,218,2097,4143,827,574,2458,248,1075,2128,1952,714,248,2265,0,124,0,362,2543,714,0,0,516,1243,367,2513,2309,1491,124,1119,1689,20365,0,1383,139,124,124,18303,2130,0,1045,743,565,257,838,9121,4454,1626,0,5103,0,0,0,0,218,1422,768,139,10917,466,466,124,124,1288,1020,1045,4981,183,5685,218,0,4148,1428,2819,7071,4850,7221,4004,3303,917,3235,3246,1571,20,1745,248,659,1432,4895,0,0,268,0,342,0,1631,3058,412,1428,0,0,99,0,466,714,0,248,9592,659,144,659,2972,0,951,784,0,0,218,500,0,0,0,0,137674,53388,39660,40795,21095,4328,3247,3281,24639,6010,4273,3028,0,1026,1422,80454,44731,29041,2300,4495,3144,3967,25635,362,19238,560,0,5489,2071,0,6674,0,5148,7236,516,3865,3920,8696,8383,0,0,0,0,0,1422,238,238,1060,124,466,0,124,0,0,5110,0,0,1833,124,0,342,421,0,0,629,0,248,590,0,0,1333,902,0,0,570,1447,238,238,0,0,124,0,852,20,0,838,124,124,0,124,0,0,932,0,932,0,372,238,0,124,124,362,693,238,248,0,2066,0,238,0,342,714,0,218,342,238,238,0,704,238,238,238,238,238,238,238,0,342,0,0,0,0,0,0,0,0,40,4954,372,248,620,847,0,0,0,164,911,1026,0,0,0,0,0,342,0,0,0,0,461,342,124,362,2405,0,218,124,124,0,119,1942,124,0,495,0,0,0,971
BPS_high_wk22_inoculum_d0_D,18707,4669,6375,1309,12442,12442,223,1997,2018,597,77,879,879,1779,756,7782,3053,2266,19656,0,17146,7005,0,5846,1390,7111,2818,299,1457,4430,871,865,2240,164,1113,963,2458,705,10,1852,0,5,0,562,2767,782,0,231,433,1364,610,2454,1749,1529,5,1514,2279,23586,0,2721,961,5,5,22460,2549,0,1247,843,676,1561,1764,9576,4097,1218,0,5973,77,77,0,0,299,2416,1484,961,10166,309,386,82,5,1261,1224,939,5176,395,4654,299,0,3887,1178,3358,6760,5026,6285,3931,4651,921,3723,3520,1750,258,2230,10,893,2681,5231,0,0,37,77,381,154,1292,2419,70,793,0,0,136,0,463,628,0,87,10617,893,32,893,3296,0,1108,162,0,77,299,675,0,0,0,77,141868,54260,37254,40720,20899,3210,2296,2575,21712,7554,2848,4085,0,1348,1763,68124,30497,28599,1946,3750,914,241,34709,408,21473,757,0,6816,2236,0,6490,0,5237,5991,125,4246,3698,8020,8240,0,0,77,77,0,1917,326,326,1509,236,463,0,5,0,0,4190,0,0,2064,5,0,458,1569,0,0,600,0,164,545,0,154,1389,1215,77,0,287,1128,326,326,0,0,82,26,741,27,0,401,82,82,0,5,0,0,849,0,926,0,247,326,0,82,82,331,950,403,87,0,2471,0,326,0,381,473,0,299,458,326,326,0,789,326,326,326,403,377,326,326,0,381,0,77,77,0,0,0,0,0,54,6253,170,87,180,1053,0,26,0,59,1249,1143,0,0,0,0,0,381,0,0,0,0,621,381,5,408,726,0,299,82,5,0,240,2543,82,0,679,0,0,0,1058
BPS_high_wk22_inoculum_d0_E,19440,4315,6692,1445,12981,12766,229,1898,2093,650,39,987,987,1582,422,7421,3101,1996,19917,0,17661,7081,0,5599,1336,7009,2668,325,1204,4261,860,896,2130,120,1020,816,2320,605,42,2018,0,21,0,493,2066,644,0,118,310,1441,442,2362,1921,1561,21,1499,2420,25319,0,1924,601,21,21,23152,2507,0,1224,859,632,1001,1164,9789,4417,1269,0,5969,39,39,0,0,325,1799,1126,601,10392,366,406,60,21,1343,1272,1067,4586,267,4716,325,0,3908,1092,3226,6889,5205,6285,3897,4749,796,3741,3167,1418,148,1879,42,897,2102,5265,0,0,71,39,385,79,1231,2296,121,895,0,0,148,0,445,566,0,81,10772,897,50,897,3396,0,999,223,0,39,325,661,0,0,0,39,139210,51645,37055,39004,20569,2746,2223,2792,20431,6934,3076,3602,0,1260,1785,73506,33301,29189,1854,3953,1196,705,37606,415,21789,749,0,6545,2301,0,6756,0,5229,5907,152,4266,3791,8498,8603,0,0,39,39,0,1864,354,354,1449,139,445,0,21,0,0,4344,0,0,2025,21,0,424,1054,0,0,564,0,120,505,0,79,1364,1174,39,0,358,1082,354,354,0,0,60,13,733,30,0,468,60,60,0,21,0,0,851,0,890,0,181,354,0,60,60,375,1034,394,81,0,2496,0,354,0,385,487,0,325,424,354,354,0,800,354,354,354,394,381,354,354,0,385,0,39,39,0,0,0,0,0,59,6153,141,81,183,968,0,13,0,80,1359,1155,0,0,0,0,0,385,0,0,0,0,602,385,21,415,915,0,325,60,21,0,217,2515,60,0,738,0,0,0,989
BPS_high_wk22_inoculum_d0_F,18091,4869,6227,1304,12073,12168,230,2120,1964,557,95,815,815,1879,925,7946,3011,2452,19393,0,16798,6977,0,6023,1422,7251,2889,279,1644,4514,876,829,2321,196,1167,1117,2512,767,6,1777,0,3,0,593,3172,860,0,285,513,1312,697,2514,1678,1507,3,1499,2160,22367,0,3118,1128,3,3,21809,2549,0,1249,828,696,1819,2067,9421,3927,1212,0,5925,95,95,0,0,278,2724,1655,1128,10079,284,379,98,3,1214,1183,869,5517,459,4680,278,1,3890,1244,3405,6700,4907,6340,3956,4513,995,3684,3715,1940,311,2412,5,876,2953,5190,0,0,31,95,376,190,1349,2531,59,768,0,0,126,0,474,670,0,100,10462,876,28,876,3217,0,1164,162,0,96,278,674,0,0,0,95,143210,55768,37523,41753,21111,3550,2399,2487,22646,7835,2793,4313,0,1382,1729,65626,29648,28269,2020,3671,875,180,32470,401,21146,750,0,6899,2186,0,6339,0,5235,6111,131,4210,3655,7771,8029,0,0,95,95,0,1920,303,303,1519,288,474,0,3,0,0,4151,0,0,2074,3,0,471,1809,0,0,623,0,196,572,0,191,1400,1221,96,0,262,1174,303,303,0,0,98,32,751,25,0,387,98,98,0,3,0,0,852,0,947,0,293,303,0,98,98,306,885,399,101,0,2431,0,303,0,376,479,0,278,471,303,303,0,777,303,303,303,399,367,303,303,0,376,0,95,95,0,0,0,0,0,51,6235,198,100,203,1091,0,32,0,53,1165,1128,0,0,0,0,0,376,0,0,0,0,623,376,3,401,710,0,278,98,3,0,247,2524,98,0,632,0,0,0,1093
BPS_high_wk22_inoculum_d0_G,18303,4166,7040,2004,12708,12259,287,2314,2038,592,1,1006,1006,1413,151,6984,3028,2118,19212,0,17483,7236,0,5757,1328,7533,2499,297,1421,4111,840,781,2204,147,989,1269,2087,594,147,2217,0,73,0,400,1848,592,0,2,323,1404,311,2373,2182,1550,73,1332,2201,24312,0,1225,195,73,73,21570,2327,0,1137,820,578,359,670,9636,4624,1447,0,5606,1,1,0,0,296,1274,763,195,10751,441,443,73,73,1371,1198,1134,4399,156,5160,296,2,4021,1178,2977,7037,5162,6672,3918,4206,771,3543,2990,1286,29,1618,145,801,1479,5132,0,0,173,1,369,1,1361,2542,272,1175,0,0,134,0,443,590,0,146,10372,801,100,801,3278,0,915,491,0,2,296,585,0,0,0,1,136996,50805,38033,38732,20598,3120,2610,3122,21405,6186,3704,3079,0,1110,1647,79568,39677,29472,1981,4294,2165,2325,34426,396,20910,666,0,5944,2242,0,6876,0,5187,6399,319,4111,3897,8857,8721,0,0,1,1,0,1649,323,323,1254,75,443,0,73,0,0,4748,0,0,1923,73,0,370,486,0,0,572,0,147,516,0,2,1336,1037,1,0,488,1205,323,323,0,0,74,0,777,27,0,660,74,74,0,73,0,0,884,0,885,0,220,323,0,74,74,396,942,323,146,0,2333,0,323,0,369,588,0,296,370,323,323,0,765,323,323,323,323,323,323,323,0,370,0,1,1,0,0,0,0,1,54,5595,219,146,364,867,0,0,0,126,1240,1109,0,0,0,0,0,369,0,0,0,0,531,369,73,396,1640,0,296,74,73,0,162,2261,73,0,673,0,0,0,940
BPS_high_wk22_control_d2_A,18901,4456,6608,1481,12698,12522,243,2025,2050,615,50,939,939,1645,530,7513,3063,2144,19669,0,17381,7066,0,5743,1359,7154,2713,308,1358,4313,863,861,2198,146,1059,962,2344,653,47,1974,0,23,0,511,2356,699,0,150,371,1398,498,2411,1885,1542,22,1476,2315,24345,0,2171,697,22,22,22563,2495,0,1219,844,643,1148,1354,9659,4305,1278,0,5905,50,50,0,0,308,1991,1227,697,10358,353,404,73,22,1311,1237,1019,4829,307,4772,308,3,3919,1145,3242,6851,5110,6354,3915,4604,850,3698,3301,1553,179,2000,45,878,2260,5225,0,0,74,50,380,100,1284,2400,123,896,0,0,140,0,453,599,0,95,10624,878,51,878,3327,0,1036,241,0,51,307,654,0,0,0,50,140060,52710,37341,39764,20737,3023,2333,2749,21196,7094,3077,3737,0,1274,1750,72052,33100,28955,1916,3915,1231,769,35745,408,21473,738,0,6562,2258,1,6648,0,5222,6025,169,4227,3764,8331,8448,0,0,51,51,0,1851,335,335,1443,174,453,0,22,1,0,4340,0,0,2026,22,0,430,1194,0,0,584,0,146,525,0,101,1370,1169,51,0,349,1124,335,335,0,0,73,17,744,28,0,471,73,73,0,23,0,0,855,0,905,0,218,335,0,73,73,358,978,385,96,0,2455,0,335,0,380,498,0,307,430,335,335,0,787,335,335,335,385,368,335,335,1,381,0,51,51,0,0,0,0,1,56,6098,168,95,212,989,0,17,0,78,1288,1141,0,0,0,0,0,380,1,0,0,0,598,380,22,408,951,0,307,73,23,0,218,2483,73,0,699,0,0,0,1011
BPS_high_wk22_control_d2_B,18903,4522,6535,1414,12671,12514,246,2014,2047,613,59,920,920,1688,600,7603,3060,2173,19692,0,17312,7032,0,5766,1365,7130,2756,308,1371,4350,867,866,2213,151,1077,939,2386,674,35,1930,0,16,0,533,2477,724,0,176,389,1390,534,2429,1835,1536,15,1491,2314,24205,0,2344,783,15,15,22622,2517,0,1230,845,654,1282,1480,9638,4242,1256,0,5936,59,59,0,0,306,2121,1307,783,10308,337,398,74,15,1299,1238,995,4930,335,4735,306,6,3907,1147,3280,6815,5083,6320,3915,4633,869,3714,3368,1616,206,2077,31,885,2394,5230,0,0,60,59,381,118,1284,2401,102,855,0,0,139,0,456,605,0,90,10630,885,45,885,3321,0,1060,208,0,61,305,662,0,0,0,59,140635,53148,37315,40045,20794,3050,2320,2688,21286,7252,2984,3854,0,1300,1757,70732,32109,28835,1913,3852,1099,552,35691,408,21484,746,0,6648,2251,1,6592,0,5220,5981,151,4235,3738,8220,8376,0,0,60,60,0,1877,333,333,1470,194,456,0,15,1,0,4276,0,0,2041,15,0,439,1316,0,0,590,0,149,529,0,120,1376,1188,61,0,328,1119,333,333,0,0,75,20,740,29,0,443,75,75,0,17,0,0,849,0,908,0,224,333,0,75,75,351,974,392,91,0,2465,0,333,0,381,486,0,305,439,333,333,0,786,333,333,333,392,372,333,333,1,382,0,60,60,0,0,0,0,2,56,6157,165,90,195,1008,0,20,0,71,1286,1143,0,0,0,0,0,381,1,0,0,0,606,381,16,408,856,0,305,75,17,0,225,2508,74,0,696,0,0,0,1024
BPS_high_wk22_control_d2_C,11480,5705,6185,2662,9053,9254,382,3867,1488,165,108,477,477,2059,1280,7844,2588,3880,16043,0,14278,7228,0,7486,1604,9380,2870,83,3337,4653,851,326,2973,452,1411,3203,2247,1095,236,1823,0,118,0,532,5089,1203,0,324,1020,901,893,2887,1911,1353,118,999,892,12373,0,3794,1133,118,118,13823,2099,0,1042,640,680,1790,2689,8113,3404,1617,0,4731,108,108,0,0,83,3305,1801,1133,10401,319,427,226,118,989,745,610,7122,573,5911,83,0,4185,1866,3077,6725,4094,7640,4168,2331,1387,2947,4457,2748,332,2850,236,537,3059,4614,0,0,244,108,309,216,2014,3808,369,1326,0,0,38,0,535,987,0,344,8545,537,126,537,2452,0,1293,831,0,108,83,477,0,0,0,108,145835,62877,41491,47314,22430,6582,3950,2779,30790,7661,4048,4378,0,1214,1185,65648,40517,27010,2805,4063,3079,3886,10623,316,17039,499,0,5920,1752,0,5750,0,5139,8111,588,3615,3669,7194,7078,0,0,108,108,0,1401,90,90,1084,442,535,0,118,0,0,4940,0,0,1878,118,0,417,1851,0,0,776,0,452,761,0,216,1401,916,108,0,429,1765,90,90,0,0,226,36,932,8,0,781,226,226,0,118,0,0,962,0,1070,0,678,90,0,226,226,208,263,198,344,0,1787,0,90,0,309,771,0,83,417,90,90,0,625,90,90,90,198,162,90,90,0,309,0,108,108,0,0,0,0,0,15,4748,570,344,806,1075,0,36,0,133,346,926,0,0,0,0,0,309,0,0,0,0,462,309,118,316,2444,0,83,226,118,0,153,1777,226,0,188,0,0,0,1193
