sample	2-Oxocarboxylic acid metabolism	ABC transporters	Alanine, aspartate and glutamate metabolism	Amino sugar and nucleotide sugar metabolism	Aminobenzoate degradation	Anthocyanin biosynthesis	Arabinogalactan biosynthesis - Mycobacterium	Arachidonic acid metabolism	Arginine and proline metabolism	Arginine biosynthesis	Ascorbate and aldarate metabolism	Benzoate degradation	Betalain biosynthesis	Bile secretion	Biosynthesis of 12-, 14- and 16-membered macrolides	Biosynthesis of alkaloids derived from shikimate pathway	Biosynthesis of amino acids	Biosynthesis of ansamycins	Biosynthesis of cofactors	Biosynthesis of nucleotide sugars	Biosynthesis of phenylpropanoids	Biosynthesis of plant secondary metabolites	Biosynthesis of secondary metabolites	Biosynthesis of terpenoids and steroids	Biosynthesis of various antibiotics	Biosynthesis of various plant secondary metabolites	Bisphenol degradation	Butanoate metabolism	C5-Branched dibasic acid metabolism	Caffeine metabolism	Caprolactam degradation	Carbon metabolism	Carotenoid biosynthesis	Chemical carcinogenesis - DNA adducts	Chemical carcinogenesis - reactive oxygen species	Chemical carcinogenesis - receptor activation	Chloroalkane and chloroalkene degradation	Chlorocyclohexane and chlorobenzene degradation	Cutin, suberine and wax biosynthesis	Cyanoamino acid metabolism	D-Amino acid metabolism	Degradation of aromatic compounds	Degradation of flavonoids	Dioxin degradation	Diterpenoid biosynthesis	Dopaminergic synapse	Drug metabolism - cytochrome P450	Eicosanoids	Ethylbenzene degradation	Fatty acid degradation	Flavone and flavonol biosynthesis	Flavonoid biosynthesis	Folate biosynthesis	Fructose and mannose metabolism	Galactose metabolism	Glycine, serine and threonine metabolism	Hepatocellular carcinoma	Indole alkaloid biosynthesis	Inflammatory mediator regulation of TRP channels	Inositol phosphate metabolism	Isoflavonoid biosynthesis	Linoleic acid metabolism	Lipopolysaccharide biosynthesis	Lysine degradation	Metabolic pathways	Metabolism of xenobiotics by cytochrome P450	Methane metabolism	Microbial metabolism in diverse environments	Mycolic acid biosynthesis	Naphthalene degradation	Neomycin, kanamycin and gentamicin biosynthesis	Nicotinate and nicotinamide metabolism	Nitrotoluene degradation	Ovarian steroidogenesis	Oxytocin signaling pathway	PPAR signaling pathway	Pantothenate and CoA biosynthesis	Pathways in cancer	Pentose and glucuronate interconversions	Phenylalanine metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylpropanoid biosynthesis	Phosphotransferase system (PTS)	Platelet activation	Polycyclic aromatic hydrocarbon degradation	Porphyrin metabolism	Primary bile acid biosynthesis	Prostaglandins	Protein digestion and absorption	Pyrimidine metabolism	Pyruvate metabolism	Retrograde endocannabinoid signaling	Secondary bile acid biosynthesis	Serotonergic synapse	Sesquiterpenoid and triterpenoid biosynthesis	Starch and sucrose metabolism	Stilbenoid, diarylheptanoid and gingerol biosynthesis	Streptomycin biosynthesis	Sulfur metabolism	Systemic lupus erythematosus	Thiamine metabolism	Toluene degradation	Tropane, piperidine and pyridine alkaloid biosynthesis	Tryptophan metabolism	Two-component system	Type I polyketide structures	Tyrosine metabolism	Valine, leucine and isoleucine biosynthesis	Vancomycin resistance	Vascular smooth muscle contraction	Xylene degradation	alpha-Linolenic acid metabolism	beta-Alanine metabolism	cAMP signaling pathway
BPS_high_wk40_bps_d1_A	16.16073332485334	19.63013989249558	14.500298396363462	19.437354341040944	14.500298396363462	15.01294631822595	19.437354341040944	16.92723929907199	16.16073332485334	14.500298396363462	15.500298396363462	14.634974771638234	14.427593221809698	11.146962713824497	14.500298396363462	14.427593221809698	20.907317641912773	16.384179649355847	20.920781050069568	19.601466908545703	21.060382599192184	21.23295762099967	23.18595044503492	20.765731749492172	20.24729016014354	21.001263321531994	20.90514038762018	15.539155139665763	19.459416859015512	15.01294631822595	15.612076300158686	15.054317254615276	19.257516568696634	19.403702552260988	19.328556523649056	17.41038263121389	15.01294631822595	21.43758910750066	17.464622812352847	15.054317254615276	16.16073332485334	19.715066151911454	16.872333702125143	15.68125083871453	19.104243712511316	14.427593221809698	11.146962713824497	15.464403761302698	15.19343101550973	14.500298396363462	11.146962713824497	20.30946535853875	20.852549548304754	21.40947540377346	19.437354341040944	19.5050669852947	11.146962713824497	20.199943201584066	17.775797935462972	19.257516568696634	21.46280760180489	15.01294631822595	19.459416859015512	16.064311800348115	25.0297701493341	19.323578942200957	16.276369596161995	24.694291472335546	15.468759561643196	19.459416859015512	16.384179649355847	22.35490909841891	11.146962713824497	15.749755686803887	14.500298396363462	15.01294631822595	16.855842015802423	11.146962713824497	14.500298396363462	14.427593221809698	20.852549548304754	19.62117332945356	15.468759561643196	14.500298396363462	14.500298396363462	16.484615161309776	20.852549548304754	14.500298396363462	11.146962713824497	14.500298396363462	21.40947540377346	14.500298396363462	24.789707424626734	16.256262577350505	21.766954421204062	16.040130049474474	16.384179649355847	20.890215870644894	23.789707424626734	14.500298396363462	15.468759561643196	19.46394786192746	11.146962713824497	16.186515390386052	19.5050669852947	14.500298396363462	15.427593221809698	15.612076300158686	23.789707424626734	15.01294631822595	14.427593221809698	16.597908818947104	14.500298396363462	15.468759561643196
BPS_high_wk40_bps_d1_B	16.84844923747711	19.405548395966044	15.334953996135035	19.61780768404908	15.334953996135035	15.156916785041535	19.61780768404908	17.496568568775018	16.84844923747711	15.334953996135035	16.334953996135035	15.67350342148826	14.57434765470941	13.416209425315772	15.334953996135035	14.57434765470941	20.853738699077763	16.346142765096722	20.859258293032845	19.759953640582577	20.578975414550527	20.84846977624643	23.55098030368251	22.51473730940984	19.9480973613601	20.489456131835638	22.563208098364324	15.708171904725889	19.16088062467105	15.156916785041535	16.226380102316295	16.17852956412562	18.6291892344913	19.151876959652554	19.080991508023224	17.122882048359653	15.156916785041535	22.60731175879635	17.64353355967125	16.17852956412562	16.84844923747711	19.55172339656302	17.268742197381115	15.77138022072807	19.69464592688268	14.57434765470941	13.416209425315772	16.00420595583107	15.24599691425545	15.334953996135035	13.416209425315772	20.040442341008696	20.760981236879328	22.59213546623264	19.61780768404908	19.259185594662878	13.416209425315772	19.888842519722967	18.45134274755132	18.6291892344913	22.62451974604116	15.156916785041535	19.16088062467105	16.35696952248969	25.456576967273133	19.05226907685035	16.833330565096123	24.906804945977264	15.37865413532699	19.16088062467105	16.346142765096722	22.293455123850098	13.416209425315772	15.894840203876097	15.334953996135035	15.156916785041535	17.29315188979665	13.416209425315772	15.334953996135035	14.57434765470941	20.760981236879328	19.35260489897989	15.37865413532699	15.334953996135035	15.334953996135035	16.93463077944117	20.760981236879328	15.334953996135035	13.416209425315772	15.334953996135035	22.59213546623264	15.334953996135035	24.45938758498663	16.641888679077628	22.804637149028636	16.031840101497252	16.346142765096722	20.821923498288978	23.45938758498663	15.334953996135035	15.37865413532699	19.18753923419419	13.416209425315772	16.29360826627058	19.259185594662878	15.334953996135035	15.57434765470941	16.226380102316295	23.45938758498663	15.156916785041535	14.57434765470941	16.74187928576269	15.334953996135035	15.37865413532699
BPS_high_wk40_bps_d1_C	19.67961768089041	20.76232677947506	13.89582570791788	19.038548981253093	13.89582570791788	14.89762685434017	19.038548981253093	16.50742341486663	19.67961768089041	13.89582570791788	14.89582570791788	14.449700566645644	14.045479323512136	12.800477943593167	13.89582570791788	14.045479323512136	20.960133776866936	16.598297614603997	20.29911451162663	19.282524537129362	20.57222486013652	19.483346029629082	23.1556259605341	22.491548133713124	20.036482558739156	20.470292900943686	22.526392241742123	16.022598766952157	20.6860557118826	14.89762685434017	19.653190472721924	15.327813732352107	17.431780043448928	19.30700550999392	18.98999955925452	16.167547342012398	14.89762685434017	21.96040387487706	17.13729741369102	15.327813732352107	19.67961768089041	20.87668011018449	19.759638662566555	15.793679409943653	18.246863026115157	14.045479323512136	12.800477943593167	14.972592129593528	17.043494974723263	13.89582570791788	12.800477943593167	20.119801327483792	20.194884685555145	21.937620893098735	19.038548981253093	20.699032195146856	12.800477943593167	19.982105317208838	16.798386629817674	17.431780043448928	22.225901175480296	14.89762685434017	20.6860557118826	16.188422494792963	25.274228013076915	18.970095793824186	16.617757071458193	24.852096913077585	15.859067439475758	20.6860557118826	16.598297614603997	22.34226791672657	12.800477943593167	15.53357577958238	13.89582570791788	14.89762685434017	19.77827741132754	12.800477943593167	13.89582570791788	14.045479323512136	20.194884685555145	20.76850147054704	15.859067439475758	13.89582570791788	13.89582570791788	16.45638705125995	20.194884685555145	13.89582570791788	12.800477943593167	13.89582570791788	21.937620893098735	13.89582570791788	24.036840877153182	15.935596355112805	22.749193743456402	16.22025469013649	16.598297614603997	20.949313621687	23.036840877153182	13.89582570791788	15.859067439475758	20.69214354117164	12.800477943593167	16.16960621212246	20.699032195146856	13.89582570791788	15.045479323512136	19.653190472721924	23.036840877153182	14.89762685434017	14.045479323512136	16.482589355061325	13.89582570791788	15.859067439475758
BPS_high_wk40_bps_d1_D	20.435770558285064	19.619910538187387	15.72834761097237	19.820792435866228	15.72834761097237	15.38048816175046	19.820792435866228	17.7016401412384	20.435770558285064	15.72834761097237	16.72834761097237	16.045003037338226	12.90092014273204	13.701789427162145	15.72834761097237	12.90092014273204	22.629263584100368	16.448550836999534	22.319289359614924	19.953793825661407	21.00976078975127	20.727965826039544	24.112332353764444	22.318851979898852	20.52455897372603	20.937779931003924	22.536682624178486	16.068876368204364	19.392809363797618	15.38048816175046	20.379465657234423	15.062265601891133	18.33856602379245	22.79938501938916	22.64964487694086	20.56741176660052	15.38048816175046	21.9710655118911	19.701649914936667	15.062265601891133	20.435770558285064	20.669963508421215	20.99890552186768	17.273210435416793	21.70417452974549	12.90092014273204	13.701789427162145	15.91849884039622	19.483396658250783	15.72834761097237	13.701789427162145	20.680110731273363	22.27335710999645	21.909506898040757	19.820792435866228	19.50232439004135	13.701789427162145	20.49164891607014	20.33719954249927	18.33856602379245	22.38444653326187	15.38048816175046	19.392809363797618	16.743260353767816	25.57218843070078	22.6467204434526	16.451684706718	25.0871683241728	15.758020523395068	19.392809363797618	16.448550836999534	23.193813309795388	13.701789427162145	15.618416588075194	15.72834761097237	15.38048816175046	20.491065095469725	13.701789427162145	15.72834761097237	12.90092014273204	22.27335710999645	19.569035287849943	15.758020523395068	15.72834761097237	15.72834761097237	17.32326904816057	22.27335710999645	15.72834761097237	13.701789427162145	15.72834761097237	21.909506898040757	15.72834761097237	24.444415011515858	16.67442891702203	22.73523558225625	15.944540417405989	16.448550836999534	22.617140439906507	23.444415011515858	15.72834761097237	15.758020523395068	19.420468402423968	13.701789427162145	17.341241012056372	19.50232439004135	15.72834761097237	13.90092014273204	20.379465657234423	23.444415011515858	15.38048816175046	12.90092014273204	16.965450662471614	15.72834761097237	15.758020523395068
BPS_high_wk40_bps_d1_E	16.37052169084254	19.65967703113358	14.121264374247623	19.66556084186983	14.121264374247623	13.088282174473825	19.66556084186983	16.142601853662267	16.37052169084254	14.121264374247623	15.121264374247623	14.675880895185786	13.31257635271124	13.028241665098916	14.121264374247623	13.31257635271124	20.30547459074769	16.598144444898647	20.316288599839268	19.82814883137124	20.31726591164102	21.229603100985624	23.579274118113133	19.880286946825287	20.242332211568964	20.19331705156212	21.18442678113573	16.035931160063104	19.499899689440618	13.088282174473825	16.029839180263913	16.208508960399534	19.3936259270188	19.64846661816006	19.27288680075351	16.905205231057302	13.088282174473825	22.583554044526355	20.4354793176806	16.208508960399534	16.37052169084254	20.66734333360579	20.794213729314155	19.38039822441795	20.65024122334457	13.31257635271124	13.028241665098916	14.772856449894231	17.585778340904906	14.121264374247623	13.028241665098916	20.881054412453576	20.207922634261966	22.41557690048094	19.66556084186983	19.53416668808026	13.028241665098916	20.194593974117957	16.902615539699127	19.3936259270188	22.598830003805052	13.088282174473825	19.499899689440618	16.22610054567147	25.486890778077615	19.253734162279024	17.03790269939927	25.109138586954636	15.844381243343424	19.499899689440618	16.598144444898647	22.383642752410417	13.028241665098916	14.204783726337057	14.121264374247623	13.088282174473825	17.131304668445935	13.028241665098916	14.121264374247623	13.31257635271124	20.207922634261966	19.68107704365876	15.844381243343424	14.121264374247623	14.121264374247623	16.527662011295625	20.207922634261966	14.121264374247623	13.028241665098916	14.121264374247623	22.41557690048094	14.121264374247623	25.205470942354935	15.163628345390046	21.414411056876293	16.074488581775622	16.598144444898647	20.28549690229361	24.205470942354935	14.121264374247623	15.844381243343424	19.516064700405344	13.028241665098916	19.401746409674185	19.53416668808026	14.121264374247623	14.31257635271124	16.029839180263913	24.205470942354935	13.088282174473825	13.31257635271124	14.673244675194981	14.121264374247623	15.844381243343424
BPS_high_wk40_bps_d1_F	19.14832787766601	19.204413058927177	13.929054159117534	19.21818994003102	13.929054159117534	15.137784813747071	19.21818994003102	16.6611149241769	19.14832787766601	13.929054159117534	14.929054159117534	14.36308045474667	14.343404238121664	12.418591786845214	13.929054159117534	14.343404238121664	20.314632805041985	16.464761533181218	19.6223381920525	19.41768710155896	20.230706220667894	19.94524130394695	23.149008378667283	20.622343704560514	19.63459462021879	20.113610432292266	21.284742977311243	15.831275413185315	18.97387937613225	15.137784813747071	19.109071349126236	16.565815871876698	18.87808806780395	22.889810039221434	22.789054139115617	17.50561371240977	15.137784813747071	22.01588922459928	19.843200029534273	16.565815871876698	19.14832787766601	20.30561342612474	20.742033999109022	17.638499998484853	20.005588531035443	14.343404238121664	12.418591786845214	15.151053808976814	19.01488323881965	13.929054159117534	12.418591786845214	19.965042670930973	19.46373328475019	21.94279142865882	19.21818994003102	19.016935420519797	12.418591786845214	19.56632958902182	16.490628215153578	18.87808806780395	22.196470025741412	15.137784813747071	18.97387937613225	16.06225067901255	25.134589596369185	22.787963908464548	17.19302373652214	24.7243486522456	15.689012684873742	18.97387937613225	16.464761533181218	22.16897070077634	12.418591786845214	15.794592965651594	13.929054159117534	15.137784813747071	19.273868462262488	12.418591786845214	13.929054159117534	14.343404238121664	19.46373328475019	19.207353937393215	15.689012684873742	13.929054159117534	13.929054159117534	16.3585051265411	19.46373328475019	13.929054159117534	12.418591786845214	13.929054159117534	21.94279142865882	13.929054159117534	24.66306059262565	16.14443456628492	21.426991182561572	16.167713266124043	16.464761533181218	20.297273431318665	23.66306059262565	13.929054159117534	15.689012684873742	18.989138779414947	12.418591786845214	17.778463552096007	19.016935420519797	13.929054159117534	15.343404238121664	19.109071349126236	23.66306059262565	15.137784813747071	14.343404238121664	16.722747314468226	13.929054159117534	15.689012684873742
BPS_high_wk40_bps_d1_G	18.60391369161379	20.156748371144005	12.312038347135108	19.30578362279915	12.312038347135108	14.872438167723775	19.30578362279915	15.725103225592505	18.60391369161379	12.312038347135108	13.312038347135108	13.56401388129002	13.122177491694767	12.77845488378547	12.312038347135108	13.122177491694767	21.092508857590506	16.796869481402265	20.868577473142853	19.539288622181317	20.37018423033655	21.00974057928665	23.822741642350245	22.222185044002217	20.02863532798441	20.23540180242037	22.7782704507186	16.171229982756486	20.0534500426519	14.872438167723775	18.58538188926025	18.32441517047842	20.409963667387093	20.768039947391312	19.080846231567296	17.627184929738693	14.872438167723775	22.51692557464485	21.133759666276607	18.32441517047842	18.60391369161379	21.45880651485061	20.851493633897878	19.00999540430918	21.202099045938244	13.122177491694767	12.77845488378547	13.77324236531215	20.239808385877346	12.312038347135108	12.77845488378547	20.613742216166372	20.809403741134382	22.382234039096712	19.30578362279915	20.06017616301202	12.77845488378547	19.96368068183551	16.38872519841829	20.409963667387093	22.608506441717658	14.872438167723775	20.0534500426519	16.13277890676849	26.188485163472645	19.062449880736633	18.591545205642642	25.891462296183942	16.026888241417623	20.0534500426519	16.796869481402265	22.82538038952208	12.77845488378547	15.2478925517398	12.312038347135108	14.872438167723775	18.82744265424531	12.77845488378547	12.312038347135108	13.122177491694767	20.809403741134382	20.19701808461574	16.026888241417623	12.312038347135108	12.312038347135108	16.231426057981604	20.809403741134382	12.312038347135108	12.77845488378547	12.312038347135108	22.382234039096712	12.312038347135108	26.111592907828513	15.42508734025481	22.787873753439438	16.207717110532965	16.796869481402265	21.08922424745592	25.111592907828513	12.312038347135108	16.026888241417623	20.06273509781451	12.77845488378547	19.03415685476406	20.06017616301202	12.312038347135108	14.122177491694767	18.58538188926025	25.111592907828513	14.872438167723775	13.122177491694767	16.45740066844493	12.312038347135108	16.026888241417623
BPS_high_wk40_bps_d2_A	16.592975092898346	20.049733713671984	15.601217368729351	19.25492135061564	15.601217368729351	15.566916745905193	19.25492135061564	17.714414881746556	16.592975092898346	15.601217368729351	16.60121736872935	15.793880058993507	14.086587750632365	12.794003339225922	15.601217368729351	14.086587750632365	21.702404391078176	14.917483586579877	21.71731474259816	19.324575891473085	20.065946184013075	22.37699955451082	23.5573854546633	22.45384082621687	19.44932890786574	20.015048605224678	22.556827048582882	15.357657490863591	19.907363273673454	15.566916745905193	15.584685457335853	14.604009830534805	19.994768409739063	22.912672191140356	22.888296271884954	16.913064237435687	15.566916745905193	22.344217105799686	18.69739711918481	14.604009830534805	16.592975092898346	20.26636529628594	17.131286530112483	15.802115274632598	19.021914764124322	14.086587750632365	12.794003339225922	16.03416214225934	17.088779348528448	15.601217368729351	12.794003339225922	19.573306062316092	21.659996126227725	22.326705717147448	19.25492135061564	19.9785080622703	12.794003339225922	19.45724489415663	16.64038820579371	19.994768409739063	22.35747138944304	15.566916745905193	19.907363273673454	16.368268212522175	25.815564111271755	22.886975924230807	15.86756156121328	25.474258633681092	15.090323386755308	19.907363273673454	14.917483586579877	22.71787784265051	12.794003339225922	16.008832619429814	15.601217368729351	15.566916745905193	17.029034722554186	12.794003339225922	15.601217368729351	14.086587750632365	21.659996126227725	19.952065114526015	15.090323386755308	15.601217368729351	15.601217368729351	17.03513154161989	21.659996126227725	15.601217368729351	12.794003339225922	15.601217368729351	22.326705717147448	15.601217368729351	25.564721361693298	16.819373182058172	22.833557533810406	15.674041749887527	14.917483586579877	21.681234593186826	24.564721361693298	15.601217368729351	15.090323386755308	19.917745159825337	12.794003339225922	16.18560249514629	19.9785080622703	15.601217368729351	15.086587750632365	15.584685457335853	24.564721361693298	15.566916745905193	14.086587750632365	17.151879246626347	15.601217368729351	15.090323386755308
BPS_high_wk40_bps_d2_B	16.688036851937355	20.08984402885684	15.359213046038821	18.969137683895923	15.359213046038821	15.23563178089481	18.969137683895923	17.4671704918903	16.688036851937355	15.359213046038821	16.35921304603882	15.479958116356485	14.01144405029591	11.84127644663827	15.359213046038821	14.01144405029591	20.606102665272463	16.388372789662206	20.622256217900954	19.192130511566116	20.573396630367622	20.950077965223496	22.74518607962335	22.60976553414543	20.010269255850037	20.488223197498634	22.681320908090417	15.397417996719838	19.95718491920392	15.23563178089481	15.95565015529374	15.58372961825406	19.02717397664484	20.03138069048803	19.894961338338213	16.597686508473014	15.23563178089481	20.394791763108717	18.31212865188821	15.58372961825406	16.688036851937355	20.233893698796415	17.038006956398753	15.579675226447321	19.513056637950516	14.01144405029591	11.84127644663827	15.83730386719279	16.61479817514188	15.359213046038821	11.84127644663827	20.0804479766512	20.507361918910597	20.33862427147443	18.969137683895923	20.015560479511088	11.84127644663827	19.945604464224722	17.931273384992043	19.02717397664484	20.459810234103617	15.23563178089481	19.95718491920392	16.314926953788234	25.302906346170765	19.889521420468807	16.435036471031736	24.946837480033363	15.269238251885938	19.95718491920392	16.388372789662206	22.320380126406302	11.84127644663827	15.749666595488156	15.359213046038821	15.23563178089481	17.146443687848453	11.84127644663827	15.359213046038821	14.01144405029591	20.507361918910597	20.073910911991423	15.269238251885938	15.359213046038821	15.359213046038821	16.914803045392894	20.507361918910597	15.359213046038821	11.84127644663827	15.359213046038821	20.33862427147443	15.359213046038821	24.887296802054337	16.5676088331376	22.91435173912722	15.773281805752454	16.388372789662206	20.567600455897434	23.887296802054337	15.359213046038821	15.269238251885938	19.96237603923528	11.84127644663827	15.998913783037882	20.015560479511088	15.359213046038821	15.01144405029591	15.95565015529374	23.887296802054337	15.23563178089481	14.01144405029591	16.820594281615964	15.359213046038821	15.269238251885938
BPS_high_wk40_bps_d2_C	18.183854335992383	19.706516876805527	14.164627226770293	18.723101780403375	14.164627226770293	15.974865020232897	18.723101780403375	16.95530871396542	18.183854335992383	14.164627226770293	15.164627226770293	14.454652193495843	12.887319861268669	11.997550845793656	14.164627226770293	12.887319861268669	20.726235584721362	16.592523047202747	20.584943182642345	19.01984254276679	20.55287728589232	19.86197432049179	23.10750679371185	22.454720297990445	20.030559317586498	20.452981583792504	22.486467733340664	16.65647164968221	19.478353138205875	15.974865020232897	18.092017673669204	15.218536843170947	18.988547281520102	19.959580504412855	19.629196592398667	16.987953927697355	15.974865020232897	21.828509451855155	16.964640613619792	15.218536843170947	18.183854335992383	19.994809364281213	18.483451013835403	16.042617663728073	17.632867044287625	12.887319861268669	11.997550845793656	14.662944276127359	17.698983531290537	14.164627226770293	11.997550845793656	20.12390647833729	20.454532009482687	21.8005068693325	18.723101780403375	19.51417765700603	11.997550845793656	20.031084259871506	16.63930950384291	18.988547281520102	21.932879173648846	15.974865020232897	19.478353138205875	16.84321857683549	25.365666430916324	19.621903402446506	17.06736713184633	24.919064184025103	16.598202251987832	19.478353138205875	16.592523047202747	22.605315466158235	11.997550845793656	16.13532102762481	14.164627226770293	15.974865020232897	18.59871947034875	11.997550845793656	14.164627226770293	12.887319861268669	20.454532009482687	19.66141910694658	16.598202251987832	14.164627226770293	14.164627226770293	17.05260175812889	20.454532009482687	14.164627226770293	11.997550845793656	14.164627226770293	21.8005068693325	14.164627226770293	24.608940948307982	16.463158180828952	22.78769996328645	16.70437405226406	16.592523047202747	20.7108808374241	23.608940948307982	14.164627226770293	16.598202251987832	19.486407216253458	11.997550845793656	16.19609016874316	19.51417765700603	14.164627226770293	13.887319861268669	18.092017673669204	23.608940948307982	15.974865020232897	12.887319861268669	17.55982752095405	14.164627226770293	16.598202251987832
