sample	2-Oxocarboxylic acid metabolism	ABC transporters	Alanine, aspartate and glutamate metabolism	Amino sugar and nucleotide sugar metabolism	Aminobenzoate degradation	Anthocyanin biosynthesis	Arabinogalactan biosynthesis - Mycobacterium	Arachidonic acid metabolism	Arginine and proline metabolism	Arginine biosynthesis	Ascorbate and aldarate metabolism	Benzoate degradation	Betalain biosynthesis	Bile secretion	Biosynthesis of 12-, 14- and 16-membered macrolides	Biosynthesis of alkaloids derived from shikimate pathway	Biosynthesis of amino acids	Biosynthesis of ansamycins	Biosynthesis of cofactors	Biosynthesis of nucleotide sugars	Biosynthesis of phenylpropanoids	Biosynthesis of plant secondary metabolites	Biosynthesis of secondary metabolites	Biosynthesis of terpenoids and steroids	Biosynthesis of various antibiotics	Biosynthesis of various plant secondary metabolites	Bisphenol degradation	Butanoate metabolism	C5-Branched dibasic acid metabolism	Caffeine metabolism	Caprolactam degradation	Carbon metabolism	Carotenoid biosynthesis	Chemical carcinogenesis - DNA adducts	Chemical carcinogenesis - reactive oxygen species	Chemical carcinogenesis - receptor activation	Chloroalkane and chloroalkene degradation	Chlorocyclohexane and chlorobenzene degradation	Cutin, suberine and wax biosynthesis	Cyanoamino acid metabolism	D-Amino acid metabolism	Degradation of aromatic compounds	Degradation of flavonoids	Dioxin degradation	Diterpenoid biosynthesis	Dopaminergic synapse	Drug metabolism - cytochrome P450	Eicosanoids	Ethylbenzene degradation	Fatty acid degradation	Flavone and flavonol biosynthesis	Flavonoid biosynthesis	Folate biosynthesis	Fructose and mannose metabolism	Galactose metabolism	Glycine, serine and threonine metabolism	Hepatocellular carcinoma	Indole alkaloid biosynthesis	Inflammatory mediator regulation of TRP channels	Inositol phosphate metabolism	Isoflavonoid biosynthesis	Linoleic acid metabolism	Lipopolysaccharide biosynthesis	Lysine degradation	Metabolic pathways	Metabolism of xenobiotics by cytochrome P450	Methane metabolism	Microbial metabolism in diverse environments	Mycolic acid biosynthesis	Naphthalene degradation	Neomycin, kanamycin and gentamicin biosynthesis	Nicotinate and nicotinamide metabolism	Nitrotoluene degradation	Ovarian steroidogenesis	Oxytocin signaling pathway	PPAR signaling pathway	Pantothenate and CoA biosynthesis	Pathways in cancer	Pentose and glucuronate interconversions	Phenylalanine metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylpropanoid biosynthesis	Phosphotransferase system (PTS)	Platelet activation	Polycyclic aromatic hydrocarbon degradation	Porphyrin metabolism	Primary bile acid biosynthesis	Prostaglandins	Protein digestion and absorption	Pyrimidine metabolism	Pyruvate metabolism	Retrograde endocannabinoid signaling	Secondary bile acid biosynthesis	Serotonergic synapse	Sesquiterpenoid and triterpenoid biosynthesis	Starch and sucrose metabolism	Stilbenoid, diarylheptanoid and gingerol biosynthesis	Streptomycin biosynthesis	Sulfur metabolism	Systemic lupus erythematosus	Thiamine metabolism	Toluene degradation	Tropane, piperidine and pyridine alkaloid biosynthesis	Tryptophan metabolism	Two-component system	Type I polyketide structures	Tyrosine metabolism	Valine, leucine and isoleucine biosynthesis	Vancomycin resistance	Vascular smooth muscle contraction	Xylene degradation	alpha-Linolenic acid metabolism	beta-Alanine metabolism	cAMP signaling pathway
DINP_high_wk40_control_d1_A	13.958462400651209	18.08187682210905	12.35896323037423	13.5102275907724	12.35896323037423	13.08205344870812	13.5102275907724	15.262247622890982	13.958462400651209	12.35896323037423	13.35896323037423	13.183917941257064	13.860051830915399	11.984662820539318	12.35896323037423	13.860051830915399	14.80751467419542	16.380367963847068	15.098381307568701	16.56531267066463	20.22423984231124	17.461104069507957	21.43399930109772	14.5962660827583	20.164239700896225	20.114956010346635	15.779221304827303	13.954081172230758	17.905428916695744	13.08205344870812	13.380713674049312	13.257301380305409	14.215517800861207	16.830579611322648	16.66354844545713	16.5326802381376	13.08205344870812	18.412667803730674	14.941564497801652	13.257301380305409	13.958462400651209	18.226895825208366	16.039862953942603	13.988797793143963	16.15785266192144	13.860051830915399	11.984662820539318	14.296519358922906	14.035708457690909	12.35896323037423	11.984662820539318	20.188963545909036	13.638907796752449	18.326156162837187	13.5102275907724	17.935972265701533	11.984662820539318	20.07106426179384	14.848163313022498	14.215517800861207	18.456103942879423	13.08205344870812	17.905428916695744	14.059275417381821	21.770272798312035	16.606096019131535	14.399375409567808	20.337025986647323	13.528704016560415	17.905428916695744	16.380367963847068	15.237324152162028	11.984662820539318	14.522872875701005	12.35896323037423	13.08205344870812	14.759526755889285	11.984662820539318	12.35896323037423	13.860051830915399	13.638907796752449	18.335676582223588	13.528704016560415	12.35896323037423	12.35896323037423	14.446328548830836	13.638907796752449	12.35896323037423	11.984662820539318	12.35896323037423	18.326156162837187	12.35896323037423	15.734062877435639	14.813475061201261	20.11234667920173	14.703869786687685	16.380367963847068	14.515579056703013	14.734062877435639	12.35896323037423	13.528704016560415	17.929049264030095	11.984662820539318	14.925860495342313	17.935972265701533	12.35896323037423	14.860051830915399	13.380713674049312	14.734062877435639	13.08205344870812	13.860051830915399	14.667015949429276	12.35896323037423	13.528704016560415
DINP_high_wk40_control_d1_B	15.121181936166352	18.27478980710709	12.312676795085515	13.876982422824184	12.312676795085515	12.645672842348073	13.876982422824184	15.004034259922516	15.121181936166352	12.312676795085515	13.312676795085515	14.918042474188136	13.449906380304292	14.65905430515276	12.312676795085515	13.449906380304292	15.618831726583231	16.900642917510428	15.269582812393745	17.067958056116918	20.56287704819873	17.590263882004503	21.703137390705013	14.807059095302742	20.500226886095227	20.417767137070303	15.966646696488818	15.30623270953853	18.126783301769706	12.645672842348073	14.898981128875713	13.407963277510127	13.946410164811816	17.346291430116157	17.42631888058712	16.613841239907494	12.645672842348073	18.335220330614014	15.110326205219605	13.407963277510127	15.121181936166352	18.57571440839298	16.830634467108982	14.294448684181852	16.353146904142697	13.449906380304292	14.65905430515276	13.990560373045703	13.998486745534723	12.312676795085515	14.65905430515276	20.54425919914642	13.84158868661613	18.11932775263875	13.876982422824184	18.1522002169128	14.65905430515276	20.391462102914847	14.900206066518304	13.946410164811816	18.46269821811405	12.645672842348073	18.126783301769706	14.268320210191522	22.00155119538197	17.197135071337943	14.63905417049893	20.485504418368183	13.838188856581603	18.126783301769706	16.900642917510428	15.356447017712256	14.65905430515276	14.10311890718217	12.312676795085515	12.645672842348073	15.61784068637591	14.65905430515276	12.312676795085515	13.449906380304292	13.84158868661613	18.640233107731824	13.838188856581603	12.312676795085515	12.312676795085515	14.599229394986157	13.84158868661613	12.312676795085515	14.65905430515276	12.312676795085515	18.11932775263875	12.312676795085515	15.565943855187987	14.469464560414846	20.422392622344383	14.657071026199331	16.900642917510428	15.46506536676888	14.565943855187987	12.312676795085515	13.838188856581603	18.25162455544677	14.65905430515276	14.933113341300237	18.1522002169128	12.312676795085515	14.449906380304292	14.898981128875713	14.565943855187987	12.645672842348073	13.449906380304292	14.23063534306923	12.312676795085515	13.838188856581603
DINP_high_wk40_control_d1_C	14.977702391148105	18.230469179030745	12.30816624151185	12.43198423796515	12.30816624151185	12.83885888774605	12.43198423796515	14.644625296521502	14.977702391148105	12.30816624151185	13.30816624151185	14.541404929117661	11.585537706083018	14.196425600853603	12.30816624151185	11.585537706083018	15.51976340441016	16.7595576681521	15.243561009451353	16.829678670880035	20.241429118915484	17.717139743287873	21.4413911754066	14.887010358671299	20.1681408361107	20.081950945287726	16.0020572893429	14.99747192515533	18.1229801343643	12.83885888774605	14.731003640769353	13.465655781028817	14.345946326375348	15.77392237516357	15.834110837612691	16.602431889982032	12.83885888774605	18.42917366083579	15.108603573875675	13.465655781028817	14.977702391148105	18.486775844002477	16.703266620260393	14.272929176546743	16.402510598477505	11.585537706083018	14.196425600853603	12.99163125397743	14.000237565649346	12.30816624151185	14.196425600853603	20.21461302803547	13.844969863652203	18.26222865942277	12.43198423796515	18.148384699129554	14.196425600853603	20.044170485063887	15.009051047836904	14.345946326375348	18.536251104514918	12.83885888774605	18.1229801343643	14.214343395457327	21.78858260729641	15.274804352455996	14.623974516287992	20.47956531235475	13.76662489765532	18.1229801343643	16.7595576681521	15.410221495872248	14.196425600853603	13.344222853709919	12.30816624151185	12.83885888774605	15.495679369968704	14.196425600853603	12.30816624151185	11.585537706083018	13.844969863652203	18.59667270514504	13.76662489765532	12.30816624151185	12.30816624151185	14.555530540859536	13.844969863652203	12.30816624151185	14.196425600853603	12.30816624151185	18.26222865942277	12.30816624151185	15.834149763219395	13.917266331292552	20.092956921644717	14.054108438840323	16.7595576681521	15.354963796017769	14.834149763219395	12.30816624151185	13.76662489765532	18.21486836363493	14.196425600853603	14.481126653988866	18.148384699129554	12.30816624151185	12.585537706083018	14.731003640769353	14.834149763219395	12.83885888774605	11.585537706083018	14.423821388467205	12.30816624151185	13.76662489765532
DINP_high_wk40_control_d1_D	14.951686485006748	18.167521437332812	12.630324139430687	13.268320702739615	12.630324139430687	13.311765143240983	13.268320702739615	14.899846275562576	14.951686485006748	12.630324139430687	13.630324139430687	14.779829307183048	10.432016954606723	14.4113715076189	12.630324139430687	10.432016954606723	15.569840827683713	17.009165295045655	15.457345666554065	17.11323166526018	20.56702465292345	17.7720952872128	21.71680670240927	14.918847456935039	20.505486542041886	20.41671871426397	16.13069628840895	15.181059677047765	18.049740131405322	13.311765143240983	14.629616918119575	13.522374613049758	14.379816159126058	16.410331908755	16.49977816796274	16.735667538923426	13.311765143240983	18.331448911433753	15.315382796440671	13.522374613049758	14.951686485006748	18.459874111393546	16.83697011582949	14.405300814419114	16.53081990277483	10.432016954606723	14.4113715076189	12.914711717654948	13.985400091656349	12.630324139430687	14.4113715076189	20.547030922367092	14.049055361260805	18.127477154164804	13.268320702739615	18.083063010647688	14.4113715076189	20.387862723499634	15.18000205475297	14.379816159126058	18.438264711670072	13.311765143240983	18.049740131405322	14.405405646790909	21.999343670522915	16.113045326551113	14.727390566418089	20.426463743604845	13.906864553366066	18.049740131405322	17.009165295045655	15.47112733064287	14.4113715076189	13.495557244886518	12.630324139430687	13.311765143240983	15.521862529905604	14.4113715076189	12.630324139430687	10.432016954606723	14.049055361260805	18.62130408105221	13.906864553366066	12.630324139430687	12.630324139430687	14.775210246387433	14.049055361260805	12.630324139430687	14.4113715076189	12.630324139430687	18.127477154164804	12.630324139430687	15.905963768713017	14.126854992492476	20.426186331690065	14.031117043496174	17.009165295045655	15.368344501168288	14.905963768713017	12.630324139430687	13.906864553366066	18.161178646746684	14.4113715076189	14.494348963274618	18.083063010647688	12.630324139430687	11.432016954606723	14.629616918119575	14.905963768713017	13.311765143240983	10.432016954606723	14.896727643962139	12.630324139430687	13.906864553366066
DINP_high_wk40_control_d1_E	15.523319444610232	18.418839369023768	12.22953787969692	13.649605643557674	12.22953787969692	12.496431097824836	13.649605643557674	14.791692049807493	15.523319444610232	12.22953787969692	13.22953787969692	13.094430522743608	12.99734074579618	11.945350683244941	12.22953787969692	12.99734074579618	15.900385837302528	16.937685620550578	15.174732084017617	17.07829927217023	20.058946751564655	17.612776358768233	21.238497907787863	14.69235102694944	20.007562157277263	19.87692451818384	15.939746427903236	14.075017103166044	18.306318081776006	12.496431097824836	15.368154790720974	13.339469598926573	14.0748716983191	17.006340993419766	16.868370335173672	16.527627430148566	12.496431097824836	17.935993998222678	15.150863418887164	13.339469598926573	15.523319444610232	18.534812606946637	16.64587894758882	14.199299904943029	16.32719080222822	12.99734074579618	11.945350683244941	13.663925778071864	13.961324406919829	12.22953787969692	11.945350683244941	20.03837465499098	13.780080701712208	17.79875755036916	13.649605643557674	18.32753508440686	11.945350683244941	19.84516893954981	14.808658832903014	14.0748716983191	18.16084508251011	12.496431097824836	18.306318081776006	14.145066004475263	21.617144008949083	16.82001370565263	14.531381035922406	20.494256167882114	13.700735169701552	18.306318081776006	16.937685620550578	15.309798564750992	11.945350683244941	13.76851733001399	12.22953787969692	12.496431097824836	15.882519089368676	11.945350683244941	12.22953787969692	12.99734074579618	13.780080701712208	18.77855436947686	13.700735169701552	12.22953787969692	12.22953787969692	14.484288787677905	13.780080701712208	12.22953787969692	11.945350683244941	12.22953787969692	17.79875755036916	12.22953787969692	15.582560017184994	14.19518872205413	19.8910234329637	14.391487985567828	16.937685620550578	15.782415021861564	14.582560017184994	12.22953787969692	13.700735169701552	18.323764407264566	11.945350683244941	14.720033500845288	18.32753508440686	12.22953787969692	13.99734074579618	15.368154790720974	14.582560017184994	12.496431097824836	12.99734074579618	14.081393598545992	12.22953787969692	13.700735169701552
DINP_high_wk40_control_d1_F	16.614720880583626	18.261305243587138	12.575182185526542	13.686776866547035	12.575182185526542	13.084693692279025	13.686776866547035	15.104205973431865	16.614720880583626	12.575182185526542	13.575182185526542	13.151363322849837	13.006261464399046	11.548676099485624	12.575182185526542	13.006261464399046	16.831906720623223	16.703951085429797	15.402122140951008	16.871977905336713	20.288522243103117	17.840315364944956	21.50702028045592	14.924172435509744	20.22728016473587	20.159269631976862	16.101172471397597	14.118641422570374	18.120973202401213	13.084693692279025	16.524209256580914	13.532806583243152	14.390236464040857	16.523545054439307	16.302372798559126	16.851551229378696	13.084693692279025	18.153613396861005	15.258810716791208	13.532806583243152	16.614720880583626	18.384182781311857	17.333669784275198	14.312682559021958	16.509520165273177	13.006261464399046	11.548676099485624	13.806763168052887	14.000132319992009	12.575182185526542	11.548676099485624	20.254460231313384	13.99291143581122	18.033226886773683	13.686776866547035	18.15153068795791	11.548676099485624	20.114931046679736	15.124918719490582	14.390236464040857	18.557668170475417	13.084693692279025	18.120973202401213	14.350876849961624	21.853787939773998	16.247879194783344	14.701539814307239	20.500699090010805	13.852588782110146	18.120973202401213	16.703951085429797	15.522064062762384	11.548676099485624	14.04601050948384	12.575182185526542	13.084693692279025	16.813096943853008	11.548676099485624	12.575182185526542	13.006261464399046	13.99291143581122	18.579863832365476	13.852588782110146	12.575182185526542	12.575182185526542	14.720542829758648	13.99291143581122	12.575182185526542	11.548676099485624	12.575182185526542	18.033226886773683	12.575182185526542	16.036603890859663	14.490439157080777	20.16213801288741	14.49061520628464	16.703951085429797	16.754391362785743	15.036603890859665	12.575182185526542	13.852588782110146	18.13605468383992	11.548676099485624	14.802556991843186	18.15153068795791	12.575182185526542	14.006261464399046	16.524209256580914	15.036603890859665	13.084693692279025	13.006261464399046	14.669656193000181	12.575182185526542	13.852588782110146
DINP_high_wk40_control_d1_G	13.650610605256796	18.12280711076373	10.843773551685452	12.189555951120143	10.843773551685452	13.081151624780233	12.189555951120143	14.011586465531	13.650610605256796	10.843773551685452	11.843773551685452	14.789495308581753	11.19023757502478	14.692693702309052	10.843773551685452	11.19023757502478	14.843782181501357	15.22997441903621	15.083616934850705	15.395463994023778	20.325311296379347	17.721171610925907	21.52968229849217	14.93638668760971	20.246664236442875	20.252209332821245	16.056690340279047	15.322773922944506	18.02517634583699	13.081151624780233	13.4281318544301	13.257880684219618	14.297040148039102	15.854345388968397	16.09240280455971	16.711199688806968	13.081151624780233	18.384022433349774	15.167729676170671	13.257880684219618	13.650610605256796	18.45643255340451	16.683775049752104	14.284116314350175	16.469337928986306	11.19023757502478	14.692693702309052	12.027381107834954	13.952479020447896	10.843773551685452	14.692693702309052	20.299527546017803	14.014116548826387	18.17357849290268	12.189555951120143	18.035081589110046	14.692693702309052	20.218645957392578	15.120743153733574	14.297040148039102	18.429773207177888	13.081151624780233	18.02517634583699	13.996155496352252	21.842751277158193	15.405055073509969	14.568545878861476	20.4030064820706	13.82402253725991	18.02517634583699	15.22997441903621	15.295544028169374	14.692693702309052	13.425566760352394	10.843773551685452	13.081151624780233	14.739920518343263	14.692693702309052	10.843773551685452	11.19023757502478	14.014116548826387	18.219346158597915	13.82402253725991	10.843773551685452	10.843773551685452	14.149922526154796	14.014116548826387	10.843773551685452	14.692693702309052	10.843773551685452	18.17357849290268	10.843773551685452	16.241396570138736	13.648412364180155	20.261722662398487	14.03954066437844	15.22997441903621	14.750673352429102	15.241396570138738	10.843773551685452	13.82402253725991	18.161723549531363	14.692693702309052	14.443906970917233	18.035081589110046	10.843773551685452	12.19023757502478	13.4281318544301	15.241396570138738	13.081151624780233	11.19023757502478	14.66611412550139	10.843773551685452	13.82402253725991
DINP_high_wk40_control_d2_A	14.180297354937574	18.023843209670403	12.390625473413019	13.420878914899955	12.390625473413019	12.768971812286399	13.420878914899955	14.571059024020826	14.180297354937574	12.390625473413019	13.390625473413019	13.134766663371545	10.289315009161498	11.823535484777006	12.390625473413019	10.289315009161498	15.062412046013987	16.278932412684853	15.323751342729157	16.465336748908904	20.092936769301478	17.717070741275005	21.30948985834407	14.843159244931138	20.021391445442013	19.98148951835355	16.060068223230505	14.155224632802348	17.904014834254532	12.768971812286399	13.687736174672485	13.22244810053166	14.26282519929795	16.343735640075845	16.105327133994184	16.713452566237876	12.768971812286399	18.224547697362382	15.248586998093456	13.22244810053166	14.180297354937574	18.172581014893257	16.355383050672376	14.289324407323786	16.438833107243738	10.289315009161498	11.823535484777006	12.692852639635023	13.99192337456251	12.390625473413019	11.823535484777006	20.053096347424255	13.934030045731326	18.10863225837528	13.420878914899955	17.935258916583457	11.823535484777006	19.930624187578086	14.962723573296776	14.26282519929795	18.285398599374425	12.768971812286399	17.904014834254532	14.287020920626475	21.639593683386245	16.029182857178483	14.561432347751976	20.264443233510015	13.835726516965977	17.904014834254532	16.278932412684853	15.334920430690063	11.823535484777006	13.006886740408182	12.390625473413019	12.768971812286399	15.01827466730587	11.823535484777006	12.390625473413019	10.289315009161498	13.934030045731326	18.30912646414739	13.835726516965977	12.390625473413019	12.390625473413019	14.630273697075877	13.934030045731326	12.390625473413019	11.823535484777006	12.390625473413019	18.10863225837528	12.390625473413019	15.823764114025265	13.731414190715341	19.979491242340597	13.95420604532201	16.278932412684853	14.816132586721391	14.823764114025265	12.390625473413019	13.835726516965977	17.925177901594598	11.823535484777006	14.376786695742744	17.935258916583457	12.390625473413019	11.289315009161498	13.687736174672485	14.823764114025265	12.768971812286399	10.289315009161498	14.353934313007555	12.390625473413019	13.835726516965977
DINP_high_wk40_control_d2_B	16.51567504222409	18.153621113730445	12.603672866103203	14.113595426052022	12.603672866103203	12.41924722662003	14.113595426052022	15.011846419041508	16.51567504222409	12.603672866103203	13.603672866103203	13.528376261073868	13.117688766531003	12.448932356053307	12.603672866103203	13.117688766531003	16.70992343953786	16.37781027854479	15.227863287535074	16.650625316561467	19.773559076172546	17.480376152935147	21.057915360710766	14.669845857198156	19.695230276012424	19.619550581024207	15.85407362763878	14.136779595795602	18.01052419070356	12.41924722662003	16.41650378948875	13.288714239869812	13.994096203855776	17.165865936783142	17.06101358506649	16.774477665560912	12.41924722662003	18.10973496669962	15.017417711967285	13.288714239869812	16.51567504222409	18.30557581867339	17.17696184242769	14.113905758781893	16.235922819255276	13.117688766531003	12.448932356053307	13.883453004070642	13.95662754946126	12.603672866103203	12.448932356053307	19.734329800133885	13.721097059491147	17.985597745577156	14.113595426052022	18.04413518252137	12.448932356053307	19.566001941917985	14.746296226241391	13.994096203855776	18.498457460321443	12.41924722662003	18.01052419070356	14.186609332349445	21.487876905466333	17.000780630359095	14.453086934882856	20.387428567786316	13.600632746425411	18.01052419070356	16.37781027854479	15.19517802227069	12.448932356053307	13.8103280082901	12.603672866103203	12.41924722662003	16.69529065151934	12.448932356053307	12.603672866103203	13.117688766531003	13.721097059491147	18.41377119112788	13.600632746425411	12.603672866103203	12.603672866103203	14.602153607050829	13.721097059491147	12.603672866103203	12.448932356053307	12.603672866103203	17.985597745577156	12.603672866103203	15.540066077988824	14.32964041598362	19.620642642269015	14.37927536411614	16.37781027854479	16.623626747374832	14.540066077988824	12.603672866103203	13.600632746425411	18.04075229044993	12.448932356053307	14.700130364599406	18.04413518252137	12.603672866103203	14.117688766531003	16.41650378948875	14.540066077988824	12.41924722662003	13.117688766531003	14.004209727341186	12.603672866103203	13.600632746425411
DINP_high_wk40_control_d2_C	14.692806391370622	18.020793630812086	12.426630293650248	14.211820892594787	12.426630293650248	13.013703313625594	14.211820892594787	14.78744900379972	14.692806391370622	12.426630293650248	13.426630293650248	14.683330975412487	11.77014447325217	14.344624586745963	12.426630293650248	11.77014447325217	15.376005520434191	17.31199774822583	15.315419592145066	17.471129367231825	20.597347165170415	17.7177881138122	21.733438525138112	15.429586045582072	20.532459999187424	20.419984176562725	16.313345072495995	15.075504985895714	17.89194764166574	13.013703313625594	14.356597029279468	13.469313741049833	14.382732968901362	17.563993309009906	17.604918962264104	16.746117735436204	13.013703313625594	18.45394381903476	15.18691104848679	13.469313741049833	14.692806391370622	18.335109546489452	16.7541861826161	14.40028866137055	16.438516996013114	11.77014447325217	14.344624586745963	13.135410618030239	13.894555554283368	12.426630293650248	14.344624586745963	20.572264719215575	13.969473108328827	18.27253698200622	14.211820892594787	17.924238585902994	14.344624586745963	20.38327940783641	15.054410264050384	14.382732968901362	18.535858643855086	13.013703313625594	17.89194764166574	14.231016661757428	22.09752953163102	17.445902270066615	14.613403863960107	20.59363347513375	13.744400700588574	17.89194764166574	17.31199774822583	15.434066982601593	14.344624586745963	13.521959103709955	12.426630293650248	13.013703313625594	15.2951728178784	14.344624586745963	12.426630293650248	11.77014447325217	13.969473108328827	18.63092036916882	13.744400700588574	12.426630293650248	12.426630293650248	14.594246947870616	13.969473108328827	12.426630293650248	14.344624586745963	12.426630293650248	18.27253698200622	12.426630293650248	18.96602057331104	14.075840005309962	20.436882684470657	14.071514431412051	17.31199774822583	15.175981105437705	17.96602057331104	12.426630293650248	13.744400700588574	18.010355322695972	14.344624586745963	14.616312543295544	17.924238585902994	12.426630293650248	12.77014447325217	14.356597029279468	17.96602057331104	13.013703313625594	11.77014447325217	14.59866581434675	12.426630293650248	13.744400700588574
