pathwayID	pathway
map07112	1,2-Diphenyl substitution family
map01210	2-Oxocarboxylic acid metabolism
map02010	ABC transporters
map04933	AGE-RAGE signaling pathway in diabetic complications
map04152	AMPK signaling pathway
map00525	Acarbose and validamycin biosynthesis
map04920	Adipocytokine signaling pathway
map04261	Adrenergic signaling in cardiomyocytes
map00254	Aflatoxin biosynthesis
map05143	African trypanosomiasis
map00250	Alanine, aspartate and glutamate metabolism
map04936	Alcoholic liver disease
map04925	Aldosterone synthesis and secretion
map04960	Aldosterone-regulated sodium reabsorption
map05010	Alzheimer disease
map00520	Amino sugar and nucleotide sugar metabolism
map00970	Aminoacyl-tRNA biosynthesis
map00627	Aminobenzoate degradation
map05146	Amoebiasis
map05014	Amyotrophic lateral sclerosis
map01523	Antifolate resistance
map07026	Antifungal agents
map07030	Anxiolytics
map04371	Apelin signaling pathway
map00572	Arabinogalactan biosynthesis - Mycobacterium
map00590	Arachidonic acid metabolism
map00330	Arginine and proline metabolism
map00220	Arginine biosynthesis
map00053	Ascorbate and aldarate metabolism
map05310	Asthma
map00791	Atrazine degradation
map04140	Autophagy - animal
map04361	Axon regeneration
map04662	B cell receptor signaling pathway
map02030	Bacterial chemotaxis
map00362	Benzoate degradation
map07117	Benzodiazepine family
map00402	Benzoxazinoid biosynthesis
map00965	Betalain biosynthesis
map04976	Bile secretion
map02026	Biofilm formation - Escherichia coli
map05111	Biofilm formation - Vibrio cholerae
map00522	Biosynthesis of 12-, 14- and 16-membered macrolides
map01065	Biosynthesis of alkaloids derived from histidine and purine
map01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid
map01063	Biosynthesis of alkaloids derived from shikimate pathway
map01066	Biosynthesis of alkaloids derived from terpenoid and polyketide
map01230	Biosynthesis of amino acids
map01051	Biosynthesis of ansamycins
map01240	Biosynthesis of cofactors
map01059	Biosynthesis of enediyne antibiotics
map01250	Biosynthesis of nucleotide sugars
map01061	Biosynthesis of phenylpropanoids
map01070	Biosynthesis of plant hormones
map01060	Biosynthesis of plant secondary metabolites
map01110	Biosynthesis of secondary metabolites
map01053	Biosynthesis of siderophore group nonribosomal peptides
map01062	Biosynthesis of terpenoids and steroids
map01057	Biosynthesis of type II polyketide products
map01040	Biosynthesis of unsaturated fatty acids
map00996	Biosynthesis of various alkaloids
map00998	Biosynthesis of various antibiotics
map00541	Biosynthesis of various nucleotide sugars
map00997	Biosynthesis of various other secondary metabolites
map00999	Biosynthesis of various plant secondary metabolites
map00975	Biosynthesis of various siderophores
map00780	Biotin metabolism
map00363	Bisphenol degradation
map05224	Breast cancer
map00650	Butanoate metabolism
map04625	C-type lectin receptor signaling pathway
map00660	C5-Branched dibasic acid metabolism
map00232	Caffeine metabolism
map04020	Calcium signaling pathway
map00930	Caprolactam degradation
map00332	Carbapenem biosynthesis
map04973	Carbohydrate digestion and absorption
map00710	Carbon fixation by Calvin cycle
map01200	Carbon metabolism
map00906	Carotenoid biosynthesis
map07216	Catecholamine transferase inhibitors
map01503	Cationic antimicrobial peptide (CAMP) resistance
map05230	Central carbon metabolism in cancer
map07013	Cephalosporins - oral agents
map07012	Cephalosporins - parenteral agents
map05204	Chemical carcinogenesis - DNA adducts
map05208	Chemical carcinogenesis - reactive oxygen species
map05207	Chemical carcinogenesis - receptor activation
map04062	Chemokine signaling pathway
map00625	Chloroalkane and chloroalkene degradation
map00361	Chlorocyclohexane and chlorobenzene degradation
map05231	Choline metabolism in cancer
map04725	Cholinergic synapse
map04713	Circadian entrainment
map00020	Citrate cycle (TCA cycle)
map04610	Complement and coagulation cascades
map04382	Cornified envelope formation
map05171	Coronavirus disease - COVID-19
map04927	Cortisol synthesis and secretion
map04934	Cushing syndrome
map00073	Cutin, suberine and wax biosynthesis
map00460	Cyanoamino acid metabolism
map00270	Cysteine and methionine metabolism
map04623	Cytosolic DNA-sensing pathway
map00470	D-Amino acid metabolism
map01220	Degradation of aromatic compounds
map00946	Degradation of flavonoids
map05415	Diabetic cardiomyopathy
map00621	Dioxin degradation
map00904	Diterpenoid biosynthesis
map04728	Dopaminergic synapse
map00982	Drug metabolism - cytochrome P450
map00983	Drug metabolism - other enzymes
map01521	EGFR tyrosine kinase inhibitor resistance
map04148	Efferocytosis
map07034	Eicosanoids
map04961	Endocrine and other factor-regulated calcium reabsorption
map01522	Endocrine resistance
