mz__rtMin	putative_mw	exact_mass	compoundID	compound	pathwayID	pathway	annotation	lcms_run
107.04881__2.145	108.05653	108.0575	C01402	Anisole; Methoxybenzene; Methyl phenyl ether; Phenol methyl ether; Anilide	map01100	Metabolic pathways	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01402	Anisole; Methoxybenzene; Methyl phenyl ether; Phenol methyl ether; Anilide	map04976	Bile secretion	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01402	Anisole; Methoxybenzene; Methyl phenyl ether; Phenol methyl ether; Anilide	map05208	Chemical carcinogenesis - reactive oxygen species	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01402	Anisole; Methoxybenzene; Methyl phenyl ether; Phenol methyl ether; Anilide	map00361	Chlorocyclohexane and chlorobenzene degradation	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01402	Anisole; Methoxybenzene; Methyl phenyl ether; Phenol methyl ether; Anilide	map01120	Microbial metabolism in diverse environments	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01402	Anisole; Methoxybenzene; Methyl phenyl ether; Phenol methyl ether; Anilide	map00362	Benzoate degradation	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01402	Anisole; Methoxybenzene; Methyl phenyl ether; Phenol methyl ether; Anilide	map00650	Butanoate metabolism	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01402	Anisole; Methoxybenzene; Methyl phenyl ether; Phenol methyl ether; Anilide	map01220	Degradation of aromatic compounds	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01468	4-Cresol; p-Cresol; 4-Hydroxytoluene; 4-Methylphenol; ADP-sugar	map01100	Metabolic pathways	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01468	4-Cresol; p-Cresol; 4-Hydroxytoluene; 4-Methylphenol; ADP-sugar	map01110	Biosynthesis of secondary metabolites	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01468	4-Cresol; p-Cresol; 4-Hydroxytoluene; 4-Methylphenol; ADP-sugar	map01120	Microbial metabolism in diverse environments	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01468	4-Cresol; p-Cresol; 4-Hydroxytoluene; 4-Methylphenol; ADP-sugar	map04974	Protein digestion and absorption	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01468	4-Cresol; p-Cresol; 4-Hydroxytoluene; 4-Methylphenol; ADP-sugar	map01061	Biosynthesis of phenylpropanoids	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01468	4-Cresol; p-Cresol; 4-Hydroxytoluene; 4-Methylphenol; ADP-sugar	map01220	Degradation of aromatic compounds	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01468	4-Cresol; p-Cresol; 4-Hydroxytoluene; 4-Methylphenol; ADP-sugar	map05200	Pathways in cancer	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01468	4-Cresol; p-Cresol; 4-Hydroxytoluene; 4-Methylphenol; ADP-sugar	map05225	Hepatocellular carcinoma	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01468	4-Cresol; p-Cresol; 4-Hydroxytoluene; 4-Methylphenol; ADP-sugar	map00946	Degradation of flavonoids	putative_multi	high-wk40
107.04881__2.145	108.05653	108.0575	C01468	4-Cresol; p-Cresol; 4-Hydroxytoluene; 4-Methylphenol; ADP-sugar	map00960	Tropane, piperidine and pyridine alkaloid biosynthesis	putative_multi	high-wk40
