mz__rtMin	putative_mw	exact_mass	kegg_id	name	formula	pathways	annotation
107.04881__2.145	108.05653	108.0575	C01402	Anisole; Methoxybenzene; Methyl phenyl ether; Phenol methyl ether; Anilide	C7H6NOR	Metabolic pathways;Bile secretion;Chemical carcinogenesis - reactive oxygen species;Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments;Benzoate degradation;Butanoate metabolism;Degradation of aromatic compounds	putative_multi
107.04881__2.145	108.05653	108.0575	C01468	4-Cresol; p-Cresol; 4-Hydroxytoluene; 4-Methylphenol; ADP-sugar	C7H8O	Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Protein digestion and absorption;Biosynthesis of phenylpropanoids;Degradation of aromatic compounds;Pathways in cancer;Hepatocellular carcinoma;Degradation of flavonoids;Tropane, piperidine and pyridine alkaloid biosynthesis;Toluene degradation;Flavonoid biosynthesis;Flavone and flavonol biosynthesis;Isoflavonoid biosynthesis;Nitrotoluene degradation;Drug metabolism - cytochrome P450	putative_multi
111.04377__0.422	112.0513	112.0524	C04091	cis-1,2-Dihydrobenzene-1,2-diol; cis-Benzeneglycol; cis-Cyclohexa-3,5-diene-1,2-diol; poly-cis-Polyprenyl diphosphate	C6H8O2	Metabolic pathways;Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments;Benzoate degradation;Degradation of aromatic compounds;Lysine degradation;Tropane, piperidine and pyridine alkaloid biosynthesis	putative_single
111.04378__0.412	112.05129	112.0524	C04091	cis-1,2-Dihydrobenzene-1,2-diol; cis-Benzeneglycol; cis-Cyclohexa-3,5-diene-1,2-diol; poly-cis-Polyprenyl diphosphate	C6H8O2	Metabolic pathways;Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments;Benzoate degradation;Degradation of aromatic compounds;Lysine degradation;Tropane, piperidine and pyridine alkaloid biosynthesis	putative_single
115.07513__1.483	116.08277	116.0837	C03739	trans-1,2-Cyclohexanediol; trans-Cyclohexane-1,2-diol; alpha-(gamma-L-Glutamyl)-L-amino acid; Glucosaminate; (S)-4-Hydroxymandelonitrile	C6H12O2	Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Glutathione metabolism;Microbial metabolism in diverse environments;Cyanoamino acid metabolism;Pentose phosphate pathway;Phosphotransferase system (PTS);Porphyrin metabolism;Caprolactam degradation	putative_single
119.04888__0.803	120.05646	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	C8H8O	Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Ethylbenzene degradation;Chemical carcinogenesis - DNA adducts	putative_single
119.04893__0.82	120.05651	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	C8H8O	Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Ethylbenzene degradation;Chemical carcinogenesis - DNA adducts	putative_single
119.04894__1.335	120.05653	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	C8H8O	Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Ethylbenzene degradation;Chemical carcinogenesis - DNA adducts	putative_single
119.04899__6.691	120.05663	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	C8H8O	Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Ethylbenzene degradation;Chemical carcinogenesis - DNA adducts	putative_single
126.05482__1.338	127.06225	127.0633	C08268	L-Baikiain; 4,5-Dehydropipecolic acid; trans-4-Hydroxy-L-proline betaine; 3-(Methylsulfanyl)propanoate; 3-Methylthiopropanoic acid	C6H9NO2	Metabolic pathways;Microbial metabolism in diverse environments;Cysteine and methionine metabolism;Sulfur metabolism	putative_single
128.01636__4.028	129.02364	129.0248	C16817	Ophiobolin F; Ophiobolene; 1-O-(4-Hydroxycinnamoyl)-beta-D-glucose; Goitrin	C5H7NOS	Biosynthesis of secondary metabolites;Terpenoid backbone biosynthesis	putative_single
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	C5H6O4	Metabolic pathways;Renin secretion;Diabetic cardiomyopathy;Biosynthesis of secondary metabolites;Aldosterone synthesis and secretion;Microbial metabolism in diverse environments;Regulation of lipolysis in adipocytes;Phenylalanine metabolism;Porphyrin metabolism;Prion disease;Coronavirus disease - COVID-19;Glycerolipid metabolism;Isoquinoline alkaloid biosynthesis;Aminobenzoate degradation;Steroid biosynthesis;Steroid hormone biosynthesis;Renin-angiotensin system;Angiotensin receptor and endothelin receptor antagonists	putative_multi
129.01809__0.359	130.02544	130.0266	C02214	(E)-Glutaconate; trans-Glutaconate; trans-Glutaconic acid; Glutaconic acid; (E)-Glutaconic acid; (2E)-Pent-2-enedioic acid; 1-Methyladenine	C5H6O4	Metabolic pathways;Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments;Carbon metabolism;Cysteine and methionine metabolism;Benzoate degradation;Degradation of aromatic compounds;Tryptophan metabolism;Propanoate metabolism;Fluorobenzoate degradation;Aminobenzoate degradation	putative_multi
129.01809__0.359	130.02544	130.0266	C02226	2-Methylmaleate; Citraconate; Citraconic acid; Methylmaleic acid; 3-Nitroacrylate	C5H6O4	Metabolic pathways;Microbial metabolism in diverse environments;Valine, leucine and isoleucine biosynthesis;Phenylalanine metabolism;Benzoate degradation;D-Amino acid metabolism;C5-Branched dibasic acid metabolism;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Aminobenzoate degradation;Toluene degradation;Caprolactam degradation	putative_multi
130.04964__0.095	131.0569	131.0582	C19706	cis-3-Hydroxy-L-proline; cis-3-Hydroxyproline; 5-epi-Aristolochene; (+)-5-epi-Aristolochene; [L-Asp(4-L-Arg)]n-L-Asp	C5H9NO3	Metabolic pathways;Biosynthesis of secondary metabolites;Arginine and proline metabolism;Cyanoamino acid metabolism;Biosynthesis of various plant secondary metabolites;Biosynthesis of phenylpropanoids;2-Oxocarboxylic acid metabolism;Glucosinolate biosynthesis;Sesquiterpenoid and triterpenoid biosynthesis	putative_single
130.08604__0.63	131.09332	131.0946	C02486	(3R)-beta-Leucine; (3R)-3-Amino-4-methylpentanoic acid; (3R)-3-Amino-4-methylvaleric acid; 1,4-beta-D-Mannan	C6H13NO2	Metabolic pathways;Biosynthesis of secondary metabolites;Pyruvate metabolism;Fructose and mannose metabolism;Isoflavonoid biosynthesis	putative_multi
130.08604__0.63	131.09332	131.0946	C21096	Peptidyl-carrier protein; PCP; [Peptidyl-carrier protein]; [pcp]; L-allo-Isoleucine	C6H13NO2	Metabolic pathways;Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments	putative_multi
130.08605__0.618	131.09333	131.0946	C02486	(3R)-beta-Leucine; (3R)-3-Amino-4-methylpentanoic acid; (3R)-3-Amino-4-methylvaleric acid; 1,4-beta-D-Mannan	C6H13NO2	Metabolic pathways;Biosynthesis of secondary metabolites;Pyruvate metabolism;Fructose and mannose metabolism;Isoflavonoid biosynthesis	putative_multi
