sample,cohort,dose,age_week,culture_day,exposure,replicate,lcms_run,old_sample,seq16s_total_read_pairs,seq16s_total_reads_r1r2,seq16s_total_bp_overQ30,seq16s_percent_bp_overQ30
BPS_high_wk07_inoculum_d0_A,BPS,high,wk07,d0,inoculum,A,high-bps-wk07-wk22,Bx_wk07_inc_d0_A,NA,NA,NA,NA
BPS_high_wk07_inoculum_d0_B,BPS,high,wk07,d0,inoculum,B,high-bps-wk07-wk22,Bx_wk07_inc_d0_B,NA,NA,NA,NA
BPS_high_wk07_inoculum_d0_C,BPS,high,wk07,d0,inoculum,C,high-bps-wk07-wk22,Bx_wk07_inc_d0_C,NA,NA,NA,NA
BPS_high_wk07_inoculum_d0_D,BPS,high,wk07,d0,inoculum,D,high-bps-wk07-wk22,Bx_wk07_inc_d0_D,NA,NA,NA,NA
BPS_high_wk07_inoculum_d0_E,BPS,high,wk07,d0,inoculum,E,high-bps-wk07-wk22,Bx_wk07_inc_d0_E,NA,NA,NA,NA
BPS_high_wk07_inoculum_d0_F,BPS,high,wk07,d0,inoculum,F,high-bps-wk07-wk22,Bx_wk07_inc_d0_F,NA,NA,NA,NA
BPS_high_wk07_inoculum_d0_G,BPS,high,wk07,d0,inoculum,G,high-bps-wk07-wk22,Bx_wk07_inc_d0_G,NA,NA,NA,NA
BPS_high_wk07_bps_d1_A,BPS,high,wk07,d1,bps,A,high-bps-wk07-wk22,Bx_wk07_bps_d1_A,NA,NA,NA,NA
BPS_high_wk07_bps_d1_B,BPS,high,wk07,d1,bps,B,high-bps-wk07-wk22,Bx_wk07_bps_d1_B,NA,NA,NA,NA
BPS_high_wk07_bps_d1_C,BPS,high,wk07,d1,bps,C,high-bps-wk07-wk22,Bx_wk07_bps_d1_C,NA,NA,NA,NA
BPS_high_wk07_bps_d1_D,BPS,high,wk07,d1,bps,D,high-bps-wk07-wk22,Bx_wk07_bps_d1_D,NA,NA,NA,NA
BPS_high_wk07_bps_d1_E,BPS,high,wk07,d1,bps,E,high-bps-wk07-wk22,Bx_wk07_bps_d1_E,NA,NA,NA,NA
BPS_high_wk07_bps_d1_F,BPS,high,wk07,d1,bps,F,high-bps-wk07-wk22,Bx_wk07_bps_d1_F,NA,NA,NA,NA
BPS_high_wk07_bps_d1_G,BPS,high,wk07,d1,bps,G,high-bps-wk07-wk22,Bx_wk07_bps_d1_G,NA,NA,NA,NA
BPS_high_wk07_control_d1_A,BPS,high,wk07,d1,control,A,high-bps-wk07-wk22,Bx_wk07_ctl_d1_A,NA,NA,NA,NA
BPS_high_wk07_control_d1_B,BPS,high,wk07,d1,control,B,high-bps-wk07-wk22,Bx_wk07_ctl_d1_B,NA,NA,NA,NA
BPS_high_wk07_control_d1_C,BPS,high,wk07,d1,control,C,high-bps-wk07-wk22,Bx_wk07_ctl_d1_C,NA,NA,NA,NA
BPS_high_wk07_control_d1_D,BPS,high,wk07,d1,control,D,high-bps-wk07-wk22,Bx_wk07_ctl_d1_D,NA,NA,NA,NA
BPS_high_wk07_control_d1_E,BPS,high,wk07,d1,control,E,high-bps-wk07-wk22,Bx_wk07_ctl_d1_E,NA,NA,NA,NA
BPS_high_wk07_control_d1_F,BPS,high,wk07,d1,control,F,high-bps-wk07-wk22,Bx_wk07_ctl_d1_F,NA,NA,NA,NA
BPS_high_wk07_control_d1_G,BPS,high,wk07,d1,control,G,high-bps-wk07-wk22,Bx_wk07_ctl_d1_G,NA,NA,NA,NA
BPS_high_wk07_bps_d2_A,BPS,high,wk07,d2,bps,A,high-bps-wk07-wk22,Bx_wk07_bps_d2_A,NA,NA,NA,NA
BPS_high_wk07_bps_d2_B,BPS,high,wk07,d2,bps,B,high-bps-wk07-wk22,Bx_wk07_bps_d2_B,NA,NA,NA,NA
BPS_high_wk07_bps_d2_C,BPS,high,wk07,d2,bps,C,high-bps-wk07-wk22,Bx_wk07_bps_d2_C,NA,NA,NA,NA
BPS_high_wk07_bps_d2_D,BPS,high,wk07,d2,bps,D,high-bps-wk07-wk22,Bx_wk07_bps_d2_D,NA,NA,NA,NA
BPS_high_wk07_bps_d2_E,BPS,high,wk07,d2,bps,E,high-bps-wk07-wk22,Bx_wk07_bps_d2_E,NA,NA,NA,NA
BPS_high_wk07_bps_d2_F,BPS,high,wk07,d2,bps,F,high-bps-wk07-wk22,Bx_wk07_bps_d2_F,NA,NA,NA,NA
BPS_high_wk07_bps_d2_G,BPS,high,wk07,d2,bps,G,high-bps-wk07-wk22,Bx_wk07_bps_d2_G,NA,NA,NA,NA
BPS_high_wk07_control_d2_A,BPS,high,wk07,d2,control,A,high-bps-wk07-wk22,Bx_wk07_ctl_d2_A,NA,NA,NA,NA
BPS_high_wk07_control_d2_B,BPS,high,wk07,d2,control,B,high-bps-wk07-wk22,Bx_wk07_ctl_d2_B,NA,NA,NA,NA
BPS_high_wk07_control_d2_C,BPS,high,wk07,d2,control,C,high-bps-wk07-wk22,Bx_wk07_ctl_d2_C,NA,NA,NA,NA
BPS_high_wk07_control_d2_D,BPS,high,wk07,d2,control,D,high-bps-wk07-wk22,Bx_wk07_ctl_d2_D,NA,NA,NA,NA
BPS_high_wk07_control_d2_E,BPS,high,wk07,d2,control,E,high-bps-wk07-wk22,Bx_wk07_ctl_d2_E,NA,NA,NA,NA
BPS_high_wk07_control_d2_F,BPS,high,wk07,d2,control,F,high-bps-wk07-wk22,Bx_wk07_ctl_d2_F,NA,NA,NA,NA
BPS_high_wk07_control_d2_G,BPS,high,wk07,d2,control,G,high-bps-wk07-wk22,Bx_wk07_ctl_d2_G,NA,NA,NA,NA
BPS_high_wk07_bps_d7_A,BPS,high,wk07,d7,bps,A,high-bps-wk07-wk22,Bx_wk07_bps_d7_A,NA,NA,NA,NA
BPS_high_wk07_bps_d7_B,BPS,high,wk07,d7,bps,B,high-bps-wk07-wk22,Bx_wk07_bps_d7_B,NA,NA,NA,NA
BPS_high_wk07_bps_d7_C,BPS,high,wk07,d7,bps,C,high-bps-wk07-wk22,Bx_wk07_bps_d7_C,NA,NA,NA,NA
BPS_high_wk07_bps_d7_D,BPS,high,wk07,d7,bps,D,high-bps-wk07-wk22,Bx_wk07_bps_d7_D,NA,NA,NA,NA
BPS_high_wk07_bps_d7_E,BPS,high,wk07,d7,bps,E,high-bps-wk07-wk22,Bx_wk07_bps_d7_E,NA,NA,NA,NA
BPS_high_wk07_bps_d7_F,BPS,high,wk07,d7,bps,F,high-bps-wk07-wk22,Bx_wk07_bps_d7_F,NA,NA,NA,NA
BPS_high_wk07_bps_d7_G,BPS,high,wk07,d7,bps,G,high-bps-wk07-wk22,Bx_wk07_bps_d7_G,NA,NA,NA,NA
BPS_high_wk07_control_d7_A,BPS,high,wk07,d7,control,A,high-bps-wk07-wk22,Bx_wk07_ctl_d7_A,NA,NA,NA,NA
BPS_high_wk07_control_d7_B,BPS,high,wk07,d7,control,B,high-bps-wk07-wk22,Bx_wk07_ctl_d7_B,NA,NA,NA,NA
BPS_high_wk07_control_d7_C,BPS,high,wk07,d7,control,C,high-bps-wk07-wk22,Bx_wk07_ctl_d7_C,NA,NA,NA,NA
BPS_high_wk07_control_d7_D,BPS,high,wk07,d7,control,D,high-bps-wk07-wk22,Bx_wk07_ctl_d7_D,NA,NA,NA,NA
BPS_high_wk07_control_d7_E,BPS,high,wk07,d7,control,E,high-bps-wk07-wk22,Bx_wk07_ctl_d7_E,NA,NA,NA,NA
BPS_high_wk07_control_d7_F,BPS,high,wk07,d7,control,F,high-bps-wk07-wk22,Bx_wk07_ctl_d7_F,NA,NA,NA,NA
BPS_high_wk07_control_d7_G,BPS,high,wk07,d7,control,G,high-bps-wk07-wk22,Bx_wk07_ctl_d7_G,NA,NA,NA,NA
BPS_high_wk12_inoculum_d0_A,BPS,high,wk12,d0,inoculum,A,high-bps-wk07-wk22,Bx_wk12_inc_d0_A,NA,NA,NA,NA
