feature	ASV001	ASV002	ASV003	ASV004	ASV005	ASV006	ASV007	ASV008	ASV009	ASV010	ASV011	ASV012	ASV013	ASV014	ASV015	ASV016	ASV017	ASV018	ASV019	ASV020	ASV021	ASV022	ASV023	ASV024	ASV025	ASV027	ASV028	ASV029	ASV030	ASV032	ASV033	ASV034	ASV035	ASV036	ASV037	ASV038	ASV039	ASV041	ASV042	ASV043	ASV044	ASV045	ASV046	ASV048	ASV049	ASV055	ASV056	ASV059	ASV061	ASV062	ASV063	ASV065	ASV066	ASV067	ASV068	ASV069	ASV070	ASV071	ASV072	ASV075	ASV077	ASV080	ASV081	ASV082	ASV083	ASV084	ASV092	ASV093	ASV098
wk22_A	0.0030204185	0.4692577575	0.164700804	0.003415524	0.0949619865	0.000117762	0.117162472	0.0123187225	0.0006702245	0.0048268225	0.0020379425	0.001510651	0.0350962995	0	0.0001585965	0.0018119735	0.002068604	0.024639655	0.000425511	0.0076352555	0.001834581	0.0011694925	0.000669517	0	0.000193337	0.0004797835	0.001846984	0.000263268	0.0010581255	0.0019001205	2.365e-05	9.275e-05	0.0021818585	0.000854932	0.0036665575	0.002149601	0.0003870655	0.0036348755	0.001092126	3.455e-05	0.000235218	0.007104703	0.0070435335	0.000493386	0.003536517	0.000473669	0.0001755985	0.000233035	0.003179332	7.11e-05	0.0009854775	0	0.0001819275	0.000507491	8.13715e-05	0.0001268465	0.000424179	2.115e-05	0.00016419	9.99215e-05	0	0	0.000110953	0.0001925395	1.62e-05	0	0	0.0005282275	0
wk22_B	0.0012920585	0.434795688	0.1428737935	0.0028626285	0.1050293205	4.54e-05	0.1854867745	0.0100568405	0.0006065545	0.0049640175	0.0013797965	0.001609134	0.028013964	0	0.000157791	0.0014663835	0.002504122	0.025204456	0.000297949	0.0071835035	0.001912544	0.002266784	0.0004748345	0	0.0002627045	0.0003464745	0.0016889995	0.000354603	0.000927107	0.002345498	7.35e-06	0.0001616955	0.0015442865	0.0018978865	0.002995629	0.0019738065	0.0006822285	0.001906091	0.0009515785	4.32e-05	0.0001381895	0.0051729465	0.006089504	0.000416015	0.0006667175	0.000355286	0.000183019	0.000232676	0.00225631	5.95e-05	0.000720055	9.365e-05	0.0002128665	0.000452849	9.2652e-05	0.0001659515	0.0003496105	9.8e-06	0.000147006	7.885e-05	0	0	0.0001110975	0.0001564575	1.715e-05	0	9.8e-06	0.000276881	0
wk22_D	0.000128496	0.3194693055	0.128847563	0.0259453305	0.0662733905	0	0.1920760125	0.0053159185	0.004435993	0.007297581	0.00460304	0.00258153	0.095497676	0.0044545485	0.0001156795	0.0026652705	0.011278406	0.0273241125	0.000319098	0.0204226025	0.0033924785	0.002274265	0.0035146135	0.0007389625	0.0012840095	0.0001705875	0.0056239075	0.0002077675	0.0111202125	0.003530425	0.000314116	0.000125621	0.0173031225	0.003219468	0.003226464	0	1.18e-05	0.0014864895	0.0050305345	0.0002946725	0.002065177	0.005155112	0.0020829985	0.0010571595	0.000171224	0.000914918	0.000584048	0.0001240855	0	5.33e-05	0.0009329755	4.325e-05	0	0.002273423	0.0001206045	0.0002826475	0	5.78e-05	0.0005751035	0	0.000249811	0.00039273	5.7692e-05	6.55e-06	0.0001227105	0.0002601145	0.0001493065	0	0
wk22_E	5.466e-05	0.222618095	0.1647010515	0.014139286	0.0780508215	8.85e-06	0.1425533785	0.00469714	0.005780168	0.0102848035	0.0038572275	0.0034898015	0.1291451575	0.0102074925	0.000155193	0.003362919	0.016003228	0.0474474045	0.000766834	0.0289366175	0.004861961	0.0019480455	0.00391157	0.0011081115	0.001290055	0.000101621	0.006290021	0.000187976	0.0185074135	0.0058729695	0.000504875	9.78945e-05	0.0339650585	0.001148722	0.003359451	0	6.0244e-05	0.0025902205	0.0078362875	0.000337971	0.00276818	0.0063421375	0.002985912	0.0005455745	0.000183434	0.000940211	0.000460302	2.835e-05	0	0.00014857	0.0003244895	0.000155285	0	0.001153534	0.0001769395	0.0001778935	0	0.0001062365	0.0008846045	0	0.00079976	0.0003368535	2.98e-05	0	0.0001372935	0.0004197195	0.0002457355	0	1.365e-05
wk22_F	0.0001613825	0.24767044	0.2681987075	0.0277196655	0.1142360865	0	0.206845097	0.005386916	0.001004386	0.003819833	0.008077581	0.001886078	0.0434305955	0.0102232365	0.0003429215	0.000487605	0.007851097	0.0127836885	0.0004508895	0.005072764	0.0010244455	0.003136602	0.0013051305	0.000177523	0.0006716605	0.000135041	0.0015680885	0.0002312815	0.0048078585	0.001192336	9.7054e-05	0.0001494535	0.004252488	0.0021652595	0.000750499	0	2.82e-05	0.000351512	0.0020842895	0.0003084205	0.002069156	0.001383608	0.002608784	0.0002213895	0.000440943	0.0003059295	0.0007266835	0.000195433	0	0	0.0002050295	0	0	0.0003484775	3.245e-05	0.0003501555	0	2.145e-05	0.000125135	0	9.1041e-05	0.0001012275	3.995e-05	0	3.11e-05	6.085e-05	1.62e-05	0	9.9e-06
wk22_G	4.38e-05	0.149080357	0.1705048325	0.009048149	0.0715049805	1.35e-05	0.196590537	0.005742777	0.0074894055	0.012139096	0.003954718	0.004330571	0.122332739	0.0052265	0.000182779	0.004542861	0.014407188	0.036288434	0.000189679	0.0300184025	0.003515893	0.002196932	0.006266455	0.0013898045	0.0012989315	0.00014334	0.0088330755	0.0002984855	0.0245842135	0.00496287	0.000363345	0.0001194705	0.0535527055	0.003979038	0.0107779435	0	0.0001151255	0.004377982	0.0068168115	0.000295542	0.0034382225	0.0060599755	0.002995789	0.0010104345	0.0003835595	0.0016539715	0.0009241445	0.0001196735	0	3.035e-05	0.0004077385	6.95e-05	0	0.001022053	0.000117328	0.000260078	0	7.26445e-05	0.0010122205	0	0.0008186995	0.0004781085	2.72e-05	0	0.000154485	0.000504987	0.0002410435	0	2.445e-05
wk22_C	0.001739091	0.246373757	0.086016001	0.012206262	0.083212877	0.000195742	0.206801277	0.012841168	0.004338945	0.013521246	0.002363959	0.002346393	0.114483894	0	0.000436655	0.005252407	0.003287459	0.076223889	0.000956124	0.018098594	0.003852099	0.00241415	0.002107989	0.000168137	0.000188213	0.000429126	0.011159796	0.000388974	0.000195742	0.004441835	4.27e-05	0.000230875	0.00697895	0.003648829	0.010690517	0.007548609	0.002293693	0.002481906	0.002025175	7.78e-05	0.000910953	0.015787334	0.012412042	0.000286084	0.001909738	0.000569659	0.000381446	0.000750344	0.000840686	0.000539545	0.001136809	0.000180685	0.00072023	0.004298792	0.000208289	0.00020327	0.001390269	0.00010289	0.000544564	0.000170647	0	0	8.28e-05	0.001021371	7.53e-05	0	0.000218327	0.000158099	0
wk40_A	0.000569693	0.312738841	0.000194598	0.000152294	0.00010717	8.74e-05	0.430510157	0.011142855	0.011616659	0.008051848	0.000251003	0.004723939	0.043333324	0	0.000301768	0.007092959	0.000377915	0.05954701	0.001689337	0.029841191	0.002921791	0.005155439	0.00344354	0.002374661	0.002594641	0.000205879	0.006819393	0.000262284	0.005443105	0.002340817	0.000270745	0.000276386	0.001020935	0.000259464	0.021075817	0	0.003578912	0.009820152	0.001305781	7.05e-05	0.000854539	0.000730448	0.001759843	0.000349712	0	0.000126912	6.77e-05	0	0	5.36e-05	0.000482265	0	0	0.000896843	0.000284846	0	6.49e-05	3.95e-05	0.000854539	2.54e-05	0	0	0.00011281	8.46e-05	0	0.000490726	0.000121271	0	0.000172036
wk40_B	0.00069923	0.503106807	0.000386696	1.59e-05	8.21e-05	2.38e-05	0.30936174	0.013854825	0.005191255	0.00506942	0.001546782	0.00363123	0.044660688	0	0.000161565	0.002778381	0.001414352	0.036338788	0.000725716	0.01235042	0.001713644	0.005021745	0.002460549	0.000344318	0.002391686	0.000521774	0.00364977	0.000410533	0.006308964	0.002852542	6.62e-05	0.000158916	0.007805423	0.000275454	0.003978197	0	0.000916415	0.001917586	0.001213059	0.000158916	0.000225131	0.003300155	0.005358117	0.000259563	4.24e-05	0.000108593	0.000209239	0.000156267	0.000545612	9.27e-05	0.000299292	7.15e-05	0.000569449	0.001417001	6.62e-05	5.03e-05	0.000895227	0	0.000373453	0.000180105	0	0	0.000137727	0.000444965	2.65e-05	0	7.42e-05	0.000161565	0.000818417
wk40_D	0.002059377	0.340201633	0.096093121	0.016864627	7.42e-06	0	0.366496722	0.009927681	0.000890541	0.006257908	0	0.001591843	0.031387872	2.78e-05	7.24e-05	0.005404473	0.00018924	0.038330383	0.000181819	0.018497286	0.00091466	0.006283882	0.002146576	0.000831172	0.000261597	0.000128015	0.003478677	0.00018924	0.009998182	0.002512069	0.000736552	0.000148424	0.000311689	0.000337664	0.01219114	0	1.86e-05	0.007990753	0.001337667	0.000215214	0.004450851	0.00135251	0.000116884	0.000857146	0	5.19e-05	0.001871992	0.000931358	0	0.000320966	0.001196665	2.41e-05	0	0.000549167	0.000168832	0	0	0.001660489	0.000139147	0	0.000200372	9.28e-06	0.000100186	0	3.9e-05	0.000708722	5.19e-05	0	0
