feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV007	culture_day	d7	-0.225838017887481	0.00946952559235459	28	28	1.27051024855057e-15	1.82953475791282e-13
ASV003	culture_day	d7	0.149196951941381	0.00808100125066027	28	28	1.35597780787957e-13	9.7630402167329e-12
ASV017	culture_day	d7	-0.0814542530363221	0.00595687768502038	28	28	2.77109436118188e-11	1.3301252933673e-09
ASV006	culture_day	d7	0.143202154820193	0.0126669738845611	28	28	7.04686824368746e-10	2.53687256772749e-08
ASV005	culture_day	d7	0.0868833655055622	0.0106357869252261	28	28	1.2269852116551e-07	2.94476450797224e-06
ASV034	culture_day	d7	0.0134932538712851	0.00164751597366944	28	28	1.18044398404444e-07	2.94476450797224e-06
ASV002	culture_day	d7	-0.125482837128229	0.0167647351190659	28	28	4.43851860174419e-07	9.13066683787375e-06
ASV044	culture_day	d7	-0.0112075151631491	0.00157777682375167	28	28	9.34474320454029e-07	1.68205377681725e-05
ASV056	culture_day	d7	-0.0118046257922949	0.00178788460368299	28	21	2.55790831253836e-06	3.68338797005523e-05
ASV069	culture_day	d7	-0.0121608607638832	0.0018392521650361	28	27	2.50982668635182e-06	3.68338797005523e-05
ASV037	culture_day	d7	-0.00953488371937705	0.00145811347981747	28	28	2.91251766774359e-06	3.81275040140979e-05
ASV011	culture_day	d7	0.013871948721318	0.00214292090067986	28	27	3.33475057906882e-06	4.00170069488258e-05
ASV012	culture_day	d7	0.0632798397401789	0.00998433531553147	28	28	4.4144734678601e-06	4.88987830286042e-05
ASV029	culture_day	d7	0.0179731987961123	0.00296778262888687	28	28	7.9726677317848e-06	8.20045823840722e-05
ASV009	culture_day	d7	-0.00806234661787836	0.00141811348850785	28	26	1.76214802213955e-05	0.000169166210125396
ASV027	culture_day	d7	-0.0199938541868589	0.00373106691317759	28	28	3.59029995896834e-05	0.000323126996307151
ASV063	culture_day	d7	-0.00538006014390386	0.00101079412736019	28	28	3.88738474731807e-05	0.000329284355066943
ASV024	culture_day	d7	-0.0235462661575834	0.00467985554412398	28	27	7.41184591830437e-05	0.00059294767346435
ASV016	culture_day	d7	0.0159329019973068	0.00324902975353687	28	28	9.85682427696362e-05	0.000645173952673982
ASV022	culture_day	d7	-0.0258938989655288	0.00525944817564965	28	28	9.43726088400038e-05	0.000645173952673982
