feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV010	exposure	bps	0.0202952405858991	0.00353732420888707	14	14	0.00121815516510456	0.0864890167224239
ASV005	exposure	bps	-0.0181204290107604	0.0051393000005282	14	14	0.0124299887142788	0.294176399571266
ASV095	exposure	bps	-0.00773849280050594	0.00207406770715192	14	12	0.00972437329490928	0.294176399571266
ASV001	exposure	bps	0.00698630004466117	0.00270579347030393	14	11	0.0416585242863726	0.591551044866491
ASV034	exposure	bps	-0.00215014455558263	0.000816517431445016	14	14	0.0388868801498385	0.591551044866491
ASV029	exposure	bps	0.00384847929274298	0.00159753164554246	14	14	0.0526443737996932	0.622958423296369
ASV004	exposure	bps	-0.033521564534001	0.0165621376109292	14	14	0.0894051915251535	0.707654329109708
ASV017	exposure	bps	0.00932222062586626	0.00639745534816652	14	14	0.195331340726532	0.707654329109708
ASV024	exposure	bps	0.00390865368804216	0.00258486404841918	14	13	0.181257868887098	0.707654329109708
ASV025	exposure	bps	0.00604815607632156	0.00385123128240709	14	12	0.167365612066818	0.707654329109708
ASV033	exposure	bps	-0.00438169651127192	0.00228087991500896	14	14	0.103115136475682	0.707654329109708
ASV039	exposure	bps	-0.000748662753281222	0.000458167851165107	14	12	0.153369630255275	0.707654329109708
ASV043	exposure	bps	0.00492447403292755	0.00334104691279957	14	14	0.190937444010182	0.707654329109708
ASV051	exposure	bps	0.00247958976259369	0.00139832696591936	14	14	0.126552691951729	0.707654329109708
ASV058	exposure	bps	-0.00137878190082552	0.000909329604944077	14	4	0.180239206909594	0.707654329109708
ASV070	exposure	bps	-0.000688367004245385	0.00032526608256705	14	6	0.0786825735151396	0.707654329109708
ASV075	exposure	bps	0.000889907426490768	0.00061704927137967	14	3	0.199339247636537	0.707654329109708
ASV086	exposure	bps	-0.00179617441647637	0.000950991473671332	14	11	0.107840524931234	0.707654329109708
ASV091	exposure	bps	0.00119660391099418	0.000776668037449509	14	6	0.174324347931903	0.707654329109708
ASV117	exposure	bps	0.000208658229004169	0.000143949611223615	14	4	0.197369953291133	0.707654329109708
ASV013	exposure	bps	-0.0148296987836133	0.0114390684016812	14	14	0.242461240575803	0.741474932739795
ASV019	exposure	bps	0.00225129005456171	0.00166337612544851	14	14	0.224676174087549	0.741474932739795
ASV023	exposure	bps	0.00885647620211305	0.00696580408924406	14	14	0.250639413883874	0.741474932739795
ASV083	exposure	bps	-0.00105123533554133	0.000808685193467194	14	11	0.241327182754549	0.741474932739795
ASV002	exposure	bps	0.00674590167444038	0.00567045193711865	14	14	0.279117446686913	0.759437309637061
ASV003	exposure	bps	0.00994112240922717	0.00981655547110999	14	14	0.350290452110506	0.759437309637061
ASV011	exposure	bps	-0.00210247481769334	0.00207645943750049	14	14	0.350361291916566	0.759437309637061
ASV012	exposure	bps	0.0132448171432947	0.0108451268173428	14	14	0.267790561583234	0.759437309637061
ASV016	exposure	bps	0.00527716233778297	0.00465334509992769	14	14	0.300038447998892	0.759437309637061
ASV027	exposure	bps	-0.00196275703861562	0.00204515380672468	14	14	0.374261448126381	0.759437309637061
ASV035	exposure	bps	0.0021481545330293	0.00188911591638297	14	14	0.298851967909838	0.759437309637061
ASV036	exposure	bps	-0.00404359669375585	0.00405183500082782	14	14	0.356826003517825	0.759437309637061
ASV037	exposure	bps	0.00145731763563555	0.00134325828457412	14	14	0.319616737909443	0.759437309637061
ASV038	exposure	bps	0.0112646443470801	0.0116321513369971	14	6	0.370241002912661	0.759437309637061
ASV050	exposure	bps	-0.00226042825802697	0.00235589775684722	14	8	0.374370504750664	0.759437309637061
ASV087	exposure	bps	-0.000466712844143543	0.000500336885733153	14	3	0.386922742229794	0.76309763050876
ASV084	exposure	bps	-0.000278981176170946	0.000307241206340716	14	8	0.398868747830541	0.765396786377525
ASV065	exposure	bps	-0.00209511449031906	0.00236788499504468	14	4	0.410315062718238	0.766641301394602
ASV022	exposure	bps	-0.00287634902685591	0.00335955738124781	14	14	0.424771036129787	0.773301117056792
ASV063	exposure	bps	0.000988356454100523	0.00137560976957144	14	14	0.49946775510773	0.886555265316221
ASV006	exposure	bps	-0.0145739042926529	0.0287223859236805	14	14	0.629976109511478	0.888329680499424
ASV007	exposure	bps	0.00474108099636787	0.00943489119080254	14	14	0.633218898888363	0.888329680499424
ASV008	exposure	bps	-0.00699936012706497	0.0137177170828899	14	14	0.628103247141932	0.888329680499424
ASV009	exposure	bps	0.000684076276184973	0.00186305036964215	14	13	0.726086843801078	0.888329680499424
ASV020	exposure	bps	0.00209098750444217	0.00518671439640799	14	14	0.700815661530902	0.888329680499424
ASV021	exposure	bps	-0.000399316491842827	0.000846438133803069	14	14	0.653764390338785	0.888329680499424
ASV041	exposure	bps	-0.000886822805679762	0.00199640975448004	14	10	0.672464352523797	0.888329680499424
ASV042	exposure	bps	0.00147408109264048	0.00333070180252535	14	14	0.673582401384824	0.888329680499424
ASV046	exposure	bps	0.000798798849898624	0.0020805393122019	14	14	0.714261496688089	0.888329680499424
ASV049	exposure	bps	0.0012083328639974	0.00237540050126041	14	14	0.629130488417266	0.888329680499424
ASV055	exposure	bps	0.000750558881523137	0.0015380321105847	14	14	0.642869582361916	0.888329680499424
ASV056	exposure	bps	0.000354690267302825	0.000787321703036344	14	7	0.668169518702355	0.888329680499424
ASV059	exposure	bps	-0.000637295188468636	0.00157308032588913	14	14	0.699434157015947	0.888329680499424
ASV062	exposure	bps	-0.000591181378375389	0.00140767731507807	14	10	0.689131513996329	0.888329680499424
ASV066	exposure	bps	0.000456031702746004	0.00130238506013884	14	6	0.738189452809381	0.888329680499424
ASV067	exposure	bps	-0.00165845679823525	0.00238615185820058	14	12	0.513036813569659	0.888329680499424
ASV069	exposure	bps	0.00141877568114089	0.00274243845904478	14	13	0.623429664828779	0.888329680499424
ASV090	exposure	bps	-0.000173011601920328	0.00031448139891247	14	6	0.602080475854681	0.888329680499424
ASV097	exposure	bps	0.000339337873364186	0.000896902911905242	14	7	0.718199794212823	0.888329680499424
ASV048	exposure	bps	0.000998815806518663	0.00338614739085903	14	14	0.777956324814053	0.920581651029963
ASV014	exposure	bps	-0.00123775025126622	0.00448586244122066	14	8	0.791864843578991	0.921678752362432
ASV028	exposure	bps	-0.0014099739064524	0.0059137716727399	14	14	0.81948786147986	0.938445776855968
ASV015	exposure	bps	0.000478680306280686	0.00515081895525865	14	14	0.928982332205761	0.981248666953789
ASV030	exposure	bps	-0.000212226427333333	0.00262126687633626	14	10	0.93810425634419	0.981248666953789
ASV032	exposure	bps	0.000130772601105325	0.00166047394360318	14	14	0.939787455674052	0.981248666953789
ASV044	exposure	bps	0.00017823066188711	0.00188624146559211	14	14	0.927796595551037	0.981248666953789
ASV045	exposure	bps	-0.000193910792898242	0.00158918023182462	14	14	0.90686786342626	0.981248666953789
ASV061	exposure	bps	0.000122794860700255	0.000764671724148508	14	7	0.877690470251454	0.981248666953789
ASV018	exposure	bps	-0.000235678658255546	0.00438850662955915	14	14	0.958914773416737	0.986709404530265
ASV064	exposure	bps	-4.48173902274122e-05	0.00289377663720487	14	6	0.988145398756302	0.988145398756302
ASV072	exposure	bps	-4.2619674042272e-05	0.00142440470098028	14	14	0.977100458908173	0.988145398756302
