feature	ASV001	ASV002	ASV003	ASV004	ASV005	ASV006	ASV007	ASV008	ASV009	ASV010	ASV011	ASV012	ASV013	ASV014	ASV015	ASV016	ASV017	ASV018	ASV019	ASV020	ASV021	ASV022	ASV023	ASV024	ASV025	ASV027	ASV028	ASV029	ASV030	ASV032	ASV033	ASV034	ASV035	ASV036	ASV037	ASV038	ASV039	ASV041	ASV042	ASV043	ASV044	ASV045	ASV046	ASV048	ASV049	ASV050	ASV051	ASV052	ASV054	ASV055	ASV056	ASV058	ASV059	ASV061	ASV062	ASV063	ASV064	ASV065	ASV066	ASV067	ASV068	ASV069	ASV070	ASV072	ASV076	ASV078	ASV081	ASV083	ASV090	ASV095	ASV097
DINP_high_wk22_control_d2_A	0.0287692947768876	0.728820060922553	0.338496575905301	0.093136830235915	0.366236982104763	0.263987315206419	0.219518525104375	0.211153351096687	0.019365481613572	0.170487771469082	0.0543157535879989	0.0685714819249013	0.0938897205507618	0	0.0769009121714399	0.0645212571972211	0.0868095843732543	0.103294120745641	0.0305405788604275	0.0556145531667661	0.0168079624735744	0.101833681996751	0.0900630983853289	0.00836669787875204	0.055659580102107	0.0352197217912428	0.10031466800775	0.0240327315963304	0	0.013509222838635	0.0299200116984308	0.0217380410208867	0.0281096974921325	0.052819556599856	0.0147479072550694	0.0234534400323149	0.0215067503383208	0.035361520198757	0.0191708117055373	0	0.0148324351684498	0.0364073693575311	0.0873433806522557	0.0263175395779831	0.0904112727770622	0	0.0592356744304608	0.0419334166105683	0	0.0399153974935172	0.00894439117125142	0	0.0044721508622536	0.0309473862663423	0	0.0352197217912428	0.0231853470276888	0	0.00790577650371789	0.012348998003771	0.00836669787875204	0.0299200116984308	0.0127474625574849	0.00894439117125142	0	0	0.00935427988689868	0	0.00474343427824451	0	0
DINP_high_wk22_control_d2_B	0.0128949686376418	0.727628408441759	0.258183826311665	0.0944843527716852	0.356867025604355	0.193305081616826	0.24648741131763	0.30095673871534	0.0192476426481815	0.171468008204463	0.0358681002721963	0.116213114683321	0.119831073414549	0	0.083676833976357	0.0806272123294355	0.105794012786811	0.153190238494779	0.0350963339274804	0.0645341556638482	0.0322176051308157	0.0900099106387453	0.0783807997329567	0.00917618457309263	0.0505695575497652	0.0565538445508208	0.078043049503693	0.0478712756487004	0.016731739994255	0.0430007255323404	0.0496226812221124	0.0230320818694791	0.0199986328509903	0.0611423518643813	0.025463427160153	0.0362187728348566	0.023168794574797	0.0154904548692861	0.0213726120932804	0.0156257758692028	0.0181789274331363	0.0512528566764051	0.107079132689742	0.0181209530786903	0.0374202681628724	0	0.0235294956135466	0.0442327783629736	0	0.0170433601255835	0.0103606390137635	0	0.00680446284294204	0.0199459458610158	0.00523452483583662	0.0261568732989827	0.0197869677912375	0	0.020569483923326	0.0139910604431697	0.00858497586685623	0.0321521721243449	0.0109532094724478	0.0069570669734803	0	0	0.0103606390137635	0.00615633647659156	0.00598334582165284	0.00858497586685623	0
DINP_high_wk22_control_d2_C	0.022239054152736	0.459916787658819	0.26267177782442	0.186069964701094	0.335408513504681	0.190460322482622	0.318995944990528	0.283605411242992	0.0233104356925866	0.237293321163257	0.0402720945628488	0.196807544686035	0.244896603375616	0	0.08125637605531	0.103794831023425	0.124409589373277	0.226669006393233	0.0465620696119184	0.107183244717385	0.0376808686486092	0.0848111819319106	0.138017762548782	0.03614766957583	0.048752276235208	0.0726649430076458	0.119852522872218	0.0648518762263288	0	0.0397449947152674	0.11000288987876	0.0353090927023611	0.0342239276730383	0.0759887464482113	0.0529039712676705	0.0581463986673024	0.0187189723219621	0.0268486161789527	0.0419990344261324	0.0300093369441659	0.0255357733763196	0.0795949219301486	0.131965151944676	0.0253176606693248	0.0687149981221412	0	0.0418136186570304	0.0593569525422103	0	0.0217346124990438	0.020255520444909	0	0.0142057232971231	0.0231672617423003	0.0130673149053938	0.0321855970211343	0.0265578389422114	0.0116306104445737	0.0174940338154279	0.014127465368601	0.0103170623999115	0.0350884054699017	0.0241057575181747	0.0153319737357337	0	0.00333167241340489	0.00759612465652623	0.00828864122083021	0.00905550889963449	0.00148996699386327	0.0121892312417433
DINP_high_wk22_control_d2_D	0.00909957610995827	0.612703006610737	0.322919413818962	0.104426439286975	0.241810488242171	0.299973067658664	0.32060136754509	0.178637815919112	0.0219017052813232	0.24196047296462	0.0626833991678622	0.126453922523341	0.213040647558719	0.0926463808708749	0.0684519607701739	0.089578755658534	0.128648267550986	0.128055803752873	0.0323877094539047	0.12663675591465	0.0470106855980417	0.0704981570432875	0.100352611395899	0.0725322432634835	0.0711006113606024	0.0264566682942495	0.0781664562276177	0.04856410761007	0.0879243348555553	0.0486763776880648	0.0178414902455067	0.0204069793342596	0.0450907036468716	0.0906852524186054	0.0352890613792088	0	0.00571842254788996	0.00417134281987666	0.0732675079817244	0.0535268368524384	0.0484290410463408	0.072637731544714	0.0549166691077137	0.0406349063686989	0.021193259364338	0.0536083945760028	0.00898343870260366	0	0	0.0219017052813232	0.0223452701555656	0.0119041460700944	0.016900064804776	0	0.00531979952323044	0.044530476845365	0	0	0	0.0124415025855002	0.0102296456530242	0.0307641762732519	0	0.0200294943961954	0	0	0.0104405919711923	0.00990470635798186	0	0.00255734515802027	0.0105444829519228
DINP_high_wk22_control_d2_E	0.00766819095459569	0.519674390425203	0.47234139331973	0.159301390110867	0.357892121263318	0.143159806801598	0.279428140956249	0.16303380681821	0.0115971129747965	0.221228941520313	0.083082487993687	0.0911168454778887	0.27420586199418	0.131269866791602	0.0826408996162867	0.0916102473143948	0.12873050791257	0.0961288605006146	0.0190125367323851	0.09844738933622	0.0340233978878875	0.0667523658995063	0.0638259101033144	0.0588099352654638	0.0314541449865239	0.0186403927516406	0.09741079454404	0.0361802856824094	0.0929992231036703	0.0380319240829051	0.0132862480297699	0.0194496966268977	0.0213720270464755	0.054317561376312	0.0234958843490853	0	0.00626103124285786	0	0.102970975283627	0.0418251698288906	0.0443006266969483	0.0614261199542802	0.076542771673588	0.0512600293080078	0.0208408944370851	0.031230514854751	0.0057965831596505	0	0	0.0258801182756647	0.0172342799639535	0.00802504719617386	0.0094711499913324	0	0.00409879178305546	0.027200339069721	0	0	0	0.00626103124285786	0.00917073376066961	0.0223965815294727	0	0.0141046514378313	0	0	0.00729389768505852	0.00603327785386248	0	0	0.00626103124285786
DINP_high_wk22_control_d2_F	0.0101276604794303	0.526102207333826	0.510955788456016	0.15070283086524	0.291462739757592	0.235897250731815	0.27470611562432	0.277189682517402	0.00883187568324923	0.265783881533106	0.0964124137604255	0.0775956622370623	0.114321049826934	0.130277860223231	0.0711250352202987	0.0494543447900462	0.113867646368845	0.0831808937656402	0.0313981993454563	0.0695989399027731	0.0206381072074114	0.0747003051203255	0.093362873279323	0.0577482593013784	0.0539682368737905	0.0120389784495838	0.0855050472111862	0.0287265028609923	0.0406035196980379	0.0172860568331894	0.00844995262618159	0.0158033474395229	0.0211715603469915	0.0409865401489171	0.00831273671314037	0	0.00667837278602397	0.00746331254832973	0.0310767736613902	0.0363701684652187	0.0655955696848565	0.0307882685124613	0.0762277371075347	0.0144005324362247	0.0173504526392879	0.0313626443001374	0.013103275401999	0	0.0348984863576215	0.0111744439355626	0.0288427575462099	0	0.013103275401999	0	0.00333167241340489	0.0140080631967299	0	0	0	0.00990470635798186	0.00804371776055604	0.0296438083503352	0	0.0129319883411114	0	0.0116626397860024	0.0109730502871565	0	0	0.0107679376521609	0.00684110591192852
DINP_high_wk22_control_d2_G	0	0.404659374690859	0.490143196074001	0.291880370113797	0.359719866953748	0.152587075078692	0.265190695402476	0.207454984969392	0.0135754676186325	0.207950214082151	0.0786108321255067	0.0910615500636909	0.266056534732316	0.150709968679037	0.120202356421493	0.0991870721647186	0.155021600760377	0.107070102788813	0.028139669187497	0.0884301096293119	0.0283694534973237	0.0783118805153272	0.0725434145316524	0.0531900656706238	0.0269132655914969	0.0199290385529706	0.103329381649246	0.0406405846848038	0.0856883665724284	0.0342203745674766	0.0140453540979124	0.0206330901788528	0.0163512026040712	0.0565321688268373	0.0280934977145604	0	0.00683379301570073	0	0.087734041416696	0.0331798423101664	0.0437802956244664	0.0407682548073071	0.07651090035288	0.023569956901521	0.0240605840390023	0.0407363685617376	0.00882621226163173	0	0	0.0220915456228384	0.0218552292445189	0.00623702688897509	0.00897229960356194	0	0	0.0124795466552123	0	0	0	0	0.00644209392170279	0.0247521132453124	0	0.017050694203182	0	0	0.00755652610902863	0.00939162356581573	0	0	0.0045607175109771
DINP_high_wk22_dinp_d2_A	0.029655974039755	0.774295180930809	0.340235842519537	0.156516646393733	0.356571249397502	0.243687557907505	0.193331519297853	0.224537850344285	0.0166635440391004	0.155518032882459	0.0552748801649051	0.0565192533927207	0.0814366555614806	0	0.0750529396130195	0.0607225134963943	0.0808998244847305	0.0817926068473218	0.0310542422337261	0.0430139605191098	0.016489046068556	0.0725355014382837	0.0619827431172644	0.00367424288125287	0.0397243738855607	0.0288313422848017	0.0758991721628405	0.0229868671399369	0	0.0160143973760714	0.0253416349350971	0.020219191553015	0.0267848754332819	0.0505278633440172	0.013173459624666	0.02017144473588	0.0188876525788174	0.0349702935503414	0.0150842386866488	0.00417134281987666	0.0151480213388986	0.0315779258694323	0.0772765973425135	0.0277053311777838	0.0702730859350203	0	0.041506542995928	0.0373711525863349	0	0.0328066009490786	0.00589070465825281	0	0.00417134281987666	0.0230287807206939	0	0.0335337210091548	0.0183700287855825	0	0.0112809750603125	0.00867190204562636	0.00651157425411742	0.0225206513663366	0.0104836075081946	0.0077331230464381	0	0	0.0114506650688756	0	0.00665587366006819	0	0
DINP_high_wk22_dinp_d2_B	0.0129921706117726	0.716678797985645	0.248340511244412	0.155584656301189	0.356326498620182	0.203699376657768	0.263595925180575	0.279628027344082	0.0186994586662894	0.189187192681785	0.0347000317256589	0.108212719540878	0.115880519734416	0	0.091323134863989	0.0742955158768579	0.10352779915887	0.130807687407777	0.0383086512845878	0.0717690706866259	0.0337302744154263	0.0898061349161386	0.0805993918150999	0.0107022601793348	0.0462980897212224	0.0538357868917962	0.0792231385876148	0.051367352754517	0.0160381125281963	0.0429619749923832	0.0508949483913995	0.0251211611945931	0.0195917612223896	0.0656831543101339	0.0277811903123333	0.0347579406054841	0.0217780847950033	0.0147998983758075	0.0226379225580428	0.0153988227460339	0.0182093834924747	0.0507563446304609	0.111667413799847	0.0163483580222531	0.0383086512845878	0	0.0234234142241794	0.0408743344665885	0	0.0173038979393068	0.0102220662970133	0	0.00885449314975211	0.0213116108518483	0.00679711052562274	0.0298060741277491	0.0167731148742447	0.00601667988360416	0.0186994586662894	0.0164708388250799	0.00961263991108869	0.0290891843641109	0.010123314712657	0.00722501960587564	0	0	0.0145257646825202	0.006180654206736	0.00448331737349072	0.0143867397143572	0
DINP_high_wk22_dinp_d2_C	0.0166346783056263	0.431375329576603	0.278054378412575	0.249482114632098	0.353279013177405	0.180414217856561	0.278841566223589	0.328159968232602	0.0236143737141868	0.25090438735039	0.040267520439321	0.166931978563205	0.260481913674276	0	0.0748634721778478	0.0953061255644359	0.122728791008231	0.187079010256372	0.0369222476711061	0.0995711399224738	0.0400341112668941	0.083915885424132	0.159550091657984	0.0346832563078467	0.0420883444622414	0.0589587990323932	0.11149720987633	0.0592762462770519	0	0.0458544684235475	0.105148325148043	0.0348031028506375	0.0358056809413801	0.0735551104622394	0.0562625957256249	0.054912517970508	0.0157347523551854	0.0236143737141868	0.040008097208692	0.0202456414844507	0.0246914537490238	0.0914060618783706	0.11378818052691	0.0221595209694495	0.0586218539223669	0	0.0465085921539134	0.0553473551219091	0	0.01619098225477	0.0209527860248806	0	0.0119813133217892	0.0166971227377031	0.0143516250197424	0.0254796287195836	0.0368658052238262	0.0129010555219071	0.0184156546471915	0.010696932468943	0.0146387262638139	0.0328647807165935	0.0228530066324128	0.0114484813905401	0	0	0	0.00840842828512925	0.00721116504861254	0.0101990983317906	0.00967486022978064
