feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV007	culture_day	d7	-0.158934093699147	0.00906724040488032	28	28	3.45232307134548e-13	3.28999815209677e-11
ASV017	culture_day	d7	-0.0732601189839403	0.00424869022721876	28	28	4.6338002142208e-13	3.28999815209677e-11
ASV003	culture_day	d7	0.11397794732015	0.00842990258442397	28	28	3.36844847631608e-11	1.59439894545628e-09
ASV006	culture_day	d7	0.134761151727379	0.0113779689004575	28	28	3.23046257488342e-10	9.17451371266892e-09
ASV069	culture_day	d7	-0.0145420498171953	0.00122086287077064	28	28	2.93651195644163e-10	9.17451371266892e-09
ASV005	culture_day	d7	0.104516460817587	0.0103006572841458	28	28	4.16112348226956e-09	8.23728265219264e-08
ASV011	culture_day	d7	0.0184049683921615	0.00181577561357678	28	28	4.23096195150975e-09	8.23728265219264e-08
ASV022	culture_day	d7	-0.031151618514612	0.00309095022552415	28	28	4.6407226209536e-09	8.23728265219264e-08
ASV037	culture_day	d7	-0.0106554649101479	0.00112754150646735	28	27	1.29837740609797e-08	2.04855101851013e-07
ASV063	culture_day	d7	-0.0115472004782349	0.00123183410306677	28	27	1.47553512568714e-08	2.09525987847575e-07
ASV002	culture_day	d7	-0.18717774362116	0.0207658402136752	28	28	2.7272669671916e-08	3.5206537212837e-07
ASV035	culture_day	d7	-0.014985857818482	0.00176653416874312	28	26	6.93879610885314e-08	8.21090872880955e-07
ASV034	culture_day	d7	0.00981219571928003	0.00120025437193194	28	28	1.21326283843622e-07	1.32525633121495e-06
ASV048	culture_day	d7	0.0126699096096558	0.00160753005971802	28	28	2.08993316450838e-07	2.11978935257279e-06
ASV029	culture_day	d7	0.0141369423891787	0.00190158494071519	28	28	4.8938641594945e-07	4.63285807098813e-06
ASV024	culture_day	d7	-0.0225226296738424	0.00316119886973836	28	24	8.95876534916089e-07	7.95090424738029e-06
ASV012	culture_day	d7	0.0798142067767991	0.0137716036535242	28	28	1.38941889923853e-05	0.000116057343348159
ASV027	culture_day	d7	-0.0152644664575865	0.00271037018105154	28	28	1.97797366390703e-05	0.000147827505407789
ASV081	culture_day	d7	-0.00548441943195518	0.000970761182524825	28	18	1.90343516756711e-05	0.000147827505407789
ASV016	culture_day	d7	0.0169509351053423	0.00316862019632197	28	28	3.66302916092673e-05	0.000260075070425798
ASV056	culture_day	d7	-0.0115873219382974	0.00238967064459799	28	23	0.000111506537681553	0.000753996588132409
ASV044	culture_day	d7	-0.00957980681086754	0.0019869329054799	28	28	0.000118617320801263	0.000765620888808152
ASV041	culture_day	d7	-0.00408218296840928	0.000869537241575999	28	17	0.000157812180028456	0.000974318676697422
ASV009	culture_day	d7	-0.00728065571658672	0.00168984485426002	28	26	0.000378988955287257	0.00224235131878294
ASV018	culture_day	d7	-0.0208660944024096	0.00496140750863901	28	28	0.000479068121705815	0.00272110693128903
ASV025	culture_day	d7	0.00846598213731574	0.00215968016940681	28	28	0.000919781913462189	0.00502342429660119
ASV021	culture_day	d7	-0.00611092712397688	0.00157950972985566	28	28	0.00103373919101246	0.00543670241199146
ASV052	culture_day	d7	-0.0174476797149947	0.00473157088910008	28	10	0.00156365698429422	0.00792997470606356
ASV068	culture_day	d7	-0.00224132596626492	0.00063902400513846	28	28	0.00173293527403531	0.00848540720389703
ASV023	culture_day	d7	-0.0230478808410717	0.00636695118421981	28	28	0.0018238480147841	0.00863288060331141
ASV015	culture_day	d7	0.0109519945602119	0.00308063773607242	28	28	0.0021135682353796	0.00968150611044848
ASV030	culture_day	d7	-0.013394049512188	0.0038976934514541	28	21	0.00276684048762088	0.0122778546638176
ASV036	culture_day	d7	0.0122636774329372	0.00360723686028882	28	28	0.00300621536044213	0.0129358357934176
ASV043	culture_day	d7	0.0183836344806765	0.0056089728631623	28	27	0.00396065718102044	0.0165415682266148
ASV020	culture_day	d7	-0.00889046997549183	0.00277080315385436	28	28	0.00462388928364	0.0187597793793394
ASV095	culture_day	d7	0.0070233016922483	0.00222260939251807	28	22	0.00515668594498332	0.0203402612274342
ASV090	culture_day	d7	0.00151293832384905	0.000486250091338848	28	12	0.00574664243407312	0.0220546817740103
ASV051	culture_day	d7	-0.0104117457402461	0.0039010507231228	28	26	0.0151703155782179	0.0566890740028142
ASV010	culture_day	d7	-0.0189792873281228	0.00746275114799043	28	28	0.0198429955981731	0.0722488557677072
ASV042	culture_day	d7	-0.00871922342032067	0.00365884244330169	28	28	0.0277654299825589	0.0985672764380842
ASV050	culture_day	d7	0.00352887565622426	0.00150836294654187	28	16	0.0303803069873759	0.0986374451712977
