feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV002	exposure	dinp	-0.0258150760421867	0.0194884431323532	14	14	0.233508123403712	0.645772471879789
ASV005	exposure	dinp	-0.0127619862065195	0.0118757924681215	14	14	0.323847791133573	0.645772471879789
ASV006	exposure	dinp	0.0195681755115565	0.012169559954607	14	14	0.158968213306661	0.645772471879789
ASV008	exposure	dinp	0.049919493719462	0.0519712461271465	14	14	0.355747903497259	0.645772471879789
ASV010	exposure	dinp	-0.00386901188162359	0.00278941682311315	14	14	0.214761726686088	0.645772471879789
ASV011	exposure	dinp	-0.0035509202144096	0.0029387706449266	14	14	0.27238826025901	0.645772471879789
ASV012	exposure	dinp	-0.0347838750657682	0.0224977212844617	14	14	0.173037493175492	0.645772471879789
ASV013	exposure	dinp	0.013520761838326	0.0146971728565108	14	14	0.393078895926828	0.645772471879789
ASV014	exposure	dinp	0.00641334233241523	0.00622893773618543	14	8	0.342900641075358	0.645772471879789
ASV016	exposure	dinp	0.0115830079967137	0.00339699719050419	14	14	0.0143225403498834	0.645772471879789
ASV018	exposure	dinp	-0.00756430787032016	0.00793822626033518	14	14	0.377436401493276	0.645772471879789
ASV025	exposure	dinp	-0.00321217931152183	0.00210552529026942	14	14	0.177957307583947	0.645772471879789
ASV028	exposure	dinp	0.0115462273237959	0.00730128239072797	14	14	0.13977210659152	0.645772471879789
ASV029	exposure	dinp	0.00244727923373698	0.0016980594492944	14	14	0.199603339219095	0.645772471879789
ASV030	exposure	dinp	-0.00590468433376684	0.00529797596375966	14	11	0.307699369369578	0.645772471879789
ASV033	exposure	dinp	0.00887094286752367	0.00496465556686981	14	14	0.124198557380428	0.645772471879789
ASV035	exposure	dinp	0.00361195057858309	0.00270619354421134	14	12	0.230388615217322	0.645772471879789
ASV036	exposure	dinp	-0.00363153773506581	0.00317835495257934	14	14	0.296746412588926	0.645772471879789
ASV038	exposure	dinp	0.0134838525870011	0.0146381625782351	14	6	0.392506608780974	0.645772471879789
ASV041	exposure	dinp	0.00164234803256207	0.000898977517745635	14	7	0.117490635786206	0.645772471879789
ASV042	exposure	dinp	-0.00843264335493741	0.00567694746798181	14	14	0.187976425393221	0.645772471879789
ASV043	exposure	dinp	-0.00898794048623808	0.00389481397987323	14	14	0.0604616297794688	0.645772471879789
ASV044	exposure	dinp	-0.00550655033588893	0.00304731132587176	14	14	0.120772593977243	0.645772471879789
ASV045	exposure	dinp	0.00452830464689566	0.00468686790245527	14	14	0.371272289141077	0.645772471879789
ASV048	exposure	dinp	0.00464275004765702	0.00155788472928667	14	14	0.0246314495022909	0.645772471879789
ASV049	exposure	dinp	-0.00251130218271656	0.00252512873320678	14	14	0.358368043979336	0.645772471879789
ASV050	exposure	dinp	0.00213588291182173	0.00144550588940744	14	8	0.18998577904484	0.645772471879789
ASV051	exposure	dinp	0.00341528192495512	0.00250706691538164	14	12	0.222034485271592	0.645772471879789
ASV054	exposure	dinp	-0.0154412782111097	0.0154412781106669	14	2	0.355917680452701	0.645772471879789
ASV061	exposure	dinp	-0.00197777630886147	0.00137803281967174	14	6	0.201233120949399	0.645772471879789
ASV064	exposure	dinp	0.00355980467691019	0.00322574163374654	14	4	0.312065598131897	0.645772471879789
ASV065	exposure	dinp	0.00360311050041127	0.0030152511208581	14	3	0.255184952893016	0.645772471879789
ASV066	exposure	dinp	0.00381305213016856	0.00238687960631652	14	4	0.161267555842771	0.645772471879789
ASV067	exposure	dinp	0.00260968812544347	0.00177771265896883	14	12	0.192480742677938	0.645772471879789
ASV069	exposure	dinp	-0.00237562609280287	0.00198351240884723	14	14	0.276202344031748	0.645772471879789
ASV070	exposure	dinp	0.00319250866222173	0.00217362910497749	14	4	0.192286684099097	0.645772471879789
ASV073	exposure	dinp	-9.74895377984642e-05	9.74895359241207e-05	14	2	0.355917674449412	0.645772471879789
ASV076	exposure	dinp	-0.0110844681895274	0.0118476288418087	14	4	0.367933220514041	0.645772471879789
ASV078	exposure	dinp	0.00449163065706904	0.00213882028236185	14	4	0.080472065746266	0.645772471879789
ASV079	exposure	dinp	0.00151391398479359	0.00124723458106907	14	7	0.270425628622331	0.645772471879789
ASV095	exposure	dinp	0.00500125637368787	0.0031996539449413	14	13	0.169067780535348	0.645772471879789
ASV110	exposure	dinp	-0.000267166385102162	0.000194186833163191	14	4	0.218026185873338	0.645772471879789
ASV056	exposure	dinp	0.00090878687812022	0.0010393019030916	14	9	0.415513957104635	0.666754954423716
ASV032	exposure	dinp	-0.00190908300367339	0.00233288775846806	14	14	0.444443242575533	0.681479638615817
ASV083	exposure	dinp	0.00223662902539743	0.00268804519756489	14	9	0.43722871311758	0.681479638615817
ASV004	exposure	dinp	0.0202319173774677	0.0307414739768904	14	14	0.534875208468026	0.77482748012899
ASV009	exposure	dinp	0.00178397502534939	0.00275175705267832	14	12	0.540789115161884	0.77482748012899
ASV021	exposure	dinp	-0.00185417601222207	0.00293038006006815	14	14	0.550239804729283	0.77482748012899
ASV090	exposure	dinp	9.96788560539786e-05	0.000144920177172475	14	6	0.517259923132485	0.77482748012899
ASV003	exposure	dinp	-0.00646576322777051	0.0107019220870077	14	14	0.567857747987458	0.783643692222691
ASV007	exposure	dinp	0.00394453530529842	0.00810906057775009	14	14	0.643914706392061	0.808532132563101
