feature	ASV001	ASV002	ASV003	ASV004	ASV005	ASV006	ASV007	ASV008	ASV009	ASV010	ASV011	ASV012	ASV013	ASV014	ASV015	ASV016	ASV017	ASV018	ASV019	ASV020	ASV021	ASV022	ASV023	ASV024	ASV025	ASV027	ASV028	ASV029	ASV030	ASV032	ASV033	ASV034	ASV035	ASV036	ASV037	ASV038	ASV039	ASV041	ASV042	ASV043	ASV044	ASV045	ASV046	ASV048	ASV049	ASV050	ASV051	ASV054	ASV055	ASV056	ASV059	ASV061	ASV062	ASV063	ASV064	ASV065	ASV066	ASV067	ASV069	ASV070	ASV072	ASV073	ASV076	ASV078	ASV079	ASV083	ASV090	ASV095	ASV110
DINP_high_wk22_control_d7_A	0.0516655325870824	0.448669740467783	0.447279175458626	0.195112442235098	0.498166793254766	0.377777832385042	0.105914062197384	0.159177419352903	0	0.140638104861511	0.0778514143356922	0.25606826211446	0.106533980704851	0	0.0926732178514385	0.0730407728638021	0.022821731211912	0.0741048577552327	0.0351861030528418	0.0492591610011017	0.0147365776218985	0.0483505653150003	0.0510072992393779	0	0.0690356249602058	0.0176650915136549	0.0540042047679734	0.0430371730456772	0	0.0112472811872858	0.0177840755041176	0.0308745501824996	0	0.0916725873769741	0.0110582089135783	0.0183673606034076	0.0168713664588465	0.0229599352255512	0.0261790479295525	0.0403018882578551	0.0124908011721903	0.0332436016297239	0.10078805487349	0.0406148842950571	0.0928789100967918	0	0	0	0.0181943267564257	0.0105708165267203	0.00665587366006819	0.0378722142488604	0	0.0200681853058035	0	0	0	0	0.00984901703194773	0	0	0	0.0784203490643162	0	0	0	0.00883187568324923	0.0113406134478887	0.00615633647659156
DINP_high_wk22_control_d7_B	0	0.534574937227143	0.342229262631393	0.115449219863809	0.505673961754658	0.363376575294331	0.0884768804792618	0.166333155889083	0	0.147406186715057	0.0426548729234432	0.267305217712649	0.115138740699155	0	0.100948676805656	0.107162869419984	0.0240136593517529	0.140150300692958	0.0411987147498815	0.0722814603626628	0.0309915708907569	0.052925195950153	0.05149985392587	0	0.0524402504983435	0.0246518375601916	0.0588872863227725	0.0724812902988199	0.0119132579161086	0.0458897353600514	0.0269312519705181	0.0369974381999671	0	0.0895910780086604	0.0169139670090445	0.0171095459841482	0.0214780569496353	0.0114383873855395	0.0179940808180496	0.0662767447858021	0.0120979808393161	0.0421575097666446	0.134842163983603	0.0230714203651911	0.0490477163346829	0	0	0	0.0179323581130951	0.00614007115372936	0.0121892722655518	0.0257952043863008	0.00631668668538285	0.01780824312333	0	0	0	0.017557382315842	0.0116306534383763	0	0	0	0.032596783344209	0	0	0	0.0100998746754947	0.00148996699386327	0.011534942613535
DINP_high_wk22_control_d7_C	0.018138579892673	0.369605838412495	0.402073803599614	0.190109680161501	0.510813841987969	0.302495827432543	0.11499142209756	0.20372296313595	0.0136903509514135	0.172705119432208	0.0602582419927483	0.279392887352997	0.193312746219237	0	0.090336781283183	0.105005355149971	0.0349668018551139	0.184635490987466	0.0377917690231722	0.0805343321504493	0.0358682537430597	0.0602084731350147	0.071782757318295	0.0141910013111034	0.0432125909347066	0.0355328901901199	0.0786221549819395	0.0685178013711837	0	0.0452879101951138	0.0298910365651281	0.0422786089574538	0.0256143216514499	0.100311290896979	0.0403954129298957	0.0212287233173606	0.0131707262576457	0.0179728901452027	0.031133328285043	0.0879876069436505	0.0188396653497002	0.052268106463085	0.127346197213671	0.031641825051826	0.0690991490029684	0	0.0312292972808349	0	0.0223276697582017	0.0206573641857809	0.0127866301396413	0.0208016924591556	0.0133212423057835	0.0150104270912757	0.0260773682062532	0.00582240354809988	0.00705697007942908	0.0176933226435598	0.0178616048199388	0.0178056874031898	0.0123906358502474	0	0	0	0.0052820696203156	0.0042308517823664	0.0103762644528621	0.00719728382364096	0
DINP_high_wk22_control_d7_D	0.00924675277387267	0.447286283723294	0.451218480009414	0.104497757788492	0.317948835435847	0.406128669471142	0.128719008195342	0.305445816994412	0.0154748542759304	0.273377069732228	0.0819737087575168	0.136817112324483	0.129380724895823	0.0909688842431273	0.0747121755584555	0.102636912592184	0.0587944835845001	0.104198502953813	0.0229353707145957	0.118432909332078	0.0355838212904871	0.0476230408531117	0.0918157471666091	0.0289536738824804	0.0878680360802608	0.0126631580231712	0.0953432502518798	0.0635760706797756	0.0671674576428653	0.0484256078643036	0.0178490848987599	0.0378848191924462	0.017424744688914	0.0968542468308526	0.018380316718805	0	0.0063718560455515	0	0.0732034713946378	0.0580978741695653	0.0400006150424932	0.0621610590449924	0.0679925113267827	0.0571871537467346	0.0179088885029705	0.0668313977401666	0.0100243386743699	0	0.011326229975462	0	0.0198352361907976	0	0	0.0280912005073389	0	0	0	0.0124072921745509	0.0148400190716423	0	0.0221768262142405	0.0139487497119049	0	0	0.0124072921745509	0.0119687443007646	0	0.0123208230729878	0
DINP_high_wk22_control_d7_E	0.00664083189707794	0.337153075139225	0.588329293851416	0.159762223202814	0.455392194939866	0.280528385364658	0.105190980092399	0.124681308426993	0.0144373987199132	0.223643338839768	0.103307443684034	0.159214884204974	0.237164753425628	0.106995684602425	0.110058554467375	0.110808464400587	0.0584352454083392	0.096026150552137	0.0208344619163384	0.0969721815272851	0.0322113924488117	0.0425234835815604	0.0753812497744367	0.032815140833879	0.0412933402269392	0.0127217817518881	0.0932105385815035	0.0498103224359421	0.0755931957090645	0.0392201548408393	0.014180320079563	0.0306100245554855	0.0100268324614027	0.0535188717744939	0.0146899803309093	0	0.00564803852758676	0	0.10079109158244	0.0392201548408393	0.0324391130768549	0.0581823607881937	0.0740304984484483	0.0544968986427521	0.0198703538240708	0.0382378146550549	0.00952379873243805	0	0.019051165529379	0	0.00782951164532536	0	0.00470108102517413	0.010504573227465	0	0	0	0	0.0114001592131055	0	0.0202977727376516	0	0	0	0	0.0137411383768272	0	0.00221359616989058	0
DINP_high_wk22_control_d7_F	0.00987436929199963	0.348895492923289	0.584254759339328	0.225635614647955	0.317020857371781	0.452694862175136	0.104600764780384	0.199358084691846	0.00825236608047343	0.228012678842161	0.121589843222483	0.127144864870492	0.0699613784547506	0.146648362653748	0.0858007721907393	0.0582905530887727	0.0620617075547306	0.0575741171722488	0.031821922688209	0.0452963116622099	0.00949751083936243	0.0334858633483527	0.0456206692221593	0.0233035468523688	0.0662195798674218	0.00470108102517413	0.0728199037829584	0.04021018805491	0.0249075748086499	0.012799060318082	0.0079120987289686	0.0185531532056955	0.00836071939074142	0.0491976845822386	0	0	0.00383406729604016	0	0.0217929388127945	0.0417611973825988	0.0501992532829314	0.0355665474979171	0.0548675653143391	0.0323101411837696	0.0103322213878857	0.0336504880353478	0.0122854219828139	0.140533813312888	0.00868918293971574	0	0.00591611429410857	0	0	0.0070498810901432	0	0	0	0.00767470888305616	0.0240424284866257	0	0.00730759540116116	0	0	0.00997012004079898	0.00359166472132097	0	0	0.0207987349057801	0
DINP_high_wk22_control_d7_G	0.00389872761474275	0.263459346038205	0.663987842345559	0.153283082942127	0.492860461389324	0.170693933487788	0.107561352630717	0.0997083422435853	0.0115032967711884	0.202533149621824	0.106406983492532	0.176118495221612	0.259130745883733	0.120586055121542	0.103015911735336	0.0922258793282087	0.0798620427505298	0.0893916044390462	0.02272346514822	0.0814021379405099	0.0279483694897773	0.0513814702006671	0.0738845455021713	0.0390881821870898	0.0269602316116873	0.0121454622450369	0.0973035466305924	0.0426738109894693	0.0682333567937235	0.0358428384045758	0.015656884435606	0.0267582299562257	0.0102041468986013	0.0476973137215181	0.0178579085749156	0	0.00675282852861356	0	0.0803379897071296	0.0321385838304677	0.0383025888033956	0.0405603990432979	0.0718228097274182	0.0272803152590815	0.0232427466988887	0.0327408304631932	0.00965934271958469	0	0.0190341207074729	0.00360555908753745	0.00806854464690194	0	0.00551364743689039	0	0	0	0	0.00589070465825281	0.0109229000207328	0	0.0179185479725382	0	0	0	0	0.00942881936025112	0	0.00965934271958469	0
DINP_high_wk22_dinp_d7_A	0.0385325536355192	0.333016952603905	0.394446640437101	0.113755186296776	0.43062011206273	0.387085709638324	0.135172651023019	0.472848131535988	0.0114240832233128	0.143119737414131	0.0599898491942272	0.190685256839026	0.164094875012109	0	0.0914980645509191	0.0909637828418672	0.0373021481716191	0.0914570721545823	0.0282185813947529	0.0484477848373552	0.0148954492692347	0.0692481848406803	0.0628949146527515	0	0.067856834261296	0.0114240832233128	0.0997091953547737	0.0544038412524627	0.0045277080388277	0.0165554836767722	0.0398656210989323	0.0384840876292213	0.0145150541126449	0.0734561428621284	0.00935962381933765	0.119513786525384	0.0264441673877246	0.0292890128208496	0.0224794152893543	0.0190191380855859	0.0135172899741481	0.047729449906982	0.0783863593510871	0.0418303757932349	0.0792887139612724	0	0.0149578971060575	0	0.0139249607778708	0.00863723654458666	0.00563030505114923	0.028968806004336	0.00529152731611923	0.0146429274465746	0.0142557976557618	0.0134481560939729	0.0141243855146523	0.00993998259479354	0.00975207746190079	0.0131679543480687	0.00696425043372333	0	0	0	0.00431278510027383	0.012289003301882	0.00946058508818523	0.0211544499174006	0.00563030505114923
DINP_high_wk22_dinp_d7_B	0.0157132848381864	0.469063110604647	0.35695962852362	0.112227624140476	0.508989236538721	0.404981025796328	0.125372876608422	0.289484545626742	0.0118779053217834	0.143108959489991	0.0432487330129154	0.171377032835558	0.109112715626559	0	0.0949469222355906	0.125143663255868	0.035169644481881	0.102402105412934	0.0362136048804036	0.0712849249256817	0.0308639017528861	0.0447645633910667	0.0646481567701396	0	0.0553865469476889	0.0162648494384023	0.079799155809719	0.0725968055098075	0.0109329667693082	0.0436550952597032	0.0563704296764566	0.039750787284973	0.013353561277927	0.0815433735299764	0.0178723252059008	0.0106606897243439	0.0203345762080271	0.0127530708911199	0.0172017785326278	0.0441911063655161	0.00839652647303018	0.0470512399728495	0.119223469393535	0.02659920759647	0.0417954655135328	0	0.00989965663549332	0	0.0122834273867609	0.00560359961621432	0.00816097289374982	0.0205264261584181	0.0057706472458958	0.0179270585085808	0.0168565391281382	0.0175960209570058	0.0118779053217834	0.0193973242279827	0.00656510618478994	0.00979811574524899	0.00542220325370765	0	0	0	0	0.0117117578237651	0.0106606897243439	0.0123629602771264	0.0101908093432622
DINP_high_wk22_dinp_d7_C	0.0162573763077549	0.343759913221088	0.400601004338164	0.160780486347064	0.487277097145608	0.329585547229007	0.113413333417921	0.20793033515174	0.00614820919370853	0.159850339398295	0.0558486034767814	0.303034311396115	0.221236083569958	0	0.102704562912617	0.117822434300526	0.0317933725610679	0.199003016225841	0.0424520476902436	0.0877078931780532	0.0385547972037655	0.0529651798282184	0.0801439774140966	0.0175706223404756	0.0404128558668258	0.0492431253014019	0.0953687147535527	0.0700353143287297	0	0.0453640856171927	0.0441467301771711	0.0460453032352805	0.0234705590923531	0.107650234073788	0.0399703342925628	0.0209181217641966	0.0138203893008146	0.0185544739920354	0.0320370894521415	0.084003666588584	0.0160511097759972	0.0520969148523762	0.132108457828541	0.0341198870344568	0.0689452098764069	0	0.0272385842829214	0	0.021234329874604	0.0200505329482784	0.0114470399346836	0.0211294447695323	0.0121071120408664	0.0142944015798418	0.0198836641607246	0	0.00774604415417324	0.0139801907240089	0.019316997966526	0.0171871779454242	0.0129062484268228	0	0.0214425386164461	0	0.00759612465652623	0	0.00988449199145484	0.0152710552237509	0
