feature	ASV001	ASV002	ASV003	ASV004	ASV005	ASV006	ASV007	ASV008	ASV009	ASV010	ASV011	ASV012	ASV013	ASV014	ASV015	ASV016	ASV017	ASV018	ASV019	ASV020	ASV021	ASV022	ASV023	ASV024	ASV025	ASV027	ASV028	ASV029	ASV030	ASV032	ASV033	ASV034	ASV035	ASV036	ASV037	ASV038	ASV039	ASV041	ASV042	ASV043	ASV044	ASV045	ASV046	ASV048	ASV049	ASV051	ASV056	ASV058	ASV059	ASV061	ASV063	ASV066	ASV067	ASV069	ASV071	ASV072	ASV073	ASV079	ASV081	ASV086	ASV090	ASV091	ASV095	ASV097	ASV105
DINP_high_wk40_control_d7_A	0.0190113266742183	0.441355920913603	0.0121149156188815	0.141245305183321	0.00217485803160853	0.538584619601062	0.22313595240485	0.395776909513678	0.036177685220441	0.157462278003255	0.00575329168474713	0.292649294557158	0.162079104322402	0	0.0579144046883065	0.222293504088661	0.0705866526008844	0.110054079785443	0.0654430409669817	0.121621667708418	0.0345931391423823	0.0740038262208118	0.122079478774555	0.0897716247702151	0.099860133154864	0.010806689878926	0.116380497131345	0.0960746050400341	0.0495418142107968	0.0374013120945331	0.0857222641866324	0.0749713738242931	0.00547725296154926	0.0816779909087102	0.0943318777325907	0	0.00981341384986771	0.0479694948555465	0.0418844436990999	0.0502231327047696	0.0251272136881639	0.027092463315953	0.0683416778238099	0.0310315493610463	0	0.0181620832475298	0.00804371776055604	0.0413338693607026	0.00501998124327622	0	0.0136465585431572	0.0283456022454621	0.0102058128676207	0	0	0.0101282035691858	0	0.00931678654524195	0.00664835703228136	0.0104352265223895	0.0132950522476181	0.00532919026282658	0.0203740136680119	0.00804371776055604	0.0148644634219631
DINP_high_wk40_control_d7_B	0.0109254633457098	0.322933775485668	0.0188112396625812	0.186901674451815	0.0106287936335224	0.439845638921981	0.157875996956964	0.626189816831489	0.0155200946958264	0.127621546508736	0.0355895586134643	0.215127806961061	0.329276081865618	0	0.0653210163424761	0.119904955409971	0.0728278413109231	0.0649929633375561	0.0478413279268893	0.0890187034444525	0.0153126851375645	0.134168873127306	0.079108754973523	0.0585772635232554	0.136646773882626	0.0139274743480852	0.140610373449841	0.0717180410206127	0.0289095452516124	0.0261193247781732	0.121624814832744	0.0508692565453293	0.0344008975953026	0.046322503639938	0.0187544724297724	0	0.0054589647386696	0.0181184690517063	0.0208025820474629	0.033457878672085	0.0144532538038015	0.0186404464109307	0.0944626144176175	0.0169638911659382	0.00946058508818523	0.0173368137765296	0.00968519142609278	0.0202836490998234	0.00206397820948133	0.0130585486476707	0.0124741360706127	0.0218522539782618	0.00357771639648899	0.00813028021993575	0	0.0104263099455933	0	0.00461520868777545	0.0050596658443336	0.00669333018977241	0.0103236033510582	0	0.0224775239542055	0	0.00386006139898337
DINP_high_wk40_control_d7_C	0.0135444164821542	0.378294391129338	0.0165575980312885	0.167579547727555	0.00717641164563579	0.538466611160786	0.19970054672191	0.390967738610503	0.028860426687353	0.223439807898018	0.0268235632463364	0.205777485940067	0.298598246979883	0	0.0467145795875421	0.175075952672085	0.06309660422661	0.104768348141038	0.030391879696527	0.117538503305366	0.0207068655029524	0.0697415275577591	0.133370041784971	0.0781218055658695	0.16897138158385	0.0338283675656481	0.124294691165405	0.122981038852453	0.0329323703932136	0.0685905776208395	0.120285634962712	0.0784522507522816	0.0193693292447542	0.0541453217397226	0.0315244216761303	0	0.0100497960267771	0.0371697073410174	0.0412978979478025	0.0552216843586332	0.0136202963015467	0.044241153330342	0.0835385175331555	0.0217745936649698	0.0120974021600671	0.0192090182314754	0.0172884868504498	0.0676955172224399	0.0192090182314754	0.014781573423649	0.02647536136133	0.0177009243358193	0.00574459424210178	0.00352137064985671	0	0.00861404871625198	0	0.0428188772238991	0	0.0159875193982731	0.0173480312983929	0.0248274372402528	0.0226107301500459	0.00896672486543438	0.00641876669039828
DINP_high_wk40_control_d7_D	0.020630156954928	0.315128523268186	0.195967424340877	0.218452349273149	0.00418331233405852	0	0.507260900474533	0.480555801571311	0.0133343743017793	0.298152749242577	0	0.142075780803214	0.0805633031604128	0.0169016626605199	0.220373167193261	0.0569872881201296	0.140801808798359	0.0932227745479388	0.0656149835414265	0.083279443696117	0.0136583527589138	0.104906311848508	0.0571152928693143	0.057472176871057	0.0769967821714368	0.00638753120478284	0.121306984019807	0.0401945502408733	0.0298690020475139	0.0162867876931893	0.0155543405718026	0.0382225762430939	0.00539446774708876	0.0738349813136801	0.0314388549886406	0	0.00615633647659156	0.0390158204101473	0.0242668618566932	0.0564465370421507	0.0541759850666852	0.0134432468703536	0.0102436160689045	0.0997872119633486	0	0.0381079104378687	0.0256114507467713	0.00382100393272326	0.015174902813304	0	0.0200569175138356	0	0	0	0.015174902813304	0.00661064570054771	0.0158329702397593	0	0	0	0.00724575177436585	0	0	0.00566571650154509	0
DINP_high_wk40_control_d7_E	0.00481665645604431	0.652719699394888	0.189144915409801	0.0168210488810143	0.204070578609431	0	0.0440449560650717	0.677678380029614	0.0111907206030855	0.218819376918672	0.0125579572315628	0.0702735213869366	0.0905755224690288	0.0752317138222242	0.0764898839191285	0.180150311006805	0.111197543066972	0.0498804148885482	0.00609101459630592	0.111972918213588	0.0158264308051151	0.0225891962346434	0.052201602681124	0.0264671221606826	0.0185271226233631	0.00913796061420917	0.0719747261496309	0.0340581918688493	0.0203185336561151	0.0213213011384444	0.00986930404930419	0.0207701716834737	0	0.0532590644818287	0.0161168697285249	0.0633453724628756	0.0174969208647823	0.0103285426562042	0.0190213467919889	0.0378047449395741	0.0197394682180119	0.0207701716834737	0.0407595487462246	0.0162601445342514	0	0.0150758488449445	0	0	0.00746331254832973	0	0	0	0	0	0	0	0.0426522791400383	0	0.00834275822374957	0	0	0	0	0.013449717743981	0
DINP_high_wk40_control_d7_F	0.00463682586314174	0.566544960152738	0.730126009801994	0.137218643938565	0.213672802439323	0	0.147871027417458	0.122305632091368	0.0112128171762079	0.236662120107207	0.0223585396634674	0.0895635075152362	0.0894257200320967	0.107295794878899	0.131513371369454	0.0916393815065719	0.0630086190996715	0.0383342886510904	0.0303852942247453	0.103842738168589	0.0102108091440146	0.0751031159475343	0.0458134807078113	0.0243925602957336	0.0493005531836431	0.0169784480550299	0.0995620407283179	0.0300808226029113	0.015165639857132	0.00554078642148182	0.00763551786053587	0.0196574100354744	0	0.0468408921473986	0.00554078642148182	0.0534558208163081	0.0065498559895647	0.00678238198206486	0.0242031687118156	0.0398266174385891	0.0331386169307023	0.0178588327078608	0.0769654234902665	0.0391268075114053	0.02228982450906	0.0110751981958675	0	0.00428953527254886	0.0106517740782603	0.00350714277301778	0.0176862549457683	0	0.00802504719617386	0.0188611553835677	0	0	0.021376636781526	0	0.00926835798380825	0	0.0049497676799975	0	0	0.00463682586314174	0
DINP_high_wk40_control_d7_G	0.0364191062341697	0.645202845564635	0.446564109692663	0.201313460462784	0.120909589888055	0	0.181771613334881	0.375690273178492	0.0163343113812479	0.22221995379389	0.0122366038311956	0.0735396770279258	0.25269466433046	0.0937779972544101	0.106889794817808	0.10055860221011	0.130401063525997	0.0483765447606431	0.0288190024801082	0.0909922707951365	0.0207409421994927	0.104843083872629	0.058623965441662	0.036493850529047	0.0514893196448757	0.0130964043029484	0.101061585993621	0.0449893566726052	0.0175400270449074	0.0289133520937542	0.008882684006387	0.0262987914995803	0.0059498250165771	0.0440711372558576	0.0114313906430249	0.0129920166546712	0.00737570243990053	0.0145724064974693	0.018957532835106	0.0503377440296479	0.0445937757270939	0.0233358274260804	0.0642649473496998	0.0706408092030587	0.01822522358862	0.0111906759193906	0.0129920166546712	0	0.0049497676799975	0.00521538556742557	0.0173056030138834	0	0.00403733681578627	0.0213235764271132	0	0	0.034812605507775	0	0	0	0	0	0	0.0049497676799975	0
DINP_high_wk40_dinp_d7_A	0.0197496508837013	0.392316440815205	0.010313426745907	0.140039509433769	0	0.472170366234595	0.206642583543042	0.488953021561583	0.0273660178177823	0.162097988012289	0.00520578954692481	0.266102230907825	0.234539261397932	0	0.0682189040161393	0.244102858365672	0.0717031526149554	0.100304621651885	0.0738598796405357	0.11081445585318	0.0307756069914958	0.0920459695772033	0.102294647485844	0.072659943487544	0.0933358497474137	0.0180383283444857	0.126541000405679	0.110329545945768	0.0472567444817585	0.0381357167410608	0.122384499173479	0.0736470304055174	0.00520578954692481	0.0773082658645783	0.0941415057781693	0	0.00764206365380084	0.0380535127656797	0.0441730438789591	0.0476966837961725	0.0200119578788258	0.0229725233453954	0.0663693218192629	0.0357337291388458	0	0.0238634257360977	0.0064575985972257	0.0409089644721205	0	0	0.0156880588420958	0.0196437427960629	0.0104140732003366	0	0	0.00924675277387267	0	0.00878646610959906	0.00707819445143721	0.011643329680028	0.0139272589169806	0.00478541271004584	0.0267880688703114	0.00913248699003362	0.015008528005797
DINP_high_wk40_dinp_d7_B	0.0300233543960531	0.573504246899952	0.0248277595947686	0.151811034801813	0.0173322554869938	0.538273311750533	0.178605121487109	0.21598843822827	0.02554770022671	0.190830013915835	0.0618201103998698	0.289775312232259	0.160601201829455	0	0.0795824176716348	0.0894443578532564	0.0613423376955294	0.0674704639796311	0.0583793033020105	0.112882110191886	0.0274067700963837	0.0760064070366132	0.14468527902542	0.082786083875029	0.17007085441042	0.020734309838153	0.19846691156394	0.0845583594264308	0.0353360667323696	0.0493214850647733	0.0536220642689957	0.0394049681222645	0.045908302127096	0.0496011591523866	0.0261159921832423	0	0.00754990616053765	0.0204407482521851	0.0200569923209219	0.041435846686102	0.018348481675903	0.0268013987631802	0.128142593717933	0.0290288420893188	0.0126027143363268	0.0262479371525717	0.0111489528659666	0.0284882876221958	0.0105931202805983	0.0200139071391545	0.0133348993126935	0.0068264722859852	0.0133348993126935	0.0132048148187282	0	0.00938096911062449	0	0.0105931202805983	0.0106742834607447	0.00694987608882578	0.00851479607219596	0.00371484366837519	0.0104288514671426	0.00525359438134862	0.00799383269254412
DINP_high_wk40_dinp_d7_C	0.0398377508708453	0.362613080085539	0.0152799270223493	0.242648620275017	0.0111521816688923	0.509134363372164	0.214860307076831	0.441869636153684	0.032062520434738	0.20910569722174	0.0291372824604674	0.191000852791546	0.209331219302482	0	0.0667652564011762	0.170440989913057	0.0794912139375266	0.101990201608541	0.0348054176547613	0.113955139742304	0.0125340028227015	0.0839040494615757	0.126628861810017	0.0676121191114649	0.186890963749856	0.0359169824745339	0.148163818864432	0.12873644197072	0.0258839450318947	0.0674825195402617	0.123016875109356	0.0798761820895093	0.0195973254196918	0.0477907552707158	0.0316513110850054	0	0.00660307759064425	0.038612780615518	0.0429256970345947	0.0615121111821181	0.0127069150545132	0.0383004196658759	0.0867813711522137	0.0326696443163754	0.0104449493691951	0.0226455880110265	0.0188595908865849	0.0633343705088927	0.0144731691709807	0.0132943752070463	0.0269984460480554	0.00910506951673752	0.00848538320091428	0.0062690122699506	0	0.00922509697037938	0	0.0456631014861767	0.0062690122699506	0.0152083474358308	0.0190323864810565	0.0208387104827772	0.0240479202701599	0.0107537183177388	0.00466906397634207
