feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV001	exposure	bps	0.00455565476140319	0.00239100178110812	28	22	0.0719842263270513	0.986720103000232
ASV002	exposure	bps	0.0132456217402234	0.0167647351276609	28	28	0.439226443860311	0.986720103000232
ASV003	exposure	bps	0.0100010213696311	0.00808099007883682	28	28	0.230941600912155	0.986720103000232
ASV004	exposure	bps	-0.0226269423520849	0.0168125829247215	28	27	0.194196727862007	0.986720103000232
ASV005	exposure	bps	-0.0139976976576287	0.0106357760197433	28	28	0.203800103189264	0.986720103000232
ASV006	exposure	bps	-0.013216221795373	0.0126669581479816	28	28	0.309874931543835	0.986720103000232
ASV007	exposure	bps	0.00143080115556549	0.00946952231058777	28	28	0.881493148062418	0.986720103000232
ASV008	exposure	bps	0.0069573956972936	0.0292792147194875	28	28	0.814717571556656	0.986720103000232
ASV009	exposure	bps	0.00137243260829174	0.00141810497580051	28	26	0.345306287805124	0.986720103000232
ASV010	exposure	bps	0.0051393632210815	0.010610595087283	28	28	0.633665767161966	0.986720103000232
ASV011	exposure	bps	-0.000550132364496684	0.00214292034556547	28	27	0.80015361387929	0.986720103000232
ASV012	exposure	bps	-0.00245634501970711	0.00998433580576241	28	28	0.808304996867677	0.986720103000232
ASV013	exposure	bps	-0.00932128755325846	0.0104055325104592	28	28	0.381568322281738	0.986720103000232
ASV014	exposure	bps	0.000670784424351216	0.00270764773935409	28	16	0.806995477321808	0.986720103000232
ASV015	exposure	bps	0.00087629919225561	0.00379647036286475	28	28	0.819922332566736	0.986720103000232
ASV016	exposure	bps	5.97582706709515e-05	0.00324902830035812	28	28	0.985517383018406	0.986720103000232
ASV017	exposure	bps	-0.000827152978042367	0.00595678358935503	28	28	0.89102277963361	0.986720103000232
ASV018	exposure	bps	0.000571486496978706	0.0113576777708863	28	28	0.960368757808802	0.986720103000232
ASV019	exposure	bps	0.00264752138550178	0.00163951956778249	28	28	0.122017100549109	0.986720103000232
ASV020	exposure	bps	-0.00193479621241512	0.00418469945483772	28	28	0.649080965469955	0.986720103000232
ASV021	exposure	bps	0.000383996992302008	0.0021865161747432	28	28	0.862450290369301	0.986720103000232
ASV022	exposure	bps	-0.0015642219696485	0.00525944595638039	28	28	0.769379379936047	0.986720103000232
ASV023	exposure	bps	0.00786779698300626	0.00515702118236093	28	28	0.143571919869022	0.986720103000232
ASV024	exposure	bps	-0.00146524099005529	0.00467985533076919	28	27	0.757619075556512	0.986720103000232
ASV025	exposure	bps	0.00515556356367278	0.00365703012394121	28	25	0.173969889133521	0.986720103000232
ASV027	exposure	bps	-0.00133817882221942	0.0037310848903768	28	28	0.723806301317723	0.986720103000232
ASV028	exposure	bps	-0.00197550432759	0.00431089369173795	28	28	0.651964704474407	0.986720103000232
ASV029	exposure	bps	0.00130336154575312	0.00296778244281642	28	28	0.665492092083785	0.986720103000232
ASV030	exposure	bps	-0.00142207591725667	0.00573137755225684	28	21	0.806702569686226	0.986720103000232
ASV032	exposure	bps	0.00182758208748677	0.00156152154601756	28	28	0.256317172521125	0.986720103000232
ASV033	exposure	bps	-0.00462767265455169	0.00472586996060102	28	28	0.339167949763148	0.986720103000232
ASV034	exposure	bps	-0.00196361496157422	0.00164751413608257	28	28	0.247988947649656	0.986720103000232
ASV035	exposure	bps	0.000678180162715186	0.00451733959911691	28	28	0.882245720191881	0.986720103000232
ASV036	exposure	bps	-0.000843618601341443	0.00443967310398379	28	28	0.851310294792765	0.986720103000232
ASV037	exposure	bps	0.000758610754010815	0.00145811770848562	28	28	0.60888700688373	0.986720103000232
ASV038	exposure	bps	0.00509491656461959	0.00663242124441824	28	12	0.451820869663784	0.986720103000232
ASV039	exposure	bps	1.44887177699338e-05	0.000859096660690116	28	24	0.986720103000232	0.986720103000232
ASV041	exposure	bps	-0.000397193005556946	0.00240932429251673	28	21	0.870711711085258	0.986720103000232
ASV042	exposure	bps	0.000600344156424641	0.00338809231135527	28	28	0.861139470702149	0.986720103000232
ASV043	exposure	bps	0.00111526924360049	0.00441505836957742	28	28	0.803285527077315	0.986720103000232
ASV044	exposure	bps	0.000843752715130867	0.00157778148924331	28	28	0.599011026098548	0.986720103000232
ASV045	exposure	bps	0.000279742014246013	0.00333173731362744	28	28	0.933964355919443	0.986720103000232
ASV046	exposure	bps	0.00196807882364063	0.00301134214716777	28	28	0.520842163316851	0.986720103000232
ASV048	exposure	bps	0.00128716393692078	0.00294091428354697	28	28	0.6665569148697	0.986720103000232
ASV049	exposure	bps	0.00165955865894317	0.00154600035107121	28	28	0.296512790621392	0.986720103000232
ASV050	exposure	bps	-0.00236774361192255	0.00215117316858468	28	16	0.284787659825657	0.986720103000232
ASV051	exposure	bps	0.00136244377178587	0.00253536609497761	28	28	0.597246312998504	0.986720103000232
ASV052	exposure	bps	0.00145750635546196	0.00656832766289971	28	12	0.826760019201229	0.986720103000232
ASV055	exposure	bps	5.64961901373353e-05	0.00158877772489991	28	28	0.972004516871638	0.986720103000232
ASV056	exposure	bps	0.000419606765339035	0.00178788351495498	28	21	0.816956388960748	0.986720103000232
