feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV002	exposure	dinp	-0.0143315498713578	0.0207658346824484	28	28	0.498443918849504	0.843160357013111
ASV004	exposure	dinp	0.0263878274806699	0.0180013761289848	28	28	0.15822790345832	0.843160357013111
ASV006	exposure	dinp	0.00971076178903487	0.0113779704212579	28	28	0.404030333045524	0.843160357013111
ASV008	exposure	dinp	0.0314160259617511	0.028597166139007	28	28	0.285681749528519	0.843160357013111
ASV009	exposure	dinp	0.00128299435430428	0.00168984471599987	28	26	0.457027046404518	0.843160357013111
ASV011	exposure	dinp	-0.00155625618686766	0.00181577675436096	28	28	0.402085117987631	0.843160357013111
ASV012	exposure	dinp	-0.0239921386703634	0.0137716015123527	28	28	0.0976478384750972	0.843160357013111
ASV014	exposure	dinp	0.00275548119922155	0.00316231991187019	28	16	0.39390382538594	0.843160357013111
ASV016	exposure	dinp	0.00468879951504775	0.00316862193746779	28	28	0.155327958955689	0.843160357013111
ASV018	exposure	dinp	-0.00834221373772378	0.00496140786308737	28	28	0.109045744671266	0.843160357013111
ASV019	exposure	dinp	-0.00106116278186411	0.00114036676621486	28	28	0.363762448713613	0.843160357013111
ASV020	exposure	dinp	-0.00214903760079095	0.00277080311530698	28	28	0.447531571331682	0.843160357013111
ASV022	exposure	dinp	-0.00368000456272553	0.00309095024511322	28	28	0.248483846555763	0.843160357013111
ASV024	exposure	dinp	-0.00268775311545692	0.00316119664008468	28	24	0.405782919691075	0.843160357013111
ASV025	exposure	dinp	-0.00473359266597021	0.00215968365653391	28	28	0.0410538713468703	0.843160357013111
ASV030	exposure	dinp	-0.00338668358636954	0.00389769270295899	28	21	0.395748449130471	0.843160357013111
ASV032	exposure	dinp	0.00116514918766232	0.00161334989300445	28	28	0.47897137345714	0.843160357013111
ASV033	exposure	dinp	0.00417823206716187	0.00603339629030912	28	28	0.496989878018746	0.843160357013111
ASV035	exposure	dinp	0.0022139531728563	0.00176653447746633	28	26	0.225309694488455	0.843160357013111
ASV037	exposure	dinp	0.00112305747350777	0.0011275304665938	28	27	0.331750788076759	0.843160357013111
ASV038	exposure	dinp	0.00617216142045759	0.007940035037747	28	12	0.446052315329218	0.843160357013111
ASV042	exposure	dinp	-0.00345053536872266	0.00365883759355516	28	28	0.35748390886912	0.843160357013111
ASV043	exposure	dinp	-0.00519344354681509	0.00560897281074762	28	27	0.366101326619539	0.843160357013111
ASV044	exposure	dinp	-0.00396712230554082	0.00198693445216715	28	28	0.0603989262923818	0.843160357013111
ASV046	exposure	dinp	-0.00241162853450765	0.0034970459541469	28	28	0.498770915416206	0.843160357013111
ASV048	exposure	dinp	0.00154156332428144	0.00160752991868633	28	28	0.349621907198355	0.843160357013111
ASV049	exposure	dinp	-0.00367129631686548	0.00186070441963924	28	28	0.0624690218362676	0.843160357013111
ASV055	exposure	dinp	-0.00158660923977259	0.00198911608287899	28	28	0.434932441955378	0.843160357013111
