lcms_run,pathway,p_age,FDR_age,slope,direction
high-bps-wk07-wk22,map01210,0.022583901496729175,0.04670127778644613,-0.023765320281017636,decreasing_with_age
high-bps-wk07-wk22,map02010,7.056361103831043e-6,4.147159596111227e-5,-0.07414222649601057,decreasing_with_age
high-bps-wk07-wk22,map04933,2.471589694078538e-4,9.856935089479883e-4,-0.0701042195894901,decreasing_with_age
high-bps-wk07-wk22,map04920,2.471589694078538e-4,9.856935089479883e-4,-0.0701042195894901,decreasing_with_age
high-bps-wk07-wk22,map00254,2.549203294360218e-4,0.0010046860042478508,-0.11163425084086441,decreasing_with_age
high-bps-wk07-wk22,map00250,0.005643567439070677,0.014770274156942787,-0.044697315930754496,decreasing_with_age
high-bps-wk07-wk22,map04936,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map05010,0.00891582449597125,0.020602578561892668,-0.05342858827093997,decreasing_with_age
high-bps-wk07-wk22,map00520,3.3529703561895296e-4,0.001291086286578727,-0.026842283584992396,decreasing_with_age
high-bps-wk07-wk22,map00970,1.3117130280517767e-10,1.5152547048184317e-9,-0.10930081830071642,decreasing_with_age
high-bps-wk07-wk22,map00627,4.0359345607626296e-4,0.0015191439077027876,-0.026011893081654018,decreasing_with_age
high-bps-wk07-wk22,map05146,2.1247087099526395e-5,1.1121522153658347e-4,-0.07756843640686192,decreasing_with_age
high-bps-wk07-wk22,map05014,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map01523,4.6181222597306365e-6,2.8649462166847466e-5,-0.029941056692574578,decreasing_with_age
high-bps-wk07-wk22,map07030,0.017527032300273544,0.03788100529413959,0.024534327704260332,increasing_with_age
high-bps-wk07-wk22,map00572,0.008357382185007619,0.019642256150075386,6.279780502545409e-4,increasing_with_age
high-bps-wk07-wk22,map00053,0.0038949551293324843,0.01087341640271985,-0.04314505373004451,decreasing_with_age
high-bps-wk07-wk22,map00791,1.1719935273901325e-15,1.963089158378472e-13,-0.24247555721133957,decreasing_with_age
high-bps-wk07-wk22,map04140,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map02030,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map00362,1.4418994768544038e-7,1.0978098289686937e-6,-0.06908077776327728,decreasing_with_age
high-bps-wk07-wk22,map07117,0.020758627219354522,0.04373673030492935,0.02911701222598907,increasing_with_age
high-bps-wk07-wk22,map00402,1.9616586754051257e-5,1.0599284778398663e-4,-0.1464445327556028,decreasing_with_age
high-bps-wk07-wk22,map04976,9.796829178277381e-5,4.558246909337393e-4,0.017161825016444397,increasing_with_age
high-bps-wk07-wk22,map02026,1.0270580662506222e-7,8.391815907169718e-7,-0.09156730883888471,decreasing_with_age
high-bps-wk07-wk22,map05111,0.021121925049380097,0.044224030572139576,-0.0064463620534708395,decreasing_with_age
high-bps-wk07-wk22,map00522,0.006293616717380115,0.015734041793450285,0.05054570139040124,increasing_with_age
high-bps-wk07-wk22,map01064,1.663343949384908e-7,1.211348310965096e-6,-0.03328342198117184,decreasing_with_age
high-bps-wk07-wk22,map01066,1.2645535890492654e-4,5.648339364420053e-4,-0.053089922511765114,decreasing_with_age
high-bps-wk07-wk22,map01060,3.7109390892751086e-4,0.0014126870396672288,-0.09313206509379923,decreasing_with_age
high-bps-wk07-wk22,map01110,0.00838460486406203,0.019642256150075386,-0.005035492689725062,decreasing_with_age
high-bps-wk07-wk22,map01057,9.847742941633384e-13,8.247484713617958e-11,0.16843217975412514,increasing_with_age
high-bps-wk07-wk22,map01040,1.8459327129147203e-5,1.0137499325023465e-4,-0.08269401983329124,decreasing_with_age
high-bps-wk07-wk22,map00997,0.0010861279457828018,0.003432574168275836,-0.026029205397836742,decreasing_with_age
high-bps-wk07-wk22,map00999,2.3532578633338214e-9,2.130652389775217e-8,-0.10393781819817163,decreasing_with_age
high-bps-wk07-wk22,map00650,8.78650816687748e-4,0.0028577478018485007,-0.03839668423667404,decreasing_with_age
high-bps-wk07-wk22,map00930,0.014224147866989285,0.03198046668081484,0.07187698739474555,increasing_with_age
high-bps-wk07-wk22,map00710,3.6040398739861374e-5,1.8293232693717518e-4,-0.06119189364030312,decreasing_with_age
high-bps-wk07-wk22,map01200,6.60154948601443e-4,0.0022765186910522644,-0.056430688411492576,decreasing_with_age
high-bps-wk07-wk22,map00906,0.004400783806927274,0.011985874596102739,0.04261736404645262,increasing_with_age
high-bps-wk07-wk22,map07216,1.5681847506206718e-7,1.1674264254620557e-6,-0.09622273822662888,decreasing_with_age
high-bps-wk07-wk22,map01503,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map05230,1.982151439329189e-4,8.197786816978744e-4,-0.06955259271421141,decreasing_with_age
high-bps-wk07-wk22,map07013,4.488258706481601e-4,0.0016167383512595015,-0.09357567699740456,decreasing_with_age
high-bps-wk07-wk22,map07012,4.488258706481601e-4,0.0016167383512595015,-0.09357567699740456,decreasing_with_age
high-bps-wk07-wk22,map05207,5.232108351143155e-4,0.0018257878100343301,-0.04372329552269221,decreasing_with_age
high-bps-wk07-wk22,map00361,0.0013800502365372536,0.0042028802658179995,-0.07839429585535342,decreasing_with_age
high-bps-wk07-wk22,map04725,5.903100566970022e-10,5.493163027597104e-9,-0.10716904057311538,decreasing_with_age
high-bps-wk07-wk22,map00020,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map04927,1.46337925641613e-4,6.285026293582096e-4,-0.09682677047649,decreasing_with_age
high-bps-wk07-wk22,map04934,1.46337925641613e-4,6.285026293582096e-4,-0.09682677047649,decreasing_with_age
high-bps-wk07-wk22,map00073,1.2573723822498393e-4,5.648339364420053e-4,0.11727583711448061,increasing_with_age
high-bps-wk07-wk22,map04623,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map01220,1.1523734866477926e-7,9.191550429214536e-7,-0.11481525030328385,decreasing_with_age
high-bps-wk07-wk22,map05415,9.444604366806099e-6,5.455073211862143e-5,-0.07355154363063597,decreasing_with_age
high-bps-wk07-wk22,map00621,0.006454937394149107,0.015916348911186855,-0.1008059552669428,decreasing_with_age
high-bps-wk07-wk22,map04728,0.01641561367195674,0.03594268353010136,-0.0681286206969522,decreasing_with_age
high-bps-wk07-wk22,map00983,6.105904316810026e-6,3.6526391895202835e-5,-0.04658523991994158,decreasing_with_age
high-bps-wk07-wk22,map04148,4.627323862097123e-12,1.7344729842771293e-10,-0.10054436690538529,decreasing_with_age
high-bps-wk07-wk22,map07034,4.4357359720965104e-4,0.0016167383512595015,-0.06429833019965628,decreasing_with_age
high-bps-wk07-wk22,map01522,2.1138257379504423e-12,1.4162632444267964e-10,-0.10229960983081147,decreasing_with_age
high-bps-wk07-wk22,map04144,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map04975,5.903100566970022e-10,5.493163027597104e-9,-0.10716904057311538,decreasing_with_age
high-bps-wk07-wk22,map00061,0.024509421845524258,0.04916560669611154,0.04458742165533955,increasing_with_age
high-bps-wk07-wk22,map00071,0.023889435843838226,0.048502793985974575,-0.052851428497222776,decreasing_with_age
high-bps-wk07-wk22,map00062,0.015920695112545378,0.035320747435117227,-0.06507911637850597,decreasing_with_age
high-bps-wk07-wk22,map04666,0.007378090018167227,0.01752950465309235,-0.06782120130111016,decreasing_with_age
high-bps-wk07-wk22,map04216,7.570735137546531e-4,0.0025618144152303917,-0.06011840798951447,decreasing_with_age
high-bps-wk07-wk22,map00941,0.02430601503784178,0.04905129540769274,-0.11893121848204131,decreasing_with_age
high-bps-wk07-wk22,map05418,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map04068,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map00051,4.9594961702953614e-5,2.443281201542568e-4,-0.050312657091864284,decreasing_with_age
high-bps-wk07-wk22,map00365,0.004232229313988477,0.011621285411361803,-0.019602552232839944,decreasing_with_age
