dataset	culture_day	pathwayID	log2FC_exp	FDR_age	slope	direction	rep_features	pathway
BPS_high_wk07	d1	map00760	2.877883444290015	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	25	Nicotinate and nicotinamide metabolism
BPS_high_wk07	d2	map00760	2.960512324733222	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	25	Nicotinate and nicotinamide metabolism
BPS_high_wk07	d7	map00760	3.1064089143408644	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	25	Nicotinate and nicotinamide metabolism
BPS_high_wk07	d1	map00907	1.0377209345323053	0.01503596279924452	0.05752168618085307	increasing_with_age	9	Pinene, camphor and geraniol degradation
BPS_high_wk07	d2	map00907	1.0029692975050712	0.01503596279924452	0.05752168618085307	increasing_with_age	9	Pinene, camphor and geraniol degradation
BPS_high_wk07	d7	map01057	0.6733831462494613	8.247484714318904e-11	0.16843217975412514	increasing_with_age	7	Biosynthesis of type II polyketide products
BPS_high_wk07	d1	map04923	0.8916907440416538	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk07	d2	map04923	1.199015963611079	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk07	d7	map04923	1.3998893498697482	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk12	d2	map00350	0.7596733226626067	0.04162628983259828	-0.04262239860978027	decreasing_with_age	52	Tyrosine metabolism
BPS_high_wk12	d2	map00522	-1.917187601081931	0.01573404179345028	0.05054570139040124	increasing_with_age	12	Biosynthesis of 12-, 14- and 16-membered macrolides
BPS_high_wk12	d1	map00621	0.6621351902898064	0.01591634891118685	-0.1008059552669428	decreasing_with_age	15	Dioxin degradation
BPS_high_wk12	d2	map00621	0.731897079584465	0.01591634891118685	-0.1008059552669428	decreasing_with_age	15	Dioxin degradation
BPS_high_wk12	d1	map00760	3.047188035503463	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	25	Nicotinate and nicotinamide metabolism
BPS_high_wk12	d2	map00760	3.0289768301378146	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	25	Nicotinate and nicotinamide metabolism
BPS_high_wk12	d7	map00760	2.984487491678445	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	25	Nicotinate and nicotinamide metabolism
BPS_high_wk12	d2	map00901	0.6461496547007377	0.00269267782311566	-0.02422866935435422	decreasing_with_age	17	Indole alkaloid biosynthesis
BPS_high_wk12	d2	map00903	-1.8604402456022444	0.01099955441323147	0.05247288922615367	increasing_with_age	5	Limonene degradation
BPS_high_wk12	d1	map00945	1.1974901846456256	8.954553819017383e-5	-0.05744115285824776	decreasing_with_age	12	Stilbenoid, diarylheptanoid and gingerol biosynthesis
BPS_high_wk12	d2	map00945	1.9665311080846408	8.954553819017383e-5	-0.05744115285824776	decreasing_with_age	12	Stilbenoid, diarylheptanoid and gingerol biosynthesis
BPS_high_wk12	d7	map00945	1.2454097922303684	8.954553819017383e-5	-0.05744115285824776	decreasing_with_age	12	Stilbenoid, diarylheptanoid and gingerol biosynthesis
BPS_high_wk12	d1	map02010	0.38668769449428514	4.147159594240535e-5	-0.07414222649603373	decreasing_with_age	71	ABC transporters
BPS_high_wk12	d2	map02010	0.43191961277085567	4.147159594240535e-5	-0.07414222649603373	decreasing_with_age	71	ABC transporters
BPS_high_wk12	d1	map04923	1.311364101551751	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk12	d2	map04923	1.359271589346581	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk12	d7	map04923	1.1060882086028212	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk17	d1	map00350	0.6506537675991552	0.04162628983259828	-0.04262239860978027	decreasing_with_age	51	Tyrosine metabolism
BPS_high_wk17	d1	map00621	0.5816542839719556	0.01591634891118685	-0.1008059552669428	decreasing_with_age	14	Dioxin degradation
BPS_high_wk17	d2	map00624	-0.8061643414066144	0.01573404179345028	-0.1106617860993434	decreasing_with_age	33	Polycyclic aromatic hydrocarbon degradation
BPS_high_wk17	d1	map00760	2.601902275219065	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	25	Nicotinate and nicotinamide metabolism
BPS_high_wk17	d2	map00760	2.296051897289868	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	25	Nicotinate and nicotinamide metabolism
BPS_high_wk17	d7	map00760	2.5725784229449657	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	25	Nicotinate and nicotinamide metabolism
BPS_high_wk17	d1	map00945	1.7539172075254708	8.954553819017383e-5	-0.05744115285824776	decreasing_with_age	12	Stilbenoid, diarylheptanoid and gingerol biosynthesis
BPS_high_wk17	d2	map00945	1.4884418191277664	8.954553819017383e-5	-0.05744115285824776	decreasing_with_age	12	Stilbenoid, diarylheptanoid and gingerol biosynthesis
BPS_high_wk17	d1	map00983	1.2235318090685612	3.6526391895202835e-5	-0.04658523991994158	decreasing_with_age	6	Drug metabolism - other enzymes
BPS_high_wk17	d2	map00983	1.0229599452479028	3.6526391895202835e-5	-0.04658523991994158	decreasing_with_age	6	Drug metabolism - other enzymes
BPS_high_wk17	d7	map00983	0.7723365587496626	3.6526391895202835e-5	-0.04658523991994158	decreasing_with_age	6	Drug metabolism - other enzymes
BPS_high_wk17	d1	map01057	1.0738611881394085	8.247484714318904e-11	0.16843217975412514	increasing_with_age	6	Biosynthesis of type II polyketide products
BPS_high_wk17	d1	map01220	0.5672868367971095	9.191550429214536e-7	-0.11481525030328384	decreasing_with_age	129	Degradation of aromatic compounds
BPS_high_wk17	d1	map04923	1.0441761294003808	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk17	d2	map04923	0.8814112776090959	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk17	d7	map04923	1.333014063956756	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk22	d7	map00040	0.5558503269536019	0.00585458781752286	-0.05288864984274213	decreasing_with_age	71	Pentose and glucuronate interconversions
BPS_high_wk22	d1	map00051	0.4850803407401993	2.443281201542568e-4	-0.05031265709186428	decreasing_with_age	41	Fructose and mannose metabolism
BPS_high_wk22	d1	map00052	0.587707009756442	0.01573404179345028	3.652736247772605e-5	increasing_with_age	27	Galactose metabolism
BPS_high_wk22	d7	map00053	0.432628651450828	0.01087341640271985	-0.04314505373004451	decreasing_with_age	53	Ascorbate and aldarate metabolism
BPS_high_wk22	d1	map00071	0.5932610226898758	0.04850279398597457	-0.05285142849722277	decreasing_with_age	25	Fatty acid degradation
BPS_high_wk22	d7	map00073	0.5845573953318407	5.648339364420053e-4	0.1172758371144806	increasing_with_age	10	Cutin, suberine and wax biosynthesis
BPS_high_wk22	d7	map00074	1.0295656821127552	0.0017571441858717	-0.03279575398851805	decreasing_with_age	12	Mycolic acid biosynthesis
BPS_high_wk22	d7	map00130	0.8020091498545064	0.01573404179345028	-0.0347871886223578	decreasing_with_age	44	Ubiquinone and other terpenoid-quinone biosynthesis
BPS_high_wk22	d7	map00311	0.5032737882777336	0.00169606223229514	-0.06068623602704683	decreasing_with_age	14	Penicillin and cephalosporin biosynthesis
BPS_high_wk22	d1	map00350	0.7792630246696384	0.04162628983259828	-0.04262239860978027	decreasing_with_age	52	Tyrosine metabolism
BPS_high_wk22	d7	map00350	0.846286108641401	0.04162628983259828	-0.04262239860978027	decreasing_with_age	52	Tyrosine metabolism
BPS_high_wk22	d1	map00362	0.4660027311218954	1.0978098296181431e-6	-0.0690807777632223	decreasing_with_age	45	Benzoate degradation
BPS_high_wk22	d7	map00362	0.5040288416830847	1.0978098296181431e-6	-0.0690807777632223	decreasing_with_age	45	Benzoate degradation
BPS_high_wk22	d2	map00402	1.229829586405496	1.0599284785246772e-4	-0.14644453275554525	decreasing_with_age	15	Benzoxazinoid biosynthesis
BPS_high_wk22	d7	map00402	0.8927718392027091	1.0599284785246772e-4	-0.14644453275554525	decreasing_with_age	15	Benzoxazinoid biosynthesis
BPS_high_wk22	d1	map00450	0.3490569143399039	1.4050624925737783e-9	-0.1114368960138509	decreasing_with_age	3	Selenocompound metabolism
BPS_high_wk22	d7	map00450	0.7201103403900138	1.4050624925737783e-9	-0.1114368960138509	decreasing_with_age	3	Selenocompound metabolism
BPS_high_wk22	d7	map00500	0.8285923371864394	0.00260232454049593	-0.02987443218068719	decreasing_with_age	29	Starch and sucrose metabolism
BPS_high_wk22	d1	map00520	0.5932282912077006	0.00129108623181799	-0.02684228359094717	decreasing_with_age	58	Amino sugar and nucleotide sugar metabolism
BPS_high_wk22	d7	map00524	0.3844892594820248	1.661145069606722e-4	-0.06772531173176503	decreasing_with_age	31	Neomycin, kanamycin and gentamicin biosynthesis
BPS_high_wk22	d1	map00572	0.5935573392981143	0.01964225615007538	6.279780502545409e-4	increasing_with_age	3	Arabinogalactan biosynthesis - Mycobacterium
BPS_high_wk22	d1	map00620	0.5220156586581703	0.02060257856189266	-0.02869738312342932	decreasing_with_age	11	Pyruvate metabolism
BPS_high_wk22	d1	map00621	1.785103384545926	0.01591634891118685	-0.1008059552669428	decreasing_with_age	15	Dioxin degradation
BPS_high_wk22	d2	map00621	1.0926378567142878	0.01591634891118685	-0.1008059552669428	decreasing_with_age	15	Dioxin degradation
BPS_high_wk22	d7	map00621	1.422934911595651	0.01591634891118685	-0.1008059552669428	decreasing_with_age	15	Dioxin degradation
BPS_high_wk22	d1	map00623	0.4205909385874697	7.991343410698323e-7	-0.09457180512644511	decreasing_with_age	36	Toluene degradation
BPS_high_wk22	d7	map00623	0.5083232988142897	7.991343410698323e-7	-0.09457180512644511	decreasing_with_age	36	Toluene degradation
BPS_high_wk22	d1	map00630	0.6012947557588195	0.01353605932346168	-0.08035948807972189	decreasing_with_age	29	Glyoxylate and dicarboxylate metabolism
BPS_high_wk22	d1	map00680	0.8221929588020609	3.578620787983086e-4	-0.05276370374088273	decreasing_with_age	49	Methane metabolism
BPS_high_wk22	d7	map00680	0.7311771212363334	3.578620787983086e-4	-0.05276370374088273	decreasing_with_age	49	Methane metabolism
BPS_high_wk22	d1	map00750	0.4491699654567272	3.7197194671805602e-9	-0.09042005733856344	decreasing_with_age	13	Vitamin B6 metabolism
BPS_high_wk22	d7	map00750	0.6136280836066985	3.7197194671805602e-9	-0.09042005733856344	decreasing_with_age	13	Vitamin B6 metabolism
BPS_high_wk22	d1	map00760	3.090172974276895	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	28	Nicotinate and nicotinamide metabolism
BPS_high_wk22	d2	map00760	2.7266024244131484	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	28	Nicotinate and nicotinamide metabolism
BPS_high_wk22	d7	map00760	2.9948852279924383	4.328277472495704e-4	-0.1007147794154106	decreasing_with_age	28	Nicotinate and nicotinamide metabolism
BPS_high_wk22	d1	map00901	1.4543768754818889	0.00269267782311566	-0.02422866935435422	decreasing_with_age	17	Indole alkaloid biosynthesis
BPS_high_wk22	d7	map00906	0.7783937781729959	0.01198587459610273	0.04261736404645262	increasing_with_age	25	Carotenoid biosynthesis
BPS_high_wk22	d7	map00910	1.069786556478466	4.899728302574296e-4	-0.09684120742954662	decreasing_with_age	9	Nitrogen metabolism
BPS_high_wk22	d7	map00941	0.5187857826732162	0.04905129540769274	-0.11893121848204131	decreasing_with_age	55	Flavonoid biosynthesis
BPS_high_wk22	d1	map00943	0.6773796753699126	0.04814186138790013	-0.08414084426701947	decreasing_with_age	28	Isoflavonoid biosynthesis
BPS_high_wk22	d1	map00945	2.176640163261681	8.954553819017383e-5	-0.05744115285824776	decreasing_with_age	13	Stilbenoid, diarylheptanoid and gingerol biosynthesis
BPS_high_wk22	d2	map00945	1.8485213175449973	8.954553819017383e-5	-0.05744115285824776	decreasing_with_age	13	Stilbenoid, diarylheptanoid and gingerol biosynthesis
BPS_high_wk22	d7	map00945	2.0057167585152142	8.954553819017383e-5	-0.05744115285824776	decreasing_with_age	13	Stilbenoid, diarylheptanoid and gingerol biosynthesis
BPS_high_wk22	d1	map00970	0.3364228550891834	1.5152547062618763e-9	-0.10930081830072494	decreasing_with_age	13	Aminoacyl-tRNA biosynthesis
BPS_high_wk22	d7	map00970	0.7034352950271865	1.5152547062618763e-9	-0.10930081830072494	decreasing_with_age	13	Aminoacyl-tRNA biosynthesis
BPS_high_wk22	d1	map00983	0.8584453332709394	3.6526391895202835e-5	-0.04658523991994158	decreasing_with_age	6	Drug metabolism - other enzymes
BPS_high_wk22	d2	map00983	0.5975015376181212	3.6526391895202835e-5	-0.04658523991994158	decreasing_with_age	6	Drug metabolism - other enzymes
BPS_high_wk22	d7	map00983	0.884170333424282	3.6526391895202835e-5	-0.04658523991994158	decreasing_with_age	6	Drug metabolism - other enzymes
BPS_high_wk22	d7	map00999	0.5874388667776392	2.1306523897752172e-8	-0.10393781819817163	decreasing_with_age	46	Biosynthesis of various plant secondary metabolites
BPS_high_wk22	d1	map01200	0.7777676476534781	0.00227651869105226	-0.05643068841149257	decreasing_with_age	48	Carbon metabolism
BPS_high_wk22	d1	map01220	0.963808454183849	9.191550429214536e-7	-0.11481525030328384	decreasing_with_age	131	Degradation of aromatic compounds
BPS_high_wk22	d2	map01220	0.7257874383242743	9.191550429214536e-7	-0.11481525030328384	decreasing_with_age	131	Degradation of aromatic compounds
BPS_high_wk22	d7	map01220	0.8904215234528498	9.191550429214536e-7	-0.11481525030328384	decreasing_with_age	131	Degradation of aromatic compounds
BPS_high_wk22	d2	map01232	0.7910061720609497	1.2908004522298605e-5	-0.14045023886769142	decreasing_with_age	33	Nucleotide metabolism
BPS_high_wk22	d1	map02010	0.7328131620292885	4.147159594240535e-5	-0.07414222649603373	decreasing_with_age	70	ABC transporters
BPS_high_wk22	d2	map02010	0.5196548171082339	4.147159594240535e-5	-0.07414222649603373	decreasing_with_age	70	ABC transporters
BPS_high_wk22	d7	map02010	0.8522170549440702	4.147159594240535e-5	-0.07414222649603373	decreasing_with_age	70	ABC transporters
BPS_high_wk22	d7	map04024	0.4833578066730121	0.00227651869105226	-0.01511339928532805	decreasing_with_age	9	cAMP signaling pathway
BPS_high_wk22	d7	map04066	0.5625112940440354	0.01498690150847164	-0.05599535953791273	decreasing_with_age	10	HIF-1 signaling pathway
BPS_high_wk22	d7	map04081	0.5478748510763496	5.933719152456027e-4	-0.0901386546620317	decreasing_with_age	10	Hormone signaling
BPS_high_wk22	d2	map04082	0.3730938410465461	0.01348505321418719	-0.04118090829462445	decreasing_with_age	15	Neuroactive ligand signaling
BPS_high_wk22	d7	map04216	0.5265434631956016	0.00256181441522959	-0.0601184079895134	decreasing_with_age	22	Ferroptosis
BPS_high_wk22	d1	map04923	1.6753380838573166	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk22	d2	map04923	1.7737687890985645	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk22	d7	map04923	1.8427164336420616	0.01434311010265099	-0.05154905856805435	decreasing_with_age	14	Regulation of lipolysis in adipocytes
BPS_high_wk22	d7	map04927	1.0712073974902596	6.285026293582096e-4	-0.09682677047649	decreasing_with_age	8	Cortisol synthesis and secretion
BPS_high_wk22	d7	map04934	1.0712073974902596	6.285026293582096e-4	-0.09682677047649	decreasing_with_age	8	Cushing syndrome
BPS_high_wk22	d2	map04974	1.0801310097743535	1.0612122539179705e-4	-0.14229508597236756	decreasing_with_age	30	Protein digestion and absorption
BPS_high_wk22	d7	map04974	0.7561080963913542	1.0612122539179705e-4	-0.14229508597236756	decreasing_with_age	30	Protein digestion and absorption
