pathwayID	pathway	set_count	sets
map00760	Nicotinate and nicotinamide metabolism	15	BPS_high_wk07; BPS_high_wk07; BPS_high_wk07; BPS_high_wk12; BPS_high_wk12; BPS_high_wk12; BPS_high_wk17; BPS_high_wk17; BPS_high_wk17; BPS_high_wk22; BPS_high_wk22; BPS_high_wk22; BPS_high_wk40; BPS_high_wk40; BPS_high_wk40
map04923	Regulation of lipolysis in adipocytes	10	BPS_high_wk07; BPS_high_wk07; BPS_high_wk12; BPS_high_wk12; BPS_high_wk12; BPS_high_wk17; BPS_high_wk17; BPS_high_wk22; BPS_high_wk22; BPS_high_wk22
map00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	8	BPS_high_wk12; BPS_high_wk12; BPS_high_wk12; BPS_high_wk17; BPS_high_wk17; BPS_high_wk22; BPS_high_wk22; BPS_high_wk22
map00901	Indole alkaloid biosynthesis	6	BPS_high_wk22; BPS_high_wk40; DINP_high_wk22; DINP_high_wk22; DINP_high_wk40; DINP_high_wk40
map00074	Mycolic acid biosynthesis	5	BPS_high_wk22; DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00121	Secondary bile acid biosynthesis	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00290	Valine, leucine and isoleucine biosynthesis	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00330	Arginine and proline metabolism	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00562	Inositol phosphate metabolism	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00590	Arachidonic acid metabolism	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00620	Pyruvate metabolism	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00680	Methane metabolism	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00730	Thiamine metabolism	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00904	Diterpenoid biosynthesis	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00906	Carotenoid biosynthesis	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00920	Sulfur metabolism	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00930	Caprolactam degradation	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00946	Degradation of flavonoids	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00980	Metabolism of xenobiotics by cytochrome P450	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map01100	Metabolic pathways	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map01110	Biosynthesis of secondary metabolites	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map01120	Microbial metabolism in diverse environments	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map01200	Carbon metabolism	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map01240	Biosynthesis of cofactors	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map01502	Vancomycin resistance	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map04024	cAMP signaling pathway	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map04921	Oxytocin signaling pathway	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map05204	Chemical carcinogenesis - DNA adducts	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map05208	Chemical carcinogenesis - reactive oxygen species	4	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00040	Pentose and glucuronate interconversions	3	DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00052	Galactose metabolism	3	DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00053	Ascorbate and aldarate metabolism	3	DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00240	Pyrimidine metabolism	3	DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00410	beta-Alanine metabolism	3	DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00540	Lipopolysaccharide biosynthesis	3	DINP_high_wk22; DINP_high_wk40; DINP_high_wk40
map00572	Arabinogalactan biosynthesis - Mycobacterium	3	DINP_high_wk40; DINP_high_wk40; DINP_high_wk40
map00621	Dioxin degradation	3	BPS_high_wk22; BPS_high_wk22; BPS_high_wk22
map00623	Toluene degradation	3	BPS_low_wk12; DINP_high_wk40; DINP_high_wk40
map00750	Vitamin B6 metabolism	2	BPS_low_wk12; DINP_high_wk22
map00907	Pinene, camphor and geraniol degradation	2	BPS_high_wk07; BPS_high_wk07
map00983	Drug metabolism - other enzymes	2	BPS_high_wk17; BPS_high_wk17
map01051	Biosynthesis of ansamycins	2	DINP_high_wk22; DINP_high_wk40
map01061	Biosynthesis of phenylpropanoids	2	DINP_high_wk40; DINP_high_wk40
map00230	Purine metabolism	1	DINP_high_wk22
map00402	Benzoxazinoid biosynthesis	1	BPS_high_wk22
map00450	Selenocompound metabolism	1	BPS_low_wk12
map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	1	BPS_high_wk12
map00566	Sulfoquinovose metabolism	1	DINP_high_wk22
map00630	Glyoxylate and dicarboxylate metabolism	1	DINP_high_wk22
map00720	Other carbon fixation pathways	1	DINP_high_wk22
map00791	Atrazine degradation	1	DINP_high_wk22
map00903	Limonene degradation	1	BPS_high_wk12
map00910	Nitrogen metabolism	1	BPS_high_wk22
map00970	Aminoacyl-tRNA biosynthesis	1	DINP_high_wk22
map00998	Biosynthesis of various antibiotics	1	DINP_high_wk40
map01054	Nonribosomal peptide structures	1	DINP_high_wk22
map01057	Biosynthesis of type II polyketide products	1	BPS_high_wk17
map01063	Biosynthesis of alkaloids derived from shikimate pathway	1	DINP_high_wk22
map01523	Antifolate resistance	1	DINP_high_wk22
map04216	Ferroptosis	1	DINP_high_wk22
map04918	Thyroid hormone synthesis	1	DINP_high_wk22
map04927	Cortisol synthesis and secretion	1	BPS_high_wk22
map04934	Cushing syndrome	1	BPS_high_wk22
map04974	Protein digestion and absorption	1	BPS_high_wk22
map05310	Asthma	1	DINP_high_wk22
map07216	Catecholamine transferase inhibitors	1	DINP_high_wk22
map07232	Potassium channel blocking and opening drugs	1	DINP_high_wk22
