culture_day	pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B
d1	Nicotinate and nicotinamide metabolism	1.988031722572228	21.514904037499573	6.695009634399424	5.600114649601768e-6	6.384130700546016e-4	4.223115403985137
d1	Tyrosine metabolism	1.193436733406457	14.221352836909768	2.9104589666193736	0.010351561721719353	0.08784127460583724	-3.1843627066489653
d1	Betalain biosynthesis	1.1934367334064562	13.221352836909768	2.9104589666193696	0.010351561721719447	0.08784127460583724	-3.1843627066489724
d1	Biosynthesis of alkaloids derived from shikimate pathway	1.1934367334064562	13.221352836909768	2.9104589666193696	0.010351561721719447	0.08784127460583724	-3.1843627066489724
d1	Dopaminergic synapse	1.1934367334064562	13.221352836909768	2.9104589666193696	0.010351561721719447	0.08784127460583724	-3.1843627066489724
d1	Phenylalanine metabolism	1.1934367334064562	13.221352836909768	2.9104589666193696	0.010351561721719447	0.08784127460583724	-3.1843627066489724
d1	Xylene degradation	1.1934367334064562	13.221352836909768	2.9104589666193696	0.010351561721719447	0.08784127460583724	-3.1843627066489724
d1	Indole alkaloid biosynthesis	-0.6337082767682737	20.357874738321467	-2.907485192639314	0.010415305956075822	0.08784127460583724	-3.1902170710518436
d1	alpha-Linolenic acid metabolism	-0.848753965807612	16.801694237239644	-2.856982573141463	0.011558062448136378	0.08784127460583724	-3.289372522579294
d1	Anthocyanin biosynthesis	-0.8487539658076124	15.216731736518488	-2.8569825731414595	0.011558062448136478	0.08784127460583724	-3.2893725225793014
d1	Caffeine metabolism	-0.8487539658076124	15.216731736518488	-2.8569825731414595	0.011558062448136478	0.08784127460583724	-3.2893725225793014
d1	Chloroalkane and chloroalkene degradation	-0.8487539658076124	15.216731736518488	-2.8569825731414595	0.011558062448136478	0.08784127460583724	-3.2893725225793014
d1	Linoleic acid metabolism	-0.8487539658076124	15.216731736518488	-2.8569825731414595	0.011558062448136478	0.08784127460583724	-3.2893725225793014
d1	PPAR signaling pathway	-0.8487539658076124	15.216731736518488	-2.8569825731414595	0.011558062448136478	0.08784127460583724	-3.2893725225793014
d1	Vascular smooth muscle contraction	-0.8487539658076124	15.216731736518488	-2.8569825731414595	0.011558062448136478	0.08784127460583724	-3.2893725225793014
d1	Biosynthesis of various antibiotics	-0.5973938253351908	20.393267086059165	-2.75572607863741	0.014227486936273594	0.10137084442094936	-3.486547651098816
d1	Mycolic acid biosynthesis	-0.7397445573129247	16.08769854001015	-2.1711120399083876	0.04557499429579944	0.2502277421086486	-4.567746977557275
d1	Phosphotransferase system (PTS)	-0.7397445573129247	16.08769854001015	-2.1711120399083876	0.04557499429579944	0.2502277421086486	-4.567746977557275
d1	Thiamine metabolism	-0.7397445573129247	16.08769854001015	-2.1711120399083876	0.04557499429579944	0.2502277421086486	-4.567746977557275
d1	cAMP signaling pathway	-0.7397445573129247	16.08769854001015	-2.1711120399083876	0.04557499429579944	0.2502277421086486	-4.567746977557275
d1	Lysine degradation	-0.6735045085578528	16.59019429754337	-2.1652158483276294	0.04609458407264579	0.2502277421086486	-4.578024967957244
d1	Porphyrin metabolism	-0.653514700381378	16.94339952676066	-2.110203702742999	0.05121240839938217	0.2653733889786167	-4.673191988177015
d1	Butanoate metabolism	-0.6464521071029883	16.23426015863051	-2.0165173078540217	0.061141124357453426	0.29276764391510435	-4.832105210046555
d1	Flavonoid biosynthesis	-0.46926991617751784	20.607443394925266	-1.9438221971519158	0.07001704407540679	0.29276764391510435	-4.952505467110457
d1	Biosynthesis of phenylpropanoids	-0.41653498891595875	20.79962464106884	-1.8800003887984142	0.07874812645075685	0.29276764391510435	-5.055989377275347
d1	Biosynthesis of various plant secondary metabolites	-0.4251188134323326	20.704148202657596	-1.872919390637998	0.07977446950089694	0.29276764391510435	-5.067338359523781
d1	Serotonergic synapse	-0.46371239002554776	16.26633144936888	-1.8182738432421588	0.08810371534748501	0.29276764391510435	-5.154003501469937
d1	Methane metabolism	-0.6350922031329679	17.317776613137678	-1.8133840852497012	0.08888530857428215	0.29276764391510435	-5.161677999917414
d1	Arachidonic acid metabolism	-0.5261042821557912	17.000436630704137	-1.7547105593773866	0.09875185167490824	0.29276764391510435	-5.252707727083183
d1	Starch and sucrose metabolism	-0.5101424387270302	16.353168964641636	-1.6941120733383086	0.1099359267571623	0.29276764391510435	-5.344614200059757
d1	Ovarian steroidogenesis	-0.418606398174915	15.644139985096889	-1.6836993372177684	0.11196457366245104	0.29276764391510435	-5.360184579944833
d1	Biosynthesis of ansamycins	-0.3587364897165937	16.698932005649475	-1.680412852536442	0.11261154844013731	0.29276764391510435	-5.3650851902776715
d1	Neomycin, kanamycin and gentamicin biosynthesis	-0.3587364897165937	16.698932005649475	-1.680412852536442	0.11261154844013731	0.29276764391510435	-5.3650851902776715
d1	Stilbenoid, diarylheptanoid and gingerol biosynthesis	-0.3587364897165937	16.698932005649475	-1.680412852536442	0.11261154844013731	0.29276764391510435	-5.3650851902776715
d1	Alanine, aspartate and glutamate metabolism	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	Aminobenzoate degradation	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	Arginine biosynthesis	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	Biosynthesis of 12-, 14- and 16-membered macrolides	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	Fatty acid degradation	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	Oxytocin signaling pathway	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	Pentose and glucuronate interconversions	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	Platelet activation	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	Polycyclic aromatic hydrocarbon degradation	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	Prostaglandins	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	Pyrimidine metabolism	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	Retrograde endocannabinoid signaling	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	Systemic lupus erythematosus	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	Type I polyketide structures	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	beta-Alanine metabolism	-0.6919327663821303	14.60622103917521	-1.6048250389601637	0.12840686136627374	0.29276764391510435	-5.475943358294276
d1	Ascorbate and aldarate metabolism	-0.6919327663821292	15.60622103917521	-1.6048250389601628	0.12840686136627386	0.29276764391510435	-5.475943358294278
d1	Bile secretion	0.5263478129890978	12.492644357166188	1.4718865290015823	0.16076416641035868	0.3159847408755326	-5.661911090495387
d1	Drug metabolism - cytochrome P450	0.5263478129890978	12.492644357166188	1.4718865290015823	0.16076416641035868	0.3159847408755326	-5.661911090495387
d1	Flavone and flavonol biosynthesis	0.5263478129890978	12.492644357166188	1.4718865290015823	0.16076416641035868	0.3159847408755326	-5.661911090495387
d1	Hepatocellular carcinoma	0.5263478129890978	12.492644357166188	1.4718865290015823	0.16076416641035868	0.3159847408755326	-5.661911090495387
d1	Nitrotoluene degradation	0.5263478129890978	12.492644357166188	1.4718865290015823	0.16076416641035868	0.3159847408755326	-5.661911090495387
d1	Pathways in cancer	0.5263478129890978	12.492644357166188	1.4718865290015823	0.16076416641035868	0.3159847408755326	-5.661911090495387
d1	Protein digestion and absorption	0.5263478129890978	12.492644357166188	1.4718865290015823	0.16076416641035868	0.3159847408755326	-5.661911090495387
d1	Tropane, piperidine and pyridine alkaloid biosynthesis	0.5263478129890978	12.492644357166188	1.4718865290015823	0.16076416641035868	0.3159847408755326	-5.661911090495387
d1	Benzoate degradation	-0.4165034056673615	14.980559849738373	-1.2003014703123263	0.24777728810529803	0.4787561160000674	-6.002759558592522
d1	Toluene degradation	0.3458956697094706	19.445914681909848	1.1229250576606504	0.2783070460173574	0.5142829325930582	-6.089448032071051
d1	C5-Branched dibasic acid metabolism	0.34374170065418297	19.431899387900273	1.10871232408508	0.2842089890645848	0.5142829325930582	-6.104840033612146
d1	Lipopolysaccharide biosynthesis	0.34374170065418297	19.431899387900273	1.10871232408508	0.2842089890645848	0.5142829325930582	-6.104840033612146
d1	Naphthalene degradation	0.34374170065418297	19.431899387900273	1.10871232408508	0.2842089890645848	0.5142829325930582	-6.104840033612146
d1	Carbon metabolism	-0.5017743917934082	16.35398236100225	-1.055102831431091	0.30730612072767605	0.519540571156897	-6.16138302583253
d1	Cyanoamino acid metabolism	-0.5017743917934082	16.35398236100225	-1.055102831431091	0.30730612072767605	0.519540571156897	-6.16138302583253
d1	Secondary bile acid biosynthesis	-0.30483636005159076	24.9682003716103	-1.0421838604117952	0.31307107611782564	0.519540571156897	-6.174646896128108
d1	Sulfur metabolism	-0.3048363600515874	23.9682003716103	-1.042183860411786	0.31307107611782986	0.519540571156897	-6.174646896128116
d1	Vancomycin resistance	-0.3048363600515874	23.9682003716103	-1.042183860411786	0.31307107611782986	0.519540571156897	-6.174646896128116
d1	Glycine, serine and threonine metabolism	0.306740217293114	19.500470953747424	1.0290400626675664	0.31901614018405955	0.519540571156897	-6.187995752802696
d1	Two-component system	0.306740217293114	19.500470953747424	1.0290400626675664	0.31901614018405955	0.519540571156897	-6.187995752802696
d1	Sesquiterpenoid and triterpenoid biosynthesis	-0.2529941964870108	22.367253796646743	-0.9531476816813743	0.3549251900439572	0.5698798826057904	-6.26215705381252
d1	Carotenoid biosynthesis	-0.37388569930721277	19.092475640030624	-0.8722483606650766	0.39618452923928593	0.6160890832834094	-6.335622411660623
d1	Inositol phosphate metabolism	-0.37388569930721277	19.092475640030624	-0.8722483606650766	0.39618452923928593	0.6160890832834094	-6.335622411660623
d1	Degradation of aromatic compounds	0.2620934691330017	20.332552757099403	0.8652136296315851	0.39991747511379205	0.6160890832834094	-6.341732839943182
d1	Phenylpropanoid biosynthesis	0.2250950354569611	19.658418775485547	0.7955340806444807	0.43813667191763384	0.6659677413148034	-6.399813591277259
d1	Biosynthesis of secondary metabolites	-0.15567883076424177	23.585827015688785	-0.7646379415136236	0.4557993630892194	0.6836990446338291	-6.424130158766805
d1	Tryptophan metabolism	0.46709898473895994	17.224355892969054	0.7269446087067143	0.4779337256660936	0.6914931488664305	-6.45258440914801
d1	Caprolactam degradation	0.6023564070664893	17.64102250376414	0.7248328797121647	0.47919262070568436	0.6914931488664305	-6.454138854385356
d1	Valine, leucine and isoleucine biosynthesis	0.6023564070664893	17.64102250376414	0.7248328797121647	0.47919262070568436	0.6914931488664305	-6.454138854385356
d1	Dioxin degradation	0.5053032750236646	16.968550438490315	0.6775560253008075	0.5078915345778618	0.7148391245986203	-6.487828415281173
d1	ABC transporters	0.1867557069381133	19.683588441863634	0.6775228604594745	0.5079120095832302	0.7148391245986203	-6.487851298736944
d1	Fructose and mannose metabolism	-0.12599472614022378	22.14718893869612	-0.5628923015749656	0.5814385691684273	0.7618005622409181	-6.560577025910018
d1	Pyruvate metabolism	-0.12599472614022378	22.14718893869612	-0.5628923015749656	0.5814385691684273	0.7618005622409181	-6.560577025910018
d1	Biosynthesis of plant secondary metabolites	0.24232370351544008	20.51845589640427	0.5360973511401067	0.5993866837417546	0.7618005622409181	-6.57572013548663
d1	2-Oxocarboxylic acid metabolism	0.3690119236488915	17.993684618408164	0.531546279710431	0.6024623373817488	0.7618005622409181	-6.578221515492343
d1	Arginine and proline metabolism	0.3690119236488915	17.993684618408164	0.531546279710431	0.6024623373817488	0.7618005622409181	-6.578221515492343
d1	D-Amino acid metabolism	0.3690119236488915	17.993684618408164	0.531546279710431	0.6024623373817488	0.7618005622409181	-6.578221515492343
