kegg_code	kegg_map	kegg_ko	pathway
01210	map01210	ko01210	2-Oxocarboxylic acid metabolism
02010	map02010	ko02010	ABC transporters
04152	map04152	ko04152	AMPK signaling pathway
00525	map00525	ko00525	Acarbose and validamycin biosynthesis
04920	map04920	ko04920	Adipocytokine signaling pathway
04261	map04261	ko04261	Adrenergic signaling in cardiomyocytes
05143	map05143	ko05143	African trypanosomiasis
00250	map00250	ko00250	Alanine, aspartate and glutamate metabolism
04925	map04925	ko04925	Aldosterone synthesis and secretion
04960	map04960	ko04960	Aldosterone-regulated sodium reabsorption
05010	map05010	ko05010	Alzheimer disease
00520	map00520	ko00520	Amino sugar and nucleotide sugar metabolism
00970	map00970	ko00970	Aminoacyl-tRNA biosynthesis
00627	map00627	ko00627	Aminobenzoate degradation
05146	map05146	ko05146	Amoebiasis
05014	map05014	ko05014	Amyotrophic lateral sclerosis
01523	map01523	ko01523	Antifolate resistance
00590	map00590	ko00590	Arachidonic acid metabolism
00330	map00330	ko00330	Arginine and proline metabolism
00220	map00220	ko00220	Arginine biosynthesis
00053	map00053	ko00053	Ascorbate and aldarate metabolism
00791	map00791	ko00791	Atrazine degradation
02030	map02030	ko02030	Bacterial chemotaxis
00362	map00362	ko00362	Benzoate degradation
00965	map00965	ko00965	Betalain biosynthesis
04976	map04976	ko04976	Bile secretion
02026	map02026	ko02026	Biofilm formation - Escherichia coli
05111	map05111	ko05111	Biofilm formation - Vibrio cholerae
01230	map01230	ko01230	Biosynthesis of amino acids
01051	map01051	ko01051	Biosynthesis of ansamycins
01059	map01059	ko01059	Biosynthesis of enediyne antibiotics
01110	map01110	ko01110	Biosynthesis of secondary metabolites
01053	map01053	ko01053	Biosynthesis of siderophore group nonribosomal peptides
01062	map01062	ko01062	Biosynthesis of terpenoids and steroids
01040	map01040	ko01040	Biosynthesis of unsaturated fatty acids
00780	map00780	ko00780	Biotin metabolism
00650	map00650	ko00650	Butanoate metabolism
00660	map00660	ko00660	C5-Branched dibasic acid metabolism
00930	map00930	ko00930	Caprolactam degradation
00332	map00332	ko00332	Carbapenem biosynthesis
04973	map04973	ko04973	Carbohydrate digestion and absorption
00710	map00710	ko00710	Carbon fixation by Calvin cycle
01200	map01200	ko01200	Carbon metabolism
00906	map00906	ko00906	Carotenoid biosynthesis
01503	map01503	ko01503	Cationic antimicrobial peptide (CAMP) resistance
05230	map05230	ko05230	Central carbon metabolism in cancer
05204	map05204	ko05204	Chemical carcinogenesis - DNA adducts
00625	map00625	ko00625	Chloroalkane and chloroalkene degradation
00361	map00361	ko00361	Chlorocyclohexane and chlorobenzene degradation
05231	map05231	ko05231	Choline metabolism in cancer
00020	map00020	ko00020	Citrate cycle (TCA cycle)
04934	map04934	ko04934	Cushing syndrome
00460	map00460	ko00460	Cyanoamino acid metabolism
00270	map00270	ko00270	Cysteine and methionine metabolism
01220	map01220	ko01220	Degradation of aromatic compounds
00621	map00621	ko00621	Dioxin degradation
04728	map04728	ko04728	Dopaminergic synapse
00982	map00982	ko00982	Drug metabolism - cytochrome P450
00983	map00983	ko00983	Drug metabolism - other enzymes
04961	map04961	ko04961	Endocrine and other factor-regulated calcium reabsorption
04915	map04915	ko04915	Estrogen signaling pathway
