kegg_code	kegg_map	kegg_ko	pathway
07112	map07112	NA	1,2-Diphenyl substitution family
01210	map01210	ko01210	2-Oxocarboxylic acid metabolism
02010	map02010	ko02010	ABC transporters
04933	map04933	NA	AGE-RAGE signaling pathway in diabetic complications
04152	map04152	ko04152	AMPK signaling pathway
00525	map00525	ko00525	Acarbose and validamycin biosynthesis
04920	map04920	ko04920	Adipocytokine signaling pathway
04261	map04261	ko04261	Adrenergic signaling in cardiomyocytes
00254	map00254	NA	Aflatoxin biosynthesis
05143	map05143	ko05143	African trypanosomiasis
00250	map00250	ko00250	Alanine, aspartate and glutamate metabolism
04936	map04936	NA	Alcoholic liver disease
04925	map04925	ko04925	Aldosterone synthesis and secretion
04960	map04960	ko04960	Aldosterone-regulated sodium reabsorption
05010	map05010	ko05010	Alzheimer disease
00520	map00520	ko00520	Amino sugar and nucleotide sugar metabolism
00970	map00970	ko00970	Aminoacyl-tRNA biosynthesis
00627	map00627	ko00627	Aminobenzoate degradation
05146	map05146	ko05146	Amoebiasis
05014	map05014	ko05014	Amyotrophic lateral sclerosis
01523	map01523	ko01523	Antifolate resistance
07026	map07026	NA	Antifungal agents
07030	map07030	NA	Anxiolytics
04371	map04371	NA	Apelin signaling pathway
00572	map00572	NA	Arabinogalactan biosynthesis - Mycobacterium
00590	map00590	ko00590	Arachidonic acid metabolism
00330	map00330	ko00330	Arginine and proline metabolism
00220	map00220	ko00220	Arginine biosynthesis
00053	map00053	ko00053	Ascorbate and aldarate metabolism
05310	map05310	NA	Asthma
00791	map00791	ko00791	Atrazine degradation
04140	map04140	NA	Autophagy - animal
04361	map04361	NA	Axon regeneration
04662	map04662	NA	B cell receptor signaling pathway
02030	map02030	ko02030	Bacterial chemotaxis
00362	map00362	ko00362	Benzoate degradation
07117	map07117	NA	Benzodiazepine family
00402	map00402	NA	Benzoxazinoid biosynthesis
00965	map00965	ko00965	Betalain biosynthesis
04976	map04976	ko04976	Bile secretion
02026	map02026	ko02026	Biofilm formation - Escherichia coli
05111	map05111	ko05111	Biofilm formation - Vibrio cholerae
00522	map00522	NA	Biosynthesis of 12-, 14- and 16-membered macrolides
01065	map01065	NA	Biosynthesis of alkaloids derived from histidine and purine
