variable	U1	U2	U3
1,2-Diphenyl substitution family	-0.021166383102326356	-0.04131489994334575	0
2-Oxocarboxylic acid metabolism	-0.014057561159875503	-0.02394922639488932	-0
ABC transporters	0	0	0
AGE-RAGE signaling pathway in diabetic complications	0	0	0.15389809372229285
AMPK signaling pathway	-0.0023032243876515705	-0.017538928898171453	-0
Acarbose and validamycin biosynthesis	-0.12809404976566588	-0.14016581302208825	-0
Adipocytokine signaling pathway	0	0	0.15389809372229285
Adrenergic signaling in cardiomyocytes	0	0	0
Aflatoxin biosynthesis	0.010325682491313852	0.005253953736578647	1.8690102743253024e-4
African trypanosomiasis	0.0142781729425515	0.005149334819152143	0.06806347695051211
Alanine, aspartate and glutamate metabolism	0.06072642374598612	0.05409933464295462	0.003375930739733606
Alcoholic liver disease	0	0	0
Aldosterone synthesis and secretion	0	0	0
Aldosterone-regulated sodium reabsorption	0	0	0
Alzheimer disease	0.19418216896304308	0.1885449259245976	0.10540165475296942
Amino sugar and nucleotide sugar metabolism	-0.14609504634677842	-0.14470037887524523	-0.04646009823140304
Aminoacyl-tRNA biosynthesis	0.0011841739872959047	0.011826000267300189	0
Aminobenzoate degradation	0.11357488734332172	0.10800292859592778	0.03448522379661806
Amoebiasis	-0	-0	-0
Amyotrophic lateral sclerosis	0	0	0
Antifolate resistance	-0.047548073997710494	-0.045261611721694024	-0
Antifungal agents	0.19498367185452195	0.18942603416323178	0.10429195212464917
Anxiolytics	0.11100710223238745	0.115444276730506	0
Apelin signaling pathway	0.0142781729425515	0.005149334819152143	0.06806347695051211
Arabinogalactan biosynthesis - Mycobacterium	-0.17265724823912654	-0.17165704237788348	-0.07357902195241686
Arachidonic acid metabolism	0.135888979747654	0.13924090563568037	0
Arginine and proline metabolism	-0	-0	0
Arginine biosynthesis	0.08698766930733975	0.07781797381839083	0.06720787326331018
Ascorbate and aldarate metabolism	-0	-0	-0
Asthma	0	0	0.10669466627889923
Atrazine degradation	0	0	0
Autophagy - animal	0	0	0
Axon regeneration	-0.10637486696592616	-0.10820336831016023	-0
B cell receptor signaling pathway	0.0142781729425515	0.005149334819152143	0.06806347695051211
Bacterial chemotaxis	0	0	0
Benzoate degradation	-0	-0	0
Benzodiazepine family	0	0	0
Benzoxazinoid biosynthesis	-0.1526091447552406	-0.15334438646423473	-0
Betalain biosynthesis	0.018649897534133215	0.016796483262928173	0
Bile secretion	0	0	0
Biofilm formation - Escherichia coli	-0	-0	0
Biofilm formation - Vibrio cholerae	-0.04449108113855377	-0.049185898764075316	-0
Biosynthesis of 12-, 14- and 16-membered macrolides	-0	-0	0
Biosynthesis of alkaloids derived from histidine and purine	0	0	0.15786076867220714
Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	-0.07670805893035242	-0.08644175737348053	-0
Biosynthesis of alkaloids derived from shikimate pathway	0	0	0
Biosynthesis of alkaloids derived from terpenoid and polyketide	0.006437703154953221	0	0.07782187959009366
Biosynthesis of amino acids	0	0	0.19962933363088445
Biosynthesis of ansamycins	-0	-0	-0
Biosynthesis of cofactors	0.025518902896057273	0.019789772157321535	0.03669043562642644
Biosynthesis of enediyne antibiotics	0.02463684340944151	0.0352470809564942	0
Biosynthesis of nucleotide sugars	-0.08818332535002645	-0.09920479360767756	-0
Biosynthesis of phenylpropanoids	-0	-0	-0
Biosynthesis of plant hormones	-2.0568638838863712e-4	-0.002726670414948676	-0
Biosynthesis of plant secondary metabolites	0.09270729989723113	0.08201659126000538	0.12781133766446706
Biosynthesis of secondary metabolites	0	0	0
Biosynthesis of siderophore group nonribosomal peptides	-0	-0	0
Biosynthesis of terpenoids and steroids	-0	-0	0
Biosynthesis of type II polyketide products	-0	-0	-0
Biosynthesis of unsaturated fatty acids	-0	-0	0
Biosynthesis of various alkaloids	-0	-0	-0
Biosynthesis of various antibiotics	-0	-0	0
Biosynthesis of various nucleotide sugars	0	0	0
Biosynthesis of various other secondary metabolites	0.07798622913256395	0.0839266787531849	0
Biosynthesis of various plant secondary metabolites	-0	-0	-0
Biosynthesis of various siderophores	0	0	-0
Biotin metabolism	0.05822867056030601	0.07070070715190363	0
Bisphenol degradation	-0	-0	0
Breast cancer	0.01069681700002399	0.0163773687988598	0
Butanoate metabolism	-0	-0	-0
C-type lectin receptor signaling pathway	0.0142781729425515	0.005149334819152143	0.06806347695051211
C5-Branched dibasic acid metabolism	-0	-0.018948482675750097	0
Caffeine metabolism	-0.012436762554366355	-0.024342939864713475	-0
Calcium signaling pathway	0.0142781729425515	0.005149334819152143	0.06806347695051211
Caprolactam degradation	-0	-0	-0
Carbapenem biosynthesis	0	0.0064326334660069215	-0
Carbohydrate digestion and absorption	0.008385970635951015	0.0014977437280482158	0.08347935812347754
Carbon fixation by Calvin cycle	0	0	0.08659696669043954
Carbon metabolism	0	0	0
Carotenoid biosynthesis	-0	-0	0
Catecholamine transferase inhibitors	0	0	0
Cationic antimicrobial peptide (CAMP) resistance	0	0	0
Central carbon metabolism in cancer	0	0	0.13914430949110432
Cephalosporins - oral agents	-0.010568812526951563	-0.021688866529362485	-0
Cephalosporins - parenteral agents	-0.010568812526951563	-0.021688866529362485	-0
Chemical carcinogenesis - DNA adducts	0	0	0
Chemical carcinogenesis - reactive oxygen species	0	0	0
Chemical carcinogenesis - receptor activation	-0	-0	-0.0018479130278538538
Chemokine signaling pathway	0.0142781729425515	0.005149334819152143	0.06806347695051211
Chloroalkane and chloroalkene degradation	0.044024003336330844	0.0560663702744161	0
Chlorocyclohexane and chlorobenzene degradation	0.06042518192684948	0.08978197255634399	-0
Choline metabolism in cancer	0.0142781729425515	0.005149334819152143	0.06806347695051211
Cholinergic synapse	0.032958007338031114	0.02209799347424195	0.10443502262882715
Circadian entrainment	0.06625177587214916	0.0686498592762634	0
Citrate cycle (TCA cycle)	0	0	0
Complement and coagulation cascades	-0	-0	-0
Cornified envelope formation	0	0	0
