variable	U1	U2	U3
1,2-Diphenyl substitution family	0	0	-0
2-Oxocarboxylic acid metabolism	0	0	-0
ABC transporters	0	0	-0
AGE-RAGE signaling pathway in diabetic complications	0	0	-0
AMPK signaling pathway	0.3151492406612376	0.27423194902424636	-0.27375849013187636
Acarbose and validamycin biosynthesis	0	0	-0
Adipocytokine signaling pathway	0	0	-0
Aflatoxin biosynthesis	0	0	-0
Alanine, aspartate and glutamate metabolism	-0	0	-0
Alcoholic liver disease	0	0	-0
Aldosterone synthesis and secretion	-0	-0	0
Aldosterone-regulated sodium reabsorption	0	0	-0
Alzheimer disease	0	0	-0
Amino sugar and nucleotide sugar metabolism	0	0	-0
Aminoacyl-tRNA biosynthesis	0	0	-0
Aminobenzoate degradation	0	0	-0
Amyotrophic lateral sclerosis	0	0	-0
Angiotensin receptor and endothelin receptor antagonists	0	0	-0
Anthocyanin biosynthesis	0	0	-0
Antiarrhythmic drugs	0	0	-0
Antifolate resistance	0	0	-0
Antifungal agents	0	0	-0
Anxiolytics	-0	-0	0
Arabinogalactan biosynthesis - Mycobacterium	0	0	-0
Arachidonic acid metabolism	0	0	-0
Arginine and proline metabolism	-0	0	0
Arginine biosynthesis	-0	-0	-0
Ascorbate and aldarate metabolism	0	0	-0
Asthma	0	0	-0
Atrazine degradation	0	0	-0
Autophagy - animal	0	0	-0
Bacterial chemotaxis	0.11612562286419299	0	-0.22852145622645056
Benzoate degradation	0	0	-0
Benzodiazepine family	0	0	-0
Benzoxazinoid biosynthesis	0.19911873314470452	0.18443602169870912	-0.2405922077694538
Bile secretion	0	0	-0
Biofilm formation - Escherichia coli	0	0	-0
Biofilm formation - Pseudomonas aeruginosa	-0	-0	-0
Biofilm formation - Vibrio cholerae	0.29472904305149883	0.34893379591207196	-0.28863851215684294
Biosynthesis of 12-, 14- and 16-membered macrolides	-0	-0	-0
Biosynthesis of alkaloids derived from histidine and purine	0	0	-0
Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	0	0	-0
Biosynthesis of alkaloids derived from shikimate pathway	-0	0	-0
Biosynthesis of alkaloids derived from terpenoid and polyketide	0	0	-0
Biosynthesis of amino acids	0	0	-0
Biosynthesis of ansamycins	0	0	-0
Biosynthesis of cofactors	0	0	-0
Biosynthesis of enediyne antibiotics	-0	-0	0
Biosynthesis of nucleotide sugars	-0	-0	0
Biosynthesis of phenylpropanoids	0	0	-0
Biosynthesis of plant hormones	0	0	-0
Biosynthesis of plant secondary metabolites	0	0	-0
Biosynthesis of secondary metabolites	0	0	-0
Biosynthesis of siderophore group nonribosomal peptides	0	0	-0
Biosynthesis of terpenoids and steroids	0	0	-0
Biosynthesis of type II polyketide products	0	0	-0
Biosynthesis of unsaturated fatty acids	-0	-0	0
Biosynthesis of various alkaloids	0	0	-0
Biosynthesis of various antibiotics	0	0	-0
Biosynthesis of various nucleotide sugars	-0	-0	0
Biosynthesis of various other secondary metabolites	-0	-0	0
Biosynthesis of various plant secondary metabolites	0.014261142444494853	0	-0.07938598060086499
Biosynthesis of various siderophores	-0	-0	-0
Biotin metabolism	-0	-0	-0
Bisphenol degradation	0	0	-0
Breast cancer	-0	-0	0
Butanoate metabolism	0	0	-0
C5-Branched dibasic acid metabolism	0	0	-0
Caffeine metabolism	0	0	-0
Caprolactam degradation	-0	-0	0
Carbapenem biosynthesis	-0	-0	0
Carbohydrate digestion and absorption	0.07517669392648745	0	-0.06794288437544277
Carbon fixation by Calvin cycle	0	0	-0
Carbon metabolism	0	0	-0
Carotenoid biosynthesis	0	0	-0
Catecholamine transferase inhibitors	0	0	-0
Cationic antimicrobial peptide (CAMP) resistance	0	0	-0
Central carbon metabolism in cancer	0	0	-0
Cephalosporins - oral agents	0	0	-0
Cephalosporins - parenteral agents	0	0	-0
Chemical carcinogenesis - DNA adducts	0	0	-0
Chemical carcinogenesis - reactive oxygen species	0	0	-0
Chemical carcinogenesis - receptor activation	-0	-0	-0
Chloroalkane and chloroalkene degradation	-0	-0	0
Chlorocyclohexane and chlorobenzene degradation	-0	-0	0
Cholinergic synapse	0	0	-0
Circadian entrainment	-0	-0	0
Citrate cycle (TCA cycle)	0	0	-0
Coronavirus disease - COVID-19	0	0	-0
Cortisol synthesis and secretion	0	0	-0
Cushing syndrome	0	0	-0
Cutin, suberine and wax biosynthesis	0	0	-0
Cyanoamino acid metabolism	0	0	-0
Cysteine and methionine metabolism	0	0	-0
Cytosolic DNA-sensing pathway	0	0	-0
D-Amino acid metabolism	0	0	-0
Degradation of aromatic compounds	0	0.005203721241817433	-0
Degradation of flavonoids	-0	-0	-0
Diabetic cardiomyopathy	0	0	-0
Dioxin degradation	-0	-0	-0
Diterpenoid biosynthesis	0	0	-0
Drug metabolism - other enzymes	0	0	-0
Efferocytosis	0	0	-0
Eicosanoids	0	0	-0
Endocrine and other factor-regulated calcium reabsorption	-0	0	0
Endocrine resistance	-0	-0	0
Endocytosis	0	0	-0
Estrogen signaling pathway	-0	-0	0
Ether lipid metabolism	-0	0	-0
Ethylbenzene degradation	0	0	-0
Fat digestion and absorption	0	0	-0
Fatty acid biosynthesis	0	0	-0
Fatty acid degradation	0	0	-0
Fatty acid elongation	0	0	-0
Fatty acid metabolism	-0	-0	0
Fc epsilon RI signaling pathway	0	0	-0
Ferroptosis	0	0	0
Flavone and flavonol biosynthesis	0.3151492406612376	0.27423194902424636	-0.27375849013187636
Flavonoid biosynthesis	0	0	-0
Fluid shear stress and atherosclerosis	0	0	-0
Fluorobenzoate degradation	0	-0	0
Folate biosynthesis	-0	0	-0
Folate transport and metabolism	0	-0	-0
FoxO signaling pathway	0	0	-0
Fructose and mannose metabolism	0	0	-0
Galactose metabolism	0	0	-0
Gap junction	-0	-0	0
Gastric acid secretion	0.2816518020351313	0.22499909882925706	-0.26653687325754755
Gastric cancer	0	0	-0
Glucagon signaling pathway	0	0	-0
Glucocorticoid and mineralocorticoid receptor agonists/antagonists	0	0	-0
Glucosinolate biosynthesis	0	0	-0
Glutathione metabolism	0.043328720838641505	0.22189589325030445	-0
Glycerolipid metabolism	0	0	-0
Glycerophospholipid metabolism	0	0	-0
Glycine, serine and threonine metabolism	0	0	-0
Glycolysis / Gluconeogenesis	0	0	-0
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	-0
Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	-0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	-0
Glyoxylate and dicarboxylate metabolism	0	0	-0
GnRH secretion	-0	-0	0
