variable	V1	V2	V3
ko00010	-0	-0.18453107147965542	-0
ko00020	0	0	-0.13433215535642434
ko00030	-0	-0	0
ko00040	0.21418206476323862	-0	0
ko00051	-0	-0.010993052493989438	0.12856001266322306
ko00052	-0	-0.16272620798267148	-0
ko00053	0	0	-0
ko00061	0.0329400946534135	0	-0.03534010205766681
ko00071	-0	-0	0
ko00072	-0	-0.11982953085702783	0
ko00100	0	0	-0
ko00120	-0	-0	0.17008631684962094
ko00121	-0	-0	0.17204228419960482
ko00130	0	0	-0.03321229206913356
ko00140	0	0	-0.05598057877247885
ko00190	0	0	-0
ko00195	-5.044157150650445e-4	-0.12379644573070692	0
ko00220	0	0.061846356022325355	-0
ko00230	-0.03133506227878362	-0	0.025929515504809653
ko00240	-0	-0	0.2003990899865389
ko00250	-0	-0	0
ko00260	0	0.08341848190472717	-0
ko00261	0	0	-0.175284127107205
ko00270	0.03377823511081285	0	-0.03345521508537888
ko00280	0	0	-0
ko00281	-0	-0	0.0952448404118045
ko00290	0	0.13318633177028738	-0
ko00300	0	0	-0.025772394239547747
ko00310	0	0	-0
ko00311	-0.04127438611182032	-0	0
ko00330	0	0.06758488747970924	-0
ko00332	0	0.08663521984888077	-0
ko00333	0	0	-0.14935176649145004
ko00340	0.03190581811987097	0	-0.045372198042729815
ko00350	0	0	-0
ko00360	0	0	-0.10130751448534885
ko00361	0.12300370277765188	0	-0
ko00362	-0	-0	0
ko00364	0.10854555320415074	0	-0
ko00380	0	0	-0
ko00400	0	0	-0.1594618558540631
ko00401	0	0	-0.1455485865533916
ko00405	0	0	-0
ko00410	0	0	-0.17108489708674637
ko00430	-0	-0.06126099829970854	0
ko00440	0	0	-0.06430775298407078
ko00450	0	0	-0.10628563791598812
ko00460	-0	-0	0
ko00471	-0	-0	0.09676800318794293
ko00472	0.2287898079013843	-0	0
ko00473	-0.13417784052225015	-0	0
ko00480	-0.009118235915475625	-0	0.20758172096376276
ko00500	-0	-0.07714148295768072	0
ko00511	0	0	-0.03455769395676404
ko00513	0	0	-0
ko00514	0.09458416786595925	0	-0
ko00515	0.09458416786595925	0	-0
ko00520	-0.0026730853319969746	-0.1738573605347858	-0
ko00521	-0.07608065414972587	-0	0
ko00523	-0.20869005263831356	0	-0
ko00524	-0	-0.11529785299573714	0
ko00525	0	0	-0
ko00531	0	0	-0
ko00540	0	0	-0.05340876223307894
ko00550	-0	-0.07283372151675488	0
ko00561	-0	-0	0.09998304543609497
ko00562	0.12847644218683738	0	-0
ko00564	-0.10111773344280911	-0	0
ko00565	0	0	-0
ko00571	0	0	-0
ko00590	0	0	-0
ko00592	-0	-0.12694718580932265	0
ko00600	0	0	-0.04200448959389888
ko00603	0	0	-0
ko00604	0	0	-0
ko00620	-0	-0	0
ko00621	-0	-0	0
ko00622	-0	-0	0
ko00623	0	0.039881348826474025	-0
ko00624	0.17568970287502653	-0	0
ko00625	-0	-0	0
ko00626	-0	-0	0.19428708619262866
ko00627	-0	-0	0.1255949493540816
ko00630	0	0	-0.15163320339337472
ko00633	0	0	-0.012464985837652388
ko00640	0.135686096920541	0	-0
ko00642	-0	-0.12694718580932265	0
ko00643	0	0	-0
ko00650	0	0	-0
ko00660	0	0.1197650483098403	-0
ko00670	-0	0	-0
ko00680	-0	-0	0
ko00710	-0	-0	0.205981159025149
ko00720	0.011618948195850425	0	-0.1860953920405659
ko00730	0	0	-0
ko00740	-0.05532488249334118	-0	0
ko00750	0	0	-0.17364492034713871
ko00760	-0.06850001190270097	-0	0
ko00770	0	0	-0.1242249507389773
ko00780	0	0	-0.1437268901062942
ko00785	0	0	-0
ko00790	0	0	-0.06902108550374898
ko00791	0.2003194011237187	-0	0
ko00830	-0.06507123109846334	-0	0
ko00860	0	0	-0
ko00900	-0.04737641366856587	-0	0
ko00903	0.06461279691820658	0	-0
ko00906	0	0	-0
ko00908	-0.03857050585045618	-0	0
ko00909	0	0	-0
ko00910	0	0	-0.09318233055076869
ko00920	0	0	-0.0017215005060195738
ko00930	0.0076188572377025015	0	-0
ko00940	0.053298836073123704	0	-0
ko00944	-0	-0	0.20916278122793244
ko00950	0	0	-0.1639953067770514
ko00960	0	0.060055271676574505	-0
ko00965	0	0	-0
ko00966	0.05019135282540626	0	-0
ko00970	-0.0325036170909502	-0	0
ko00980	-0.05534391720745573	-0	0
ko00981	0.17662856836682342	-0	0
ko00982	-0.05534391720745573	-0	0
ko00983	-0	-0.16964856012112217	-0
ko01040	0	0	-0.06609878846072496
ko01051	0.17537940413896835	-0	0
ko01053	0	0	-0
ko01054	-0	-0.158968887596475	-0
ko01055	-0.18556758761677736	0	-0
ko01059	0	0	-0
ko01062	0	0	-0
ko01100	0	0	-0.015539508445962665
ko01110	0	0	-0.15398226289448505
ko01120	0.017817188274995965	0	-0.072886230804249455
ko01130	0	0	-0.17221934071856876
ko01200	0	0	-0.14213460883775625
ko01210	0	0.1335010508732365	-0
ko01212	0.021591781132407704	0	-0.10791811663555974
ko01220	-0	-0	0
ko01230	0	0.1125731969972601	-0
ko01501	0	0	-0
ko01502	0	0	-0
ko01503	0	0	-0
ko01523	0	0	-0
ko01524	-0.06736206825372437	-0	0
ko02010	-0	-0	0
ko02020	0	0	-0
ko02024	-0	-0	0.06187997982637874
ko02025	0	0	-0.20515651065029805
ko02026	-0	-0	0
ko02030	0.1907322064483002	-0	0
ko02040	0.1989891555089183	-0	0
ko02060	-0	-0.1513265983681757	-0
ko03008	-0.0346446828299449	-0	0
ko03010	-0.03207884727232701	-0	0
ko03013	-0.08106936123197724	-0	0
ko03018	-0	-0	0
ko03020	-0	-0.07684069125797295	0
ko03022	0	0	-0
ko03030	-0	-0	0.08568177652294329
ko03050	0	0	-0
ko03060	-0	-0	0
ko03070	0	0.17305399423498807	0
ko03320	0.1227040871668803	0	-0
ko03410	-0.06145263885383711	-0	0
ko03420	-0	-0	0
ko03430	-0	-0	0.04390974523577748
ko03440	-0	-0	0.11934377380909061
ko03450	0	0	-0
ko04011	0	0	-0
ko04013	0	0	-0
ko04016	-0.21693630290766633	0	-0
ko04022	-0	-0.1661913146759754	-0
ko04024	-0	-0.1661913146759754	-0
ko04066	-0.2343553342583201	0	-0
ko04068	0	0	-0.09540372095894081
ko04070	0	0	-0.11619009890163168
ko04072	0.1106322627844333	0	-0
ko04080	0	0	-0
ko04112	0	0	-0
ko04113	0	0	-0
ko04122	-0	-0	0
ko04138	0.18604798467106104	-0	0
ko04141	0	0	-0
ko04142	0	0	-0
ko04146	0	0	-0.13090874536241737
ko04151	0	0.0668870317259893	-0
ko04152	0	0	-0.17735707540970047
ko04211	0	0	-0
ko04212	0	0	-0
ko04213	-0.23119129836523267	0	-0
ko04214	0	0	-0
ko04216	0	-0	0
ko04217	0	0.21523970520499192	0
ko04260	-0	-0.16774452387977629	-0
ko04261	-0	-0.1661913146759754	-0
ko04612	0	0.07691726088459035	-0
ko04614	0	0	-0
ko04621	0	0.06704285005406098	-0
ko04622	-0	-0	0
ko04626	0.12764735439516953	0	-0
ko04657	0	0.07691726088459035	-0
ko04659	0	0.07691726088459035	-0
ko04714	0	0	-0
ko04724	0	0	-0
ko04726	0	0	-0
ko04727	0	0	-0.09186437708237911
ko04728	0	0	-0
ko04910	0	0.08332732981913625	-0
ko04911	-0	-0.1661913146759754	-0
ko04914	0	0.07691726088459035	-0
ko04915	0	0.07691726088459035	-0
ko04917	-0	-0	0.1339896056735942
ko04918	-0	-0.1728143350251469	-0
ko04919	-0.14636489148031853	-0	0
ko04920	0.04737429457162786	0	-0
ko04922	-0.058723897476744356	-0	0
ko04925	-0	-0.1661913146759754	-0
