index,Comparison,Z,P.unadj,P.adj
1,control_d2 - control_d7,0.6259686371487609,0.5313355127853885,1
1,control_d2 - dinp_d2,-0.05216405309572992,0.9583979753923999,1
1,control_d7 - dinp_d2,-0.6781326902444909,0.4976875652466079,1
1,control_d2 - dinp_d7,0.39123039821797567,0.6956269408473401,1
1,control_d7 - dinp_d7,-0.2347382389307853,0.8144119064641919,1
1,dinp_d2 - dinp_d7,0.44339445131370564,0.6574804486244951,1
1,control_d2 - inoculum_d0,1.903987937994149,0.05691175512030277,0.5691175512030276
1,control_d7 - inoculum_d0,1.278019300845388,0.20124262095772386,1
1,dinp_d2 - inoculum_d0,1.9561519910898788,0.050447252077749485,0.5044725207774948
1,dinp_d7 - inoculum_d0,1.5127575397761732,0.13034125783120262,1
2,control_d2 - control_d7,-0.7302967433402214,0.4652088184521416,1
2,control_d2 - dinp_d2,0,1,1
2,control_d7 - dinp_d2,0.7302967433402214,0.4652088184521416,1
2,control_d2 - dinp_d7,-0.4694764778615706,0.6387290943002659,1
2,control_d7 - dinp_d7,0.2608202654786509,0.794231115626125,1
2,dinp_d2 - dinp_d7,-0.4694764778615706,0.6387290943002659,1
2,control_d2 - inoculum_d0,-1.9300699645420136,0.053598169393349854,0.5359816939334985
2,control_d7 - inoculum_d0,-1.199773221201792,0.23022742698817011,1
2,dinp_d2 - inoculum_d0,-1.9300699645420136,0.053598169393349854,0.5359816939334985
2,dinp_d7 - inoculum_d0,-1.4605934866804429,0.1441270348160153,1
