sample,shannon,invsimpson,exposure,culture_day,group
BPS_high_wk22_inoculum_d0_A,1.9219420727389604,2.1659895930709316,inoculum,d0,inoculum_d0
BPS_high_wk22_inoculum_d0_B,1.915095467659981,2.187337184807512,inoculum,d0,inoculum_d0
BPS_high_wk22_inoculum_d0_D,2.2177964213062467,2.035927720052647,inoculum,d0,inoculum_d0
BPS_high_wk22_inoculum_d0_E,2.546385587813848,1.9051406297642375,inoculum,d0,inoculum_d0
BPS_high_wk22_inoculum_d0_F,2.0011173571119314,2.1451525765049246,inoculum,d0,inoculum_d0
BPS_high_wk22_inoculum_d0_G,2.6851088679204214,1.8554380661861547,inoculum,d0,inoculum_d0
BPS_high_wk22_control_d2_A,2.5101340236807634,1.9177820816936901,control,d2,control_d2
BPS_high_wk22_control_d2_B,2.4921912489012654,1.9227960712462326,control,d2,control_d2
BPS_high_wk22_control_d2_C,2.871803966830642,1.7984461457593583,control,d2,control_d2
BPS_high_wk22_control_d2_D,2.6657300649495395,1.8631413606813225,control,d2,control_d2
BPS_high_wk22_control_d2_E,2.758492232270227,1.8326955453949751,control,d2,control_d2
BPS_high_wk22_control_d2_F,2.4618760916634748,1.9355985258406045,control,d2,control_d2
BPS_high_wk22_control_d2_G,2.9518599273926065,1.776896767573464,control,d2,control_d2
BPS_high_wk22_bps_d2_A,2.5498340221993003,1.9020758434018832,bps,d2,bps_d2
BPS_high_wk22_bps_d2_B,2.406184761864515,1.9548150801932764,bps,d2,bps_d2
BPS_high_wk22_bps_d2_C,2.852028363171426,1.804652225748136,bps,d2,bps_d2
BPS_high_wk22_bps_d2_D,2.653480742768957,1.8672181596663737,bps,d2,bps_d2
BPS_high_wk22_bps_d2_E,2.7528951860591695,1.8344675663329155,bps,d2,bps_d2
BPS_high_wk22_bps_d2_F,2.510909842765408,1.9178971247922243,bps,d2,bps_d2
BPS_high_wk22_bps_d2_G,2.8794873371430048,1.7974867553975067,bps,d2,bps_d2
BPS_high_wk22_control_d7_A,2.2799431863192083,2.0077377856267122,control,d7,control_d7
BPS_high_wk22_control_d7_B,2.3196119381127267,1.9950729628351025,control,d7,control_d7
BPS_high_wk22_control_d7_C,2.8274412488474296,1.8123149765191344,control,d7,control_d7
BPS_high_wk22_control_d7_D,2.5455573686699604,1.9029151148497332,control,d7,control_d7
BPS_high_wk22_control_d7_E,2.4223537250909892,1.9444360572037167,control,d7,control_d7
BPS_high_wk22_control_d7_F,2.2481153919071293,2.0140821282580417,control,d7,control_d7
BPS_high_wk22_control_d7_G,2.821000749756971,1.8124447712991614,control,d7,control_d7
BPS_high_wk22_bps_d7_A,2.3347328518355184,1.9878913988379647,bps,d7,bps_d7
BPS_high_wk22_bps_d7_B,2.212539368076085,2.039382423856092,bps,d7,bps_d7
BPS_high_wk22_bps_d7_C,2.878662643876474,1.797356924804423,bps,d7,bps_d7
BPS_high_wk22_bps_d7_D,2.470908909250144,1.9295824961440107,bps,d7,bps_d7
BPS_high_wk22_bps_d7_E,2.4289198347419503,1.943972762558722,bps,d7,bps_d7
BPS_high_wk22_bps_d7_F,2.239686370585561,2.017588407572314,bps,d7,bps_d7
BPS_high_wk22_bps_d7_G,2.926076307422234,1.7826083816700888,bps,d7,bps_d7
