sample,shannon,invsimpson,exposure,culture_day,group
DINP_high_wk22_inoculum_d0_A,1.7899140791888004,2.2182691521990425,inoculum,d0,inoculum_d0
DINP_high_wk22_inoculum_d0_B,1.6977862741446201,2.264498324143273,inoculum,d0,inoculum_d0
DINP_high_wk22_inoculum_d0_C,2.4672408450688095,1.9309777501973922,inoculum,d0,inoculum_d0
DINP_high_wk22_inoculum_d0_D,2.2972244969562627,1.989979417118236,inoculum,d0,inoculum_d0
DINP_high_wk22_inoculum_d0_E,2.4295658591366425,1.9469855014206605,inoculum,d0,inoculum_d0
DINP_high_wk22_inoculum_d0_F,1.9186134107677542,2.177567697591301,inoculum,d0,inoculum_d0
DINP_high_wk22_inoculum_d0_G,2.288557348056777,2.0069337566619776,inoculum,d0,inoculum_d0
DINP_high_wk22_control_d2_A,2.118764306640823,2.0585361944390144,control,d2,control_d2
DINP_high_wk22_control_d2_B,2.1832830277322066,2.028033478725626,control,d2,control_d2
DINP_high_wk22_control_d2_C,2.8832526917806196,1.7954355035074119,control,d2,control_d2
DINP_high_wk22_control_d2_D,2.556406774585405,1.8923616137605193,control,d2,control_d2
DINP_high_wk22_control_d2_E,2.497565781903368,1.9194225398034102,control,d2,control_d2
DINP_high_wk22_control_d2_F,2.380307695092433,1.9653852754492982,control,d2,control_d2
DINP_high_wk22_control_d2_G,2.6228113510684663,1.8775829140046167,control,d2,control_d2
DINP_high_wk22_dinp_d2_A,1.953865980479022,2.1319588004173498,dinp,d2,dinp_d2
DINP_high_wk22_dinp_d2_B,2.230661383881299,2.0088282648664055,dinp,d2,dinp_d2
DINP_high_wk22_dinp_d2_C,2.8589728735746043,1.8034071724898044,dinp,d2,dinp_d2
DINP_high_wk22_dinp_d2_D,2.5037534711035123,1.9114360231442502,dinp,d2,dinp_d2
DINP_high_wk22_dinp_d2_E,2.6705087734156194,1.8614485827465876,dinp,d2,dinp_d2
DINP_high_wk22_dinp_d2_F,2.4070709865150177,1.9562314035124961,dinp,d2,dinp_d2
DINP_high_wk22_dinp_d2_G,2.4770181336461246,1.926862289833045,dinp,d2,dinp_d2
DINP_high_wk22_control_d7_A,2.302832736785368,2.001069761198682,control,d7,control_d7
DINP_high_wk22_control_d7_B,2.288909822575417,2.003944711759601,control,d7,control_d7
DINP_high_wk22_control_d7_C,2.5992152357321694,1.8843819518290956,control,d7,control_d7
DINP_high_wk22_control_d7_D,2.549656111062401,1.9028625258405671,control,d7,control_d7
DINP_high_wk22_control_d7_E,2.391749309585278,1.9568755697810403,control,d7,control_d7
DINP_high_wk22_control_d7_F,2.3068440773143277,1.994680349483012,control,d7,control_d7
DINP_high_wk22_control_d7_G,2.1940401956892637,2.0313736578823094,control,d7,control_d7
DINP_high_wk22_dinp_d7_A,2.4243465749934225,1.951742555847079,dinp,d7,dinp_d7
DINP_high_wk22_dinp_d7_B,2.3465899295389594,1.981206975334161,dinp,d7,dinp_d7
DINP_high_wk22_dinp_d7_C,2.6248108682110134,1.8768028582608278,dinp,d7,dinp_d7
DINP_high_wk22_dinp_d7_D,2.53832853475521,1.9054505941447457,dinp,d7,dinp_d7
DINP_high_wk22_dinp_d7_E,2.4259973904408523,1.9467207611260533,dinp,d7,dinp_d7
DINP_high_wk22_dinp_d7_F,2.1950949528525956,2.0252992736159365,dinp,d7,dinp_d7
DINP_high_wk22_dinp_d7_G,2.2019022837653144,2.0345070303478807,dinp,d7,dinp_d7
