group1,group2,R2,p_value,p_adj
inoculum_d0,control_d2,0.2108681219039958,0.031,0.03875
inoculum_d0,bps_d2,0.24212080186258075,0.021,0.030000000000000002
inoculum_d0,control_d7,0.5409433300222446,0.003,0.006
inoculum_d0,bps_d7,0.5057008380457121,0.003,0.006
control_d2,bps_d2,0.003343645733849867,0.982,0.99
control_d2,control_d7,0.3744509196166579,0.001,0.005
control_d2,bps_d7,0.35542284138251196,0.004,0.006666666666666667
bps_d2,control_d7,0.42559529944146285,0.001,0.005
bps_d2,bps_d7,0.4044972901717709,0.003,0.006
control_d7,bps_d7,0.0028416189697973316,0.99,0.99
