group1,group2,R2,p_value,p_adj
inoculum_d0,control_d2,0.387117892149322,0.003,0.00375
inoculum_d0,dinp_d2,0.3980305038527742,0.001,0.0025
inoculum_d0,control_d7,0.658639115697963,0.001,0.0025
inoculum_d0,dinp_d7,0.6767425546442443,0.002,0.002857142857142857
control_d2,dinp_d2,0.005805220675827042,0.968,0.972
control_d2,control_d7,0.4321164449886646,0.002,0.002857142857142857
control_d2,dinp_d7,0.4567202013016675,0.001,0.0025
dinp_d2,control_d7,0.4078710980810854,0.002,0.002857142857142857
dinp_d2,dinp_d7,0.4322865456806609,0.001,0.0025
control_d7,dinp_d7,0.011481550202354534,0.972,0.972
